"concept,""disease"",""appearTimes"",conceptClass"
"Cyclic AMP-Responsive DNA-Binding Protein,""Kartagener Syndrome"",""2"",Protein"
"CCAAT-Enhancer-Binding Proteins,""cortex bone disorders"",""2"",Protein"
"Calcium Channel,""Cerebellar Diseases"",""2"",Protein"
"Cytokine,""Ataxia as late effect of cerebrovascular disease"",""2"",Protein"
"Osteopontin,""cortex bone disorders"",""2"",Protein"
"Lysosomal enzyme,""cortex bone disorders"",""2"",Protein"
"DNA,""Noonan Syndrome"",""2"",Protein"
"STAT3 Protein,""Spinal Cord Diseases"",""2"",Protein"
"Parvalbumins,""Attention deficit hyperactivity disorder"",""2"",Protein"
"Brain-Derived Neurotrophic Factor,""Meleda Disease"",""2"",Protein"
"Autoantibodies,""Motor Neuron Disease, Lower"",""2"",Protein"
"Granulocyte-Macrophage Colony-Stimulating Factor,""Disorder of pineal gland"",""2"",Protein"
"Tumor Necrosis Factors,""Hamartoma Syndrome, Multiple"",""2"",Protein"
"Pigment,""Lesch-Nyhan Syndrome"",""2"",Protein"
"Nerve Growth Factors,""Prion Diseases"",""2"",Protein"
"Angiotensin II,""Syndrome, Bloch-Sulzberger"",""2"",Protein"
"Human Growth Hormone,""Creutzfeldt-Jakob disease"",""2"",Protein"
"Calcitonin Gene-Related Peptide,""Disorder of pineal gland"",""2"",Protein"
"Cyclic AMP-Dependent Protein Kinases,""Sensitization (disorder)"",""2"",Protein"
"Estrogen Receptors,""Huntington Disease"",""2"",Protein"
"Genomic DNA,""cortex bone disorders"",""2"",Protein"
"Immunoglobulin Isotypes,""Syndrome"",""2"",Protein"
"moesin,""Hodgkin Disease"",""2"",Protein"
"Genes,""Creutzfeldt-Jakob Disease, Sporadic"",""2"",Protein"
"Endopeptidases,""Syndrome"",""2"",Protein"
"P53 Protein,""Nail-Patella Syndrome"",""2"",Protein"
"Membrane Transport Proteins,""Anxiety Disorders"",""2"",Protein"
"APP protein, human,""Cardiovascular Diseases"",""2"",Protein"
"Interleukin-4,""Neurodegenerative Disorders"",""2"",Protein"
"Sodium Channel,""Androgen-Insensitivity Syndrome"",""2"",Protein"
"Interferon Alpha, Human,""Virus Diseases"",""2"",Protein"
"Calcium,""Machado-Joseph Disease"",""2"",Protein"
"Pentoxifylline,""Syndrome, Bloch-Sulzberger"",""2"",Protein"
"Colony-Stimulating Factors,""Sweet Syndrome"",""2"",Protein"
"NFI Transcription Factors,""Sandhoff Disease"",""2"",Protein"
"Histamine N-Methyltransferase,""cortex bone disorders"",""2"",Protein"
"Interleukin-2,""Depressive disorder"",""2"",Protein"
"Nerve Growth Factors,""Mild cognitive disorder"",""2"",Protein"
"Rhodopsin,""Gardner Syndrome"",""2"",Protein"
"Acetylcysteine,""Gaucher Disease"",""2"",Protein"
"Argipressin,""Chronic Kidney Diseases"",""2"",Protein"
"Transferrin,""Restless Legs Syndrome"",""2"",Protein"
"Chondroitin Sulfate Proteoglycans,""Alzheimer's Disease"",""2"",Protein"
"Retinaldehyde,""Disorder nervous system"",""2"",Protein"
"Myelin basic protein,""Restless Legs Syndrome"",""2"",Protein"
"Glutamine,""Disease Progression"",""2"",Protein"
"Serotonin,""Liver regeneration (disorder)"",""2"",Protein"
"Metallothionein,""Liver diseases"",""2"",Protein"
"Colony-Stimulating Factors,""Disorder of pineal gland"",""2"",Protein"
"Opioid Receptor,""Mucocutaneous Lymph Node Syndrome"",""2"",Protein"
"Tacrolimus Binding Proteins,""Alzheimer's Disease"",""2"",Protein"
"S100A2 protein, human,""Depressive disorder"",""2"",Protein"
"Deprenyl,""Herpes zoster disease"",""2"",Protein"
"Autoantibodies,""Demyelinating Diseases"",""2"",Protein"
"Peptidyl-Prolyl Cis-Trans Isomerase FKBP5,""Depressive disorder"",""2"",Protein"
"Kinesin,""Bipolar Disorder"",""2"",Protein"
"Nitric Oxide Synthase,""neuropathology disease"",""2"",Protein"
"Brain-Derived Neurotrophic Factor,""Inflammatory disorder"",""2"",Protein"
"CD40 Ligand,""cortex bone disorders"",""2"",Protein"
"Glycoside Hydrolases,""Alzheimer's Disease"",""2"",Protein"
"Nerve Growth Factors,""Shy-Drager Syndrome"",""2"",Protein"
"Genes,""Fetal Alcohol Spectrum Disorders"",""2"",Protein"
"Leptin,""Sensitization (disorder)"",""2"",Protein"
"Signaling Protein,""Depressive disorder"",""2"",Protein"
"Immunoglobulin G,""Eosinophilic disorder"",""2"",Protein"
"Matrix Metalloproteinase 9,""Parkinsonian Disorders"",""2"",Protein"
"SGOT - Glutamate oxaloacetate transaminase,""Alzheimer's Disease"",""2"",Protein"
"GTP-Binding Proteins,""Pituitary Diseases"",""2"",Protein"
"Sirolimus,""Sensitization (disorder)"",""2"",Protein"
"Amyloid beta-Protein Precursor,""CNS disorder"",""2"",Protein"
"Presenilins,""Neurodegenerative Disorders"",""2"",Protein"
"MSC protein, human,""Retinal Diseases"",""2"",Protein"
"Ghrelin,""Neurotoxicity Syndromes"",""2"",Protein"
"NeuroD protein,""Niemann-Pick Disease, Type C"",""2"",Protein"
"Antibodies,""Hallervorden-Spatz Syndrome"",""2"",Protein"
"cardiotrophin 1,""Degenerative disorder"",""2"",Protein"
"coenzyme Q10,""Functional disorder"",""2"",Protein"
"Phosphonoacetic Acid,""Hypertrophic disorder of skin, unspecified"",""2"",Protein"
"Receptors, Corticotropin-Releasing Hormone,""Skin endocrine disorder"",""2"",Protein"
"Vasopressin (USP),""Disorders, Mental"",""2"",Protein"
"Nucleoproteins,""Noonan Syndrome"",""2"",Protein"
"nucleophosmin,""Huntington Disease"",""2"",Protein"
"Proto-Oncogene Proteins c-fos,""Corneal Diseases"",""2"",Protein"
"Cytokine,""Shwachman syndrome"",""2"",Protein"
"Chloramphenicol O-Acetyltransferase,""Myeloproliferative Syndrome, Transient"",""2"",Protein"
"Receptor Protein-Tyrosine Kinases,""Autism Spectrum Disorders"",""2"",Protein"
"DNA (Cytosine-5)-Methyltransferase 1,""Functional disorder"",""2"",Protein"
"Microtubule-Associated Proteins,""Fragile X Syndrome"",""2"",Protein"
"pleiotrophin,""Autism Spectrum Disorders"",""2"",Protein"
"Hepcidin,""Alzheimer's Disease"",""2"",Protein"
"NOS3 protein, human,""Vasodilation disorder"",""2"",Protein"
"NFIX protein, human,""Down Syndrome"",""2"",Protein"
"Amyloid beta-Protein Precursor,""Ovarian Diseases"",""2"",Protein"
"Threonine,""Rett Syndrome"",""2"",Protein"
"Scaffold protein,""Syndrome, Bloch-Sulzberger"",""2"",Protein"
"Retinaldehyde,""Disorder of vitreous humor"",""2"",Protein"
"Benzodiazepine Receptor,""Lung diseases"",""2"",Protein"
"Molecular Chaperones,""Functional disorder"",""2"",Protein"
"prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase), human,""Functional disorder"",""2"",Protein"
"Cyclin D1,""Niemann-Pick Disease, Type C"",""2"",Protein"
"Gastrin releasing peptide,""Disorder nervous system"",""2"",Protein"
"Brain-Derived Neurotrophic Factor,""Paramyotonia congenita (disorder)"",""2"",Protein"
"Prolactin-Releasing Hormone,""Pituitary Diseases"",""2"",Protein"
"myelination,""Canavan Disease"",""2"",Protein"
"CD68 antigen, human,""Disease Progression"",""2"",Protein"
"Fibrinogen,""Neurotoxicity Syndromes"",""2"",Protein"
"Estrogen Receptors,""Syndrome, Bloch-Sulzberger"",""2"",Protein"
"Microtubule-Associated Proteins,""Norrie disease"",""2"",Protein"
"Acetylcholinesterase,""Pyruvate Dehydrogenase Complex Deficiency Disease"",""2"",Protein"
"LGI1 protein, human,""Functional disorder"",""2"",Protein"
"Nerve Growth Factor,""Renal glomerular disease"",""2"",Protein"
"Basement Membrane-Specific Heparan Sulfate Proteoglycan Core Protein,""Depressive disorder"",""2"",Protein"
"Synucleins,""Pancreatic Diseases"",""2"",Protein"
"Monoamine Oxidase,""Huntington Disease"",""2"",Protein"
"Gamma-glutamyl transferase,""Pick Disease of the Brain"",""2"",Protein"
"Arginase,""Retinal Diseases"",""2"",Protein"
"Proteins,""Guillain-Barre Syndrome"",""2"",Protein"
"Nicotinic Receptors,""Pituitary Diseases"",""2"",Protein"
"60 kDa Heat Shock Protein, Mitochondrial,""Neurodegenerative Disorders"",""2"",Protein"
"Brain-Derived Neurotrophic Factor,""Demyelinating Diseases"",""2"",Protein"
"SQSTM1 protein, human,""Disease Progression"",""2"",Protein"
"Proteins,""Corneal Diseases"",""2"",Protein"
"Receptor, Cannabinoid, CB1,""Skin endocrine disorder"",""2"",Protein"
"Oxypurinol,""Neurotoxicity Syndromes"",""2"",Protein"
"Somatostatin,""Hamartoma Syndrome, Multiple"",""2"",Protein"
"Microtubule-Associated Proteins 1A/1B Light Chain 3,""Myeloproliferative Syndrome, Transient"",""2"",Protein"
"Amyloid,""Mesulam Syndrome"",""2"",Protein"
"Receptors, Opioid, kappa,""cortex bone disorders"",""2"",Protein"
"Leucine,""Lung diseases"",""2"",Protein"
"Fragile X Mental Retardation Protein,""Neurodegenerative Disorders"",""2"",Protein"
"Nitroreductases,""Disorder of pineal gland"",""2"",Protein"
"Calcium/calmodulin-dependent protein kinase,""Syndrome, Bloch-Sulzberger"",""2"",Protein"
"Choline O-Acetyltransferase,""Sweet Syndrome"",""2"",Protein"
"Lysosome-Associated Membrane Glycoprotein 1, human,""Parkinson Disease"",""2"",Protein"
"KL protein, human,""Neurodegenerative Disorders"",""2"",Protein"
"Aspartate Transaminase,""cortex bone disorders"",""2"",Protein"
"phospholipase A2-alpha,""Alzheimer's Disease"",""2"",Protein"
"HCRT wt Allele,""Menkes Kinky Hair Syndrome"",""2"",Protein"
"Oligonucleotides,""Disorder nervous system"",""2"",Protein"
"ARMET protein, human,""Disorder nervous system"",""2"",Protein"
"Glutamate Receptor,""Autism Spectrum Disorders"",""2"",Protein"
"Synuclein Gamma,""Hypertensive disease"",""2"",Protein"
"phospholipase A2-alpha,""cortex bone disorders"",""2"",Protein"
"Amyloid,""Acquired Immunodeficiency Syndrome"",""2"",Protein"
"Plasminogen Activator Inhibitor 1,""Neurotoxicity Syndromes"",""2"",Protein"
"Interleukin-4,""Disease Progression"",""2"",Protein"
"G-Protein-Coupled Receptors,""Brain Diseases"",""2"",Protein"
"KIF11 protein, human,""DISORDERS OF THE OPTIC NERVE"",""2"",Protein"
"NEFL protein, human,""cortex bone disorders"",""2"",Protein"
"Tumor Necrosis Factors,""Brain Diseases"",""2"",Protein"
"ErbB Receptors,""Functional disorder"",""2"",Protein"
"Neural Cell Adhesion Molecules,""Peripheral Arterial Diseases"",""2"",Protein"
"Presynaptic Density Protein 95,""Iodine deficiency syndrome"",""2"",Protein"
"SMO protein, human,""Parkinson Disease"",""2"",Protein"
"Casein Kinase II,""Dyskinetic syndrome"",""2"",Protein"
"Brain-Derived Neurotrophic Factor,""Seasonal Affective Disorder"",""2"",Protein"
"Membrane Transport Proteins,""Attention Deficit Disorder"",""2"",Protein"
"Nuclear Receptor Subfamily 4, Group A, Member 1,""Sensitization (disorder)"",""2"",Protein"
"Plasma Membrane Calcium-Transporting ATPases,""Neurodegenerative Disorders"",""2"",Protein"
"NTN1 protein, human,""Major Depressive Disorder"",""2"",Protein"
"Membrane Proteins,""Ataxia as late effect of cerebrovascular disease"",""2"",Protein"
"Endopeptidases,""Huntington Disease"",""2"",Protein"
"Angiotensin-2,""Meningeal disorder"",""2"",Protein"
"Cloning Vectors,""Sensitization (disorder)"",""2"",Protein"
"Growth Hormone,""Autism Spectrum Disorders"",""2"",Protein"
"Eukaryotic Translation Initiation Factor 3, Subunit 6,""Functional disorder"",""2"",Protein"
"Regulator of G-Protein Signaling 4,""Spinal Cord Diseases"",""2"",Protein"
"Serine,""Spinal Cord Diseases"",""2"",Protein"
"Thyrotropin Receptor,""Thyroid Diseases"",""2"",Protein"
"Growth Factor,""neuropathology disease"",""2"",Protein"
"APP protein, human,""Mesulam Syndrome"",""2"",Protein"
"BCAR1 protein, human,""Spinal Cord Diseases"",""2"",Protein"
"Opsins,""Virus Diseases"",""2"",Protein"
"Endothelin,""Hypertensive disease"",""2"",Protein"
"Mitochondrial Proteins,""Disorder nervous system"",""2"",Protein"
"BCAR1 protein, human,""Disorder nervous system"",""2"",Protein"
"Monooxygenase, Monophenol,""Lens Diseases"",""2"",Protein"
"Actin, Cytoplasmic 1,""Huntington Disease"",""2"",Protein"
"Galanin,""Down Syndrome"",""2"",Protein"
"LCN2 protein, human,""Shy-Drager Syndrome"",""2"",Protein"
"Cyclic AMP-Dependent Protein Kinases,""Retinal Diseases"",""2"",Protein"
"CD11b Antigens,""Sensitization (disorder)"",""2"",Protein"
"Apolipoprotein E4,""Fetal Alcohol Syndrome"",""2"",Protein"
"Genomic DNA,""Cyclical vomiting syndrome (disorder)"",""2"",Protein"
"High Density Lipoproteins,""Liver diseases"",""2"",Protein"
"Extracellular Protein,""cortex bone disorders"",""2"",Protein"
"Histidine Decarboxylase,""Williams Syndrome"",""2"",Protein"
"Receptor, Cannabinoid,""Mitral Valve Prolapse Syndrome"",""2"",Protein"
"Neuronal Migration Protein Doublecortin,""Lewy Body Disease"",""2"",Protein"
"Retinaldehyde,""Immunologic Deficiency Syndromes"",""2"",Protein"
"Receptors, Odorant,""Functional disorder"",""2"",Protein"
"Nitroarginine,""Spinal Cord Diseases"",""2"",Protein"
"Receptor Protein-Tyrosine Kinases,""Pervasive Development Disorder"",""2"",Protein"
"Complex, Multicatalytic Endopeptidase,""Feline urological syndrome"",""2"",Protein"
"Rhodopsin,""DISORDERS OF THE OPTIC NERVE"",""2"",Protein"
"Lysosomal-Associated Membrane Protein 2,""Neurotoxicity Syndromes"",""2"",Protein"
"Proteins,""Kartagener Syndrome"",""2"",Protein"
"Lactate Dehydrogenase,""Parkinson Disease"",""2"",Protein"
"Growth Factor,""CNS disorder"",""2"",Protein"
"Cathepsins,""Brain Diseases"",""2"",Protein"
"PTPN22 protein, human,""Brain Diseases"",""2"",Protein"
"TXN protein, human,""Alzheimer's Disease"",""2"",Protein"
"Amyloid,""Major Depressive Disorder"",""2"",Protein"
"Sucrose,""Retinal Diseases"",""2"",Protein"
"GABA Receptor,""Leigh Disease"",""2"",Protein"
"Myelin-Oligodendrocyte Glycoprotein,""Mood Disorders"",""2"",Protein"
"COX7A2L Protein,""Mohr-Tranebjaerg syndrome"",""2"",Protein"
"1-Phosphatidylinositol 3-Kinase,""Mohr-Tranebjaerg syndrome"",""2"",Protein"
"Sodium Channel,""TRAPS - TNF receptor-associated periodic fever syndrome"",""2"",Protein"
"Membrane Transport Proteins,""Obsessive-Compulsive Disorder"",""2"",Protein"
"Ferritin,""Spinal Cord Diseases"",""2"",Protein"
"Deoxyuridine,""Pituitary Diseases"",""2"",Protein"
"Vitellogenins,""Ovarian Diseases"",""2"",Protein"
"Immune Sera,""Peroxisomal Disorders"",""2"",Protein"
"Proteins,""Borna Disease"",""2"",Protein"
"sargramostim,""Spinal Cord Diseases"",""2"",Protein"
"Ferritin,""Huntington Disease"",""2"",Protein"
"Serotonin receptor,""Mood Disorders"",""2"",Protein"
"Saffron stain,""Retinal Diseases"",""2"",Protein"
"Glutamate Decarboxylase,""Behcet Syndrome"",""2"",Protein"
"Genes,""Coffin-Siris syndrome"",""2"",Protein"
"Chemokine,""Virus Diseases"",""2"",Protein"
"Prostaglandin-Endoperoxide Synthase,""Neurotoxicity Syndromes"",""2"",Protein"
"Proteins,""Sweet Syndrome"",""2"",Protein"
"Chimerin 1,""Neurodegenerative Disorders"",""2"",Protein"
"Interferons,""Neurodegenerative Disorders"",""2"",Protein"
"HCRT protein, human,""Substance Withdrawal Syndrome"",""2"",Protein"
"Tryptophan,""Eosinophilia-Myalgia Syndrome"",""2"",Protein"
"Complement System Proteins,""Brain Diseases"",""2"",Protein"
"Connexin 43,""Depressive disorder"",""2"",Protein"
"Somatomedins,""Spinal Cord Diseases"",""2"",Protein"
"Dickkopf-Related Protein 1,""Functional disorder"",""2"",Protein"
"Interferon-alpha,""Spinal Cord Diseases"",""2"",Protein"
"Physostigmine,""Depressive disorder"",""2"",Protein"
"TLR7 protein, human,""Mucocutaneous Lymph Node Syndrome"",""2"",Protein"
"Immunoglobulins,""Autism Spectrum Disorders"",""2"",Protein"
"Voltage-Gated Sodium Channels,""Spinal Cord Diseases"",""2"",Protein"
"Adrenergic Receptor,""Syndrome, Bloch-Sulzberger"",""2"",Protein"
"Cytokine,""Meningeal disorder"",""2"",Protein"
"Protein Prune Homolog 2,""Spinal Cord Diseases"",""2"",Protein"
"Glycolysis,""Spinal Cord Diseases"",""2"",Protein"
"APP protein, human,""Communicable Diseases"",""2"",Protein"
"NF-E2-Related Factor 2,""Parkinson Disease"",""2"",Protein"
"GABA Receptor,""Autism Spectrum Disorders"",""2"",Protein"
"Corticotropin-like intermediate lobe peptide,""Fragile X Syndrome"",""2"",Protein"
"rivastigmine,""Nose Diseases"",""2"",Protein"
"Albumin Human, USP,""Parkinson Disease"",""2"",Protein"
"Delta-Like Protein 1, human,""Disorder nervous system"",""2"",Protein"
"Dickkopf-Related Protein 1,""Machado-Joseph Disease"",""2"",Protein"
"Corticotropin-Releasing Hormone,""Stress Disorders, Traumatic"",""2"",Protein"
"Cyclic AMP-Responsive DNA-Binding Protein,""Cognition Disorders"",""2"",Protein"
"Monoclonal Antibodies,""Huntington Disease"",""2"",Protein"
"MKNK1 protein, human,""Depressive disorder"",""2"",Protein"
"C-reactive protein,""cortex bone disorders"",""2"",Protein"
"Opioid Receptor,""Drug effect disorder"",""2"",Protein"
"Methylene blue,""cortex bone disorders"",""2"",Protein"
"Apolipoprotein E,""Metabolic Syndrome X"",""2"",Protein"
"Endorphins,""Aarskog syndrome"",""2"",Protein"
"Estrogen Receptors,""Van der Woude syndrome"",""2"",Protein"
"Corticotropin,""Disease of thymus gland"",""2"",Protein"
"BECN1 protein, human,""Spinal Cord Diseases"",""2"",Protein"
"Phospholipases A2,""Neurodegenerative Disorders"",""2"",Protein"
"Eukaryotic Translation Initiation Factor 4E, human,""Autistic Disorder"",""2"",Protein"
"PIK3CA protein, human,""Niemann-Pick Disease, Type C"",""2"",Protein"
"RELN protein, human,""Liver diseases"",""2"",Protein"
"Autoantibodies,""Chromosome 11p11.2 Deletion Syndrome"",""2"",Protein"
"Aromatase,""Rabies (disorder)"",""2"",Protein"
"Ribosomal Protein S6 Kinase Beta-1,""Autistic Disorder"",""2"",Protein"
"Human Growth Hormone,""Parkinson Disease"",""2"",Protein"
"Apolipoprotein E4,""Virus Diseases"",""2"",Protein"
"Monomeric GTP-Binding Proteins,""cortex bone disorders"",""2"",Protein"
"Calretinin,""Autistic Disorder"",""2"",Protein"
"Peptides,""Inflammatory Bowel Diseases"",""2"",Protein"
"Proto-Oncogene Proteins c-fos,""Peripheral Arterial Diseases"",""2"",Protein"
"NTN1 protein, human,""Disorders, Mental"",""2"",Protein"
"Bleomycin,""Bloom Syndrome"",""2"",Protein"
"DNA Modification Methylases,""Psychotic Disorders"",""2"",Protein"
"Adaptor Proteins, Signal Transducing,""Disorder nervous system"",""2"",Protein"
"Transient Receptor Potential Channels,""Migraine Disorders"",""2"",Protein"
"Glia Maturation Factor,""Norrie disease"",""2"",Protein"
"Proteome,""Delirium, Dementia, Amnestic, Cognitive Disorders"",""2"",Protein"
"CDK5 protein, human,""Spinal Cord Diseases"",""2"",Protein"
"BECN1 protein, human,""Neurotoxicity Syndromes"",""2"",Protein"
"Receptor, Angiotensin, Type 1,""Retinal Diseases"",""2"",Protein"
"Sphingomyelinase,""Depressive disorder"",""2"",Protein"
"Receptor,""Chronic myeloproliferative disorder"",""2"",Protein"
"Galanin,""Renal glomerular disease"",""2"",Protein"
"Galactosylceramidase,""Spinal Cord Diseases"",""2"",Protein"
"brazilin,""Parkinson Disease"",""2"",Protein"
"Chromogranin A,""cortex bone disorders"",""2"",Protein"
"Mitogen-Activated Protein Kinases,""Retinal Diseases"",""2"",Protein"
"voltage gated channel,""Functional disorder"",""2"",Protein"
"Spectrin,""Neurotoxicity Syndromes"",""2"",Protein"
"GABA-B Receptor,""cortex bone disorders"",""2"",Protein"
"7-dehydrocholesterol reductase,""Smith-Lemli-Opitz Syndrome"",""2"",Protein"
"Thyrotropin Receptor,""Hashimoto Disease"",""2"",Protein"
"Prothrombin,""Liver diseases"",""2"",Protein"
"Neurotrophic Tyrosine Kinase Receptor Type 1,""Functional disorder"",""2"",Protein"
"ras Proto-Oncogene Protein p21,""Prune Belly Syndrome"",""2"",Protein"
"Glycine,""Meconium Aspiration Syndrome"",""2"",Protein"
"Angiotensin II,""Meconium Aspiration Syndrome"",""2"",Protein"
"Kinase, IkappaB,""Hypertensive disease"",""2"",Protein"
"Calbindin 1,""Down Syndrome"",""2"",Protein"
"alpha-Synuclein,""Gaucher Disease"",""2"",Protein"
"Aspartate Transaminase,""McCune-Albright Syndrome"",""2"",Protein"
"Cell Adhesion Molecules,""Disorders, Mental"",""2"",Protein"
"Androgen Receptor,""Polycystic Ovary Syndrome"",""2"",Protein"
"RNA Polymerase I,""Disease of thymus gland"",""2"",Protein"
"Chemical Surfactants,""Nail-Patella Syndrome"",""2"",Protein"
"Glutathione S-Transferase,""Functional disorder"",""2"",Protein"
"Glutamate Transporter,""Depressive disorder"",""2"",Protein"
"NHEJ1 protein, human,""Functional disorder"",""2"",Protein"
"Caspase-5,""Alzheimer's Disease"",""2"",Protein"
"Cystatin B,""Functional disorder"",""2"",Protein"
"myelination,""Fucosidase Deficiency Disease"",""2"",Protein"
"HMGB1 Protein,""Disorder of vitreous humor"",""2"",Protein"
"Ubiquilin-2,""Neurodegenerative Disorders"",""2"",Protein"
"Lipase, Lipoprotein,""Functional disorder"",""2"",Protein"
"Sterol Regulatory Element Binding Protein 1,""Spinal Cord Diseases"",""2"",Protein"
"Heme,""Parkinson Disease"",""2"",Protein"
"IGFBP2 protein, human,""Bipolar Disorder"",""2"",Protein"
"Fluorescein,""Functional disorder"",""2"",Protein"
"pleiotrophin,""CNS disorder"",""2"",Protein"
"Human Immunodeficiency Virus Proteins,""Functional disorder"",""2"",Protein"
"Caspase-6,""Retinal Diseases"",""2"",Protein"
"FOXO3A protein, human,""Huntington Disease"",""2"",Protein"
"S100 Calcium Binding Protein beta Subunit,""Down Syndrome"",""2"",Protein"
"Insulin-Like-Growth Factor I Receptor,""Bipolar Disorder"",""2"",Protein"
"Sp1 Transcription Factor,""Neurodegenerative Disorders"",""2"",Protein"
"Trypsin,""Williams Syndrome"",""2"",Protein"
"Glutamate Receptor,""Autoimmune Diseases"",""2"",Protein"
"Tropomyosin,""Neurotoxicity Syndromes"",""2"",Protein"
"Antibodies,""Ovarian Diseases"",""2"",Protein"
"Serine,""Pervasive Development Disorder"",""2"",Protein"
"Green Fluorescent Proteins,""Melkersson-Rosenthal Syndrome"",""2"",Protein"
"Renin,""Disease of thymus gland"",""2"",Protein"
"aldehyde dehydrogenases,""Parkinson Disease"",""2"",Protein"
"Glial Fibrillary Acidic Protein,""Mucocutaneous Lymph Node Syndrome"",""2"",Protein"
"BECN1 protein, human,""Huntington Disease"",""2"",Protein"
"Phosphodiesterase Inhibitors,""Dyskinetic syndrome"",""2"",Protein"
"Polymerase,""Functional disorder"",""2"",Protein"
"angiogenin,""Bloom Syndrome"",""2"",Protein"
"angiogenin,""Spinal Cord Diseases"",""2"",Protein"
"Integrins,""Down Syndrome"",""2"",Protein"
"Ionized calcium,""Retinal Diseases"",""2"",Protein"
"RELN protein, human,""Brain Diseases"",""2"",Protein"
"eIF-2 Kinase,""CADASIL Syndrome"",""2"",Protein"
"Neuropeptides,""Lesch-Nyhan Syndrome"",""2"",Protein"
"Transforming Growth Factor Beta 2,""Spinal Cord Diseases"",""2"",Protein"
"Amyloid Proteins,""Acquired Immunodeficiency Syndrome"",""2"",Protein"
"Dickkopf-Related Protein 1,""Neurodegenerative Disorders"",""2"",Protein"
"metabotropic glutamate receptor type 1,""Cerebellar Diseases"",""2"",Protein"
"Pro-Opiomelanocortin,""Fetal Alcohol Spectrum Disorders"",""2"",Protein"
"Carrier Proteins,""Disorder nervous system"",""2"",Protein"
"Autoreceptors,""Mood Disorders"",""2"",Protein"
"Nicotinic Receptors,""Neurotoxicity Syndromes"",""2"",Protein"
"Mitogen Activated Protein Kinase p38,""Van der Woude syndrome"",""2"",Protein"
"Apolipoprotein E4,""Retinal Diseases"",""2"",Protein"
"Proteolytic Enzyme,""Brain Diseases"",""2"",Protein"
"Mitogen-Activated Protein Kinases,""Pituitary Diseases"",""2"",Protein"
"Apelin,""Hypertensive disease"",""2"",Protein"
"Undecaprenyl-phosphate galactose-phosphotransferase,""Fetal Alcohol Syndrome"",""2"",Protein"
"cdc42 GTP-Binding Protein,""Parkinson Disease"",""2"",Protein"
"Myelin basic protein,""Autistic Disorder"",""2"",Protein"
"alpha 1-Antichymotrypsin,""Creutzfeldt-Jakob disease"",""2"",Protein"
"Taurine,""Disease Progression"",""2"",Protein"
"Antibodies,""Skin endocrine disorder"",""2"",Protein"
"EHMT1 protein, human,""Hypertensive disease"",""2"",Protein"
"Heparin,""Huntington Disease"",""2"",Protein"
"Calbindin 1,""Neurotoxicity Syndromes"",""2"",Protein"
"CTSG protein, human,""Sweet Syndrome"",""2"",Protein"
"Genes,""Stargardt's disease"",""2"",Protein"
"Hematoxylin,""Lung diseases"",""2"",Protein"
"Protein Isoforms,""Dystonia Disorders"",""2"",Protein"
"Angiotensin-2,""Meconium Aspiration Syndrome"",""2"",Protein"
"Enzymes,""Metabolic Diseases"",""2"",Protein"
"Amyloid beta-Protein Precursor,""Meningeal disorder"",""2"",Protein"
"Haptoglobins,""Spinal Cord Diseases"",""2"",Protein"
"Phosphoproteins,""Recurrent disease"",""2"",Protein"
"Interleukin-13,""Neurodegenerative Disorders"",""2"",Protein"
"Synaptotagmins,""Bipolar Disorder"",""2"",Protein"
"G-Protein-Coupled Receptors,""Oculorespiratory syndrome"",""2"",Protein"
"Signaling Protein,""Functional disorder"",""2"",Protein"
"Proto-Oncogene Proteins c-fos,""Binge eating disorder"",""2"",Protein"
"Acetylcholinesterase,""Cognition Disorders"",""2"",Protein"
"multidrug resistance-associated protein 1,""Neurotoxicity Syndromes"",""2"",Protein"
"Gamma-Enolase,""Respiratory Distress Syndrome, Newborn"",""2"",Protein"
"FABP5 protein, human,""Niemann-Pick Disease, Type C"",""2"",Protein"
"Ligase,""cortex bone disorders"",""2"",Protein"
"Caspase-3,""Bipolar Disorder"",""2"",Protein"
"Interleukin-12,""Van der Woude syndrome"",""2"",Protein"
"Bone Morphogenetic Proteins,""cortex bone disorders"",""2"",Protein"
"Calcium Ion,""Functional disorder"",""2"",Protein"
"Calcitonin-Gene Related Peptide Receptor,""Vasodilation disorder"",""2"",Protein"
"Lipase, Lipoprotein,""Mucocutaneous Lymph Node Syndrome"",""2"",Protein"
"Peroxidase,""Syndrome, Bloch-Sulzberger"",""2"",Protein"
"Immunoglobulins,""Prune Belly Syndrome"",""2"",Protein"
"Endogenous Opiates,""Retinal Diseases"",""2"",Protein"
"Protein Isoforms,""Brain Diseases"",""2"",Protein"
"ETS1 protein, human,""Spinal Cord Diseases"",""2"",Protein"
"Genes,""Congenital chromosomal disease"",""2"",Protein"
"Serine,""Macrophage Activation Syndrome"",""2"",Protein"
"Ceruloplasmin,""Iron Metabolism Disorders"",""2"",Protein"
"AMPH protein, human,""Depressive disorder"",""2"",Protein"
"Succinate Dehydrogenase,""Neurodegenerative Disorders"",""2"",Protein"
"Fucosidase,""Fucosidase Deficiency Disease"",""2"",Protein"
"Calcium Channel,""Parkinson Disease"",""2"",Protein"
"Receptor,""Fetal Alcohol Syndrome"",""2"",Protein"
"Sp1 Transcription Factor,""Bipolar Disorder"",""2"",Protein"
"Protein Isoforms,""Gardner Syndrome"",""2"",Protein"
