"gene","brainregion","count"
"3' Untranslated Regions","Corpus striatum structure","4"
"POMT1 gene","Corpus striatum structure","4"
"Neuropeptide Gene","Corpus striatum structure","4"
"FGF1 Gene","Corpus striatum structure","4"
"FGF1 wt Allele","Corpus striatum structure","4"
"HCRT Gene","Structure of dorsomedial hypothalamic nucleus","4"
"PLOD1 gene","Structure of dorsomedial hypothalamic nucleus","4"
"POMC wt Allele","Structure of dorsomedial hypothalamic nucleus","4"
"ENG wt Allele","Ependyma","4"
"PITX2 wt Allele","Lobe, Frontal","4"
"PNP wt Allele","Lobe, Frontal","4"
"SH3PXD2A wt Allele","Lobe, Frontal","4"
"Retinoic Acid Response Element","Lobe, Frontal","4"
"TARDBP wt Allele","Lobe, Frontal","4"
"GRIN2B Gene","Lobe, Frontal","4"
"Homozygote","Lobe, Frontal","4"
"CD55 wt Allele","Lobe, Frontal","4"
"CR2 wt Allele","Lobe, Frontal","4"
"RELN Gene","Lobe, Frontal","4"
"RASA1 Gene","Lobe, Frontal","4"
"RASA1 wt Allele","Lobe, Frontal","4"
"NES Gene","Lobe, Frontal","4"
"SOD1 gene","Lobe, Frontal","4"
"CTSG wt Allele","Lobe, Frontal","4"
"CNR1 gene","Lobe, Frontal","4"
"APOE gene","Lobe, Frontal","4"
"NOS2 Gene","Lobe, Frontal","4"
"NOS2 wt Allele","Lobe, Frontal","4"
"NOS1 wt Allele","Lobe, Frontal","4"
"HTATIP wt Allele","Globus Pallidus","4"
"Heterozygote","Globus Pallidus","4"
"Chloramphenicol Acetyl Transferase Gene","Globus Pallidus","4"
"CAT Gene","Globus Pallidus","4"
"Chloramphenicol O-Acetyltransferase","Globus Pallidus","4"
"SCG2 Gene","Globus Pallidus","4"
"FASTK Gene","Globus Pallidus","4"
"APP gene","Globus Pallidus","4"
"PITX2 wt Allele","Globus Pallidus","4"
"ENG wt Allele","Globus Pallidus","4"
"Long Interspersed Element","Globus Pallidus","4"
"GYPA Gene","Globus Pallidus","4"
"CA9 Gene","Globus Pallidus","4"
"GYPA wt Allele","Globus Pallidus","4"
"LRP2 wt Allele","Globus Pallidus","4"
"Trinucleotide Repeat Expansion","Gyrus Cinguli","4"
"Wild Type","Gyrus Cinguli","4"
"Trinucleotide Repeats","Gyrus Cinguli","4"
"Long Interspersed Element","Auditory Hair Cell","4"
"Homozygote","Auditory Hair Cell","4"
"GJB2 gene","Auditory Hair Cell","4"
"SH3PXD2A wt Allele","Auditory Hair Cell","4"
"Enhancer of transcription","Auditory Hair Cell","4"
"BDNF Gene","Auditory Hair Cell","4"
"CDH23 Gene","Auditory Hair Cell","4"
"CTCF Gene","Auditory Hair Cell","4"
"ROR1 Gene","Auditory Hair Cell","4"
"RORA wt Allele","Auditory Hair Cell","4"
"TECTA Gene","BRAIN, HIPPOCAMPUS","4"
"CLIC4 wt Allele","BRAIN, HIPPOCAMPUS","4"
"ACE gene","BRAIN, HIPPOCAMPUS","4"
"ZMYM2 Gene","BRAIN, HIPPOCAMPUS","4"
"DTL Gene","BRAIN, HIPPOCAMPUS","4"
"ZMYM2 wt Allele","BRAIN, HIPPOCAMPUS","4"
"DTL wt Allele","BRAIN, HIPPOCAMPUS","4"
"UBE4B wt Allele","BRAIN, HIPPOCAMPUS","4"
"CHPT1 Gene","BRAIN, HIPPOCAMPUS","4"
"CHPT1 wt Allele","BRAIN, HIPPOCAMPUS","4"
"FGF1 Gene","BRAIN, HIPPOCAMPUS","4"
"FGF1 wt Allele","BRAIN, HIPPOCAMPUS","4"
"PDC Gene","BRAIN, HIPPOCAMPUS","4"
"ARG1 Gene","BRAIN, HIPPOCAMPUS","4"
"CANX Gene","BRAIN, HIPPOCAMPUS","4"
"DLG1 Gene","BRAIN, HIPPOCAMPUS","4"
"AMPH Gene","BRAIN, HIPPOCAMPUS","4"
"STIM1 wt Allele","BRAIN, HIPPOCAMPUS","4"
"PPFIBP1 wt Allele","BRAIN, HIPPOCAMPUS","4"
"Cytokine Gene","BRAIN, HIPPOCAMPUS","4"
"HSPB8 Gene","BRAIN, HIPPOCAMPUS","4"
"HSPB8 wt Allele","BRAIN, HIPPOCAMPUS","4"
"PROS1 gene","BRAIN, HIPPOCAMPUS","4"
"CDH11 Gene","BRAIN, HIPPOCAMPUS","4"
"ADAM17 Gene","BRAIN, HIPPOCAMPUS","4"
"ADA Gene","BRAIN, HIPPOCAMPUS","4"
"TRAF2 Gene","BRAIN, HIPPOCAMPUS","4"
"TPT1 wt Allele","BRAIN, HIPPOCAMPUS","4"
"OTOF gene","BRAIN, HIPPOCAMPUS","4"
"Codon","BRAIN, HIPPOCAMPUS","4"
"MAPK7 Gene","BRAIN, HIPPOCAMPUS","4"
"MAPK7 wt Allele","BRAIN, HIPPOCAMPUS","4"
"CCL28 wt Allele","BRAIN, HIPPOCAMPUS","4"
"FOXO3 wt Allele","BRAIN, HIPPOCAMPUS","4"
"SPINK1 wt Allele","BRAIN, HIPPOCAMPUS","4"
"AKR1C2 wt Allele","BRAIN, HIPPOCAMPUS","4"
"ATP2A2 wt Allele","BRAIN, HIPPOCAMPUS","4"
"FST Gene","BRAIN, HIPPOCAMPUS","4"
"HDAC9 wt Allele","BRAIN, HIPPOCAMPUS","4"
"Genes, Viral","BRAIN, HIPPOCAMPUS","4"
"UNC13B Gene","BRAIN, HIPPOCAMPUS","4"
"UNC13B wt Allele","BRAIN, HIPPOCAMPUS","4"
"IKZF2 Gene","BRAIN, HIPPOCAMPUS","4"
"IKZF2 wt Allele","BRAIN, HIPPOCAMPUS","4"
"MIR155 Gene","BRAIN, HIPPOCAMPUS","4"
"DRD2 Gene","BRAIN, HIPPOCAMPUS","4"
"MEF2D Gene","BRAIN, HIPPOCAMPUS","4"
"FASLG wt Allele","BRAIN, HIPPOCAMPUS","4"
"GIT1 Gene","BRAIN, HIPPOCAMPUS","4"
"XBP1 Gene","BRAIN, HIPPOCAMPUS","4"
"GAST Gene","BRAIN, HIPPOCAMPUS","4"
"GAST wt Allele","BRAIN, HIPPOCAMPUS","4"
"PAGR1 wt Allele","BRAIN, HIPPOCAMPUS","4"
"SNCA wt Allele","BRAIN, HIPPOCAMPUS","4"
"Genetic Predisposition to Disease","BRAIN, HIPPOCAMPUS","4"
"TFPI Gene","BRAIN, HIPPOCAMPUS","4"
"CCNB1 Gene","BRAIN, HIPPOCAMPUS","4"
"tat Genes","BRAIN, HIPPOCAMPUS","4"
"NFIX wt Allele","BRAIN, HIPPOCAMPUS","4"
"PTGS2 wt Allele","BRAIN, HIPPOCAMPUS","4"
"SPARC Gene","BRAIN, HIPPOCAMPUS","4"
"RAG1 Gene","BRAIN, HIPPOCAMPUS","4"
"PDE2A Gene","BRAIN, HIPPOCAMPUS","4"
"Untranslated Regions","BRAIN, HIPPOCAMPUS","4"
"FANCA wt Allele","BRAIN, HIPPOCAMPUS","4"
"ARNT Gene","BRAIN, HIPPOCAMPUS","4"
"ERBB2 wt Allele","BRAIN, HIPPOCAMPUS","4"
"GAPDH Gene","BRAIN, HIPPOCAMPUS","4"
"BRD4 wt Allele","BRAIN, HIPPOCAMPUS","4"
"BRD4 Gene","BRAIN, HIPPOCAMPUS","4"
"TSC1 gene","BRAIN, HIPPOCAMPUS","4"
"OLFM4 Gene","BRAIN, HIPPOCAMPUS","4"
"OLFM4 wt Allele","BRAIN, HIPPOCAMPUS","4"
"TTR gene","BRAIN, HIPPOCAMPUS","4"
"ATF5 Gene","BRAIN, HIPPOCAMPUS","4"
"RBM5 Gene","BRAIN, HIPPOCAMPUS","4"
"PAFAH1B1 wt Allele","BRAIN, HIPPOCAMPUS","4"
"TLR3 Gene","BRAIN, HIPPOCAMPUS","4"
"TLR3 wt Allele","BRAIN, HIPPOCAMPUS","4"
"PBX1 wt Allele","BRAIN, HIPPOCAMPUS","4"
"IL8 wt Allele","BRAIN, HIPPOCAMPUS","4"
"KIF5B Gene","BRAIN, HIPPOCAMPUS","4"
"YAP1 Gene","BRAIN, HIPPOCAMPUS","4"
"BBC3 wt Allele","BRAIN, HIPPOCAMPUS","4"
"BGLAP Gene","BRAIN, HIPPOCAMPUS","4"
"G-Protein Coupled Receptor Gene","BRAIN, HIPPOCAMPUS","4"
"LPAR3 wt Allele","BRAIN, HIPPOCAMPUS","4"
"NEUROG1 wt Allele","BRAIN, HIPPOCAMPUS","4"
"PAG1 Gene","BRAIN, HIPPOCAMPUS","4"
"PAG1 wt Allele","BRAIN, HIPPOCAMPUS","4"
"EIF4E wt Allele","BRAIN, HIPPOCAMPUS","4"
"CYP27A1 wt Allele","BRAIN, HIPPOCAMPUS","4"
"Gene Regulatory Networks","BRAIN, HIPPOCAMPUS","4"
"TFAP2A Gene","BRAIN, HIPPOCAMPUS","4"
"FABP4 wt Allele","BRAIN, HIPPOCAMPUS","4"
"QPCT Gene","BRAIN, HIPPOCAMPUS","4"
"QPCT wt Allele","BRAIN, HIPPOCAMPUS","4"
"CPA1 Gene","BRAIN, HIPPOCAMPUS","4"
"CPA1 wt Allele","BRAIN, HIPPOCAMPUS","4"
"Transcription Factor Gene","BRAIN, HIPPOCAMPUS","4"
"TBX4 wt Allele","BRAIN, HIPPOCAMPUS","4"
"MIR34A Gene","BRAIN, HIPPOCAMPUS","4"
"NOTCH3 gene","BRAIN, HIPPOCAMPUS","4"
"GCG Gene","BRAIN, HIPPOCAMPUS","4"
"PBEF1 wt Allele","BRAIN, HIPPOCAMPUS","4"
"IL1RN Gene","BRAIN, HIPPOCAMPUS","4"
"EIF2AK1 Gene","BRAIN, HIPPOCAMPUS","4"
"PRKG2 Gene","BRAIN, HIPPOCAMPUS","4"
"MRC1 wt Allele","BRAIN, HIPPOCAMPUS","4"
"CNTNAP2 wt Allele","BRAIN, HIPPOCAMPUS","4"
"MCTS1 Gene","BRAIN, HIPPOCAMPUS","4"
"NEFL wt Allele","BRAIN, HIPPOCAMPUS","4"
"RARA wt Allele","BRAIN, HIPPOCAMPUS","4"
"RAB40B wt Allele","BRAIN, HIPPOCAMPUS","4"
"Internal Ribosome Entry Site","BRAIN, HIPPOCAMPUS","4"
"MYD88 Gene","BRAIN, HIPPOCAMPUS","4"
"RUNX2 Gene","BRAIN, HIPPOCAMPUS","4"
"FZD9 Gene","BRAIN, HIPPOCAMPUS","4"
"BTG2 Gene","BRAIN, HIPPOCAMPUS","4"
"RBBP8 Gene","BRAIN, HIPPOCAMPUS","4"
"RBBP8 wt Allele","BRAIN, HIPPOCAMPUS","4"
"PDPN Gene","BRAIN, HIPPOCAMPUS","4"
"KITLG wt Allele","BRAIN, HIPPOCAMPUS","4"
"MIR132 Gene","BRAIN, HIPPOCAMPUS","4"
"MEN1 gene","BRAIN, HIPPOCAMPUS","4"
"INDO wt Allele","BRAIN, HIPPOCAMPUS","4"
"SH3BP5 Gene","BRAIN, HIPPOCAMPUS","4"
"SH3BP5 wt Allele","BRAIN, HIPPOCAMPUS","4"
"BCL11B Gene","BRAIN, HIPPOCAMPUS","4"
"BCL11B wt Allele","BRAIN, HIPPOCAMPUS","4"
"ERBB3 Gene","BRAIN, HIPPOCAMPUS","4"
"IL33 Gene","BRAIN, HIPPOCAMPUS","4"
"NFATC4 wt Allele","BRAIN, HIPPOCAMPUS","4"
"PKLR gene","BRAIN, HIPPOCAMPUS","4"
"Genes, Mitochondrial","BRAIN, HIPPOCAMPUS","4"
"Receptor Gene","BRAIN, HIPPOCAMPUS","4"
"MDK Gene","BRAIN, HIPPOCAMPUS","4"
"MDK wt Allele","BRAIN, HIPPOCAMPUS","4"
"ITGAL wt Allele","BRAIN, HIPPOCAMPUS","4"
"NPM1 wt Allele","BRAIN, HIPPOCAMPUS","4"
"AXIN1 wt Allele","BRAIN, HIPPOCAMPUS","4"
"XCL1 wt Allele","BRAIN, HIPPOCAMPUS","4"
"AIM2 Gene","BRAIN, HIPPOCAMPUS","4"
"MIR146A Gene","BRAIN, HIPPOCAMPUS","4"
"PLP1 wt Allele","BRAIN, HIPPOCAMPUS","4"
"GPI Gene","BRAIN, HIPPOCAMPUS","4"
"B2M Gene","BRAIN, HIPPOCAMPUS","4"
"TTK Gene","BRAIN, HIPPOCAMPUS","4"
"IGF2R Gene","BRAIN, HIPPOCAMPUS","4"
"SIRT2 Gene","BRAIN, HIPPOCAMPUS","4"
"TFEB Gene","BRAIN, HIPPOCAMPUS","4"
"PFKFB3 Gene","BRAIN, HIPPOCAMPUS","4"
"HIRA Gene","BRAIN, HIPPOCAMPUS","4"
"CIC Gene","BRAIN, HIPPOCAMPUS","4"
"TRAF7 Gene","BRAIN, HIPPOCAMPUS","4"
"PLOD1 gene","Structure of anterior hypothalamic nucleus","4"
"estrogen receptor alpha, human","Structure of anterior hypothalamic nucleus","4"
"CD55 wt Allele","Hypothalamic Area, Lateral","4"
"CR2 wt Allele","Hypothalamic Area, Lateral","4"
"FGF1 Gene","Hypothalamic Area, Lateral","4"
"FGF1 wt Allele","Hypothalamic Area, Lateral","4"
"TACR3 wt Allele","Hypothalamic Area, Lateral","4"
"PGR Gene","Hypothalamic Area, Lateral","4"
"RANGAP1 wt Allele","Hypothalamic Area, Lateral","4"
"EPO Gene","Hypothalamic Area, Lateral","4"
"EPO wt Allele","Hypothalamic Area, Lateral","4"
"AVP wt Allele","Hypothalamic Area, Lateral","4"
"SH3PXD2A wt Allele","Hypothalamic Area, Lateral","4"
"ELANE Gene","Hypothalamic Area, Lateral","4"
"ELANE wt Allele","Hypothalamic Area, Lateral","4"
"Retinoic Acid Response Element","Hypothalamic structure","4"
"KNG1 Gene","Hypothalamic structure","4"
"POU3F2 wt Allele","Hypothalamic structure","4"
"VIP wt Allele","Hypothalamic structure","4"
"JUN Gene","Hypothalamic structure","4"
"GRP Gene","Hypothalamic structure","4"
"PRRT2 wt Allele","Hypothalamic structure","4"
"NES Gene","Hypothalamic structure","4"
"LacZ Genes","Hypothalamic structure","4"
"GRN Gene","Hypothalamic structure","4"
"Fusion Gene","Hypothalamic structure","4"
"Insulin-Like-Growth Factor I Receptor","Hypothalamic structure","4"
"GLI1 Gene","Hypothalamic structure","4"
"GLI1 wt Allele","Hypothalamic structure","4"
"NGFR Gene","Hypothalamic structure","4"
"Regulatory Sequences, Nucleic Acid","Hypothalamic structure","4"
"NTRK1 Gene","Hypothalamic structure","4"
"TACR3 Gene","Hypothalamic structure","4"
"YY1 wt Allele","Hypothalamic structure","4"
"EPHB2 Gene","Hypothalamic structure","4"
"MAPK1 wt Allele","Hypothalamic structure","4"
"GPHN Gene","Hypothalamic structure","4"
"FTO Gene","Hypothalamic structure","4"
"F2 wt Allele","Hypothalamic structure","4"
"SQSTM1 Gene","Hypothalamic structure","4"
"KHDRBS1 wt Allele","Hypothalamic structure","4"
"NOS2 wt Allele","Hypothalamic structure","4"
"CSPG4 Gene","Hypothalamic structure","4"
"CSPG4 wt Allele","Hypothalamic structure","4"
"SERPINA1 wt Allele","Hypothalamic structure","4"
"SERPINA1 gene","Hypothalamic structure","4"
"APC wt Allele","Hypothalamic structure","4"
"FFAR4 gene","Hypothalamic structure","4"
"CDKN2A wt Allele","Hypothalamic structure","4"
"RPS19 wt Allele","Hypothalamic structure","4"
"NOS1 Gene","Hypothalamic structure","4"
"SCG2 Gene","Hypothalamic structure","4"
"CRHR1 wt Allele","Hypothalamic structure","4"
"IRS4 Gene","Hypothalamic structure","4"
"SSTR2 Gene","Hypothalamic structure","4"
"TAC1 wt Allele","Hypothalamic structure","4"
"Epidermal Growth Factor Receptor","Hypothalamic structure","4"
"ETV6 Gene","Hypothalamic structure","4"
"CD2 Gene","Hypothalamic structure","4"
"CD2 wt Allele","Hypothalamic structure","4"
"Estrogen Receptors","Hypothalamus, Middle","4"
"Philadelphia Chromosome","Posterior Hypothalamic Region","4"
"TH gene","Posterior Hypothalamic Region","4"
"EPHA4 Gene","Inferior Colliculus","4"
"EFNB2 Gene","Inferior Colliculus","4"
"MECP2 gene","Inferior Colliculus","4"
"MECP2 wt Allele","Inferior Colliculus","4"
"NR4A3 Gene","Inferior Colliculus","4"
"NR4A3 wt Allele","Inferior Colliculus","4"
"KNG1 Gene","Inferior Colliculus","4"
"BCHE gene","Inferior Colliculus","4"
"Retinoic Acid Response Element","Inferior Colliculus","4"
"CALCA wt Allele","Inferior Colliculus","4"
"ENG wt Allele","Inferior Colliculus","4"
"TH gene","Insula of Reil","4"
"ACACA wt Allele","Insula of Reil","4"
"FST wt Allele","Insula of Reil","4"
"SST Gene","Insula of Reil","4"
"LEP Gene","Insula of Reil","4"
"FAM49B wt Allele","Structure of locus ceruleus","4"
"FSCN1 Gene","Structure of locus ceruleus","4"
"FSCN1 wt Allele","Structure of locus ceruleus","4"
"HP wt Allele","Structure of locus ceruleus","4"
"AGT Gene","Structure of locus ceruleus","4"
"MECP2 wt Allele","Structure of locus ceruleus","4"
"BMP7 Gene","Structure of locus ceruleus","4"
"GALR2 Gene","Structure of locus ceruleus","4"
"SQSTM1 Gene","Structure of locus ceruleus","4"
"SQSTM1 wt Allele","Structure of locus ceruleus","4"
"KHDRBS1 wt Allele","Structure of locus ceruleus","4"
"FOS Gene","Structure of locus ceruleus","4"
"FOS wt Allele","Structure of locus ceruleus","4"
"Genotype","Structure of locus ceruleus","4"
"AKT1S1 wt Allele","Structure of locus ceruleus","4"
"HRAS gene","Structure of locus ceruleus","4"
"CDKN1A Gene","Structure of locus ceruleus","4"
"CDKN1A wt Allele","Structure of locus ceruleus","4"
"CD2AP Gene","Structure of locus ceruleus","4"
"CD2AP wt Allele","Structure of locus ceruleus","4"
"RANGAP1 wt Allele","Structure of locus ceruleus","4"
"KNG1 Gene","Structure of locus ceruleus","4"
"KNG1 wt Allele","Structure of locus ceruleus","4"
"IL6 Gene","Structure of locus ceruleus","4"
"NDN Gene","Structure of locus ceruleus","4"
"NTF3 Gene","Structure of locus ceruleus","4"
"POMC Gene","Median eminence of hypothalamus","4"
"VIP Gene","Median eminence of hypothalamus","4"
"ESR1 Gene","Median eminence of hypothalamus","4"
"estrogen receptor alpha, human","Median eminence of hypothalamus","4"
"ESR1 wt Allele","Median eminence of hypothalamus","4"
"EREG wt Allele","Median eminence of hypothalamus","4"
"Epidermal Growth Factor Receptor","Median eminence of hypothalamus","4"
"Genes","Median eminence of hypothalamus","4"
"c-fos Genes","Median eminence of hypothalamus","4"
"INS gene","Median eminence of hypothalamus","4"
"AMH Gene","Median eminence of hypothalamus","4"
"FAM49B wt Allele","Medulla Oblongata","4"
"BSG Gene","Medulla Oblongata","4"
"BSG wt Allele","Medulla Oblongata","4"
"PAPOLA wt Allele","Medulla Oblongata","4"
"TUSC2 wt Allele","Medulla Oblongata","4"
"PAPOLA Gene","Medulla Oblongata","4"
"REG3A Gene","Medulla Oblongata","4"
"ACPP wt Allele","Medulla Oblongata","4"
"KNG1 Gene","Medulla Oblongata","4"
"SEMA4D wt Allele","Medulla Oblongata","4"
"MS4A1 Gene","Medulla Oblongata","4"
"MS4A1 wt Allele","Medulla Oblongata","4"
"SPANXB1 wt Allele","Medulla Oblongata","4"
"GYPA wt Allele","Medulla Oblongata","4"
"GNAI1 Gene","Medulla Oblongata","4"
"GNAI1 wt Allele","Medulla Oblongata","4"
"CDKN2A gene","Medulla Oblongata","4"
"CHGA Gene","Medulla Oblongata","4"
"PROC wt Allele","Medulla Oblongata","4"
"CNR1 gene","Medulla Oblongata","4"
"Genes, Homeobox","Medulla Oblongata","4"
"HSPG2 Gene","Medulla Oblongata","4"
"HSPG2 wt Allele","Medulla Oblongata","4"
"PIK3CA wt Allele","Medulla Oblongata","4"
"BLM wt Allele","Medulla Oblongata","4"
"PLOD1 gene","Medulla Oblongata","4"
"GAST Gene","Medulla Oblongata","4"
"PPT1 gene","Midbrain structure","4"
"DKK1 wt Allele","Midbrain structure","4"
"REG3A wt Allele","Midbrain structure","4"
"TRH Gene","Midbrain structure","4"
"NGF Gene","Midbrain structure","4"
"CALCA Gene","Midbrain structure","4"
"CALCA wt Allele","Midbrain structure","4"
"PCYT1A wt Allele","Midbrain structure","4"
"CTLA4 wt Allele","Midbrain structure","4"
"HLA-DQA1 wt Allele","Midbrain structure","4"
"NOD2 wt Allele","Midbrain structure","4"
"NPY Gene","Midbrain structure","4"
"Genes, Immediate-Early","Midbrain structure","4"
"NOS2 Gene","Midbrain structure","4"
"NOS2 wt Allele","Midbrain structure","4"
"TF gene","Midbrain structure","4"
"GNRH2 Gene","Midbrain structure","4"
"SOD1 gene","Midbrain structure","4"
"ROS1 Gene","Midbrain structure","4"
"ROS1 wt Allele","Midbrain structure","4"
"ELK3 Gene","Midbrain structure","4"
"ELK3 wt Allele","Midbrain structure","4"
"SLC18A2 Gene","Midbrain structure","4"
"AGT Gene","Midbrain structure","4"
"HNF1A gene","Midbrain structure","4"
"SQSTM1 wt Allele","Midbrain structure","4"
"BGLAP Gene","Midbrain structure","4"
"SILV wt Allele","Midbrain structure","4"
"SDHB wt Allele","Midbrain structure","4"
"IKBKG wt Allele","Midbrain structure","4"
"RELN Gene","Midbrain structure","4"
"HTR1A wt Allele","Midbrain structure","4"
"AR gene","Midbrain structure","4"
"TP53 gene","Midbrain structure","4"
"TP53 wt Allele","Midbrain structure","4"
"TNFSF13 Gene","Midbrain structure","4"
"ANP32B wt Allele","Midbrain structure","4"
"TNFSF13 wt Allele","Midbrain structure","4"
"Gene Regulatory Networks","Midbrain structure","4"
"GYPA wt Allele","Motor Cortex","4"
"TM4SF1 wt Allele","Motor Cortex","4"
"ELK3 Gene","Motor Cortex","4"
"EPHB1 Gene","Motor Cortex","4"
"ELK3 wt Allele","Motor Cortex","4"
"FST wt Allele","Motor Cortex","4"
"HTT gene","Motor Cortex","4"
"GRIN2A Gene","Motor Cortex","4"
"MRC1 Gene","Motor Cortex","4"
"MAPT wt Allele","Motor Cortex","4"
"CD55 wt Allele","Motor Cortex","4"
"Heterozygote","Motor Cortex","4"
"CXCL10 wt Allele","Motor Cortex","4"
"TH gene","Motor Cortex","4"
"CCL2 wt Allele","Motor Cortex","4"
"CCR2 gene","Motor Cortex","4"
"SDHB wt Allele","Nucleus Accumbens","4"
"IKBKG wt Allele","Nucleus Accumbens","4"
"EPO Gene","Nucleus Accumbens","4"
"EPO wt Allele","Nucleus Accumbens","4"
"TYR gene","Nucleus Accumbens","4"
"PNP Gene","Nucleus Accumbens","4"
"PNP wt Allele","Nucleus Accumbens","4"
"ARPP21 wt Allele","Nucleus Accumbens","4"
"NR3C1 Gene","Nucleus Accumbens","4"
"NTRK2 Gene","Nucleus Accumbens","4"
"Promoter","Nucleus Accumbens","4"
"EHMT1 Gene","Nucleus Accumbens","4"
"Genotype","Nucleus Accumbens","4"
"NPY Gene","Nucleus Accumbens","4"
"Genome","Nucleus Accumbens","4"
"EGR1 Gene","Nucleus Accumbens","4"
"SIRT1 Gene","Nucleus Accumbens","4"
"ADORA2A Gene","Nucleus Accumbens","4"
"ADORA2A wt Allele","Nucleus Accumbens","4"
"GRM5 wt Allele","Nucleus Accumbens","4"
"INS gene","Nucleus Accumbens","4"
"CRH Gene","Nucleus Accumbens","4"
"AR wt Allele","Nucleus Accumbens","4"
"CHGA Gene","Nucleus Accumbens","4"
"PDC Gene","Nucleus Accumbens","4"
"BGLAP Gene","Occipital lobe","4"
"BGLAP wt Allele","Occipital lobe","4"
"Long Interspersed Element","Occipital lobe","4"
"ADAM17 Gene","Occipital lobe","4"
"SILV wt Allele","Structure of olfactory bulb","4"
"Aromatase","Structure of olfactory bulb","4"
"ENG wt Allele","Structure of olfactory bulb","4"
"BDNF Gene","Structure of olfactory bulb","4"
"CALR Gene","Structure of olfactory bulb","4"
"MSTN Gene","Structure of olfactory bulb","4"
"RELN Gene","Structure of olfactory bulb","4"
"SH3PXD2A wt Allele","Structure of olfactory bulb","4"
"TFPI wt Allele","Structure of olfactory bulb","4"
"TFF3 wt Allele","Structure of olfactory bulb","4"
"NF2 gene","Structure of olfactory bulb","4"
"NF2 wt Allele","Structure of olfactory bulb","4"
"CHAT Gene","Structure of olfactory bulb","4"
"HRAS gene","Structure of olfactory bulb","4"
"CDKN1A Gene","Structure of olfactory bulb","4"
"CDKN1A wt Allele","Structure of olfactory bulb","4"
"ARG1 Gene","Structure of olfactory bulb","4"
"MMP9 Gene","Structure of olfactory bulb","4"
"SNCA gene","Structure of olfactory bulb","4"
"S100A8 wt Allele","Structure of olfactory bulb","4"
"MTCP1NB wt Allele","Structure of olfactory bulb","4"
"FASTK Gene","Olfactory Nerve","4"
"SH3PXD2A wt Allele","Olfactory Nerve","4"
"LGALS1 Gene","Olfactory Pathways","4"
"Genes","Organ of Corti structure","4"
"GRP Gene","Structure of paraventricular nucleus","4"
"CEACAM5 Gene","Structure of paraventricular nucleus","4"
"CEACAM5 wt Allele","Structure of paraventricular nucleus","4"
"Genes, Immediate-Early","Structure of paraventricular nucleus","4"
"MC4R gene","Structure of paraventricular nucleus","4"
"CDC42 wt Allele","Structure of paraventricular nucleus","4"
"RNF130 wt Allele","Structure of paraventricular nucleus","4"
"NPY wt Allele","Structure of paraventricular nucleus","4"
"SST Gene","Parietal Lobe","4"
"SET Gene","Parietal Lobe","4"
"Genotype","Parietal Lobe","4"
"AMPH Gene","Parietal Lobe","4"
"PPFIBP1 wt Allele","Parietal Lobe","4"
"PIP Gene","Pineal gland","4"
"SYP Gene","Pineal gland","4"
"YY1 wt Allele","Pineal gland","4"
"BRCA1 wt Allele","Pineal gland","4"
"CHAT Gene","Pineal gland","4"
"GFAP gene","Pineal gland","4"
"NPY Gene","Pineal gland","4"
"MTOR Gene","Pineal gland","4"
"VIP Gene","Pituitary Gland","4"
"NPY wt Allele","Pituitary Gland","4"
"KISS1R Gene","Pituitary Gland","4"
"GCG Gene","Pituitary Gland","4"
"Wild Type","Pituitary Gland","4"
"FSHR Gene","Pituitary Gland","4"
"CD44 wt Allele","Pituitary Gland","4"
"GNRH1 wt Allele","Pituitary Gland, Anterior","4"
"AKT1S1 wt Allele","Pituitary Gland, Anterior","4"
"POMC wt Allele","Pituitary Gland, Anterior","4"
"Wild Type","Pituitary Gland, Posterior","4"
"POMC wt Allele","Pituitary Gland, Posterior","4"
"LITAF gene","Pituitary Gland, Posterior","4"
"OXT wt Allele","Pituitary Gland, Posterior","4"
"F3 Gene","Pituitary Gland, Posterior","4"
"ENG wt Allele","Pontine structure","4"
"CALCA Gene","Pontine structure","4"
"FASTK Gene","Pontine structure","4"
"SILV wt Allele","Pontine structure","4"
"GFAP gene","Pontine structure","4"
"TPO wt Allele","Pontine structure","4"
"RPL5 wt Allele","Pontine structure","4"
"MRC1 Gene","Pontine structure","4"
"NR3C2 Gene","Pontine structure","4"
"NPY wt Allele","Preoptic Areas","4"
"CHAT Gene","Preoptic Areas","4"
"SIX1 wt Allele","Preoptic Areas","4"
"VIP Gene","Preoptic Areas","4"
"TRH Gene","Preoptic Areas","4"
"Insulin-Like-Growth Factor I Receptor","Preoptic Areas","4"
"HSD11B1 wt Allele","Preoptic Areas","4"
"ADIPOQ Gene","Preoptic Areas","4"
"ADIPOQ wt Allele","Preoptic Areas","4"
"SST Gene","Preoptic Areas","4"
"FOS Gene","Preoptic Areas","4"
"FOS wt Allele","Preoptic Areas","4"
"BRS3 Gene","Preoptic Areas","4"
"PBX1 wt Allele","Preoptic Areas","4"
"KRIT1 wt Allele","Purkinje Cells","4"
"CALM1 wt Allele","Purkinje Cells","4"
"CALR Gene","Purkinje Cells","4"
"AKR1A1 wt Allele","Purkinje Cells","4"
"CDK5R1 Gene","Purkinje Cells","4"
"IL12A wt Allele","Purkinje Cells","4"
"CD40LG wt Allele","Purkinje Cells","4"
"TNC Gene","Purkinje Cells","4"
"POLE Gene","Purkinje Cells","4"
"YES1 wt Allele","Purkinje Cells","4"
"LOX Gene","Purkinje Cells","4"
