"gene","disease","count"
"NPY Gene","Hypertensive disease","6"
"NPY Gene","Status Epilepticus","6"
"NPY Gene","Ischemia","6"
"NPY Gene","Malnutrition","6"
"NPY Gene","Injury due to exposure to external cause","6"
"NPY Gene","Anxiety","6"
"NR3C2 Gene","Impaired cognition","6"
"NR3C2 Gene","Cerebral atrophy","6"
"NR3C2 Gene","Neoplasms","6"
"NR3C2 Gene","Aortic Valve Insufficiency","6"
"NR3C2 Gene","Adverse reactions","6"
"NR4A3 Gene","Cessation of life","6"
"NR4A3 Gene","Death (finding)","6"
"NR4A3 Gene","Amyotrophic Lateral Sclerosis","6"
"NR4A3 Gene","Infarction","6"
"NR4A3 Gene","Pathology processes","6"
"NR4A3 Gene","Parkinson Disease","6"
"NR4A3 Gene","Cerebrovascular accident","6"
"NR4A3 Gene","Abnormal degeneration","6"
"NR4A3 Gene","biologic degeneration","6"
"NR4A3 Gene","Functional disorder","6"
"NR4A3 Gene","Methamphetamine","6"
"NR4A3 Gene","Transient Ischemic Attack","6"
"NR4A3 Gene","Transient Cerebral Ischemia","6"
"NR5A1 Gene","Obesity","6"
"NRXN1 Gene","Sarcoma, Synovial","6"
"NRXN1 Gene","Sweet Syndrome","6"
"NUMB Gene","Alzheimer's Disease","6"
"OTOF gene","Deafness","6"
"OXT Gene","Accretion","6"
"OXT Gene","Uterine Diseases","6"
"OXT Gene","Schizophrenia","6"
"OXT Gene","Sepsis","6"
"PARK2 gene","Congenital Abnormality","6"
"PARK2 gene","Intoxication","6"
"PDZK1 Gene","Hypoglycemic Agents","6"
"PLA2G6 Gene","biologic degeneration","6"
"PLP1 gene","Spinal Cord Diseases","6"
"PLP1 gene","Injury due to exposure to external cause","6"
"PHOX2B gene","Malnutrition","6"
"PODXL Gene","Paroxysmal kinesigenic choreoathetosis","6"
"PODXL Gene","Newborn (finding)","6"
"PODXL Gene","Pathology processes","6"
"PODXL Gene","Physical shape","6"
"PODXL Gene","Cerebrovascular accident","6"
"PODXL Gene","Mycosis Fungoides","6"
"PODXL Gene","Hashimoto Disease","6"
"PODXL Gene","Cardiac Arrest","6"
"PODXL Gene","Aortic Valve Insufficiency","6"
"PODXL Gene","Adverse reactions","6"
"POLE Gene","Swimming","6"
"POLE Gene","Abnormal behavior","6"
"POLE Gene","Malnutrition","6"
"POMT1 gene","Fatal Familial Insomnia","6"
"PPARA Gene","Neurotoxicity Syndromes","6"
"PRF1 gene","Amyotrophic Lateral Sclerosis","6"
"OLIG2 Gene","cortex bone disorders","6"
"OLIG2 Gene","Lesion","6"
"OLIG2 Gene","Injury due to exposure to external cause","6"
"OLIG2 Gene","PLP1 gene","6"
"PRL Gene","Malnutrition","6"
"PRL Gene","Methamphetamine","6"
"PRNP gene","Encephalopathies","6"
"PRNP gene","Kuru","6"
"PRNP gene","Spongiosis","6"
"PRNP gene","Signs and Symptoms","6"
"PRNP gene","Hyperactive behavior","6"
"PROC Gene","Paroxysmal kinesigenic choreoathetosis","6"
"PROC Gene","Newborn (finding)","6"
"PROC Gene","Pathology processes","6"
"PROC Gene","Physical shape","6"
"PROC Gene","Cerebrovascular accident","6"
"PROC Gene","Mycosis Fungoides","6"
"PROC Gene","Hashimoto Disease","6"
"PROC Gene","Cardiac Arrest","6"
"PROC Gene","Aortic Valve Insufficiency","6"
"PROC Gene","Adverse reactions","6"
"PROM1 Gene","Glioma","6"
"PSEN1 gene","Lesion","6"
"RALBP1 Gene","Cessation of life","6"
"RALBP1 Gene","Death (finding)","6"
"RASA1 Gene","Fear","6"
"RASA1 Gene","Cessation of life","6"
"RASA1 Gene","Death (finding)","6"
"RASA1 Gene","Metabolic","6"
"RASA1 Gene","Cerebrovascular accident","6"
"RASA1 Gene","Methamphetamine","6"
"RASA1 Gene","Amyotrophic Lateral Sclerosis","6"
"RASA1 Gene","Nerve Degeneration","6"
"RASA1 Gene","Polycythemia Vera","6"
"RELN Gene","Bipolar Disorder","6"
"RELN Gene","Birth","6"
"RELN Gene","Disorder nervous system","6"
"RELN Gene","Coitus","6"
"RELN Gene","Sex Behavior","6"
"RELN Gene","Autistic Disorder","6"
"RELN Gene","Exercise","6"
"RELN Gene","Dyslexia","6"
"REN Gene","Fear","6"
"RPS6KA3 gene","Malnutrition","6"
"S100B Gene","Toxic effect","6"
"S100B Gene","Migraine Disorders","6"
"S100B Gene","Nerve Degeneration","6"
"S100B Gene","Epilepsy","6"
"S100B Gene","Seizures","6"
"S100B Gene","Mood Disorders","6"
"S100B Gene","Fracture","6"
"S100B Gene","Forecast of outcome","6"
"SCN2A Gene","Autism Spectrum Disorders","6"
"SGK1 Gene","Cocaine","6"
"SGPL1 Gene","Basal cell carcinoma","6"
"SH2D1A gene","Hypercapnia","6"
"SH2D1A gene","Cardiac Arrhythmia","6"
"SLC12A2 Gene","Brain Diseases","6"
"SLC12A2 Gene","Anoxia","6"
"SLC1A2 Gene","Pathogenesis","6"
"SLC1A2 Gene","Injury due to exposure to external cause","6"
"SLC1A2 Gene","Traumatic Brain Injury","6"
"SLC1A2 Gene","Sleep Deprivation","6"
"SLC4A3 Gene","Metabolic acidosis","6"
"SLC6A3 Gene","Attention deficit hyperactivity disorder","6"
"SLC6A3 Gene","Hyperactive behavior","6"
"SLC6A3 Gene","Shy-Drager Syndrome","6"
"SLC6A3 Gene","Pathology processes","6"
"SLC6A4 gene","Methamphetamine","6"
"SLC6A4 gene","Lesion","6"
"SLC6A4 gene","Injury due to exposure to external cause","6"
"SMN1 gene","Lateral Sclerosis","6"
"SMN2 gene","Oxidative Stress","6"
"SNCA gene","Disease Progression","6"
"SNCA gene","Bronchioloalveolar adenocarcinoma","6"
"SNRPN gene","Spinal Cord Diseases","6"
"SOD1 gene","Obstetric Delivery","6"
"SOD1 gene","Anoxia","6"
"SOD1 gene","Hypoxia","6"
"SOD1 gene","Physical shape","6"
"SOD1 gene","Functional disorder","6"
"SOD1 gene","Paralysed","6"
"SQSTM1 Gene","Disease Progression","6"
"SQSTM1 Gene","Abnormal degeneration","6"
"SQSTM1 Gene","biologic degeneration","6"
"SRF Gene","AIDS related complex","6"
"ST2 Gene","Inflammation","6"
"STK4 Gene","Oxidative Stress","6"
"CDKL5 gene","Developmental delay (disorder)","6"
"CDKL5 gene","Epilepsy","6"
"SYP Gene","Cerebrovascular accident","6"
"SYP Gene","Spinal Cord Diseases","6"
"SYP Gene","Anoxia","6"
"SYP Gene","Death (finding)","6"
"SYP Gene","Impaired cognition","6"
"SYP Gene","Infarction","6"
"TACR3 Gene","Reproduction","6"
"TAF15 Gene","Feline urological syndrome","6"
"TARDBP Gene","Functional disorder","6"
"TBR1 Gene","Pervasive Development Disorder","6"
"TECTA Gene","DISORDERS OF THE OPTIC NERVE","6"
"TFPI Gene","Epilepsy","6"
"TH gene","Seizures","6"
"TH gene","Aortic Valve Insufficiency","6"
"TH gene","Adverse reactions","6"
"TH gene","Disorder of pineal gland","6"
"TH gene","Swimming","6"
"TH gene","Pathogenesis","6"
"TH gene","DEPRESSION MENTAL","6"
"TH gene","Depressive disorder","6"
"TH gene","Cancer patients and suicide and depression","6"
"TH gene","Choroid Plexus Papilloma","6"
"TH gene","Addictive Behavior","6"
"TH gene","Birth","6"
"TH gene","Cerebral Palsy","6"
"TH gene","Therapeutic radiology procedure","6"
"TH gene","Disease Progression","6"
"TH gene","Sudden infant death syndrome","6"
"TH gene","Myxoid cyst","6"
"TRH Gene","Common Cold","6"
"TTN Gene","Transitory tachypnea of newborn","6"
"TTR gene","Alzheimer's Disease","6"
"UCP1 Gene","Cold exposure","6"
"UCP1 Gene","Body Weight","6"
"UMOD gene","Kidney Failure, Chronic","6"
"VIM gene","Spinal Cord Diseases","6"
"VIM gene","Injury due to exposure to external cause","6"
"XBP1 Gene","Malnutrition","6"
"XDH Gene","Oxidative Stress","6"
"AICDA Gene","cortex bone disorders","6"
"BCL11B Gene","cortex bone disorders","6"
"VPS35 Gene","Parkinson Disease","6"
"BRD4 Gene","Methamphetamine","6"
"CNTNAP2 Gene","Pain","6"
"FOXP2 Gene","Neurodevelopmental disorder","6"
"CSMD1 Gene","Schizophrenia","6"
"SHANK3 Gene","Brain Diseases","6"
"PINK1 gene","Congenital Abnormality","6"
"PINK1 gene","Lesion","6"
"PINK1 gene","Alzheimer's Disease","6"
"PINK1 gene","Metabolic","6"
"SIRT1 Gene","Malnutrition","6"
"SIRT1 Gene","Neurotoxicity Syndromes","6"
"SIRT1 Gene","Machado-Joseph Disease","6"
"SIRT1 Gene","Anxiety","6"
"SIRT3 Gene","Abnormal degeneration","6"
"SIRT3 Gene","biologic degeneration","6"
"SIRT3 Gene","Alzheimer's Disease","6"
"SIRT6 Gene","Obesity","6"
"PAPOLA Gene","Spinal Cord Diseases","6"
"IL23A Gene","Malignant Epithelial Cell","6"
"IL23A Gene","Toxic effect","6"
"RB1CC1 Gene","Adenomatous Polyposis Coli","6"
"HAMP Gene","Neurotoxicity Syndromes","6"
"HAMP Gene","cortex bone disorders","6"
"YAP1 Gene","Necrosis","6"
"NLRP3 Gene","Dentatorubral-Pallidoluysian Atrophy","6"
"NLRP3 Gene","Anxiety","6"
"NLRP3 Gene","Cessation of life","6"
"LITAF gene","Hypoxia","6"
"LITAF gene","Lobular Neoplasia","6"
"TXNIP Gene","Inflammation","6"
"POSTN Gene","Injury due to exposure to external cause","6"
"POSTN Gene","Hypersensitivity","6"
"POSTN Gene","Alzheimer's Disease","6"
"CARD8 Gene","Parkinsonian Disorders","6"
"CARD8 Gene","Neurodegenerative Disorders","6"
"CARD8 Gene","Schizophrenia","6"
"SARM1 Gene","Atrophic","6"
"TAF8 Gene","Traumatic Brain Injury","6"
"TRPM7 Gene","Toxic effect","6"
"ARX gene","Multiple Sclerosis","6"
"PADI4 Gene","Lesion","6"
"PADI4 Gene","cortex bone disorders","6"
"PADI4 Gene","Withdrawal","6"
"PADI4 Gene","Spinal Cord Diseases","6"
"LRRK2 gene","Colitis","6"
"CCDC6 Gene","Infection","6"
"QKI Gene","Malnutrition","6"
"MYCBP2 Gene","Van der Woude syndrome","6"
"C9orf72 Gene","Spinal Cord Diseases","6"
"C9orf72 Gene","Parkinson Disease","6"
"C9orf72 Gene","Parkinsonian Disorders","6"
"KDM6B Gene","Spinal Cord Injuries","6"
"GLS2 Gene","Experimental Autoimmune Encephalomyelitis","6"
"CX3CR1 Gene","Pain","6"
"CX3CR1 Gene","cortex bone disorders","6"
"CX3CR1 Gene","Subarachnoid Hemorrhage","6"
"CP Gene","Hypersensitivity","6"
"CP Gene","DEPRESSION MENTAL","6"
"CP Gene","Depressive disorder","6"
"CP Gene","Cancer patients and suicide and depression","6"
"TF gene","Hypersensitivity","6"
"TF gene","Lesion","6"
"TF gene","Alzheimer's Disease","6"
"MAPT gene","Disorder nervous system","6"
"MAPT gene","Lewy Body Disease","6"
"CACNA1A gene","Disorder nervous system","6"
"Tumor Necrosis Factor-alpha","Liver diseases","6"
"Tumor Necrosis Factor-alpha","Traumatic","6"
"Tumor Necrosis Factor-alpha","Exercise","6"
"Tumor Necrosis Factor-alpha","Disease Progression","6"
"Tumor Necrosis Factor-alpha","Chemosensitization/Potentiation","6"
"Tumor Necrosis Factor-alpha","B-Cell Lymphomas","6"
"Tumor Necrosis Factor-alpha","Autoimmune Diseases","6"
"Tumor Necrosis Factor-alpha","Senile Plaques","6"
"Tumor Necrosis Factor-alpha","Obstetric Delivery","6"
"Tumor Necrosis Factor-alpha","Lung","6"
"Tumor Necrosis Factor-alpha","Endotoxemia","6"
"Retinoic Acid Response Element","Retinal Diseases","6"
"Retinoic Acid Response Element","Dental Plaque","6"
"Retinoic Acid Response Element","Glioma","6"
"Retinoic Acid Response Element","Muscle Spasticity","6"
"Retinoic Acid Response Element","Hypersensitivity","6"
"Retinoic Acid Response Element","Hypothalamic hamartomas","6"
"Retinoic Acid Response Element","Death (finding)","6"
"Retinoic Acid Response Element","Abnormal behavior","6"
"Retinoic Acid Response Element","Medulloblastoma","6"
"Retinoic Acid Response Element","Migraine Disorders","6"
"Retinoic Acid Response Element","Ataxia, Spinocerebellar","6"
"Retinoic Acid Response Element","Lateral Sclerosis","6"
"Retinoic Acid Response Element","Blind Vision","6"
"Retinoic Acid Response Element","Eosinophilia","6"
"Retinoic Acid Response Element","Eosinophilic disorder","6"
"Long Interspersed Element","Pheochromocytoma","6"
"Long Interspersed Element","Carcinoma in Situ","6"
"Long Interspersed Element","Paralysed","6"
"Long Interspersed Element","Cerebellar Ataxia","6"
"Long Interspersed Element","Nervousness","6"
"Long Interspersed Element","Syndrome","6"
"Long Interspersed Element","Retinoblastoma","6"
"Long Interspersed Element","Malignant Epithelial Cell","6"
"Long Interspersed Element","Multiple Sclerosis","6"
"Long Interspersed Element","Perseveration","6"
"Long Interspersed Element","Polyarteritis Nodosa","6"
"Long Interspersed Element","Diabetes Mellitus, Non-Insulin-Dependent","6"
"Long Interspersed Element","Niemann-Pick Disease, Type C","6"
"Long Interspersed Element","Exercise","6"
"Long Interspersed Element","Van der Woude syndrome","6"
"Long Interspersed Element","Chronic pain","6"
"Long Interspersed Element","Major Depressive Disorder","6"
"Long Interspersed Element","Pervasive Development Disorder","6"
"Long Interspersed Element","Diabetes","6"
"Long Interspersed Element","Hearing impairment","6"
"Long Interspersed Element","Birth","6"
"Long Interspersed Element","Shy-Drager Syndrome","6"
"estrogen receptor alpha, human","Pituitary Diseases","6"
"estrogen receptor alpha, human","Cerebrovascular accident","6"
"estrogen receptor alpha, human","Malnutrition","6"
"estrogen receptor alpha, human","Cell Death","6"
"estrogen receptor alpha, human","Impaired cognition","6"
"estrogen receptor alpha, human","cortex bone disorders","6"
"estrogen receptor alpha, human","Obesity","6"
"estrogen receptor alpha, human","Lesion","6"
"estrogen receptor alpha, human","Spinal Cord Injuries","6"
"KNG1 Gene","Pallister-Hall syndrome","6"
"MIR22 Gene","Traumatic Brain Injury","6"
"NDOR1 Gene","Malnutrition","6"
"NDOR1 Gene","Epilepsy","6"
"CLCF1 Gene","Fear","6"
"PAG1 Gene","Rubinstein-Taybi Syndrome","6"
"PARP1 Gene","Cell Death","6"
"PARP1 Gene","Methamphetamine","6"
"PLOD1 gene","Skin endocrine disorder","6"
"PLOD1 gene","Body Weight","6"
"PLOD1 gene","Hypercapnia","6"
"PRKD1 Gene","Oxidative Stress","6"
"REG3A Gene","Spinal Cord Diseases","6"
"DST Gene","Memory impairment","6"
"DST Gene","Forgetful","6"
"DST Gene","Dystonia","6"
"DST Gene","Dystonia Disorders","6"
"DST Gene","At risk for violence","6"
"DST Gene","At risk of injury","6"
"DST Gene","At risk for deficient fluid volume","6"
"DST Gene","Abnormal degeneration","6"
"EHMT1 Gene","Intellectual Disability","6"
"EHMT1 Gene","Diabetes Mellitus, Non-Insulin-Dependent","6"
"FASLG Gene","Inflammation","6"
"TUBB3 Gene","Congenital Fibrosis of the Extraocular Muscles","6"
"ADIPOQ Gene","Ischemia","6"
"ADIPOQ Gene","DEPRESSION MENTAL","6"
"ADIPOQ Gene","Depressive disorder","6"
"ADIPOQ Gene","Cancer patients and suicide and depression","6"
"CD200 Gene","Experimental Autoimmune Encephalomyelitis","6"
"CD200 Gene","Ischemia","6"
"ADRB2 wt Allele","Methamphetamine","6"
"ADRB2 wt Allele","Malnutrition","6"
"GLS2 wt Allele","Experimental Autoimmune Encephalomyelitis","6"
"GC wt Allele","Toxic effect","6"
"DLC1 wt Allele","Diabetes Insipidus","6"
"DLC1 wt Allele","Pathology processes","6"
"GCLC wt Allele","Traumatic Brain Injury","6"
"GCLC wt Allele","Birth","6"
"RELA wt Allele","Brain Ischemia","6"
"S100A12 wt Allele","Varicosity","6"
"DPYD wt Allele","Hypersensitivity","6"
"FGFR1 wt Allele","Glucocorticoid-remediable aldosteronism","6"
"FGFR1 wt Allele","Pheochromocytoma","6"
"FGFR1 wt Allele","Infarction","6"
"FGFR1 wt Allele","Ethanol","6"
"POMC wt Allele","Cocaine","6"
"IL12A wt Allele","Cell Death","6"
"IL12A wt Allele","Injury due to exposure to external cause","6"
"MET wt Allele","Pervasive Development Disorder","6"
"ENG wt Allele","MUTYH-Associated Polyposis","6"
"ENG wt Allele","Functional disorder","6"
"ENG wt Allele","Gliosis","6"
"ENG wt Allele","Walking","6"
"ENG wt Allele","Abnormal behavior","6"
"ENG wt Allele","Inflammation","6"
"ENG wt Allele","Dementia","6"
"ENG wt Allele","Diabetes Mellitus","6"
"ENG wt Allele","Hypertrophy","6"
"ENG wt Allele","Spinal Cord Injuries","6"
"ENG wt Allele","Sex Behavior","6"
"ENG wt Allele","Neurotoxicity Syndromes","6"
"ENG wt Allele","Spinal Muscular Atrophy","6"
"ENG wt Allele","Extravasation","6"
"ENG wt Allele","Cocaine","6"
"FOLR1 wt Allele","Anoxia","6"
"S100A9 wt Allele","Pregnancy","6"
"S100A9 wt Allele","Seizures","6"
"S100A9 wt Allele","Coitus","6"
"S100A9 wt Allele","Sex Behavior","6"
"S100A9 wt Allele","Birth","6"
"TPO wt Allele","biologic degeneration","6"
"TPO wt Allele","Neurodegenerative Disorders","6"
"MSMB wt Allele","Pick Disease of the Brain","6"
"MSMB wt Allele","Frontotemporal Lobar Degeneration","6"
"KIT wt Allele","Cell Death","6"
"AREG wt Allele","Alzheimer's Disease","6"
"AREG wt Allele","Hypersensitivity","6"
"AREG wt Allele","Hypothermia, natural","6"
"AREG wt Allele","Hypothermia due to exposure","6"
"NOTCH1 wt Allele","Cerebrovascular accident","6"
"ABCB6 wt Allele","Hypersensitivity","6"
"ABCB6 wt Allele","Malnutrition","6"
"ABCB6 wt Allele","Lesion","6"
"ABCB6 wt Allele","Traumatic Brain Injury","6"
"SOD1 wt Allele","Atrophic","6"
"SOD1 wt Allele","Ischemia","6"
"SOD1 wt Allele","Neurofibrillary degeneration (morphologic abnormality)","6"
"SOD1 wt Allele","Cerebral Infarction","6"
"SOD1 wt Allele","Impaired health","6"
"SOD1 wt Allele","Cerebrovascular accident","6"
"SOD1 wt Allele","Paralysed","6"
"SOD1 wt Allele","Neurotoxicity Syndromes","6"
"SOD1 wt Allele","Signs and Symptoms","6"
"CXCL12 wt Allele","Niemann-Pick Disease, Type C","6"
"CXCL12 wt Allele","Traumatic Brain Injury","6"
"TCF7L2 wt Allele","Schizophrenia","6"
"CLIC4 wt Allele","Methamphetamine","6"
"CHRM1 wt Allele","Pain","6"
"CHRM1 wt Allele","Ache","6"
"CREB1 wt Allele","Ethanol","6"
"CREB1 wt Allele","Multiple Sclerosis","6"
"CRH wt Allele","Fear","6"
"CRH wt Allele","Van der Woude syndrome","6"
"CD19 wt Allele","Lesion","6"
"CD2 wt Allele","Spinal Cord Diseases","6"
"CD36 wt Allele","Malnutrition","6"
"CD36 wt Allele","cortex bone disorders","6"
"CD36 wt Allele","Exercise","6"
"CD36 wt Allele","Impaired glucose tolerance","6"
"CD36 wt Allele","Lesion","6"
"RPSA wt Allele","Injury due to exposure to external cause","6"
"AR wt Allele","Physical shape","6"
"AR wt Allele","Functional disorder","6"
"AR wt Allele","Ataxia Telangiectasia","6"
"AR wt Allele","Hypothermia, natural","6"
"AR wt Allele","Hypothermia due to exposure","6"
"HOXA10 wt Allele","Cessation of life","6"
"HOXA10 wt Allele","Death (finding)","6"
"HOXA10 wt Allele","Shock","6"
"HOXA10 wt Allele","Skin tag","6"
"CDKN2A wt Allele","Ischemia","6"
"CDKN2A wt Allele","Test Result","6"
"CDKN2A wt Allele","Malignant Epithelial Cell","6"
"CDKN2A wt Allele","Toxic effect","6"
"CDKN2A wt Allele","Anemias, Refractory","6"
"CDKN2A wt Allele","Rheumatoid Arthritis","6"
"CDKN2A wt Allele","Sex Behavior","6"
"SILV wt Allele","Multiple Sclerosis","6"
"F9 wt Allele","Malignant Epithelial Cell","6"
"F9 wt Allele","Toxic effect","6"
"NBL1 wt Allele","cortex bone disorders","6"
"DHPS wt Allele","Pathology processes","6"
"LY6E wt Allele","Ataxia, Spinocerebellar","6"
"GLI2 wt Allele","Kidney Failure, Chronic","6"
"E2F1 wt Allele","Retinoblastoma","6"
"ELK3 wt Allele","Test Result","6"
"ELK3 wt Allele","Saccades","6"
"ELK3 wt Allele","Seizures","6"
"HTATIP wt Allele","Injury due to exposure to external cause","6"
"NOS1 wt Allele","Inflammation","6"
"NOS1 wt Allele","Cerebral Ischemia","6"
"NOS1 wt Allele","Pain","6"
"NOS1 wt Allele","Anxiety","6"
"NPY wt Allele","Sex Behavior","6"
"NPY wt Allele","Reproduction","6"
"NPY wt Allele","Body Weight","6"
"NPY wt Allele","Obesity","6"
"CDKN1A wt Allele","Physical shape","6"
"CDKN1A wt Allele","Hypoxia","6"
"CDKN1A wt Allele","Oxidative Stress","6"
"CDKN1A wt Allele","Exercise","6"
"CDKN1A wt Allele","cortex bone disorders","6"
"CDKN1A wt Allele","Malnutrition","6"
"MAPK3 wt Allele","Traumatic injury","6"
"MAPK3 wt Allele","Cerebrovascular accident","6"
"TP53 wt Allele","Impaired cognition","6"
"TP53 wt Allele","Impaired health","6"
"ACPP wt Allele","Spinal Cord Diseases","6"
"PAPOLA wt Allele","Spinal Cord Diseases","6"
"TUSC2 wt Allele","Spinal Cord Diseases","6"
"APP wt Allele","cortex bone disorders","6"
"APP wt Allele","Impaired health","6"
"ATP8A2 wt Allele","Peripheral Arterial Diseases","6"
"ATP8A2 wt Allele","Huntington Disease","6"
"ATP8A2 wt Allele","Neuralgia","6"
"ATP8A2 wt Allele","Neuropathic pain","6"
"ATP8A2 wt Allele","Edema","6"
"ATP8A2 wt Allele","Hypercapnia","6"
"ATP8A2 wt Allele","Tissue damage","6"
"ATP8A2 wt Allele","Glucocorticoid-remediable aldosteronism","6"
"HPR wt Allele","Diabetes Insipidus","6"
"HPR wt Allele","Pathology processes","6"
"HPSE wt Allele","Anxiety","6"
"HPSE wt Allele","Hyperactive behavior","6"
"MAP3K14 wt Allele","Impaired cognition","6"
"TLR4 wt Allele","Nerve Degeneration","6"
"TLR4 wt Allele","Infertility","6"
"TLR4 wt Allele","Malnutrition","6"
"TLR4 wt Allele","Spinal Cord Diseases","6"
"TLR4 wt Allele","Pathogenesis","6"
"TLR4 wt Allele","Hypersensitivity","6"
"TLR4 wt Allele","cortex bone disorders","6"
"OXT wt Allele","Pituitary Diseases","6"
"OXT wt Allele","Lesion","6"
"SLC25A4 wt Allele","Hypersensitivity","6"
"F3 wt Allele","Lesion","6"
"TFRC wt Allele","cortex bone disorders","6"
"WAS wt Allele","Impaired cognition","6"
"SNRPF wt Allele","Injury due to exposure to external cause","6"
"MAPK8 wt Allele","Functional disorder","6"
"MAPK8 wt Allele","Pathology processes","6"
"MAPK8 wt Allele","Van der Woude syndrome","6"
"MAPK8 wt Allele","Physical shape","6"
"MAPK14 wt Allele","Paroxysmal kinesigenic choreoathetosis","6"
"MAPK14 wt Allele","cortex bone disorders","6"
"MAPK14 wt Allele","Hypoxia","6"
"MAPK14 wt Allele","Cerebral Infarction","6"
"MAPK14 wt Allele","Cerebral Hemorrhage","6"
"SCTR wt Allele","Ischemia","6"
"SCTR wt Allele","Cerebrovascular accident","6"
"CDT1 wt Allele","Unknown (origin) (qualifier value)","6"
"TYMS wt Allele","Neoplasms","6"
"TYMS wt Allele","Infantile spasms","6"
"CSF3 wt Allele","Infarction","6"
"APC wt Allele","Hypersensitivity","6"
"CREBBP wt Allele","Saccades","6"
"CSPG4 wt Allele","Melanoma","6"
"CALCA wt Allele","Hemorrhage","6"
"CALCA wt Allele","Atrophic","6"
"CALCA wt Allele","Schizophrenia","6"
"MAPK1 wt Allele","Hypoxia","6"
"MAPK1 wt Allele","Spinal Cord Diseases","6"
"MAPK1 wt Allele","Syndrome, Bloch-Sulzberger","6"
"MAPK1 wt Allele","Autistic Disorder","6"
"MAPK1 wt Allele","Pathogenesis","6"
"MAPK1 wt Allele","AIDS related complex","6"
"RANGAP1 wt Allele","Infarction","6"
"RANGAP1 wt Allele","Obesity","6"
"RANGAP1 wt Allele","Atrophic","6"
"RANGAP1 wt Allele","Impaired health","6"
"RANGAP1 wt Allele","Dementia","6"
"RANGAP1 wt Allele","Multiple Sclerosis","6"
"RANGAP1 wt Allele","Hypothermia, natural","6"
"RANGAP1 wt Allele","Hypothermia due to exposure","6"
"RANGAP1 wt Allele","Therapeutic radiology procedure","6"
"G22P1 wt Allele","Cerebral Infarction","6"
"G22P1 wt Allele","Cerebral Ischemia","6"
"KNG1 wt Allele","Injury due to exposure to external cause","6"
"KNG1 wt Allele","Pallister-Hall syndrome","6"
"NFIA wt Allele","Spinal Cord Diseases","6"
"CTLA4 wt Allele","Hypersensitivity","6"
"PAG1 wt Allele","Rubinstein-Taybi Syndrome","6"
"KRAS wt Allele","Physical shape","6"
"TM4SF1 wt Allele","Hypersensitivity","6"
"TNFRSF1A wt Allele","Ischemia","6"
"TNFRSF1A wt Allele","Inflammation","6"
"TNFRSF1B wt Allele","Spinal Cord Diseases","6"
"TNFRSF1B wt Allele","neuropathology disease","6"
"TNFRSF1B wt Allele","Bone pain","6"
"CD40LG wt Allele","Multiple Sclerosis","6"
"AVP wt Allele","Atypical Ductal Breast Hyperplasia","6"
"AVP wt Allele","Birth","6"
"EGFR wt Allele","Schizophrenia","6"
"PNP wt Allele","Senile Plaques","6"
"PNP wt Allele","Anxiety","6"
"PNP wt Allele","Physical shape","6"
"PNP wt Allele","Hypersensitivity","6"
"PNP wt Allele","Nerve Degeneration","6"
"PLAT wt Allele","Paroxysmal kinesigenic choreoathetosis","6"
"RPS19 wt Allele","Ethanol","6"
"RECQL4 wt Allele","Saccades","6"
"CCDC6 wt Allele","Infection","6"
"LEPR wt Allele","Lesion","6"
"ESR1 wt Allele","Cell Death","6"
"ESR1 wt Allele","Aortic Valve Insufficiency","6"
"ESR1 wt Allele","Adverse reactions","6"
"ESR1 wt Allele","Epilepsy","6"
"ESR1 wt Allele","cortex bone disorders","6"
"ESR1 wt Allele","Lesion","6"
"TSC1 wt Allele","Neoplasms","6"
"NDOR1 wt Allele","Malnutrition","6"
"NDOR1 wt Allele","Epilepsy","6"
"SH2D3C wt Allele","Malnutrition","6"
"SH2D3C wt Allele","Varicosity","6"
"SH2D3C wt Allele","Pathology processes","6"
"SH2D3C wt Allele","Exercise","6"
"EREG wt Allele","Cell Death","6"
"EREG wt Allele","Aortic Valve Insufficiency","6"
"EREG wt Allele","Adverse reactions","6"
"EREG wt Allele","Impaired cognition","6"
"EREG wt Allele","Ischemia","6"
"EREG wt Allele","cortex bone disorders","6"
"EREG wt Allele","Coitus","6"
"GNRH1 wt Allele","Lesion","6"
"GNRH1 wt Allele","Signs and Symptoms","6"
"FOS wt Allele","Injury due to exposure to external cause","6"
"MME wt Allele","Anoxia","6"
"CD8B wt Allele","Inflammation","6"
"CD8B wt Allele","Demyelination","6"
"ITGAM wt Allele","Cell Death","6"
"MAS1 wt Allele","Opitz-Frias syndrome","6"
"GYPA wt Allele","Malnutrition","6"
"GYPA wt Allele","Functional disorder","6"
"GYPA wt Allele","Spinal Muscular Atrophy","6"
"NTF3 wt Allele","Obstetric Delivery","6"
"GRM1 wt Allele","Cerebral Palsy","6"
"GRM5 wt Allele","Parkinson Disease","6"
"GRM5 wt Allele","Alzheimer's Disease","6"
"GRM5 wt Allele","Anxiety","6"
"GRM5 wt Allele","Pityriasis Rubra Pilaris","6"
"GRM5 wt Allele","Hyperactive behavior","6"
"PTN wt Allele","Menkes Kinky Hair Syndrome","6"
"APRT wt Allele","Hypoxia","6"
"BCL9 wt Allele","Langer-Giedion Syndrome","6"
"BCL9 wt Allele","Lennox-Gastaut syndrome","6"
"CTBP1 wt Allele","cortex bone disorders","6"
"CTBP1 wt Allele","Methamphetamine","6"
"CTSL1 wt Allele","Pain","6"
"FAT wt Allele","Malnutrition","6"
