brainregion,disease,text,pubdate
Parietal Lobe,cortex bone disorders,A major loss of NPY-immunoreactive (ir) neurons in the aged rat brain was observed in the retrosplenial cortex frontal cortex area 1 and 2 parietal cortex area 1 and 2 occipital cortex area 1 and 2 temporal cortex area 3 cingulate cortex and the hippocampus proper.,1996 Aug 16
Thalamic structure,Parkinson Disease,On the basis of these hypothetical models hypokinetic disorders such as Parkinson's disease are thought to be associated with excessive tonic and phasic inhibition of the output from the basal ganglia to the thalamus.,1996 Nov 25
association cortex,Alzheimer's Disease,The data reported here also emphasize that the (NFT-dependent) reduction in GAP-43 mRNA levels previously reported in frontal association cortex in Alzheimer's disease [9] appears to be region specific and not a general brain phenomenon.,1996 Feb
Cerebral cortex,Syndrome Bloch-Sulzberger,6,7-Dinitro-quinoxaline-2,3-dione (DNQX) (100 mg/kg IP) a kainate/AMPA receptor antagonist did not reduce the ability of methamphetamine to induce zif/268 mRNA in striatal and cortical neurons.,1996
sensory cortex,Syndrome Bloch-Sulzberger,Pretreatment with (+ or -)-3-(2-carboxypiperazin-4-yl)-propyl-1 -phosphonic acid (CPP) (10 mg/kg IP) an N-methyl-D-aspartate receptor antagonist blocked the methamphetamine-induced zif/268 mRNA expression in the striatum and in the region of sensory cortex representing the upper limb and nose.,1996
Medulla Oblongata,Spinal Cord Diseases,When Fluoro-Ruby was injected into the red nucleus and midbrain tegmentum the medial pontine or medullary reticular formation the medullary raphe or the lateral vestibular nucleus axons were labeled in the expected areas of the spinal cord but in most cases none showed evidence for GAP-43.,1996
Structure of reticular formation of medulla oblongata,Spinal Cord Diseases,When Fluoro-Ruby was injected into the red nucleus and midbrain tegmentum the medial pontine or medullary reticular formation the medullary raphe or the lateral vestibular nucleus axons were labeled in the expected areas of the spinal cord but in most cases none showed evidence for GAP-43.,1996
Lateral geniculate complex,cortex bone disorders,Mathematical models of the distribution of ganglion cells in the retina clipped three-dimensional computer reconstructions of the striate cortex and lateral geniculate nucleus and counts of neurons in the latter were used to calculate the proportion of neurons allocated to the marked perifoveal region at each stage of projection.,1996 Jun
Corpus striatum structure,Parkinson Disease,The behavioral cellular and neurochemical effects of the nerve terminal lesion thus bear some resemblance to the early stages of Parkinson's disease where the severity of motor impairment is correlated with the loss of dopamine in the striatum and dopaminergic neuronal loss in the substantia nigra.,1996 Jun
Purkinje Cells,Retinal Diseases,NeuN immunoreactivity was not detected in Purkinje cells most neurons of the internal nuclear layer of the retina and in sympathetic chain ganglia.,1996 Oct
Structure of central sulcus,Hamartoma Syndrome Multiple,Injection of picrotoxin to the IO disrupted this rostrocaudal organization and led to synchronous CS activity among PCs throughout crus 2a.,1996 Jul
Motor Cortex,cortex bone disorders,The negative motor effect is probably produced by activation of agranular cortex immediately in front of the primary and supplementary face motor area.,1995
CA1 field,Depressive disorder,This large increase in cAMP levels results in release of cAMP or a cAMP metabolite and depression of synaptic transmission at the Schaffer collateral-CA1 pyramidal cell synapse through activation of A1 adenosine receptors.,1996 Aug 1
Genus Hippocampus,Li-Fraumeni Syndrome,The possible use of LFS applied to the hippocampus as a clinical intervention to suppress epileptiform activity is discussed.,1996 Aug 15
Midbrain structure,cortex bone disorders,PGHS-1 immunoreactivity was localized to specific regions of the fetal brain including the cortex hypothalamus hippocampal formation superior colliculus of the midbrain parabrachial nucleus of the pons and the reticular formation raphe nucleus of the solitary tract and gracile and cuneate nuclei of the medulla.,1996 Aug 20
Thalamic structure,Pituitary Diseases,FMRFamide neurons were found in the proximal terminal nerve mediobasal olfactory bulb caudal dorsolateral pallium diagonal band of Broca anterior preoptic area suprachiasmatic area thalamus infundibulum and developing pituitary.,1996 Sep 2
Cerebral cortex,cortex bone disorders,Numerous labeled fibers were detected in the contralateral striatum of thermocoagulatory-lesioned but not aspiration-lesioned or control animals suggesting that contralateral cortical neurons may undergo axonal sprouting in the denervated striatum following a thermocoagulatory lesion of the cortex.,1996 Sep 30
BRAIN HIPPOCAMPUS,Alzheimer's Disease,This study demonstrates the importance of the entorhinal cortex in the hippocampal cholinergic function which appears to be important to memory and learning and raises the possibility that memory deficit in Alzheimer's disease may be associated with partial neuronal loss in the entorhinal cortex.,1996 Oct
Structure of piriform area,Retinal Diseases,Strong expression was found in the olfactory bulb retina lens piriform cortex amygdalostriatal area pons cerebellar anlage motor nuclei of cranial nerves and ventral spinal cord.,1996 Nov 18
Lateral Septal Nucleus,Leigh Disease,The cat's lateral posterior-pulvinar complex (LP-pulvinar) establishes reciprocal connections with the anterior ectosylvian visual (AEV) and lateral suprasylvian (LS) cortices
Cerebral cortex,Retinal Diseases,Two major constraints in connectivity decide the spatial extent of visual cortical receptive fields both during development and adult functioning: 1) feedforward input extrinsic to visual cortex is organized in an orderly projection to form a point-to-point mapping of the retina onto the cortical mantle and constitutes the core of the minimal discharge field (MDF) after amplification by local intracortical circuits
Nucleus Accumbens,Attention deficit hyperactivity disorder,The data indicate a reduced number of nucleus accumbens modules available for limbic-motor integration revealing putative substrates of the altered attentional and reinforcement mechanisms demonstrated in the SHR and in children with attention-deficit hyperactivity disorder.,1996 Nov 25
Anterodorsal nucleus of thalamus,Disease Progression,In conclusion we show that autophagy induction via rapamycin may represent a valid therapeutic strategy in AD when administered early in the disease progression.,2011
Cerebral cortex,Bipolar Disorder,Clozapine and olanzapine which were shown to be effective in stabilizing bipolar disorder elevate pregnenolone levels in rat hippocampus cerebral cortex and serum.,2012 Dec 19
Pituitary Gland,Pituitary Diseases,TE treatment as well as WD separately or when coupled together decreased the POMC mRNA expression in the pituitary but stimulated adrenal steroidogenic activity.,2011 Jan
Temporal Lobe,Depressive disorder,Presence of temporal lobe atrophy (odds ratio (OR)=2.81 95% confidence interval (CI) 1.04-7.62) and moderate-to-severe WMLs (OR=3.21 95% CI 1.00-10.26) independently predicted major but not minor depression after controlling for various confounders.,2010 Dec
Entire medulla oblongata,Spinal Cord Diseases,In situ hybridization and immunoblot analyses revealed that anamorsin mRNA and protein were both highly and widely expressed in various regions of the CNS including the cerebral cortex hippocampus midbrain cerebellum medulla and spinal cord.,2011 Mar
CA2 field,Neurotoxicity Syndromes,If excessive this Ca2+ response is associated with delayed neurotoxicity.,1992 Dec 11
Pituitary Gland,Pituitary Diseases,In intact regularly cycling female hamsters used to monitor the efficacy of melatonin treatment there were significant reductions in the serum levels of FSH LH and prolactin as measured by radioimmunoassay and in uterine and pituitary weights after 8 wk of melatonin treatment.,1992 Dec
Neostriatum,cortex bone disorders,The distribution of cholinergic terminals is described in the adult rat brain and during development including heterogeneity of binding within several regions such as the striatum nucleus accumbens olfactory tubercle cortex and hippocampus.,1992 Jul 22
Cerebral cortex,Alzheimer's Disease,Alzheimer's Disease (AD) patients have a severe degeneration of cholinergic neurons in their cerebral cortices.,1992 May
Nucleus Basalis Magnocellularis,cortex bone disorders,We observed an increase in ChAT activity in the remaining cortex and a partial protection of the ipsilateral NBM as determined by morphometric and biochemical studies.,1992 Apr
Cerebral cortex,Alzheimer's Disease,Four cases of neuritic degeneration in the cerebral cortex of Alzheimer-type dementia patients have been examined by routine and Gallyas-silver electron microscopy.,1992 May
Tectum Mesencephali,Retinal Diseases,In amphibians and teleosts retina and tectum grow incongruently.,1992 Mar
Interpeduncular nucleus,Syndrome Bloch-Sulzberger,The inhibition of electrically stimulated [3H]DA and [14C]ACh release by a submaximal concentration of quinpirole was measured 1 week after pretreating rats for 9 days with cocaine (15 mg/kg IP twice per day).,1992 Apr
Neostriatum,cortex bone disorders,Our experiment was focused on the medial preoptic area (MPOA) which is perhaps the single most critical area of the brain mediating sexual behavior the amygdala the substantia nigra the striatum the nucleus accumbens and the cortex.,1992 Feb
Structure of interstitial nucleus of Cajal,cortex bone disorders,This review of the clinical and experimental literature on pre-motor eyelid control including an analysis of available clinico-pathological reports suggests support for the following hypotheses: (1) cortex extrapyramidal motor systems and rostral brainstem structures contribute to the control of the levator palpebrae muscle (LP) in various eyelid functions
Medulla Oblongata,Spinal Cord Diseases,To avoid the confounding effects of the cerebral circulation we used the in vitro brain stem-spinal cord of neonatal rats (1-5 days old) to identify areas within 500 microns of the ventral surface of the medulla where changes in PCO2 evoked a sudden increase in the rate of respiratory neural activity.,1992 Feb
Cerebral cortex,Spinal Cord Diseases,RNA blot analysis demonstrates this myosin to exhibit differential expression within the cerebral cortex and spinal cord.,1992 Apr 20
Midbrain structure,Hamartoma Syndrome Multiple,We examine here the pattern of astrocyte migration in the midbrain by transplanting CD-1 mouse corpus callosum (P2-3) into the midbrain of neonatal rats.,1992 Mar 8
Thalamic structure,Esophageal Diseases,The perception of pain can be influenced at multiple levels such as the receptor in the esophagus the synapses in the dorsal horn of the spinal cord or thalamus or the cortex.,1992 May 27
Genus Hippocampus,cortex bone disorders,In the 30 survivors the incidence of histopathological change was 90% in the caudate nucleus 23% in the cortex 30% in the hippocampus and 0% in the other structures.,1992
Pineal gland,Disorder of pineal gland,Myogenesis of pineal cells may be explained from the ontogeny of the pineal body.,1992 May 1
Primary Auditory Cortex,Sensitization (disorder),To determine if this effect reflects an auditory system-specific process or is caused by a process independent of the training stimulus modality RFs in primary auditory cortex were characterized before and immediately after adult guinea pigs were given sensitization training with either an auditory or a visual training stimulus.,1992 Apr 17
Nucleus Subceruleus,Spinal Cord Diseases,Double labeled studies confirmed that 91% of LC and 86% of SC neurons projecting to the spinal cord were noradrenergic.(ABSTRACT TRUNCATED AT 250 WORDS),1992 May 1
Corpus striatum structure,cortex bone disorders,Cortical quinolinic acid lesions greatly reduced H3 binding in cortex indicating that the binding in cortex as in striatum is largely on intrinsic neurons rather than on afferents such as histamine nerve terminals.,1991 Jun
Thalamic structure,Parkinsonian Disorders,It was concluded that: (1) in parkinsonism neuronal activities of the caudate nucleus decreased those of the pars reticulata of the substantia nigra and the internal segment of the globus pallidus increased and those of the ventromedial nucleus of the thalamus were depressed markedly
Anterodorsal nucleus of thalamus,Alzheimer's Disease,Anterodorsal (AD) thalamic excitatory TIA peaked in an early stage (the first session of training) laterodorsal thalamic and parvocellular anteroventral (AVp) excitatory TIA peaked in an intermediate stage (the session of the first behavioral discrimination) and magnocellular anteroventral (AVm) and anteromedial (AM) thalamic excitatory TIA peaked in a late stage (the session in which asymptotic behavioral discrimination first occurred).,1991 Dec 20
Preoptic Areas,Pituitary Diseases,These data show that fetal exposure to CPA results in long-term anatomical and physiological alterations of hypothalamic and preoptic nuclei as well as of the pituitary lactotropes.,1991
Cerebral cortex,cortex bone disorders,The second part of this article describes the anatomical changes of cortical cholinergic and some other neurotransmitter systems after long-term cholinergic denervation in the aged rat cortex.,1991
Neocortex,cortex bone disorders,Although it seems highly likely that mammalian isocortex evolved from a structure resembling reptilian telencephalic cortex it has been uncertain if this occurred by the laminar differentiation of three-layered reptilian cortex into six-layered mammalian isocortex without the addition of new cell types or by laminar differentiation with the addition of new cell types.,1991
Thalamic structure,Renal glomerular disease,As in mammalian MOB the majority of TH-LI neurons were clustered in the periglomerular region and appeared to send their dendritic branches into glomeruli which as a whole make an intense TH-LI band in the glomerular layer (GML).,1991
Cerebral cortex,Spinal Cord Diseases,STR enhanced [3H]nitrendipine binding to the same extent in the cerebral cortex striatum hippocampus cerebellum brainstem and spinal cord.,1990 Apr
Basal Ganglia,Parkinsonian Disorders,A comparative topographical immunohistochemical analysis was performed on the basal ganglia (including the substantia nigra) in Guamanian parkinsonism-dementia complex idiopathic Parkinson's disease (PD) and Alzheimer's disease (AD).,1990 May
Telencephalon,Retinal Diseases,The mRNA encoding MHC-B containing the 10-amino acid insert near the ATP binding region is expressed at low levels in the adult chicken brain but makes up most of the MHC-B mRNA expressed in the human cerebrum and approximately 90% of MHC-B in the human retina.,1995 Jun 16
Medulla Oblongata,Spinal Cord Diseases,The most affected structure was the spinal cord followed by the medulla pons and midbrain.,1995 Apr 3
BRAIN HIPPOCAMPUS,Functional disorder,These data support the notion that the pathophysiology of hippocampal damage and mossy fiber sprouting after an initial precipitating injury may be a progressive process.,1995 Feb
Central Dorsal Nucleus,Hamartoma Syndrome Multiple,To test this hypothesis rabbits were anesthetized with pentobarbital and subjected to severe spinal cord ischemia (25 minutes) followed by 30 minutes of reperfusion at which time either vehicle antibody against the CD11/CD18 (anti-CD) leukocyte adhesion molecule (1 mg/kg) or the anti-CD and PAF antagonist WEB 2086 (3 mg/kg) was administered intravenously and the animals were monitored for 6.5 hours.,1995 Feb
Pituitary Gland,Pituitary Diseases,Corticotropin-releasing hormone plays a major role in stress-induced activation of the hypothalamo-pituitary-adrenal axis and sustained hyperactivity of hypothalamic corticotropin-releasing hormone-producing neurons may be causally related to both increased pituitary-adrenal secretion and behavioural symptoms observed in anxiety and affective disorders.,1994 Sep
Structure of pars intermedia of pituitary gland,Pituitary Diseases,Anti ACTH and anti alpha-MSH revealed a positive reaction in the pars intermedia during all stages of development included in this study whereas no immunoreactivity in this pituitary zone was ever evidenced with anti beta-END.,1994 Dec
Olfactory Nerve,Renal glomerular disease,Strong cellular retinoic acid-binding protein type I-immunoreactivity is however found in a population of medium-sized neurons scattered throughout the striatum in neurons in the glomerular layer of the olfactory bulb the olfactory nerve and in a group of nerve cells close to the third ventricle in hypothalamus.,1994 Oct
Structure of entorhinal cortex,cortex bone disorders,These results suggest that the BL complex plays an essential role in the generation of population events that are transmitted to the ENT cortex.,1995 Mar
Medulla Oblongata,Spinal Cord Diseases,The serotonin neurons of the brainstem raphe also project widely over the neuraxis midbrain raphe neurons primarily to diencephalon and telencephalon and pontine medullary neurons to brainstem and spinal cord.,1993 Sep 24
Lobe Frontal,cortex bone disorders,The dark neurons were most abundant in the second to fourth layers of the ipsilateral superior-lateral convexity of the frontal cortex but a few were present in the contralateral cortex.,1994 Jun
Cerebellum,cortex bone disorders,In the cerebellum NPY-immunolabeled climbing fibers were distributed to the flocculus and parts of vermal cortex.,1994 Jan 21
Entire medulla oblongata,cortex bone disorders,In the adrenal gland the immunopositive DARP cells were distributed both in the cortex as well as in the medulla.,1993 Oct
Thalamic Nuclei,cortex bone disorders,The recorded neurons (n = 254) were antidromically and orthodromically identified as corticothalamic or callosal elements receiving projections from appropriate thalamic nuclei as well as from homotopic foci in the contralateral cortex.,1993 Aug
CA2 field,Leigh Disease,In contrast the peak amplitude of the whole cell Ca2+ current increased significantly for neurons isolated from LS but not SS mice chronically ingesting ethanol.,1993 Jul 2
Structure of fissure of Sylvius,Leigh Disease,The properties of these currents were equivalent for normal LS and SS mice.,1993 Jul 2
Temporal Lobe,cortex bone disorders,The results implicate the medial temporal lobe and particularly the rhinal cortex in the formation of stimulus-stimulus associative memories.,1993 Oct
Basal Forebrain,Alzheimer's Disease,Cholinergic neurons were studied by immunohistochemistry with an antiserum against choline acetyltransferase (ChAT) in the basal forebrain (Ch1 to Ch4) of four patients with Alzheimer's disease (AD) and four control subjects.,1993 Apr 1
Cerebellar cortex structure,Gardner Syndrome,Compared with the controls the long-form Gs alpha (52-kDa species) immunoreactivity was significantly elevated by 52% (p &lt
Substantia nigra structure,Parkinson Disease,In order to distinguish the biochemical abnormalities underlying dysfunction of neurons during aging neuronal loss during neurodegeneration (Parkinson's disease) and nerve cell death we searched for morphological and biochemical signs of apoptosis in dopaminergic neurons of the substantia nigra of parkinsonian patients and controls.,1995 Jun
Brain Stem,Pituitary Diseases,This system whose central component is the central nervous system (CNS) and includes corticotropin-releasing hormone (CRH) and noradrenergic neurons respectively in the hypothalamus and the brain stem has as its peripheral limbs the hypothalamic-pituitary-adrenal (HPA) axis and the autonomic (sympathetic) nervous system.,1995 Dec 29
Tectospinal tract of medulla,Timothy syndrome,In a second series of experiments voltage-clamp recordings obtained in intact RE cells in slices showed a higher amplitude and slower kinetics of I(Ts).,1996 Jan
Hypothalamic structure,Spinal Cord Diseases,Numerous neurons in the hypothalamus projected to the spinal cord specifically neurons in the paraventricular nucleus (PVN) the lateral hypothalamus and the dorsal area of the hypothalamus.,1993 Oct
Neostriatum,Movement Disorders,In the striatum focal QUIN injections have been found to largely replicate the neurotransmitter deficits prevailing in Huntington's disease an inherited movement disorder.,1994 Dec
Anterodorsal nucleus of thalamus,Alzheimer's Disease,The putative neuronal marker N-acetyl aspartate (NAA) creatine and GABA were decreased in AD brains compared with the nondemented brains.,1995
Anterodorsal nucleus of thalamus,Brain Diseases,The estimates for glutamate and inositol for AD brains did not show any statistically significant difference (P &gt
Cerebral hemisphere structure (body structure),cortex bone disorders,Our results indicate that local signals can regulate the differentiation of cortical progenitors providing a potential mechanism for establishing an early commitment to specific regional phenotypes in the developing cerebral wall that relate to future functional domains in the cortex.,1995 Apr
Purkinje Cells,Disorder nervous system,During the course of our studies to identify the genetic lesion responsible for this disease (Norman et al. 1991) we have formulated an hypothesis suggesting that in Lc Purkinje cells homeostasis is sufficiently perturbed to lead to the activation of programmed cell death thus resulting in neuronal loss and the consequent neurologic disease (Heintz 1993).,1995 Apr
Genus Hippocampus,cortex bone disorders,EAAC1 is highly enriched in the cortex hippocampus and caudate-putamen and is confined to pre- and postsynaptic elements.,1994 Sep
Lobe Frontal,cortex bone disorders,The measured changes in the frontal lobes suggest that in PLS there is simultaneous atrophy of the primary premotor and supplementary motor areas of the cortex with consequent degeneration of corticospinal and corticoreticular axons descending through the underlying white matter.,1994 Aug
Neostriatum,cortex bone disorders,MK-801 significantly reduced 45Ca uptake in the cortex striatum and thalamus.,1994 Sep
Purkinje Cells,Neurotoxicity Syndromes,Three days after these treatments rats treated with the combination DP+PB presented a significantly lower number of altered Purkinje cells in cerebellum as compared with those of the thallium alone treated animals indicating adequate protection by this antidote treatment against thallium neurotoxicity.,1994 Mar 25
Cerebral hemisphere structure (body structure),Functional disorder,Inflammatory cerebral processes mediated by immunologically active substances or invading of macrophages are frequently associated with neuronal dysfunction.,1993 Nov 19
Brain Stem,Spinal Cord Diseases,Immunocytochemical localization of the c-fos primary gene protein Fos was used to identify spinal cord and brain-stem sites activated by either 4-Hz or 100-Hz electroacupuncture (EA) applied to the Zusanli acupuncture points of both hind limbs in lightly anesthetized Sprague-Dawley rats.,1993 Jan
Visual Cortex,Spinal Cord Diseases,NMDA receptors make a contribution to the tonic or spontaneous activity of cells in both visual cortex and spinal cord.,1993
Cerebral cortex,Down Syndrome,In a clinico-neuropathological survey of 23 cases of Down's Syndrome two patients aged 50 and 56 years respectively were found to have Lewy body formation in the substantia nigra in addition to cortical Alzheimer-type pathology.,1993 Feb
Structure of suprachiasmatic nucleus,DISORDERS OF THE OPTIC NERVE,The connection between optic nerve terminals and vasoactive intestinal peptide (VIP)-containing neurons in the rat suprachiasmatic nucleus (SCN) was investigated using double labeling immunocytochemistry.,1993
Motor Cortex,Spinal Cord Diseases,Neuropathological examination revealed similar findings in the two cases: 1) marked loss of lower motor neurons in the spinal anterior horn and motor nuclei of the lower brain stem in both cases with neuronal loss of Onuf's nuclei in case 2
Cerebral cortex,cortex bone disorders,The laminar distribution of stimulus-induced FLI cells in the extrastriate cortical area AL was similar to that of the striate cortex with the exception that more FLI cells were present in layer 5.,1995 Sep 4
Olivary pretectal nucleus,Spinal Cord Diseases,In the same cases many cell bodies containing HRP reaction product also were found 1) ipsilaterally in the motor cortex anterior pretectal nucleus and a restricted area of the caudal part of the substantia nigra pars reticulata
Medial nucleus of habenula,Spinal Cord Diseases,VAChT-positive cell bodies were visualized in cerebral cortex basal forebrain medial habenula striatum brain stem and spinal cord by using a polyclonal anti-VAChT antiserum.,1996 Apr 16
Telencephalon,Spinal Cord Diseases,GnRH-ir fibers were present in widespread areas of the brain including the olfactory bulb telencephalon optic nerve hypothalamus thalamus habenula optic tectum tegmentum pituitary and spinal cord.,1996
Lateral geniculate complex,Retinal Diseases,Our results demonstrate that signal transfer from retina to visual cortex is regulated by LGN neurons in a stimulus-dependent manner which appears to reflect the complex interactions between local membrane mechanisms and extraretinal inputs.,1995 Dec
Substantia nigra structure,Disorders Mental,in some postmortem brain structures of the dopaminergic system: the substantia nigra ventral tegmentum area prefrontal cortex (area 10) anterior cingulate cortex (area 24) the head of the caudate nucleus in schizophrenia and age-matched controls without mental disorders.,1996
Caudate nucleus structure,Disorders Mental,in some postmortem brain structures of the dopaminergic system: the substantia nigra ventral tegmentum area prefrontal cortex (area 10) anterior cingulate cortex (area 24) the head of the caudate nucleus in schizophrenia and age-matched controls without mental disorders.,1996
Thalamic structure,cortex bone disorders,In contrast CGS-19755 pretreatment animals showed highly heterogeneous LCBF declines and significantly higher LCBF values were observed in the frontoparietal cortex and thalamus both of which were the most vulnerable area in this model.,1996 Jun
Prefrontal Cortex,Syndrome Bloch-Sulzberger,In rats with microdialysis probes in the nucleus accumbens (NAc) or prefrontal cortex (PFC) intraperitoneally (IP) delivered morphine on the 8th day of escalating doses decreased extracellular ACh in the NAc.,1996 Apr
BRAIN HIPPOCAMPUS,Sensitization (disorder),The purpose of this experiment therefore was to determine if an intact hippocampal system is necessary for either the development or expression of sensitization to the psychomotor activating effects of amphetamine.,1996 Apr
mossy fiber,Functional disorder,These results support the hypothesis that in severely damaged hippocampi abnormal mossy fiber sprouting and concordant increases in IML NMDAR2 receptor staining may contribute or partially explain granule cell hyperexcitability and the pathophysiology of hippocampal epilepsy.,1996 Apr 10
Vestibular nucleus structure,Communicable Diseases,Pressure injections of &gt
Neostriatum,Functional disorder,These findings support the hypothesis that the site of primary dysfunction in the basal ganglia is in the striatum of RMN.,1996 Apr 1
Structure of central sulcus,Hamartoma Syndrome Multiple,However Cs+ additionally affects other currents.,1996 Aug
BRAIN HIPPOCAMPUS,cortex bone disorders,However adenosine A2a receptors albeit at lower levels are also localized in other brain regions such as the cortex and the hippocampus.,1996 Sep
Visual Cortex,Alzheimer's Disease,The aim of this study was to test the hypothesis that differences in density of senile plaques (SP) and neurofibrillary tangles (NFT) in the cuneal and lingual gyri of area V1 of the visual cortex could explain the predominantly inferior visual field defects seen in patients with Alzheimer's disease (AD).,1996 Nov
Structure of locus ceruleus,Renal glomerular disease,High levels of binding were also observed in other regions rich in dopaminergic neurons and fibers including the glomerular layer of the olfactory bulb the intermediate lobe of the pituitary lateral septum substantia nigra pars compacta interfascicular nucleus dorsal raphe nucleus locus coeruleus and nucleus of the solitary tract.,1994 Jun 1
BRAIN HIPPOCAMPUS,Functional disorder,The possible implications of disturbed PPD mRNA and dynorphin expression in the hippocampus are discussed with regard to pathophysiology of hypertension and central control of cardiovascular function.,1994 Jun
Corpus striatum structure,cortex bone disorders,In the acute stage (minutes to 3 days) dark neurons appeared in the lateral half of the ipsilateral striatum and adjacent cortex which formed the ischemic core of this model.,1994
Lateral geniculate complex,Disorder of pineal gland,The IGL innervates both the suprachiasmatic nucleus and the pineal organ
Substantia nigra structure,Herpes zoster disease,These results demonstrate that the high affinity glibenclamide binding sites of the substantia nigra zona reticulata are at least in part located on the terminals of striatonigral projection neurons.,1994 Jul
Thalamic structure,cortex bone disorders,Relative AChE activity in Triton extracts from six areas of the rat brain varied as follows: cortex &lt
Corpus striatum structure,Huntington Disease,Neuropeptide Y (NPY)-containing neurons are depleted in the cortices of individuals with Alzheimer disease (AD) yet spared in the striatum of patients with Huntington chorea.,1994 Aug
Brain Stem,Spinal Cord Diseases,The overall pattern of c-fos immunoreactivity was studied in the brainstem and spinal cord of cats subjected to moderate hypoxia or hypercapnia.,1994
Substantia nigra structure,Parkinson Disease,It has been established that substantia nigra (SN) grafts can produce a behavioral effect in animal models of Parkinson's disease when transplanted either into the lateral ventricles as solid tissue fragments or directly into the striatum as dissociated cells.,1993 Jul
Pulvinar structure,Alzheimer's Disease,The lesions in the pulvinar may help understand some of the clinical manifestations of Alzheimer's disease including deficits in attention and in a host of visual disturbances.,1994 Mar
Pituitary Gland,Pituitary Diseases,Despite evidence of increased gonadotropin secretion in the treated hpg mice pituitary stores of FSH and LH remained low.,1994 Mar
Substantia nigra structure,Huntington Disease,Because these neurons are selectively lost in Huntington's disease a loss of [3H]CP55,940 binding is predicted in the substantia nigra of the Huntington's disease brain.,1993 Oct
Basal Ganglia,Spinal Cord Diseases,Extracellularly regulated kinase-2 messenger RNA was observed in many regions including the cerebral cortex olfactory bulb hippocampus amygdala basal ganglia (except the globus pallidus and endopeduncular nucleus) basal nucleus thalamus hypothalamus brain stem nuclei cerebellum and neurons in the spinal cord.,1993 Oct
Triangular Septal Nucleus,Timothy syndrome,We previously demonstrated that Ts 16 basal forebrain cholinergic neurons (BFCNs) undergo age-related atrophy similar to DS and AD and now show that a specific neurotrophic factor nerve growth factor (NGF) acts to reverse Ts 16-induced atrophy of BFCNs and stimulates hypertrophy of these cells.,1993 Dec
Corpus striatum structure,cortex bone disorders,Oxotremorine a non-selective muscarinic agonist induced Fos immunoreactivity in the striatum with a large predominance in striosomes (mostly in enkephalinergic neurons) in layers 4 and 6 of the cortex and also in the piriform cortex and septum.,1993 Sep 1
Hypothalamic structure,Pituitary Diseases,Background and purpose:                    Corticotropin releasing factor is an endogenous neuropeptide released by the hypothalamus that activates the pituitary-adrenocortical system in response to stressful stimuli.,1993 Jul
Hypothalamic structure,Skin endocrine disorder,Also detected in salt-loaded animals was a prominent induction of the immediate-early gene product Fos in magnocellular neurosecretory cell groups and in several brain regions that are known to provide major projections to the endocrine hypothalamus.,1993 Aug 15
Neostriatum,cortex bone disorders,Biochemical studies also indicate that chronic ethanol intake causes a reduction in the level of choline-acetyltransferase in the septum hippocampus and striatum but not in the cortex and other brain regions.,1993 Jan
Purkinje Cells,Syndrome,The serum and CSF of two women with a severe subacute pancerebellar syndrome contained high titers of antibodies directed against antigens present in the perikaryon of Purkinje cells.,1993
Cerebral cortex,cortex bone disorders,Group C patients showed severe striatal atrophy with variable cortical (frontal or temporal) involvement with histological changes similar to patients in groups A and B. The single patient in group D showed mild frontotemporal atrophy with spongiform degeneration of the superficial laminae of the cortex and nigral damage and was considered to have motor neuron disease with dementia.,1993 Jun
Nucleus Accumbens,Sensitization (disorder),This study sought to identify excitatory amino acid projections required for sensitization focusing on projections to the nucleus accumbens or ventral tegmental area.,1995 Nov
Paracentral Thalamic Nucleus,cortex bone disorders,Necrotic neuron counts were determined at 5 separate rostrocaudal levels of the PC/RS cortex.,1995 Oct 23
Pituitary Gland,Pituitary Diseases,This is the first direct demonstration that this essential circuit linking GnRH neurons in the preoptic area to the pituitary exists.,1995
Pyramidal Cells,cortex bone disorders,A combined study of anterograde axonal degeneration and Golgi electron microscopic technique was designed to examine the distribution and density of axon terminals from the mediodorsal thalamic nucleus (MD) over layer III pyramidal cells in the prelimbic cortex of the rat.,1996 Feb 5
Triangular Septal Nucleus,cortex bone disorders,Such were the mitral and tufted cells of the olfactory bulb
Neostriatum,Neurotoxicity Syndromes,Administration of 40 mg/kg of 3-NPA alone almost invariably produced either lethality or did not produce neurotoxicity in the striatum of surviving animals.,1996 Mar 18
Habenula,cortex bone disorders,Thus BMPR-II mRNA was found in neurons of the cortex dentate gyrus hippocampus habenula and substantia nigra.,1996 Nov
Neostriatum,Gardner Syndrome,Intense Gs labeling was observed in the striatum parenchyma choroid plexus and infundibular stem.,1996 Aug
Structure of central sulcus,Coffin-Siris syndrome,We previously reported that cocaine progeny undergoing concurrent acquisition to visual and auditory CSs show a normal rate of learning to a light CS and an accelerated rate of learning to a tone.,1996 Mar
Medulla Oblongata,Spinal Cord Diseases,Inspiratory neurons were recorded in the medulla (n = 28) at the level of the obex and from the upper-cervical segments (C1 and C2) of the spinal cord (n = 29) in 18 vagotomized paralyzed ventilated and decerebrated rats.,1996 Sep
BRAIN HIPPOCAMPUS,cortex bone disorders,Up-regulation of GFAP mRNA was observed in the CA1 stratum radiatum at 60 days and spread throughout the hippocampus cortex and thalamus between 110 and 140 days suggesting early accumulation of scrapie prion protein in these regions.,1996 Aug 12
