"brainregion","protein","count"
"Cerebral cortex","Bone Morphogenetic Protein 7","6"
"Structure of medial preoptic nucleus","Proteins","6"
"Olfactory Pathways","Receptor","6"
"Pituitary Gland, Posterior","Endothelin","6"
"Thalamic structure","Ion Channel","6"
"Genus Hippocampus","metabotropic glutamate receptor type 1","6"
"BRAIN, HIPPOCAMPUS","aloxistatin","6"
"Prosencephalon","Argipressin","6"
"Medulla Oblongata","Opioid Peptide","6"
"Corpus Callosum","Receptor","6"
"Nucleus Accumbens","Receptor, Cannabinoid, CB1","6"
"Structure of medial preoptic nucleus","Leptin","6"
"Cerebral cortex","STAT3 Protein","6"
"Neostriatum","alanylglutamine","6"
"Gigantocellular nucleus","Immune Sera","6"
"Hypothalamic Area, Lateral","Aminoglutethimide","6"
"Cerebral hemisphere structure (body structure)","Angiotensins","6"
"Genus Hippocampus","5' Nucleotidase","6"
"Corpus striatum structure","Anti-Drug Antibody","6"
"Neocortex","Membrane Transport Proteins","6"
"Structure of suprachiasmatic nucleus","S100 calcium binding protein A10","6"
"Pars Compacta","Calbindins","6"
"Parietal Lobe","Neurotensin","6"
"BRAIN, HIPPOCAMPUS","PYK2 Protein Tyrosine Kinase","6"
"Rostrotemporal auditory area","Receptor","6"
"Pyramidal Tracts","Proteins","6"
"Lateral geniculate complex","NADPH Dehydrogenase","6"
"Hypothalamic structure","Receptor, Melanocortin","6"
"Thalamic structure","Granulocyte-Macrophage Colony-Stimulating Factor","6"
"Auditory Hair Cell","Calcium","6"
"Prosencephalon","Peroxidase","6"
"Type 2 vestibular sensory cell","Receptor","6"
"BRAIN, HIPPOCAMPUS","Acetylcholinesterase Inhibitors","6"
"Brain Stem","Immunoglobulin G","6"
"Cerebral cortex","5 alpha-Reductase, Cholestenone","6"
"Structure of angular gyrus","Basement Membrane-Specific Heparan Sulfate Proteoglycan Core Protein","6"
"Purkinje Cells","Cathepsin D","6"
"CA2 field","Phosphorylases","6"
"Cerebellum","Phosphoric Monoester Hydrolases","6"
"Tuberomammillary Nucleus","Green Fluorescent Proteins","6"
"Tegmentum Mesencephali","Wheat Germ Agglutinins","6"
"Pituitary Gland","Calcium","6"
"Nucleus solitarius","Serotonin receptor","6"
"Cerebral cortex","Urokinase","6"
"CA1 field","Stress-Activated Protein Kinase 1","6"
"Pedunculopontine Tegmental Nucleus","NADP","6"
"Cerebral cortex","Max protein","6"
"Prefrontal Cortex","Glycine","6"
"Neostriatum","Oxytocin","6"
"Midbrain structure","Glutathione","6"
"Lobe, Frontal","Calpain","6"
"Organum Vasculosum Laminae Terminalis","Angiotensin-2","6"
"Ventral Tegmental Area","Cre recombinase","6"
"Medulla Oblongata","Granulocyte-Macrophage Colony-Stimulating Factor","6"
"Entire medulla oblongata","Chromogranin A","6"
"Corpus striatum structure","HMGB1 Protein","6"
"Prosencephalon","Peroxidase stain","6"
"Fornix, Brain","Acetylcholinesterase","6"
"Dorsal Motor Nucleus","Immunoglobulins","6"
"Cerebellum","Proto-Oncogene Proteins c-akt","6"
"Structure of subcommissural organ","Monoclonal Antibodies","6"
"Nucleus intercalatus","Poly ADP Ribose Polymerase","6"
"Cerebral cortex","polysialic acid","6"
"Basal Ganglia","moesin","6"
"Structure of dentate gyrus","HCRT Gene","6"
"Cerebellum","Fragile X Mental Retardation Protein","6"
"Structure of entorhinal cortex","Somatostatin","6"
"Cerebral white matter structure","myelination","6"
"Cerebral Peduncle","Peptides","6"
"Prosencephalon","CRF receptor type 1","6"
"Pars Compacta","Glial Cell Line-Derived Neurotrophic Factor","6"
"CA1 field","G-Protein-Coupled Receptors","6"
"Pyramidal Cells","Interleukins","6"
"Rostrotemporal auditory area","Caspase-3","6"
"Cerebellar cortex structure","Calbindin 1","6"
"BRAIN, HIPPOCAMPUS","Genomic DNA","6"
"Ventral Tegmental Area","Protein Kinase C","6"
"Midbrain structure","IRF6 wt Allele","6"
"Medulla Oblongata","Peroxidase stain","6"
"Lobe, Frontal","Cyclic AMP-Responsive DNA-Binding Protein","6"
"Structure of olfactory bulb","Insulin Receptor","6"
"Hypothalamic structure","Rhodopsin","6"
"Purkinje Cells","Cell Adhesion Molecules","6"
"Ventral Tegmental Area","Extracellular Signal Regulated Kinases","6"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","NADP","6"
"Perforant Pathway","Proteins","6"
"Nucleus Raphe Obscurus","Thyrotropin-Releasing Hormone","6"
"Cerebral cortex","Threonine","6"
"Prefrontal Cortex","Nitric Oxide Synthase","6"
"CA1 field","Plasmids","6"
"Structure of locus ceruleus","Cloning Vectors","6"
"Cingulate Cortex","Calretinin","6"
"Area, Septal","Galanin","6"
"BRAIN, HIPPOCAMPUS","Mutant Proteins","6"
"Structure of forceps minor","AMP-Activated Protein Kinases","6"
"Olfactory Nerve","Antibodies","6"
"Entire medulla oblongata","PAG protein, human","6"
"Structure of anterior hypothalamic nucleus","Luteinizing Hormone","6"
"BRAIN, HIPPOCAMPUS","Galectin 3","6"
"Ventral Tegmental Area","Cyclic AMP-Responsive DNA-Binding Protein","6"
"BRAIN, HIPPOCAMPUS","LRP8 protein, human","6"
"Parietal Lobe","N-Methylaspartate","6"
"Basal Nucleus of Meynert","PIK3CG protein, human","6"
"Basal Forebrain","Fibroblast Growth Factor 2","6"
"Structure of thalamic reticular nucleus","Cytokine","6"
"Linear nucleus","Receptors, Opioid, kappa","6"
"CA1 field","BECN1 protein, human","6"
"Genus Hippocampus","Oligonucleotides","6"
"Trigeminal Nuclei","Serotonin","6"
"Genus Hippocampus","Low-Density Lipoproteins","6"
"BRAIN, HIPPOCAMPUS","Tight Junction Proteins","6"
"Central gray substance of midbrain","Galanin","6"
"Caudate nucleus structure","Enkephalins","6"
"Structure of locus ceruleus","Green Fluorescent Proteins","6"
"Nuclei, Raphe","Enzymes","6"
"Structure of ventromedial hypothalamic nucleus","Nitric Oxide Synthase Type I","6"
"Prosencephalon","Heat-Shock Proteins 70","6"
"Structure of paraventricular nucleus of thalamus","Antibodies","6"
"Visual Cortex","Immune Sera","6"
"BRAIN, HIPPOCAMPUS","Calcium-Calmodulin-Dependent Protein Kinases","6"
"Neostriatum","HMGB1 Protein","6"
"Motor Cortex","Antibodies","6"
"Structure of nucleus infundibularis hypothalami","Androgen Receptor","6"
"Neocortex","tau Proteins","6"
"Medulla Oblongata","Opioid Receptor","6"
"Motor Cortex","Small Nuclear Ribonucleoprotein Polypeptide F","6"
"mossy fiber","Genes","6"
"Linear nucleus","Neurokinin A","6"
"Amygdaloid structure","Delta-Like Protein 1, human","6"
"Genus Hippocampus","Glutamate decarboxylase 65","6"
"Structure of nucleus infundibularis hypothalami","Receptor, Melanocortin","6"
"Cerebellum","CD44 Antigens","6"
"Corpus striatum structure","Human Leukocyte Interferon","6"
"Cerebellar cortex structure","Cholecystokinin","6"
"Corpus striatum structure","Serotonin receptor","6"
"Ventral Tegmental Area","tropomyosin-related kinase-B, human","6"
"Anterodorsal nucleus of thalamus","Phosphoinositide-3-Kinase, Catalytic, Beta Polypeptide","6"
"Auditory area","Intramuscular immunoglobulin","6"
"Structure of endopeduncular nucleus","Dopa","6"
"caudal raphe nuclei","Thyrotropin-Releasing Hormone","6"
"Tuberomammillary Nucleus","Parvalbumins","6"
"BRAIN, HIPPOCAMPUS","anastrozole","6"
"Dorsal Nucleus Raphe","Tryptophan","6"
"BRAIN, HIPPOCAMPUS","Acyltransferase","6"
"Area striata structure","Glycosylation End Products, Advanced","6"
"Brain Stem","HTR2A protein, human","6"
"CA3 field","Muscarinic Acetylcholine Receptor","6"
"CA1 field","Calcium/calmodulin-dependent protein kinase","6"
"Auditory Hair Cell","Diphtheria Toxin","6"
"Lateral superior olivary nucleus","Glycine Receptors","6"
"CA2 field","Peptide Hydrolases","6"
"BRAIN, HIPPOCAMPUS","Transient Receptor Potential Cation Channel Subfamily M Member 7","6"
"Cerebral hemisphere structure (body structure)","GABA Receptor","6"
"Paracentral sulcus","Proteins","6"
"Hypothalamic structure","Calcium-Binding Proteins","6"
"Basal Nucleus of Meynert","Neurotensin","6"
"Neostriatum","Epoxide hydrolase","6"
"Structure of nucleus gracilis","Corticotropin","6"
"Structure of paraventricular nucleus","HCRT Gene","6"
"Neostriatum","Aminoglutethimide","6"
"Laterodorsal tegmental nucleus","orexins","6"
"Lateral geniculate complex","Immune Sera","6"
"Basal Forebrain","Calcium","6"
"Fornix, Brain","orexins","6"
"Dorsal tegmental nucleus","Serotonin","6"
"Neocortex","protein TDP-43","6"
"Cerebral cortex","NOTCH1 protein, human","6"
"Substantia nigra structure","Glucocorticoid Receptor","6"
"Substantia nigra structure","Opioid Receptor","6"
"BRAIN, HIPPOCAMPUS","Fenclonine","6"
"Structure of piriform area","Calcium","6"
"Structure of paraventricular nucleus of thalamus","Factor, Transcription","6"
"Pituitary Gland, Anterior","Gonadotropins","6"
"Lobe, Frontal","Catalase","6"
"Structure of supraoptic nucleus","Proteins","6"
"Structure of suprachiasmatic nucleus","Cancer/Testis Antigen","6"
"Structure of area postrema","Cholecystokinin","6"
"central amygdalar nucleus","NR1 protein, human","6"
"Median eminence of hypothalamus","Endorphins","6"
"Purkinje Cells","Muscarinic Acetylcholine Receptor","6"
"Pyramidal Cells","Interleukin-9","6"
"Genus Hippocampus","ASCL1 protein, human","6"
"Pituitary Gland, Posterior","Somatostatin","6"
"Cerebral cortex","CX3CR1 protein, human","6"
"BRAIN, HIPPOCAMPUS","Captopril","6"
"BRAIN, HIPPOCAMPUS","Thymidine Phosphorylase","6"
"CA1 field","Neuregulin 1","6"
"Structure of rubrospinal tract","Peptides","6"
"Cerebral hemisphere structure (body structure)","alpha 1-Antichymotrypsin","6"
"BRAIN, HIPPOCAMPUS","Acetyltransferase, Histone","6"
"Inferior Colliculus","Gonadorelin","6"
"Pars Compacta","Acetylcholinesterase","6"
"Visual Cortex","NADP","6"
"Lateral ventricle structure","Genes","6"
"Structure of thalamic reticular nucleus","Caspase-3","6"
"Planum polare (PP)","Prions","6"
"Longitudinal pontine fibers","Chimerin 1","6"
"Cerebral cortex","Calcium/calmodulin-dependent protein kinase","6"
"Medial geniculate body","Retinaldehyde","6"
"Linear nucleus","Gonadorelin","6"
"Ventral premammillary nucleus","KISS1 protein, human","6"
"Thalamic structure","Mixed Function Oxygenases","6"
"Nucleus solitarius","Poly ADP Ribose Polymerase","6"
"Cortex, Primary Motor","Glutamate Receptor","6"
"Brain Stem","Phosphotransferases","6"
"Ventral Tegmental Area","Nerve Growth Factors","6"
"Anterodorsal nucleus of thalamus","Clusterin","6"
"Ventral Lateral Thalamic Nucleus","Cholecystokinin","6"
"Olfactory Nerve","Monoclonal Antibodies","6"
"Neocortex","DNA","6"
"Cerebellum","Glycosaminoglycans","6"
"Structure of locus ceruleus","Binding Protein","6"
"Hypothalamic Area, Lateral","alpha-Melanocyte stimulating hormone","6"
"CA1 field","Dopamine D2 Receptor","6"
"Nucleus solitarius","SILV protein, human","6"
"Structure of medial preoptic nucleus","Peptides","6"
"CA1 field","PIK3CG protein, human","6"
"Structure of hippocampal fissure","Phenylalanine","6"
"Entire medulla oblongata","Genes","6"
"Structure of anterior commissure","Coenzyme A","6"
"Telencephalon","myelination","6"
"Linear nucleus","Arginine Vasopressin-Neurophysin II Preproprotein","6"
"Cerebral cortex","Membrane Proteins","6"
"Hypothalamic structure","Autoantibodies","6"
"CA1 field","tau Proteins","6"
"BRAIN, HIPPOCAMPUS","Xanthine","6"
"Neocortex","Glycine","6"
"Nucleus of the Pretectal Area","Factor XI","6"
"Superior colliculus of corpora quadrigemina","Dehydrogenase, Dihydrolipoamide","6"
"Globus Pallidus","Enkephalin, Methionine","6"
"Auditory area","Platelet Activating Factor","6"
"Pyramidal Cells","Interleukin-10","6"
"Pituitary Gland","Angiotensin II","6"
"Genus Hippocampus","Dipyridamole","6"
"Rostrotemporal auditory area","Tumor Necrosis Factors","6"
"Midbrain structure","Receptors, Neurotensin","6"
"Nucleus solitarius","Choline O-Acetyltransferase","6"
"Superior colliculus of corpora quadrigemina","PRF1 protein, human","6"
"Pyramidal Cells","Leptin","6"
"Temporal Lobe","Amyloid beta-Protein Precursor","6"
"Cerebellum","F-Actin","6"
"Nucleus solitarius","Fluorescent Dyes","6"
"Neostriatum","Human Leukocyte Interferon","6"
"Globus Pallidus","Synucleins","6"
"Structure of olfactory bulb","Peptides","6"
"Lobe, Frontal","Neurogranin","6"
"Pyramidal Cells","STIP1 protein, human","6"
"Amygdaloid structure","Nerve Growth Factor","6"
"CA1 field","Bromodeoxyuridine","6"
"Prosencephalon","Acetylcysteine","6"
"Basal Forebrain","tau Proteins","6"
"Linear nucleus","Chloramphenicol O-Acetyltransferase","6"
"Substantia nigra structure","5-Hydroxytryptamine Receptor 1A, human","6"
"Cerebral cortex","3-Oxo-5-Alpha-Steroid 4-Dehydrogenase 1","6"
"Neostriatum","Ciliary Neurotrophic Factor","6"
"Cerebellum","Cancer/Testis Antigen","6"
"Anterodorsal nucleus of thalamus","Retinaldehyde","6"
"Thalamic structure","Vasopressin (USP)","6"
"Oculomotor nucleus","INSR protein, human","6"
"Prefrontal Cortex","Superoxide Dismutase","6"
"Pregeniculate nucleus","Substance P","6"
"Laterodorsal tegmental nucleus","Ghrelin","6"
"Cerebral cortex","Methylene blue","6"
"Metencephalon","Protein Subunits","6"
"Occipital lobe","Enkephalins","6"
"Structure of central sulcus","Cancer/Testis Antigen","6"
"Structure of nucleus gracilis","Proline","6"
"Cerebellar vermis structure","Antibodies","6"
"Auditory Hair Cell","Neurotrophic Factor","6"
"Entire medial geniculate body","Calcitonin Gene-Related Peptide","6"
"Nucleus Accumbens","Receptor 5, Metabotropic Glutamate","6"
"Flocculus","Corticotropin-Releasing Hormone","6"
"Structure of locus ceruleus","Fenclonine","6"
"Structure of locus ceruleus","Cholecystokinin","6"
"Purkinje Cells","Semaphorin-3A","6"
"Ventral Lateral Thalamic Nucleus","Receptor","6"
"CA2 field","Galectin 3","6"
"Limbic System","Proteins","6"
"Solitary tract","N-Methylaspartate","6"
"Anterodorsal nucleus of thalamus","Chemokine","6"
"Structure of subiculum hippocampi","Fibronectins","6"
"Vestibular nucleus structure","Calretinin","6"
"Posterior Hypothalamic Region","Histidine Decarboxylase","6"
"Structure of locus ceruleus","protein TDP-43","6"
"Medulla Oblongata","Histidine","6"
"Pyramidal Cells","Eosine Yellowish","6"
"Genus Hippocampus","Synaptotagmin I","6"
"Temporal Lobe","NADP","6"
"CA3 field","Cholinergic Receptors","6"
"central amygdalar nucleus","Protein Kinases","6"
"Preoptic Areas","Pituitary Hormones, Anterior","6"
"Amygdaloid Nucleus, Cortical","Oxidoreductase","6"
"Genus Hippocampus","Transporter, Dopamine","6"
"Corpus striatum structure","S100 calcium binding protein A10","6"
"Region of hypothalamus","Gonadorelin","6"
"Cerebral Ventricles","Luteinizing Hormone","6"
"CA1 field","NADPH Dehydrogenase","6"
"Cerebral cortex","N-Acetylgalactosamine-6-sulfatase","6"
"Genus Hippocampus","Symporters","6"
"Neostriatum","Capsid Proteins","6"
"Internal capsule posterior limb structure","Proto-Oncogene Proteins c-akt","6"
"Thalamic structure","Lysine","6"
"Genus Hippocampus","Glycosaminoglycans","6"
"Cerebellum","DNA, Mitochondrial","6"
"Median eminence of hypothalamus","Nitric Oxide Synthase","6"
"Corpus striatum structure","Cysteine","6"
"BRAIN, HIPPOCAMPUS","MEF2 Transcription Factors","6"
"Auditory Hair Cell","Phalloidine","6"
"Cerebellum","Tretinoin","6"
"Pineal gland","Choline O-Acetyltransferase","6"
"Gigantocellular nucleus","Horseradish Peroxidase","6"
"Neocortex","Catenins","6"
"Nucleus fastigii","Tumor Necrosis Factor Ligand Superfamily Member 6","6"
"Cerebral cortex","Aggrecans","6"
"Midbrain structure","Laminin","6"
"Neostriatum","Cysteine","6"
"Cerebral cortex","Cathepsin B","6"
"CA3 field","Interleukin-6","6"
"Amygdaloid structure","Amyloid beta-Protein Precursor","6"
"Prefrontal Cortex","Serine","6"
"Pituitary Gland, Anterior","Corticotropin","6"
"Somatosensory Cortex","Proteoglycan","6"
"Genus Hippocampus","Cre recombinase","6"
"Corpus striatum structure","SILV protein, human","6"
"Pituitary Gland, Posterior","Posterior Pituitary Hormones","6"
"Thalamic structure","Prions","6"
"Neostriatum","Glycoproteins","6"
"Nucleus, Principal Pretectal","Choline O-Acetyltransferase","6"
"Genus Hippocampus","astaxanthin","6"
"Preoptic Areas","Vasopressin (USP)","6"
"Cerebral cortex","Antibodies, Neutralizing","6"
"Structure of endopeduncular nucleus","Dopamine Receptor","6"
"Cochlear Nerve","ARID1A protein, human","6"
"Neostriatum","Reduced Glutathione","6"
"Medulla Oblongata","Colony-Stimulating Factors","6"
"Structure of subthalamic nucleus","HCRT Gene","6"
"Structure of endopeduncular nucleus","Substance P","6"
"CA3 field","Enkephalin, Leucine","6"
"Neostriatum","Thyrotropin-Releasing Hormone","6"
"Linear nucleus","Retinaldehyde","6"
"Auditory area","Serotonin","6"
"Anterodorsal nucleus of thalamus","BECN1 protein, human","6"
"Amygdaloid Nucleus, Cortical","Myelin","6"
"Midbrain structure","Peroxidase stain","6"
"Basal Ganglia","Calbindin 1","6"
"Marginal Sulcus","Myelin basic protein","6"
"Pyramidal Cells","Serotonin 5-HT-3 Receptor","6"
"Purkinje Cells","Neurotrophic Factor","6"
"Dorsal Nucleus Raphe","Calcitonin Gene-Related Peptide","6"
"Nucleus Accumbens","Caffeine","6"
"Tectum Mesencephali","Proteins","6"
"Preoptic Areas","Enkephalins","6"
"Cerebellum","Cyclic AMP-Responsive DNA-Binding Protein","6"
"Substantia nigra structure","Papaverine","6"
"CA1 field","Phosphoinositide-3-Kinase, Catalytic, Beta Polypeptide","6"
"Structure of hippocampal fissure","Proteins","6"
"BRAIN, HIPPOCAMPUS","Complement 3","6"
"CA3 field","DNA Nucleotidylexotransferase","6"
"Set of basolateral nuclei of amygdala","Proteins","6"
"Genus Hippocampus","NFIX protein, human","6"
"Hypothalamic structure","Specific antibody","6"
"Thalamic structure","Adrenergic Receptor","6"
"Caudate nucleus structure","Enzymes","6"
"Pituitary Gland, Posterior","tau Proteins","6"
"Nucleus solitarius","Corticotropin","6"
"Cochlear nucleus structure","Proteins","6"
"Genus Hippocampus","Reduced Glutathione","6"
"Cerebral Peduncle","Regulatory Protein","6"
"Neostriatum","Peroxidase stain","6"
"Area, Septal","Argipressin","6"
"Acoustic nerve","Chloramphenicol O-Acetyltransferase","6"
"Structure of locus ceruleus","NADPH Dehydrogenase","6"
"Pedunculopontine Tegmental Nucleus","Galanin","6"
"Medulla Oblongata","Chromogranin A","6"
"Medial geniculate body","Chloramphenicol O-Acetyltransferase","6"
"Cerebral hemisphere structure (body structure)","Curcumin","6"
"Neostriatum","S100 calcium binding protein A10","6"
"Prosencephalon","Insulin-Like Growth Factor I","6"
"Cerebellum","Insulin-Like-Growth Factor I Receptor","6"
"Globus Pallidus","Nitric Oxide Synthase","6"
"Neostriatum","Methionine","6"
"Superior colliculus of corpora quadrigemina","SILV protein, human","6"
"CA1 field","Translocase","6"
"CA3 field","Synucleins","6"
"Inner Auditory Hair Cells","Brain-Derived Neurotrophic Factor","6"
"Hypothalamic structure","Mixed Function Oxygenases","6"
"Anterodorsal nucleus of thalamus","AMP-Activated Protein Kinases","6"
"Cochlear outer hair cell","Proteins","6"
"Cerebral cortex","Dynein ATPase","6"
"Purkinje Cells","Plasmids","6"
"Structure of rubrospinal tract","Y, Neuropeptide","6"
"Cerebrum","VEGF protein, human","6"
"Midbrain structure","Glucosylceramidase","6"
"Dorsal Nucleus Raphe","Chloramphenicol O-Acetyltransferase","6"
"Cerebellar cortex structure","Calbindins","6"
"Cerebral hemisphere structure (body structure)","Extracellular Signal Regulated Kinases","6"
"CA3 field","ras Proto-Oncogene Protein p21","6"
"BRAIN, HIPPOCAMPUS","alpha-neoendorphin","6"
"Orbitofrontal cortex","HOXA10 protein, human","6"
"Dorsal Motor Nucleus","Chloramphenicol O-Acetyltransferase","6"
"Hypothalamic Area, Lateral","GABA Receptor","6"
"Thalamic structure","Neurotrophin 3","6"
"Olfactory Nerve","Calcitonin Gene-Related Peptide","6"
"Cerebral cortex","CNTNAP2 protein, human","6"
"Medial geniculate body","Calcitonin Gene-Related Peptide","6"
"Central cord canal structure","INSR protein, human","6"
"Cerebral hemisphere structure (body structure)","LCN2 protein, human","6"
"Basal Ganglia","Calcium","6"
"CA1 field","Methionine","6"
"Auditory area","Matrix Metalloproteinase 9","6"
"Posterior Hypothalamic Region","Chloramphenicol O-Acetyltransferase","6"
"Anterodorsal nucleus of thalamus","Membrane Transport Proteins","6"
"Longitudinal pontine fibers","Horseradish Peroxidase","6"
"Prosencephalon","orexins","6"
"Cerebral hemisphere structure (body structure)","NOS1 protein, human","6"
"Genus Hippocampus","EHMT1 protein, human","6"
"Prefrontal Cortex","Extracellular Signal Regulated Kinases","6"
"BRAIN, HIPPOCAMPUS","N-(4-carboxyphenyl)retinamide","6"
"Structure of paraventricular nucleus","Immune Sera","6"
"Substantia innominata","Glutamate Decarboxylase","6"
"Cerebral hemisphere structure (body structure)","Vimentin","6"
"Structure of locus ceruleus","Vasoactive Intestinal Peptide","6"
"Caudal pontine reticular nucleus","Adrenergic Receptor","6"
"Cerebellum","Vitronectin","6"
"BRAIN, HIPPOCAMPUS","Aromatase Inhibitors","6"
"Cerebral cortex","Receptors, Corticotropin-Releasing Hormone","6"
"Hypothalamic structure","Calbindins","6"
"Genus Hippocampus","Oxytocin Receptor","6"
"Median eminence of hypothalamus","Estrogen Receptors","6"
"BRAIN, HIPPOCAMPUS","TCF3 Fusion Partner","6"
"Paracentral Thalamic Nucleus","Protein Kinase C","6"
"Structure of locus ceruleus","SH2D3C Gene","6"
"BRAIN, HIPPOCAMPUS","bexarotene","6"
"Hypothalamic structure","Taurine","6"
"Structure of nucleus prepositus","Hypoxia Inducible Factor Family","6"
"Nucleus Accumbens","Receptors, Opioid, delta","6"
"Entire pituitary pars tuberalis","Prolactin","6"
"Bundle, Predorsal","Curcumin","6"
"Lateral ventricle structure","Neural Cell Adhesion Molecules","6"
"Medulla Oblongata","APP protein, human","6"
"Structure of olfactory bulb","Somatostatin","6"
"BRAIN, HIPPOCAMPUS","Prolow-Density Lipoprotein Receptor-Related Protein 1","6"
"Nucleus of anterior commissure","Gonadorelin","6"
"Posterior cerebral commissure","Somatostatin","6"
"Pituitary Gland, Posterior","Immune Sera","6"
"BRAIN, HIPPOCAMPUS","NAD(P)H dehydrogenase (quinone) 1, human","6"
"CA1 field","Phosphoric diester hydrolase","6"
"Substantia nigra structure","Transketolase","6"
"Cerebellum","alpha-Tubulin","6"
"Pituitary Stalk","Galanin","6"
"Anterodorsal nucleus of thalamus","DNA, Mitochondrial","6"
"Complex, Superior Olivary","Parvalbumins","6"
"Lateral Dorsal Nucleus","Proteins","6"
"Paracentral Thalamic Nucleus","Protein Subunits","6"
"Hypothalamic Area, Lateral","alanylglutamine","6"
"Septal Nuclei","Choline O-Acetyltransferase","6"
"Cerebrum","Acetylcholinesterase","6"
"Cerebral cortex","RTN1 protein, human","6"
"BRAIN, HIPPOCAMPUS","HSPB1 protein, human","6"
"Structure of posterior hypothalamic nucleus","Receptor","6"
"Cerebral hemisphere structure (body structure)","Albumins","6"
"Central gray substance of midbrain","Genes","6"
"Cerebral cortex","Agglutinins","6"
"Preoptic Areas","Neuropeptides","6"
"Basal Ganglia","Receptor 5, Metabotropic Glutamate","6"
"Nucleus solitarius","Nerve Growth Factor","6"
"Posterior cerebral commissure","Glial Fibrillary Acidic Protein","6"
"Midbrain structure","myelination","6"
"Substantia nigra structure","Artemin, human","6"
"Paracentral Thalamic Nucleus","Brain-Derived Neurotrophic Factor","6"
"Medulla Oblongata","Ubiquitin","6"
"Olivocerebellar fibers","Arginine Vasopressin-Neurophysin II Preproprotein","6"
"CA1 field","Receptor, Cannabinoid","6"
"Structure of paraventricular nucleus of thalamus","Glial Cell Line-Derived Neurotrophic Factor","6"
"Anterodorsal nucleus of thalamus","1-Phosphatidylinositol 3-Kinase","6"
"Prosencephalon","VEGF protein, human","6"
"Cerebral cortex","Focal Adhesion Kinase 1","6"
"Cerebral cortex","Chloride Channels","6"
"Corpus striatum structure","Calmodulin 1","6"
"Structure of supramammillary nucleus","Appetite-Regulating Hormone","6"
"Superior colliculus of corpora quadrigemina","Chondroitin Sulfate Proteoglycans","6"
"Cerebellum","Cu-Zn Superoxide Dismutase","6"
"Structure of dentate gyrus","Acetylcholinesterase","6"
"Hypothalamic Area, Lateral","Nerve Growth Factor","6"
"Cerebellum","Receptors, Corticotropin-Releasing Hormone","6"
"Auditory Hair Cell","Amikacin","6"
"Structure of subiculum hippocampi","INSR protein, human","6"
"Cerebellum","Actins","6"
"Occipital lobe","Genes","6"
"Substantia nigra structure","Receptor, Cannabinoid","6"
"Neocortex","Transcobalamin","6"
"Nucleus of anterior commissure","Adenylyl Cyclase 9","6"
"BRAIN, HIPPOCAMPUS","Collagen","6"
"Genus Hippocampus","Epoxide hydrolase","6"
"Periamygdaloid Area","Proteins","6"
"Prefrontal Cortex","ST13 protein, human","6"
"Structure of lateral olfactory gyrus","Calcium","6"
"Caudate nucleus structure","HDAC Inhibitor SHP-141","6"
"Set of basolateral nuclei of amygdala","Dopamine D1 Receptor","6"
"Structure of preoptic periventricular nucleus","Tyrosine 3-Monooxygenase","6"
"Structure of angular gyrus","ANGPT1 protein, human","6"
"Visual Cortex","Polyclonal antibody","6"
"Structure of locus ceruleus","CD11b Antigens","6"
"BRAIN, HIPPOCAMPUS","Receptors, Nuclear","6"
"Corpus striatum structure","Interferons","6"
"Olivary Nucleus","Chloramphenicol O-Acetyltransferase","6"
"Parietal Lobe","Vasoactive Intestinal Peptide","6"
"Cerebral hemisphere structure (body structure)","Interleukin-1","6"
"Cerebellum","Associated Protein, FKBP12-Rapamycin","6"
"Median eminence of hypothalamus","Neurophysins","6"
"Cerebellum","Thyrotropin-Releasing Hormone","6"
"Internal capsule posterior limb structure","Mitogen-Activated Protein Kinase 3","6"
"Genus Hippocampus","Apoptosis Inducing Factor","6"
"CA2 field","Choline O-Acetyltransferase","6"
"Genus Hippocampus","Oxidase, Cytochrome-c","6"
"BRAIN, HIPPOCAMPUS","Xanthine Oxidase","6"
"Structure of supraoptic nucleus","N-Methylaspartate","6"
"Lateral ventricle structure","APP protein, human","6"
"Genus Hippocampus","ERG protein, human","6"
"Cerebellum","Lectin","6"
"Prefrontal Cortex","Transporter, Serotonin","6"
"Basal Ganglia","Nerve Growth Factors","6"
"Lateral Parabrachial Nucleus","Carcinoembryonic Antigen","6"
"BRAIN, HIPPOCAMPUS","GALR2 Galanin Receptor","6"
"Pyramidal Cells","Pituitary Adenylate Cyclase Activating Polypeptide","6"
"Cerebral cortex","2-Amino-5-phosphonovalerate","6"
"Set of basolateral nuclei of amygdala","HCRT protein, human","6"
"CA3 field","NR1 protein, human","6"
"Structure of anterior hypothalamic nucleus","Somatostatin","6"
"Thalamic structure","Biotin","6"
"Telencephalon","Retinaldehyde","6"
"Structure of trigeminal nerve spinal tract nucleus","Antibodies","6"
"Cerebral cortex","ROCK1 protein, human","6"
"Structure of locus ceruleus","Phosphoproteins","6"
"Cerebellum","Galactosidase","6"
"Prosencephalon","Methionine","6"
"Lobe, Frontal","Chloramphenicol O-Acetyltransferase","6"
"BRAIN, HIPPOCAMPUS","14-3-3 Proteins","6"
"Genus Hippocampus","Wheat Germ Agglutinins","6"
"Genus Hippocampus","Aspartic Acid","6"
"Structure of dentate gyrus","orexins","6"
"Brain Stem","Adenosine Triphosphatases","6"
"Prosencephalon","Dopa","6"
"Gigantocellular nucleus","GABA-B Receptor","6"
