"brainregion","disease","gene","count"
"Structure of locus ceruleus","Neurodegenerative Disorders","HTATIP wt Allele","1"
"BRAIN, HIPPOCAMPUS","Autism Spectrum Disorders","EIF2AK3 Gene","1"
"Structure of genu of corpus callosum","Fetal Alcohol Syndrome","FAS Gene","1"
"BRAIN, HIPPOCAMPUS","Functional disorder","HTT gene","1"
"Cerebellum","Disease Progression","MCOLN1 gene","1"
"Prefrontal Cortex","Stress Disorders, Traumatic","BDNF Gene","1"
"Paratenial Nucleus","Conduct Disorder","HLA-DQA1 wt Allele","1"
"Anterodorsal nucleus of thalamus","Syndrome","Wild Type","1"
"Hypothalamic structure","Spinal Cord Diseases","HCRT Gene","1"
"Structure of nucleus infundibularis hypothalami","Skin endocrine disorder","G-Protein Coupled Receptor Gene","1"
"Cerebral hemisphere structure (body structure)","Autism Spectrum Disorders","Genes","1"
"Cortex, Primary Motor","cortex bone disorders","GRIN2B wt Allele","1"
"Linear nucleus","Spinal Cord Diseases","Chloramphenicol O-Acetyltransferase","1"
"Retro-olivary cell group","cortex bone disorders","CALR Gene","1"
"Ventral Tegmental Area","Virus Diseases","SLC6A3 wt Allele","1"
"Cerebral cortex","cortex bone disorders","PAK1 Gene","1"
"Substantia nigra structure","Hamartoma Syndrome, Multiple","S100A9 wt Allele","1"
"Genus Hippocampus","cortex bone disorders","MIR195 Gene","1"
"Lamina Terminalis","Parkinson Disease","NR3C1 Gene","1"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","CAMK2A Gene","1"
"Paracentral Thalamic Nucleus","Conjunctival Diseases","KRT17 wt Allele","1"
"Neostriatum","cortex bone disorders","AMPH Gene","1"
"Parietal Lobe","cortex bone disorders","GNAI1 Gene","1"
"Hypothalamus, Anterior","Van der Woude syndrome","IL6 wt Allele","1"
"Tectospinal tract of medulla","Gilles de la Tourette syndrome","RANGAP1 wt Allele","1"
"Parahippocampal Gyrus","Sweet Syndrome","HTR1A wt Allele","1"
"Subfascicular nucleus","Inflammatory disorder","KITLG Gene","1"
"Brain Stem","Functional disorder","SLC1A2 Gene","1"
"Temporal Lobe","Down Syndrome","CD68 Gene","1"
"Cerebellum","Fucosidase Deficiency Disease","CD8A wt Allele","1"
"Gigantocellular nucleus","Disease Progression","GNAI1 Gene","1"
"Nucleus fastigii","Fetal Alcohol Syndrome","Estrogen Receptors","1"
"Thalamic structure","cortex bone disorders","HRK Gene","1"
"Genus Hippocampus","Pancreatic Diseases","GIP Gene","1"
"CA3 field","Parkinson Disease","SST Gene","1"
"Left inferior occipitofrontal fasciculus","Paramyotonia congenita (disorder)","ASAH1 Gene","1"
"Structure of thalamic fasciculus","Lens Diseases","CLIC4 wt Allele","1"
"Nucleus Accumbens","Spinal Cord Diseases","BRD4 Gene","1"
"Lateral ventricle structure","Liver diseases","TH gene","1"
"Rostrotemporal auditory area","Stress Disorders, Traumatic","SQSTM1 wt Allele","1"
"BRAIN, HIPPOCAMPUS","Stress Disorders, Traumatic","VEGFA Gene","1"
"Genus Hippocampus","Liver diseases","NGF Gene","1"
"Structure of locus ceruleus","Papillon-Lefevre Disease","PCSK7 Gene","1"
"Cerebral hemisphere structure (body structure)","Brain Diseases","PCYT1A wt Allele","1"
"Complex, Superior Olivary","Alzheimer's Disease","Exons","1"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","BIRC5 wt Allele","1"
"Genus Hippocampus","cortex bone disorders","FOXD3 wt Allele","1"
"Prosencephalon","neuropathology disease","MAPT wt Allele","1"
"Cerebellum","Shy-Drager Syndrome","FAT1 gene","1"
"Genus Hippocampus","Major Depressive Disorder","CREB1 wt Allele","1"
"Entire substantia nigra","Depressive disorder","Heterozygote","1"
"Rostrotemporal auditory area","Feline urological syndrome","POMC wt Allele","1"
"Marginal Sulcus","Depressive disorder","AVP wt Allele","1"
"Cerebellum","Greig cephalopolysyndactyly syndrome","CUX1 wt Allele","1"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","NEFM Gene","1"
"Substantia nigra structure","McCune-Albright Syndrome","MAS1 wt Allele","1"
"Rostrotemporal auditory area","Alzheimer's Disease","Wild Type","1"
"Basal Forebrain","cortex bone disorders","NPY Gene","1"
"Nucleus solitarius","Hypertensive disease","LRP5 wt Allele","1"
"BRAIN, HIPPOCAMPUS","Rasmussen Syndrome","CD8A wt Allele","1"
"Substantia innominata","Alzheimer's Disease","SILV wt Allele","1"
"Neostriatum","cortex bone disorders","SLC16A1 wt Allele","1"
"Structure of tectobulbar tract","Van der Woude syndrome","MAP1LC3A wt Allele","1"
"Brain Stem","cortex bone disorders","ABCC8 gene","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","KRAS wt Allele","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","MBL2 gene","1"
"Neostriatum","Colonic Diseases","PMP22 wt Allele","1"
"Nucleus of optic tract","Pituitary Diseases","IFNAR1 wt Allele","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","TP53 gene","1"
"Structure of capsule of red nucleus","Melkersson-Rosenthal Syndrome","F2R wt Allele","1"
"Pituitary Gland, Posterior","Retinal Diseases","OTX2 Gene","1"
"Internal capsule posterior limb structure","Aicardi's syndrome","VIP wt Allele","1"
"Genus Hippocampus","Marfan Syndrome","CTLA4 wt Allele","1"
"Inferior Colliculus","Liver diseases","MAPT wt Allele","1"
"Optic tract structure","Syndrome, Bloch-Sulzberger","Genes, Immediate-Early","1"
"intercalated amygdalar nuclei","Spastic syndrome","DTL wt Allele","1"
"Basal Forebrain","Pituitary Diseases","GNRH1 Gene","1"
"Lateral Septal Nucleus","Sweet Syndrome","PITX2 wt Allele","1"
"Genus Hippocampus","Neurotoxicity Syndromes","CREB1 wt Allele","1"
"Genus Hippocampus","Down Syndrome","Wild Type","1"
"Genus Hippocampus","cortex bone disorders","SCG2 Gene","1"
"Structure of intraparietal sulcus","cortex bone disorders","F3 wt Allele","1"
"Cerebral cortex","Disorder nervous system","MAPT wt Allele","1"
"Genus Hippocampus","Fetal Alcohol Syndrome","TNFRSF1A wt Allele","1"
"Cerebellum","Neurodegenerative Disorders","PARP1 wt Allele","1"
"CA1 field","Depressive disorder","FGFR1 wt Allele","1"
"Brain Stem","Parkinson Disease","PEMT wt Allele","1"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","RB1 wt Allele","1"
"Cerebral white matter structure","Creutzfeldt-Jakob disease","PCYT1A wt Allele","1"
"Cerebellum","Peripheral Arterial Diseases","SILV wt Allele","1"
"Subfascicular nucleus","Depressive disorder","KITLG wt Allele","1"
"BRAIN, HIPPOCAMPUS","Hereditary Diseases","EIF2S1 wt Allele","1"
"Calcarine sulcus","Syndrome","ATP7B gene","1"
"BRAIN, HIPPOCAMPUS","Mohr-Tranebjaerg syndrome","ENG wt Allele","1"
"Structure of central sulcus","Williams Syndrome","SET Gene","1"
"Entire medulla oblongata","Sudden infant death syndrome","GFAP gene","1"
"Primary Auditory Cortex","Carpal Tunnel Syndrome","CALCA Gene","1"
"Brain Stem","cortex bone disorders","TM4SF1 wt Allele","1"
"Limbic System","Functional disorder","SET Gene","1"
"Neocortex","Creutzfeldt-Jakob Disease, Sporadic","ABCB6 wt Allele","1"
"Structure of piriform area","Spinal Cord Diseases","Transgenes","1"
"Central Dorsal Nucleus","Hamartoma Syndrome, Multiple","TAC1 Gene","1"
"Genus Hippocampus","Spinal Cord Diseases","NOVA2 Gene","1"
"Anterodorsal nucleus of thalamus","Parkinson Disease","FKBP1A wt Allele","1"
"Basal Ganglia","Retinal Diseases","THBD wt Allele","1"
"Visual Cortex","Developmental delay (disorder)","PPFIBP1 wt Allele","1"
"Nucleus Accumbens","Stereotypic Movement Disorder","FASTK Gene","1"
"Bundle, Predorsal","Parkinson Disease","DRD2 Gene","1"
"Cerebellum","Ataxia as late effect of cerebrovascular disease","CIC Gene","1"
"Pineal gland","Pituitary Diseases","SERPINA1 gene","1"
"Ventral Tegmental Area","cortex bone disorders","HOXA10 wt Allele","1"
"Cerebellum","Neurotoxicity Syndromes","GYPA Gene","1"
"Cerebral hemisphere structure (body structure)","Fetal Alcohol Syndrome","DAXX Gene","1"
"Thalamic structure","Spinal Cord Diseases","Genes","1"
"Structure of capsule of red nucleus","Van der Woude syndrome","CD55 wt Allele","1"
"Pituitary Gland","Liver diseases","Genes","1"
"BRAIN, HIPPOCAMPUS","Hereditary Diseases","REG3A wt Allele","1"
"CA2 field","Neurotoxicity Syndromes","DPYD wt Allele","1"
"Motor Cortex","Functional disorder","CSPG4 Gene","1"
"Cerebral cortex","Drug effect disorder","INS gene","1"
"Cerebral cortex","Attention Deficit Disorder","ELANE wt Allele","1"
"Structure of subthalamic nucleus","Neurotoxicity Syndromes","SCG2 Gene","1"
"Gonadotrophs","Prostatic Diseases","EDNRA wt Allele","1"
"Parahippocampal Gyrus","Leigh Disease","GC Gene","1"
"CA2 field","Hamartoma Syndrome, Multiple","ATP8A2 wt Allele","1"
"Midbrain structure","cortex bone disorders","PPT1 gene","1"
"Genus Hippocampus","Van der Woude syndrome","RANGAP1 wt Allele","1"
"Ventral Striatum","Shwachman syndrome","SCG2 Gene","1"
"Gonadotrophs","Ovarian Diseases","B4GALT1 wt Allele","1"
"Cerebral cortex","Van der Woude syndrome","PIK3CA wt Allele","1"
"Inferior frontal gyrus","Seasonal Affective Disorder","IFNG Gene","1"
"Nucleus fastigii","Fetal Alcohol Syndrome","LTB Gene","1"
"Genus Hippocampus","Cognition Disorders","AMH wt Allele","1"
"Cerebrum","Feline urological syndrome","POMC wt Allele","1"
"Hypothalamic structure","cortex bone disorders","CHPT1 Gene","1"
"Cortex, Primary Motor","Spinal Cord Diseases","CSPG4 wt Allele","1"
"Structure of capsule of red nucleus","Disease Progression","CR2 wt Allele","1"
"Substantia nigra structure","Van der Woude syndrome","NOS2 Gene","1"
"Cerebral cortex","cortex bone disorders","ARID1A Gene","1"
"BRAIN, HIPPOCAMPUS","Immune System Diseases","ELANE Gene","1"
"Midbrain structure","Pervasive Development Disorder","HSPA5 wt Allele","1"
"Cerebellum","cortex bone disorders","PSAP gene","1"
"CA3 field","neuropathology disease","SEPP1 Gene","1"
"Rostrotemporal auditory area","Huntington Disease","SLC6A4 wt Allele","1"
"Neocortex","Werner Syndrome","Oncogenes","1"
"Neostriatum","Neurotoxicity Syndromes","SOD1 wt Allele","1"
"Genus Hippocampus","cortex bone disorders","MTCP1NB wt Allele","1"
"Cerebellum","Retinal Diseases","Genes","1"
"Cerebral cortex","Liver diseases","CP Gene","1"
"Structure of paraventricular nucleus of thalamus","Recurrent disease","BDNF Gene","1"
"Tectospinal tract of medulla","cortex bone disorders","TYMS wt Allele","1"
"BRAIN, HIPPOCAMPUS","Retinal Diseases","CAT Gene","1"
"Gigantocellular nucleus","Junctional premature complex (disorder)","CHGA Gene","1"
"Structure of habenulopeduncular tract","Autism Spectrum Disorders","DDIT3 wt Allele","1"
"Genus Hippocampus","Neurotoxicity Syndromes","CDK5 Gene","1"
"Pyramidal Cells","Autistic Disorder","HTR3A wt Allele","1"
"Corpus striatum structure","cortex bone disorders","FKBP5 Gene","1"
"Prefrontal Cortex","Huntington Disease","HTT wt Allele","1"
"Marginal Sulcus","Tic disorder","TIMP1 Gene","1"
"Organum Vasculosum Laminae Terminalis","Syndrome, Bloch-Sulzberger","RRM1 Gene","1"
"Structure of angular gyrus","Hypertensive disease","ATM wt Allele","1"
"Pars Compacta","Parkinson Disease","ASPSCR1 Gene","1"
"Substantia nigra structure","Van der Woude syndrome","GFAP gene","1"
"BRAIN, HIPPOCAMPUS","Autism Spectrum Disorders","FOXP1 Gene","1"
"Basal Ganglia","McCune-Albright Syndrome","MAS1 wt Allele","1"
"Prosencephalon","Spinal Cord Diseases","Gene Regulatory Networks","1"
"Neostriatum","Liver diseases","FUS Gene","1"
"Cortex, Primary Motor","neuropathology disease","MTR wt Allele","1"
"Amygdaloid structure","cortex bone disorders","REN Gene","1"
"Posterior cerebral commissure","Cerebellar Diseases","KRT17 wt Allele","1"
"Structure of nucleus prepositus","Huntington Disease","HTT gene","1"
"Lactotrophs","Pituitary Diseases","SST Gene","1"
"Genus Hippocampus","Gardner Syndrome","NOS2 Gene","1"
"Medial orbital gyrus","cortex bone disorders","ADA Gene","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","ENO2 wt Allele","1"
"Limbic System","Alzheimer's Disease","MAPT wt Allele","1"
"Structure of olfactory bulb","Renal glomerular disease","NPY wt Allele","1"
"Lateral Dorsal Nucleus","Pituitary Diseases","TH gene","1"
"Structure of Forel's H2 bundle","Bipolar Disorder","HLA-DRB1 wt Allele","1"
"Midbrain structure","cortex bone disorders","TNFRSF11A wt Allele","1"
"Cerebral cortex","Disease Progression","APP gene","1"
"Cerebellar cortex structure","Depressive disorder","PROC wt Allele","1"
"Entire lateral geniculate body","DISORDERS OF THE OPTIC NERVE","PRNP wt Allele","1"
"Cerebral cortex","Depressive disorder","AR gene","1"
"Structure of locus ceruleus","Depressive disorder","HCRT Gene","1"
"Amygdaloid structure","Huntington Disease","HTT gene","1"
"Central Dorsal Nucleus","Toxic liver disease","NOD2 wt Allele","1"
"Structure of capsule of red nucleus","Motor Neuron Disease","CD55 wt Allele","1"
"Tectospinal tract of medulla","Williams Syndrome","CTBP1 wt Allele","1"
"Corpus striatum structure","Behavior Disorders","TH gene","1"
"Dentatothalamic tract","Clinically isolated syndrome","CISH Gene","1"
"Lobe, Frontal","Alzheimer's Disease","PSEN1 gene","1"
"Pars Compacta","Parkinson Disease","YWHAE wt Allele","1"
"Cerebellar vermis structure","Nystagmus associated with disorder of the vestibular system","FASTK Gene","1"
"External nucleus of inferior colliculus","Papillon-Lefevre Disease","TIMP1 Gene","1"
"Paracentral sulcus","Shy-Drager Syndrome","TPO wt Allele","1"
"Dentatothalamic tract","Parkinsonian Disorders","PITX2 wt Allele","1"
"Medulla Oblongata","Neurodegenerative Disorders","BCAR1 Gene","1"
"Structure of intraparietal sulcus","cortex bone disorders","TRIP10 wt Allele","1"
"Cerebral cortex","Disorders, Mental","TCF4 Gene","1"
"Neocortex","Lewy Body Disease","HMOX1 Gene","1"
"BRAIN, HIPPOCAMPUS","Sweet Syndrome","BDNF Gene","1"
"Pars Compacta","motor disorder","CARD8 Gene","1"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","S100A1 wt Allele","1"
"Cerebellum","Syndrome, Bloch-Sulzberger","Chloramphenicol Acetyl Transferase Gene","1"
"Dorsal Nucleus Raphe","Metabolic Diseases","BDNF Gene","1"
"BRAIN, HIPPOCAMPUS","Depressive disorder","HTT wt Allele","1"
"Genus Hippocampus","Disease Progression","CCND1 gene","1"
"Metencephalon","Neurotoxicity Syndromes","MET Gene","1"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","CTGF wt Allele","1"
"BRAIN, HIPPOCAMPUS","Depressive disorder","CD36 Gene","1"
"Lobe, Frontal","Zellweger Syndrome","NR3C1 Gene","1"
"Central Dorsal Nucleus","Parkinson Disease","AMH Gene","1"
"Prosencephalon","Rett Syndrome","Genes","1"
"Posterolateral auditory cortex","cortex bone disorders","TRAF2 wt Allele","1"
"Structure of paraventricular nucleus","Disorders, Mental","AVP Gene","1"
"Cerebral cortex","Depressive disorder","Alleles","1"
"Substantia nigra structure","Hamartoma Syndrome, Multiple","ITGAM Gene","1"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","OXT Gene","1"
"Occipital lobe","Spinal Cord Diseases","PDGFRA gene","1"
"Structure of lateral mammillary nucleus","Pigment dispersion syndrome (disorder)","CDKN2A gene","1"
"Hypothalamic structure","Pancreatic Diseases","SIRT1 Gene","1"
"Thalamic structure","Parkinson Disease","MAPK8 wt Allele","1"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","C9orf72 Gene","1"
"Entire hypothalamus","Functional disorder","GNRH1 wt Allele","1"
"mossy fiber","Marfan Syndrome","CDK5R1 wt Allele","1"
"Cerebral cortex","Syndrome","DYRK1A Gene","1"
"BRAIN, HIPPOCAMPUS","Functional disorder","PSIP1 Gene","1"
"Cerebral hemisphere structure (body structure)","Autistic Disorder","CARD8 Gene","1"
"Tectospinal tract of medulla","Sandhoff Disease","TYMS wt Allele","1"
"Subfascicular nucleus","Retinal Diseases","KITLG Gene","1"
"CA1 field","Eosinophilic disorder","GFAP gene","1"
"Corpus Callosum","Spinal Cord Diseases","CDKN2A wt Allele","1"
"Corpus striatum structure","cortex bone disorders","TCF7L2 wt Allele","1"
"Caudate nucleus structure","Hamartoma Syndrome, Multiple","S100A8 wt Allele","1"
"central amygdalar nucleus","Functional disorder","ERBB4 Gene","1"
"BRAIN, HIPPOCAMPUS","Immune System Diseases","BDNF Gene","1"
"Genus Hippocampus","Parkinsonian Disorders","Retinoic Acid Response Element","1"
"Structure of locus ceruleus","Axenfeld-Rieger Syndrome, Type 1","PITX2 wt Allele","1"
"Pyramidal Cells","Alzheimer's Disease","Tumor Necrosis Factor-Beta","1"
"Structure of dentate gyrus","cortex bone disorders","MAPK1 wt Allele","1"
"Marginal Sulcus","Sensorineural hearing loss (disorder)","TBX4 wt Allele","1"
"Ventral Tegmental Area","cortex bone disorders","Wild Type","1"
"Rostrotemporal auditory area","Parkinson Disease","MAPT wt Allele","1"
"Cerebral cortex","Inclusion body myositis (disorder)","PODXL Gene","1"
"Paracentral Thalamic Nucleus","Peripheral Arterial Diseases","PROC Gene","1"
"Cerebral cortex","Alzheimer's Disease","BECN1 Gene","1"
"Genus Hippocampus","Alzheimer's Disease","TH gene","1"
"Cerebral cortex","Meningeal disorder","HCRT Gene","1"
"Lateral habenular nucleus","Parkinson Disease","CP Gene","1"
"Olfactory Nerve","Renal glomerular disease","GNRH1 wt Allele","1"
"Structure of piriform area","Spinal Cord Diseases","Promoter","1"
"Posterolateral auditory cortex","Inflammatory Bowel Diseases","HOXA10 wt Allele","1"
"Paracentral Thalamic Nucleus","Alzheimer's Disease","ACTB Gene","1"
"Structure of angular gyrus","cortex bone disorders","HBA1 wt Allele","1"
"Genus Hippocampus","Timothy syndrome","Gene Dosage","1"
"Cerebral cortex","Mucocutaneous Lymph Node Syndrome","MAFK wt Allele","1"
"Entire hippocampus","Fetal Alcohol Syndrome","FAS Gene","1"
"CA2 field","Depressive disorder","CPA1 wt Allele","1"
"CA3 field","Marfan Syndrome","c-fos Genes","1"
"CA1 field","Depressive disorder","TLR3 wt Allele","1"
"Corpus striatum structure","cortex bone disorders","TWIST1 gene","1"
"Cerebral cortex","Down Syndrome","LTF Gene","1"
"Corpus striatum structure","Disorders, Mental","Enhancer of transcription","1"
"Pineal gland","Chronic Obstructive Airway Disease","VIP wt Allele","1"
"Pituitary Gland","Functional disorder","INS gene","1"
"Basal Nucleus of Meynert","Parkinson Disease","TH gene","1"
"Bundle, Predorsal","Parkinson Disease","PPARA wt Allele","1"
"Cerebral cortex","Neurotoxicity Syndromes","E2F1 wt Allele","1"
"Cerebellum","Retinal Diseases","Homozygote","1"
"Prefrontal Cortex","Williams Syndrome","ELN wt Allele","1"
"Pyramidal Cells","Sweet Syndrome","KRT17 wt Allele","1"
"Corpus striatum structure","cortex bone disorders","SLC6A3 Gene","1"
"Cerebellum","cortex bone disorders","SET Gene","1"
"Structure of capsule of red nucleus","Disease Progression","CD55 wt Allele","1"
"Prosencephalon","Bloom Syndrome","ATP7A wt Allele","1"
"Nucleus fastigii","Fetal Alcohol Syndrome","CRP wt Allele","1"
"Central Dorsal Nucleus","CNS disorder","NOD2 wt Allele","1"
"Structure of olfactory bulb","Nose Diseases","PAGR1 wt Allele","1"
"Purkinje Cells","Depressive disorder","ELK3 Gene","1"
"BRAIN, HIPPOCAMPUS","Rasmussen Syndrome","Retinoic Acid Response Element","1"
"Cerebral hemisphere structure (body structure)","Thyroid Diseases","F2R wt Allele","1"
"Structure of Forel's H2 bundle","Hereditary Diseases","JAG1 wt Allele","1"
"Neostriatum","Syndrome, Bloch-Sulzberger","MPZ gene","1"
"Cerebellar cortex structure","Functional disorder","S100A8 wt Allele","1"
"Marginal Sulcus","Movement Disorders","MTR wt Allele","1"
"Cortex, Primary Motor","cortex bone disorders","CR2 wt Allele","1"
"Cerebellum","Machado-Joseph Disease","Promoter Regions, Genetic","1"
"Auditory Hair Cell","Diseases of inner ear","TYRP1 Gene","1"
"central amygdalar nucleus","Sweet Syndrome","SST Gene","1"
"Reticular Formation","Spinal Cord Diseases","CHAT Gene","1"
"Central Dorsal Nucleus","Hamartoma Syndrome, Multiple","TLR4 Gene","1"
"BRAIN, HIPPOCAMPUS","Timothy syndrome","MAPT wt Allele","1"
"Nucleus fastigii","Fetal Alcohol Syndrome","estrogen receptor alpha, human","1"
"Gigantocellular nucleus","Syndrome, Bloch-Sulzberger","GC wt Allele","1"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Regulatory Elements, Transcriptional","1"
"Structure of nucleus gracilis","Disorder nervous system","MTR wt Allele","1"
"Amygdaloid structure","Autism Spectrum Disorders","TBR1 Gene","1"
"Cerebrum","Spinal Cord Diseases","Chloramphenicol Acetyl Transferase Gene","1"
"Anterodorsal nucleus of thalamus","Mild cognitive disorder","SLC6A3 Gene","1"
"Pyramidal Cells","Depressive disorder","SPANXB1 wt Allele","1"
"Thalamic structure","Cockayne Syndrome, Type I","NFE2L2 wt Allele","1"
"Cerebral cortex","Alzheimer's Disease","JUN Gene","1"
"Anterodorsal nucleus of thalamus","Van der Woude syndrome","PODXL wt Allele","1"
"Corpus striatum structure","Parkinsonian Disorders","PSME3 wt Allele","1"
"Prefrontal Cortex","Major Depressive Disorder","FASTK Gene","1"
"Longitudinal pontine fibers","Recurrent disease","EXT1 gene","1"
"Neocortex","Spinal Cord Diseases","HOXB4 Gene","1"
"Thalamic structure","Pituitary Diseases","GH1 Gene","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","PODXL wt Allele","1"
"Cerebral cortex","Leigh Disease","CAT Gene","1"
"Auditory Hair Cell","Diseases of inner ear","FOXG1 Gene","1"
"Prefrontal Cortex","Stress Disorders, Traumatic","VEGFA wt Allele","1"
"Anterodorsal nucleus of thalamus","Mesulam Syndrome","TNFRSF1B wt Allele","1"
"Cerebral cortex","Sturge-Weber Syndrome","YY1 wt Allele","1"
"Rostrotemporal auditory area","Feline urological syndrome","FUS wt Allele","1"
"Corpus Callosum","Syndrome","Retinoic Acid Response Element","1"
"Structure of longitudinal cerebral fissure","Van der Woude syndrome","IRF6 wt Allele","1"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Clustered Regularly Interspaced Short Palindromic Repeats","1"
"Corpus striatum structure","Down Syndrome","ENG wt Allele","1"
"Entire cerebellum","Autistic Disorder","IFNG Gene","1"
"Lobe, Frontal","Alzheimer's Disease","EHMT1 Gene","1"
"Dorsal Nucleus Raphe","Mood Disorders","CRHR1 Gene","1"
"Cerebral cortex","Functional disorder","CTSD Gene","1"
"Cerebellum","Spinal Cord Diseases","Heterozygote","1"
"BRAIN, HIPPOCAMPUS","Autism Spectrum Disorders","TNF Gene","1"
"Midbrain structure","Gerstmann-Straussler-Scheinker Disease","PRNP wt Allele","1"
"Central Dorsal Nucleus","Conduct Disorder","NOD2 wt Allele","1"
"Thalamic Nuclei","Colonic Diseases","LIMS1 wt Allele","1"
"Preoptic Areas","Uterine Diseases","TH gene","1"
"BRAIN, HIPPOCAMPUS","Major Depressive Disorder","EPHB2 Gene","1"
"Genus Hippocampus","Retinal Diseases","CDKN2A wt Allele","1"
"Cerebral Ventricles","Pancreatic Diseases","GCG Gene","1"
"Superior colliculus of corpora quadrigemina","Parkinson Disease","ETV6 Gene","1"
"BRAIN, HIPPOCAMPUS","Functional disorder","KL Gene","1"
"Bundle, Predorsal","Parkinson Disease","NOD2 wt Allele","1"
"Cerebral cortex","Functional disorder","APOE gene","1"
"BRAIN, HIPPOCAMPUS","Melkersson-Rosenthal Syndrome","LEP Gene","1"
"Cerebrum","cortex bone disorders","CDKN2A wt Allele","1"
"Brain Stem","Spinal Cord Diseases","TARDBP wt Allele","1"
"Corpus striatum structure","cortex bone disorders","PARP1 Gene","1"
"Caudate nucleus structure","Hamartoma Syndrome, Multiple","FGF2 Gene","1"
"Cerebellum","cortex bone disorders","KRT1 Gene","1"
"Genus Hippocampus","Neurotoxicity Syndromes","MTR wt Allele","1"
"Structure of habenulopeduncular tract","Hereditary Diseases","ERN1 Gene","1"
"Structure of nucleus infundibularis hypothalami","Functional disorder","NPY wt Allele","1"
"Basal Forebrain","Alzheimer's Disease","APP gene","1"
"Substantia nigra structure","Parkinson Disease","MIF Gene","1"
"Medial Septal Nucleus","Tic disorder","PCSK7 Gene","1"
"Neostriatum","Andersen Syndrome","COL4A5 wt Allele","1"
"Cerebral cortex","Drug withdrawal syndrome","CP Gene","1"
"Structure of habenulopeduncular tract","Autism Spectrum Disorders","MTOR Gene","1"
"Nucleus of optic tract","Pituitary Diseases","AVP Gene","1"
"Structure of angular gyrus","Gilles de la Tourette syndrome","TYMS wt Allele","1"
"Nucleus Accumbens","Pituitary Diseases","CP Gene","1"
"BRAIN, HIPPOCAMPUS","Psychotic Disorders","Genes","1"
"Basal Forebrain","Cognition Disorders","CHAT Gene","1"
"Structure of ansa lenticularis","Alzheimer's Disease","MAP1LC3A Gene","1"
"Brain Stem","cortex bone disorders","PTH wt Allele","1"
"BRAIN, HIPPOCAMPUS","Hamartoma Syndrome, Multiple","RANGAP1 wt Allele","1"
"Substantia nigra structure","Parkinsonian Disorders","MPZ gene","1"
"Structure of locus ceruleus","Niemann-Pick Disease, Type C","AREG wt Allele","1"
"Genus Hippocampus","Down Syndrome","TNFRSF21 Gene","1"
"Hindbrain","Syndrome","MAPT wt Allele","1"
"Gonadotrophs","Ovarian Diseases","KISS1 Gene","1"
"Linear nucleus","Meningeal disorder","CALCA Gene","1"
"Area striata structure","Leigh Disease","KRAS wt Allele","1"
"Brain Stem","Shy-Drager Syndrome","CHGA Gene","1"
"Lateral Dorsal Nucleus","Alzheimer's Disease","PODXL wt Allele","1"
"Cerebral cortex","Functional disorder","FMR1 gene","1"
"Cerebral Peduncle","Liver diseases","CP Gene","1"
"Cerebral cortex","Neurodegenerative Disorders","Wild Type","1"
"Posterior Nucleus of Thalamus","Peripheral Arterial Diseases","PTH Gene","1"
"Cerebellar cortex structure","Syndrome","PODXL wt Allele","1"
"Medulla Oblongata","Gilles de la Tourette syndrome","TMPO wt Allele","1"
"CA2 field","Peripheral Arterial Diseases","PADI4 Gene","1"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","TRH wt Allele","1"
"Central insular sulcus","Post-Traumatic Stress Disorder","VCL Gene","1"
"Neostriatum","Brain Diseases","EPHB2 Gene","1"
"Cerebral hemisphere structure (body structure)","Functional disorder","HTT gene","1"
"Tectopontine fibers","Disorder nervous system","TYMP Gene","1"
"Corpus Callosum","DISORDERS OF THE OPTIC NERVE","CSPG4 wt Allele","1"
"BRAIN, HIPPOCAMPUS","Autism Spectrum Disorders","DDIT3 Gene","1"
"Genus Hippocampus","Depressive disorder","MRC1 wt Allele","1"
"Structure of suprachiasmatic nucleus","Jet Lag Syndrome","AVP Gene","1"
"Pineal gland","Alzheimer's Disease","SERPINA1 wt Allele","1"
"Cerebral cortex","Movement Disorders","HTT gene","1"
"Amygdaloid structure","Skin endocrine disorder","TYMP wt Allele","1"
"Superior colliculus of corpora quadrigemina","cortex bone disorders","NR4A3 wt Allele","1"
"Prosencephalon","Bloom Syndrome","MRC1 Gene","1"
"BRAIN, HIPPOCAMPUS","Melkersson-Rosenthal Syndrome","ELL wt Allele","1"
"Temporal Lobe","Rett Syndrome","MET wt Allele","1"
"Corpus striatum structure","Parkinson Disease","SCG2 Gene","1"
