"brainregion","mental","count"
"Brain Stem","Hearing problem","4"
"Thalamic Nuclei","psychological orientation","4"
"Lobe, Frontal","Somnolence","4"
"Lateral olfactory striae","Mental concentration","4"
"Brain Stem","Discrimination","4"
"Structure of forceps minor","Attention","4"
"Lateral geniculate complex","visual deprivation","4"
"Set of basolateral nuclei of amygdala","Retrieval of memory","4"
"Area striata structure","Reaching","4"
"Dentate nucleus","At risk for activity intolerance","4"
"Cerebral cortex","wakefulness and sleep","4"
"Ventral Lateral Thalamic Nucleus","At risk for imbalanced body temperature","4"
"Lactotrophs","Coitus","4"
"Structure of central sulcus","Sets (Psychology)","4"
"Hindbrain","Feedback - system communication","4"
"Basal Ganglia","smell perception","4"
"Parabrachial Nucleus","Sets (Psychology)","4"
"BRAIN, HIPPOCAMPUS","Imprinting (Psychology)","4"
"Caudate nucleus structure","Interested","4"
"Cuneiform nucleus","Psychological inhibition","4"
"Motor Cortex","Fatigue","4"
"Brain Stem","Behavioral change","4"
"Pyramidal Cells","Aggressive behavior","4"
"Prosencephalon","Courtship","4"
"Temporal Lobe","Awareness","4"
"BRAIN, HIPPOCAMPUS","Dental caries","4"
"Structure of subthalamic nucleus","Reaction Time","4"
"Ventral Tegmental Area","Mediation","4"
"Brodmann area 35","Like","4"
"CA2 field","Communication","4"
"Brain Stem","Affection","4"
"Globus Pallidus","Memory","4"
"BRAIN, HIPPOCAMPUS","Communications Media","4"
"Occipital lobe","Psychological inhibition","4"
"BRAIN, HIPPOCAMPUS","Increased stress","4"
"Prefrontal Cortex","Memory, Episodic","4"
"Parahippocampal Gyrus","Memory","4"
"Structure of subcommissural organ","Communication Response","4"
"Optic Chiasms","Vision","4"
"Internal capsule of brain","Echolocation","4"
"Thalamic structure","Erectile dysfunction","4"
"Pars nervosa of hypophysis","Stress","4"
"mossy fiber","Avoidance","4"
"Medial nucleus of habenula","Psychological inhibition","4"
"mossy fiber","Anxiety","4"
"Substantia nigra structure","Feeding Activity","4"
"Ventral premammillary nucleus","Social Role","4"
"Structure of suprageniculate nucleus","Stress","4"
"Basal Ganglia","Conscious","4"
"Prosencephalon","Reversal Learning","4"
"Hypothalamic structure","circadian behavior","4"
"CA1 field","Fetal stress","4"
"Inferior frontal gyrus","Behavior","4"
"Lobe, Frontal","Cognitive information processing","4"
"Brodmann area 22","Projection Defense Mechanism","4"
"Structure of superior parietal lobule","Social Role","4"
"Cerebral hemisphere structure (body structure)","Transsexual (finding)","4"
"Metencephalon","Mental association","4"
"Structure of locus ceruleus","Mental Processes","4"
"Entire thalamic reticular nucleus","prepulse inhibition activity","4"
"Brain Stem","Consensus","4"
"Lateral superior olivary nucleus","Hearing","4"
"Occipital lobe","Memory","4"
"Hindbrain","Sleep","4"
"Cerebral cortex","Confusion","4"
"Somatosensory Cortex","Sets (Psychology)","4"
"Corpus striatum structure","Retentions (Psychology)","4"
"CA1 field","Coping Behavior","4"
"Brain Stem","Hyperphagia","4"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Sensory Deprivation","4"
"Olfactory Cortex","Sleep","4"
"Structure of ansa lenticularis","Feedback - evaluative response process","4"
"Structure of superior temporal sulcus","Speech","4"
"Structure of parieto-occipital fissure","Projection Defense Mechanism","4"
"Structure of dentate gyrus","Avoidance","4"
"Marginal Sulcus","Attention","4"
"Superior colliculus of corpora quadrigemina","Visual Perception","4"
"Ventral Anterior Thalamic Nucleus","Psychological inhibition","4"
"Olfactory Nerve","Physical Contact","4"
"Amygdaloid structure","Preference","4"
"Pyramidal Cells","sharing","4"
"Structure of lateral preoptic nucleus","Water Consumption","4"
"Structure of suprachiasmatic nucleus","Anxiety","4"
"Basal Ganglia","Exercise","4"
"Medial superior olivary nucleus","binaural hearing","4"
"Genus Hippocampus","Dreams","4"
"BRAIN, HIPPOCAMPUS","Eye Movements","4"
"Internal capsule of brain","Feedback - evaluative response process","4"
"Dentatothalamic tract","At risk for impaired skin integrity","4"
"Midbrain structure","Thinking, function","4"
"Structure of ventromedial hypothalamic nucleus","Like","4"
"Structure of fissure of Sylvius","Behavior","4"
"Nucleus Globosus","Social Role","4"
"Solitary tract","Mental concentration","4"
"Ventral Tegmental Area","prepulse inhibition activity","4"
"Entire olfactory bulb","smell perception","4"
"Nucleus of Diagonal Band","Cognition","4"
"Interpeduncular nucleus","Cognition","4"
"Median eminence of hypothalamus","Conscious","4"
"Stria medullaris","Feedback - evaluative response process","4"
"Prefrontal Cortex","Exploratory Behavior","4"
"CA1 field","Stress, Psychological","4"
"intercalated amygdalar nuclei","Intrinsic drive","4"
"Structure of thalamic reticular nucleus","Auditory area","4"
"Substantia innominata","Mental association","4"
"Habenula","Anxiety","4"
"Parietal Lobe","Recognition (Psychology)","4"
"Structure of ventral posteromedial nucleus of thalamus","Psychological inhibition","4"
"Visual Cortex","Pain","4"
"Caudate nucleus structure","DEPRESSION MENTAL","4"
"Primary Auditory Cortex","Insight","4"
"Structure of spiral ganglion","Communication Response","4"
"Prefrontal Cortex","Running","4"
"Structure of paraventricular nucleus of thalamus","Mental association","4"
"Medial Septal Nucleus","Attention","4"
"Inferior olivary nucleus","Ethanol","4"
"Corpus striatum structure","Erectile dysfunction","4"
"Structure of pineal recess of third ventricle","Physical Contact","4"
"CA2 field","Attention","4"
"Precentral gyrus","Involvement with","4"
"Limbic lobe","Projection Defense Mechanism","4"
"Structure of angular gyrus","Attention","4"
"Preoptic Areas","Breast Feeding","4"
"Organum Vasculosum Laminae Terminalis","Desire for food","4"
"Cingulate Cortex","Unipolar Depression","4"
"Cortex, Primary Motor","Tracking","4"
"Structure of olfactory bulb","Emotional Strain","4"
"Sensorimotor Cortex","Speech","4"
"Structure of dorsal accessory olivary nucleus","Eating","4"
"lateral geniculate nucleus","Feeding Activity","4"
"Nucleus solitarius","Period, Critical (Psychology)","4"
"Structure of supramammillary nucleus","Insight","4"
"Pituitary Gland","Mood","4"
"Dorsal periolivary nucleus","Projection Defense Mechanism","4"
"Lateral habenular nucleus","Avoidance Learning","4"
"Anterior insula","Experience","4"
"Visual Cortex","Form Perception","4"
"BRAIN, HIPPOCAMPUS","Drug abuse","4"
"CA3 field","Persistence","4"
"Perforant Pathway","Impaired cognition","4"
"Posterior Thalamic Nuclei","Projection Defense Mechanism","4"
"Structure of subiculum hippocampi","Experience","4"
"Cochlear outer hair cell","Endocochlear potential","4"
"Lateral habenular nucleus","Swimming","4"
"Pontine nuclei","Psychological habituation","4"
"Genus Hippocampus","Spatial Behavior","4"
"Ependyma","Social Role","4"
"Anterior insula","Memory","4"
"CA2 field","Physical Contact","4"
"Superior colliculus of corpora quadrigemina","Pain","4"
"Cochlear nucleus structure","Cognitive information processing","4"
"Structure of diencephalon","Social Interaction","4"
"Structure of nucleus prepositus","Attribution","4"
"Auditory area","Reaction Time","4"
"Structure of paraventricular nucleus","Ethanol","4"
"Temporal Lobe","Anxiety","4"
"Cingulate Cortex","Mental association","4"
"Structure of ventromedial hypothalamic nucleus","Feeling content","4"
"Basal Nucleus of Meynert","Amnesia","4"
"Prefrontal Cortex","Generalizations (Psychology)","4"
"Structure of supramammillary nucleus","Seizures","4"
"Structure of medial globus pallidus","Communication Response","4"
"Structure of supramammillary nucleus","Motivation","4"
"mossy fiber","Comprehension","4"
"Basal Ganglia","Overactivity","4"
"Reticular activating system","Awareness","4"
"Ventral Lateral Thalamic Nucleus","At risk for impaired skin integrity","4"
"Cerebral cortex","Obsessive compulsive behavior","4"
"BRAIN, HIPPOCAMPUS","Physiologic Thermoregulation","4"
"Posterior Hypothalamic Region","Psychological inhibition","4"
"Nucleus of optic tract","psychological orientation","4"
"Thalamic structure","Vocalization (finding)","4"
"Median preoptic nucleus","Like","4"
"Pyramidal Cells","Feeling content","4"
"Cerebellar Nuclei","Retentions (Psychology)","4"
"Entire lateral geniculate body","Attention","4"
"Motor Cortex","Mental concentration","4"
"Pyramidal Cells","Mental blocking","4"
"Hypothalamic structure","Erectile dysfunction","4"
"Internal capsule of brain","Psychological suppression","4"
"Inferior Colliculus","Sleep","4"
"Ventral Tegmental Area","psychological orientation","4"
"Lateral reticular nucleus (medulla)","Nociception","4"
"Basal Ganglia","Consensus","4"
"Dorsal Nucleus Raphe","Recognition (Psychology)","4"
"Nucleus of Ansa Lenticularis","Social Role","4"
"Structure of paraventricular nucleus","Attack behavior","4"
"Pretectal region","Optic Flow","4"
"BRAIN, HIPPOCAMPUS","Response to stimulus physiology","4"
"Pedunculopontine Tegmental Nucleus","Comprehension","4"
"Structure of central sulcus","Pain","4"
"Structure of locus ceruleus","Psychological habituation","4"
"Planum temporale (PT)","Behavior","4"
"Structure of entorhinal cortex","Cognitive information processing","4"
"Amygdaloid structure","Period, Critical (Psychology)","4"
"Structure of medial preoptic nucleus","Motivation","4"
"Neocortex","Discrimination","4"
"Reticular Formation","Intrinsic drive","4"
"Hypothalamic Area, Lateral","Attention","4"
"Primary Auditory Cortex","Hearing normal","4"
"Habenula","Experience","4"
"Orbitofrontal cortex","Insight","4"
"Superior colliculus of corpora quadrigemina","Disgusted","4"
"Purkinje Cells","Speech","4"
"Lateral Septal Nucleus","psychological orientation","4"
"Reuniens Thalamic Nucleus","Behavior","4"
"Structure of lateral olfactory gyrus","Discrimination","4"
"Pituitary Gland, Posterior","Psychological inhibition","4"
"Inferior Colliculus","Methamphetamine","4"
"Nucleus Raphe Magnus","Behavior","4"
"Cerebral cortex","Thirst","4"
"Entire thalamic reticular nucleus","Intrinsic drive","4"
"Dorsal Nucleus Raphe","Emotional Strain","4"
"Substantia Nigra Pars Reticulata","Akinesia","4"
"Entire hippocampus","Involvement with","4"
"Basal Ganglia","Steady","4"
"Central cord canal structure","Social Role","4"
"Medulla Oblongata","Coitus","4"
"Pituitary Gland","Seizures","4"
"Reuniens Thalamic Nucleus","Vision","4"
"Auditory Hair Cell","Projection Defense Mechanism","4"
"Cerebral cortex","Achievement","4"
"Cerebral cortex","Accommodation phosphene","4"
"CA3 field","Period, Critical (Psychology)","4"
"Median preoptic nucleus","Experimental Water Deprivation","4"
"Corpus striatum structure","Walking","4"
"sensory cortex","Methamphetamine","4"
"Marginal Sulcus","Visual learning","4"
"Type 2 vestibular sensory cell","Endocochlear potential","4"
"Medulla Oblongata","Eye Movements","4"
"Area striata structure","Drug Tolerance","4"
"Cerebral Ventricles","Seizures","4"
"Brain Stem","Taste bitter","4"
"Parabrachial Nucleus","Desire for food","4"
"Internal arcuate tract","Feedback - evaluative response process","4"
"Motor Cortex","Transsexual (finding)","4"
"Tectum Mesencephali","Sets (Psychology)","4"
"Gyrus Cinguli","Impaired cognition","4"
"Brain Stem","Reproduction","4"
"Olivocerebellar fibers","Withdrawal","4"
"Anterodorsal nucleus of thalamus","Memory, Episodic","4"
"CA1 field","Travel","4"
"Ventral Tegmental Area","Increased motivation","4"
"Structure of nucleus prepositus","Interested","4"
"central amygdalar nucleus","Avoidance behavior","4"
"Lateral occipitotemporal gyrus","Communication Response","4"
"Corticotroph","Stress","4"
"Reuniens Thalamic Nucleus","Generalizations (Psychology)","4"
"CA3 field","Mental Processes","4"
"Auditory area","Play","4"
"Internal arcuate tract","Involvement with","4"
"Acoustic nerve","Behavior","4"
"Brain Stem","Awareness","4"
"Medial Dorsal Nucleus","Play","4"
"Entire cerebellum","Like","4"
"Neocortex","Memory impairment","4"
"Structure of dentate gyrus","Mental Recall","4"
"Corpus striatum structure","turning behavior","4"
"Set of basolateral nuclei of amygdala","Social fear","4"
"Cerebral cortex","Discrimination Learning","4"
"Structure of rubrospinal tract","Coitus","4"
"Ventral Tegmental Area","Food Deprivation","4"
"Basal Ganglia","Cognitive Flexibility","4"
"Anteroventral Periventricular Nucleus","Communication Response","4"
"Olfactory tract","Mental association","4"
"Ventral Lateral Thalamic Nucleus","Tremor","4"
"Ventral Striatum","Incentives","4"
"Basal Forebrain","psychological orientation","4"
"Structure of angular gyrus","Seizures","4"
"Midbrain structure","Feeling content","4"
"Cerebellum","Tinnitus","4"
"Cerebellar cortex structure","Destructive behavior","4"
"Preoptic Areas","Mental association","4"
"Motor Cortex","Emotions","4"
"Structure of capsule of red nucleus","smell perception","4"
"Structure of terminal stria nuclei of preoptic region","Physical Contact","4"
"Central gray substance of midbrain","Attention","4"
"Thalamic Nuclei","Auditory area","4"
"CA2 field","Visual Suppression","4"
"Cerebral cortex","sweet taste perception","4"
"Caudate nucleus structure","Coitus","4"
"Corpus striatum structure","Cognitive Flexibility","4"
"Structure of posterior hypothalamic nucleus","Projection Defense Mechanism","4"
"Lateral habenular nucleus","Alcoholics","4"
"Hindbrain","Feedback - evaluative response process","4"
"Pyramidal Cells","Fetal stress","4"
"Triangular Septal Nucleus","Stress","4"
"Cerebral Peduncle","Projection Defense Mechanism","4"
"Structure of median forebrain bundle","Social Role","4"
"Structure of dorsomedial hypothalamic nucleus","Fear","4"
"Structure of ansa lenticularis","Mental concentration","4"
"Lobe, Frontal","Impulsive Behavior","4"
"Ventral Tegmental Area","Discussion","4"
"Posterior Hypothalamic Region","Like","4"
"Amygdaloid structure","Mediation","4"
"Amygdalar Nucleus, Medial","Ethanol","4"
"Purkinje Cells","Lethargy","4"
"Structure of subthalamic nucleus","Mental concentration","4"
"Nuclei, Raphe","Anxiety","4"
"Structure of capsule of red nucleus","Unipolar Depression","4"
"Neostriatum","turning behavior","4"
"Structure of Reil's limiting sulcus","Like","4"
"Entire medial geniculate body","Communication Response","4"
"Hypothalamic Area, Lateral","Acute onset pain","4"
"Neocortex","Destructive behavior","4"
"Genus Hippocampus","Marijuana Abuse","4"
"Thalamic Nuclei","Sex Behavior","4"
"Thalamic structure","Success","4"
"Basal Nucleus of Meynert","Sex Behavior","4"
"Pretectal region","Like","4"
"Dorsal Nucleus Raphe","Success","4"
"Temporal Lobe","Behavioral change","4"
"Dorsal Nucleus Raphe","Cognitive information processing","4"
"Structure of area postrema","Psychological inhibition","4"
"Solitary tract","Fasting","4"
"Cerebral cortex","Sensory Integration","4"
"Pulvinar structure","Vision","4"
"Inferior Colliculus","Emotional Strain","4"
"Structure of suprageniculate nucleus","At risk for activity intolerance","4"
"Visual Cortex","Optic Flow","4"
"Structure of paraventricular nucleus of thalamus","Sleep Deprivation","4"
"Ventral Tegmental Area","Discrimination","4"
"Cerebral cortex","Dyslexia","4"
"Motor Cortex","Sensory Process","4"
"Pituitary Gland","Psychological Transfer","4"
"BRAIN, HIPPOCAMPUS","Sports","4"
"Structure of ventromedial hypothalamic nucleus","Behaviors, Feeding","4"
"Caudal pontine reticular nucleus","Communication Response","4"
"Premotor cortex","Auditory area","4"
"Structure of suprachiasmatic nucleus","Mental association","4"
"Gigantocellular nucleus","Mental concentration","4"
"Structure of locus ceruleus","Attack behavior","4"
"Perforant Pathway","Fasting","4"
"Hypothalamic Area, Lateral","Physiologic Thermoregulation","4"
"Basal Ganglia","Transsexual (finding)","4"
"Nucleus of posterior commissure","Projection Defense Mechanism","4"
"Structure of dentate gyrus","smell perception","4"
"Neostriatum","Thinking, function","4"
"Cochlear Nerve","Auditory pitch","4"
"Prosencephalon","Sleep Deprivation","4"
"Metencephalon","Stress","4"
"Amygdaloid structure","Copulation","4"
"Cerebral cortex","Behavior, Adaptive","4"
"Structure of nucleus prepositus","Memory impairment","4"
"Pituitary Gland","Intrinsic drive","4"
"Thalamic structure","Attribution","4"
"Prosencephalon","Psychological Transfer","4"
"Cochlear Nerve","Performance","4"
"Neostriatum","Social Interaction","4"
"Structure of diencephalon","Mental concentration","4"
"Structure of paraventricular nucleus of thalamus","Autistic Disorder","4"
"Ventral Striatum","Choice Behavior","4"
"Structure of locus ceruleus","Resting state","4"
"Amygdaloid structure","Wakefulness","4"
"Amygdaloid structure","sharing","4"
"Cerebral cortex","Space Perception","4"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Mental Recall","4"
"Type 1 vestibular sensory cell","Tinnitus","4"
"Structure of dentate gyrus","Pain","4"
"Cerebellar cortex structure","Eye Movements","4"
"Pallidus Nucleus, Raphe","Social Role","4"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Uncertainty","4"
"Structure of subthalamic nucleus","Mental Processes","4"
"Structure of rhomboidal nucleus of thalamus","Emotional Strain","4"
"Structure of nucleus infundibularis hypothalami","Conscious","4"
"Central nucleus of inferior colliculus","Psychological inhibition","4"
"Ventral Tegmental Area","Memory impairment","4"
"Bundle, Predorsal","Memory impairment","4"
"Cerebral hemisphere structure (body structure)","Facial Expression","4"
"Purkinje Cells","Drug Tolerance","4"
"Ventral Posterolateral Nucleus","Social Role","4"
"Basal Ganglia","Cocaine","4"
"Ventral Tegmental Area","Behavioral change","4"
"Structure of rubrospinal tract","Auditory pitch","4"
"Dentate nucleus","At risk for impaired skin integrity","4"
"Midbrain structure","Anxiety and fear","4"
"Globus Pallidus","Seizures","4"
"Periamygdaloid Area","Learning","4"
"association cortex","smell perception","4"
"Entire geniculate body","Communication Response","4"
"Cerebellar cortex structure","Sets (Psychology)","4"
"Structure of terminal stria nuclei of preoptic region","Chronic pain","4"
"Telencephalon","Psychological inhibition","4"
"Brain Stem","Physiologic Thermoregulation","4"
"Structure of ventral posteromedial nucleus of thalamus","Social Role","4"
"Cerebral cortex","Aversion (finding)","4"
"Entire substantia nigra","Feeling content","4"
"Motor Cortex","Running","4"
"Inferior Colliculus","Reproduction","4"
"Neocortex","Mental Recall","4"
"Purkinje Cells","Reaching","4"
"Dorsal Nucleus Raphe","Manic","4"
"Prefrontal Cortex","Wakefulness","4"
"Entire thalamic reticular nucleus","Involvement with","4"
"Edinger Westphal nucleus","Ethanol","4"
"Pituitary Gland, Posterior","Feedback - system communication","4"
"Structure of capsule of red nucleus","Stress","4"
"Cerebral cortex","Bradykinesia","4"
"Structure of supraoptic nucleus","Ethanol","4"
"Cerebral cortex","Behavioral Symptoms","4"
"Dorsal Nucleus Raphe","Chronic pain","4"
"Ventral Tegmental Area","Ability to interact with others","4"
"Auditory Hair Cell","Attention","4"
"Orbitofrontal cortex","Confidence","4"
"Brain Stem","Brain Death","4"
"CA2 field","Aggressive behavior","4"
"Cerebral cortex","Aggressive behavior","4"
"Insula of Reil","Drinking (function)","4"
"Genus Hippocampus","Learning Interference","4"
"Corpus striatum structure","Social Interaction","4"
"Area striata structure","Ethanol","4"
"Insula of Reil","Chronic pain","4"
"Structure of capsule of red nucleus","Performance","4"
"Cortex, Primary Motor","Attention","4"
"Structure of paraventricular nucleus of thalamus","Spatial Memory","4"
"Structure of fissure of Sylvius","psychological orientation","4"
"Medulla Oblongata","Hunger","4"
"Prefrontal Cortex","Sensory Gating","4"
"Parietal Lobe","Decision Making","4"
"Amygdaloid structure","Breast Feeding","4"
"Central gray substance of midbrain","Panic Attacks","4"
"Visual Cortex","Response to stimulus physiology","4"
"Median eminence of hypothalamus","Psychological suppression","4"
"Cerebri, Crus","Psychological inhibition","4"
"Structure of entorhinal cortex","Powers (Psychology)","4"
"Periamygdaloid Area","Stress","4"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Ejection as a Sports activity","4"
"Corpus Callosum","Sets (Psychology)","4"
"Hypophyseal diverticulum","Like","4"
"mossy fiber","Ethanol","4"
"Pituitary Gland","Availability of","4"
"Callosal sulcus","Paralysed","4"
"lateral amygdalar nucleus","Ethanol","4"
"Auditory area","prepulse inhibition activity","4"
"Dentate nucleus","At risk for imbalanced body temperature","4"
"Central gray substance of midbrain","Social Behavior","4"
"Neostriatum","Victim of abuse (finding)","4"
"Cerebellar cortex structure","Mental concentration","4"
"Thalamic Nuclei","Coitus","4"
"Internal capsule of brain","DEPRESSION MENTAL","4"
"Parietal Lobe","Sets (Psychology)","4"
"Structure of rhomboidal nucleus of thalamus","Spatial Memory","4"
"Premotor area","Reaching","4"
"Cortex, Primary Motor","Running","4"
"Set of basolateral nuclei of amygdala","Exercise","4"
"intercalated amygdalar nuclei","Feedback - evaluative response process","4"
"Internal arcuate tract","Intrinsic drive","4"
"Structure of nucleus gracilis","Mental concentration","4"
"Structure of diencephalon","Pain","4"
"Auditory Hair Cell","Behavior","4"
"Cortex, Primary Motor","Licking","4"
"Cerebral cortex","Dreams","4"
"Pulvinar structure","Confidence","4"
"Prosencephalon","Decision Making","4"
"Auditory area","Voice","4"
"Brodmann area 35","Involvement with","4"
"Substantia innominata","Psychological inhibition","4"
"Structure of nucleus cuneatus","Touch sensation","4"
"Cerebellum","Drug Tolerance","4"
"Nucleus Basalis Magnocellularis","Discrimination","4"
"Preoptic Areas","Conscious","4"
"Posterior cerebral commissure","Powers (Psychology)","4"
"Lobe, Frontal","Choice Behavior","4"
"Structure of superior central nucleus of pons","Ethanol","4"
"Purkinje Cells","Swimming","4"
"CA3 field","Attention","4"
"Temporal Lobe","Play","4"
"Midbrain structure","Factors, Risk","4"
"Basal Forebrain","DEPRESSION MENTAL","4"
"Cerebral hemisphere structure (body structure)","Discussion","4"
"Anteroventral cochlear nucleus","Psychological inhibition","4"
"Central gray substance of midbrain","Aversion (finding)","4"
"Dentatothalamic tract","At risk for activity intolerance","4"
"Midbrain Raphe Nuclei","Social Role","4"
"Neostriatum","Drug seeking behavior","4"
"Genus Hippocampus","Shakes","4"
"Substantia nigra structure","Memory impairment","4"
"Nucleus of optic tract","Behavior","4"
"Brain Stem","Thinking, function","4"
"Posterolateral auditory cortex","Involvement with","4"
"Brain Stem","Depressive Symptoms","4"
"Neostriatum","Uncertainty","4"
"Substantia nigra structure","Memory, Short-Term","4"
"Substantia nigra structure","Resting state","4"
"Cerebral white matter structure","Mental association","4"
"Dorsal Nucleus Raphe","Physical activity","4"
"Right inferior frontal gyrus","Communication Response","4"
"Habenula","Aversion (finding)","4"
"Structure of nucleus infundibularis hypothalami","DEPRESSION MENTAL","4"
"Rostrotemporal auditory area","Auditory area","4"
"Cortex, Primary Motor","Cognitive information processing","4"
"Genus Hippocampus","Nervousness","4"
"Cerebral Peduncle","Anxiety","4"
"Corpus striatum structure","Stress, Psychological","4"
"Structure of Broca's area","Mental association","4"
"Lobe, Frontal","Vocalization (finding)","4"
"Amygdaloid structure","Territorial aggression","4"
"Nucleus, Principal Pretectal","Psychological inhibition","4"
"Bundle, Predorsal","Physical activity","4"
"Structure of terminal stria nuclei of preoptic region","Social Behavior","4"
"Fornix, Brain","Emotions","4"
"Ventral Striatum","Feedback - evaluative response process","4"
"Basal Ganglia","Discrimination","4"
"Lateral Dorsal Nucleus","Mental concentration","4"
"Bundle, Predorsal","Sex Behavior","4"
"Structure of lateral olfactory gyrus","Experience","4"
"Brodmann area 18","Discrimination","4"
"Structure of suprachiasmatic nucleus","Crying","4"
"Visual Cortex","Imprinting (Psychology)","4"
"Structure of paraventricular nucleus","Hemorrhage","4"
"Cerebellar tonsil","Eye Movements","4"
"Caudate nucleus structure","Feeling content","4"
"Structure of entorhinal cortex","Feedback - system communication","4"
"Fornix, Brain","Like","4"
"Nucleus Accumbens","Drinking (function)","4"
"Dentate nucleus","Performance","4"
"Somatosensory Cortex","Conditionings (Psychology)","4"
"Lobe, Frontal","Conditionings (Psychology)","4"
"Cerebral hemisphere structure (body structure)","Memory, Short-Term","4"
"Pulvinar structure","Visual attention","4"
"Temporal Lobe","Powers (Psychology)","4"
"Orbitofrontal cortex","Mental Processes","4"
"Structure of rubrospinal tract","Swimming","4"
"Indusium griseum","Stress","4"
"Lobe, Frontal","Thinking, function","4"
"Orbitofrontal cortex","Alcoholics","4"
"Superior temporal gyrus","Projection Defense Mechanism","4"
"Structure of olfactory bulb","Persistence","4"
"Corpus striatum structure","Spatial Memory","4"
"Structure of optic radiation","Mental association","4"
"Cerebellum","Above average intellect","4"
"Cochlear Nerve","Comprehension","4"
"CA1 field","Wakefulness","4"
"Callosal sulcus","Social Role","4"
"Cingulate Cortex","Mental concentration","4"
"Structure of central sulcus","Involvement with","4"
"BRAIN, HIPPOCAMPUS","open-field behavior","4"
"Perforant Pathway","Feeding Activity","4"
"Cerebral hemisphere structure (body structure)","Visual Fields","4"
"Structure of lateral globus pallidus","Feedback - system communication","4"
"Ventral Lateral Thalamic Nucleus","At risk for activity intolerance","4"
"Pituitary Gland","Fear","4"
"Olfactory Cortex","Feedback - system communication","4"
"BRAIN, HIPPOCAMPUS","Alcoholic Intoxication","4"
"Pontine nuclei","Learning","4"
"Area striata structure","Recognition (Psychology)","4"
"Entire midbrain","Addictive Behavior","4"
"Lateral habenular nucleus","Insight","4"
"Diffuse reticular nucleus","Social Role","4"
"Preoptic Areas","At risk for activity intolerance","4"
"Gonadotrophs","Social Role","4"
"Anterodorsal nucleus of thalamus","Body Weight","4"
"Dentatothalamic tract","Communication Response","4"
"Lateral reticular nucleus (medulla)","Absence of pain sensation","4"
"Auditory pathway structure","Performance","4"
"Structure of anterior commissure","Rut - male seasonal mating period","4"
"Hypothalamic structure","Suicide","4"
"intercalated amygdalar nuclei","Involvement with","4"
"Pyramidal Cells","Learning ability","4"
"Structure of suprachiasmatic nucleus","Persistence","4"
"Midline Thalamic Nuclei","Social Role","4"
"Structure of nucleus prepositus","Psychological Transfer","4"
"Basal Forebrain","Gilles de la Tourette syndrome","4"
"Structure of paraventricular nucleus","Conscious","4"
"Structure of locus ceruleus","Attribution","4"
"Neostriatum","Retentions (Psychology)","4"
"Structure of dentate gyrus","Feedback - system communication","4"
"Amygdaloid structure","Taste bitter","4"
"Cerebral Ventricles","Memory","4"
"Visual Cortex","Sensory Deprivation","4"
"Structure of subthalamic nucleus","Uncertainty","4"
"Auditory pathway structure","Attention","4"
"Pyramidal Cells","Hibernation","4"
"Cortex, Primary Motor","Emotions","4"
"Amygdaloid structure","Powers (Psychology)","4"
"Structure of ventromedial hypothalamic nucleus","Hyperphagia","4"
"Inferior parietal lobule","Social Role","4"
"Ventral Striatum","Insight","4"
"Structure of diencephalon","Emotions","4"
"Medulla Oblongata","Wakefulness","4"
"Structure of angular gyrus","Insight","4"
"Structure of rubrospinal tract","Physical activity","4"
"Orbitofrontal cortex","Self-confidence","4"
"Cerebral hemisphere structure (body structure)","Nociception","4"
"Brain Stem","Comatose","4"
"Fimbria of hippocampus","Psychological inhibition","4"
"Ventral Striatum","Feedback - system communication","4"
"Parietal Lobe","Imagery","4"
"Structure of thalamic reticular nucleus","Communication","4"
"Structure of piriform area","Discrimination","4"
"BRAIN, HIPPOCAMPUS","Patient Visit","4"
"Structure of superior central nucleus of pons","Cocaine","4"
"Brodmann area 21","Illusions","4"
"Structure of olfactory bulb","Intrinsic drive","4"
"Solitary tract","Psychological inhibition","4"
"Inferior cerebellar peduncle","Communication Response","4"
"Dorsal Nucleus Raphe","Attention","4"
"Medial longitudinal fasciculus","Projection Defense Mechanism","4"
"Somatosensory Cortex","DEPRESSION MENTAL","4"
"Olfactory Cortex","Insight","4"
"Structure of locus ceruleus","Physical activity","4"
"Linear nucleus","Pain","4"
"Structure of superior central nucleus of pons","Social Interaction","4"
"central amygdalar nucleus","Attack behavior","4"
"Cerebellar cortex structure","Cocaine","4"
"Neocortex","Pain","4"
"Hypothalamus, Anterior","Physiologic Thermoregulation","4"
"Entire temporal lobe","Seizures","4"
"Structure of anterior hypothalamic nucleus","psychological orientation","4"
"Amygdaloid structure","Hunger","4"
"Insula of Reil","Availability of","4"
"Structure of subiculum hippocampi","Spatial Navigation","4"
"Structure of locus ceruleus","Aversion (finding)","4"
"Accessory basal amygdaloid nucleus","Social Role","4"
"Entire internal capsule of brain","Like","4"
"Structure of paraventricular nucleus of thalamus","Success","4"
"Prefrontal Cortex","Stereotypic Movement Disorder","4"
"External capsule","Memory","4"
"Auditory area","Coitus","4"
"Ependyma","Like","4"
