"brainregion","disease","mental","count"
"Orbitofrontal cortex","Adrenal Cushing's syndrome","Like","1"
"Cerebral cortex","Attention Deficit Disorder","Performance","1"
"Lobe, Frontal","Syndrome","unresponsive behavior","1"
"Basal Ganglia","Stereotypic Movement Disorder","Social Behavior","1"
"central amygdalar nucleus","Recurrent disease","Emotions","1"
"Auditory area","Lung Diseases, Interstitial","Behavior","1"
"Limbic System","Syndrome","Autistic Disorder","1"
"Substantia nigra structure","Degenerative disorder","Tremor","1"
"Amygdaloid structure","Williams Syndrome","Communication Response","1"
"BRAIN, HIPPOCAMPUS","Psychotic Disorders","Memory","1"
"Basal Ganglia","Attention Deficit Disorder","Hyperactive behavior","1"
"Right inferior frontal gyrus","Depressive disorder","impaired social functioning","1"
"CA1 field","cortex bone disorders","Mental concentration","1"
"Bundle, Predorsal","Mild cognitive disorder","Educational Status","1"
"Structure of paraventricular nucleus","Functional disorder","Social Role","1"
"Structure of optic radiation","Menkes Kinky Hair Syndrome","Performance","1"
"Prefrontal Cortex","Skin endocrine disorder","Behavior","1"
"Purkinje Cells","Fragile X Syndrome","Mental Retardation","1"
"Cerebellum","Autistic Disorder","DEPRESSION MENTAL","1"
"BRAIN, HIPPOCAMPUS","Cognition Disorders","Exercise","1"
"Structure of entorhinal cortex","Alzheimer's Disease","Memory impairment","1"
"Motor Cortex","Spinal Cord Diseases","Comprehension","1"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Memory, Long-Term","1"
"Pars Compacta","cortex bone disorders","Performance","1"
"Structure of rhomboidal nucleus of thalamus","Gilles de la Tourette syndrome","Stress","1"
"Structure of longitudinal cerebral fissure","cortex bone disorders","Involvement with","1"
"CA1 field","Neurotoxicity Syndromes","Avoidance Learning","1"
"Pyramidal Cells","Williams Syndrome","Anxiety","1"
"Entire lateral geniculate body","Retinal Diseases","Psychological suppression","1"
"Neostriatum","Spinal Cord Diseases","Seizures","1"
"Fimbria of hippocampus","Depressive disorder","Communication Response","1"
"Pyramidal Cells","Coffin-Siris syndrome","Behavior","1"
"Lamina Terminalis","Hashimoto Disease","Communication Response","1"
"Hindbrain","Esophageal Diseases","Deglutition","1"
"Structure of locus ceruleus","Disease Progression","Like","1"
"Substantia nigra structure","Neurodegenerative Disorders","Involvement with","1"
"Lateral Parabrachial Nucleus","Depressive disorder","Anxiety","1"
"Basal Nucleus of Meynert","Hypertrophic disorder of skin, unspecified","Cognition","1"
"Structure of putamen","cortex bone disorders","Sex Behavior","1"
"Structure of cingulum","Mood Disorders","Mood Disorders","1"
"BRAIN, HIPPOCAMPUS","Stress Disorders, Traumatic","Spatial Memory","1"
"Neostriatum","Neurotoxicity Syndromes","Victim of abuse (finding)","1"
"Lobe, Frontal","Vasodilation disorder","Discussion","1"
"Midbrain structure","Disorder nervous system","Cognition","1"
"Thalamic structure","Functional disorder","Behavior","1"
"Genus Hippocampus","Disorders, Mental","memory process","1"
"Structure of rhomboidal nucleus of thalamus","Timothy syndrome","Gilles de la Tourette syndrome","1"
"CA1 field","Fragile X Syndrome","Memory","1"
"Motor Cortex","Spinal Cord Diseases","Transsexual (finding)","1"
"Cerebellum","Cerebellar Diseases","Speech","1"
"Substantia nigra structure","Cyclical vomiting syndrome (disorder)","Seasonal Affective Disorder","1"
"Posterior cerebral commissure","cortex bone disorders","Methamphetamine","1"
"Ventral Striatum","Functional disorder","Communication Response","1"
"Pituitary Gland","Pituitary Diseases","Behaviors, Feeding","1"
"Limbic System","Motor Neuron Disease","Detailed recall of dream","1"
"Anterodorsal nucleus of thalamus","Down Syndrome","Attention","1"
"Cerebral cortex","Infectious disorder of the fetus","Social Role","1"
"Prefrontal Cortex","Anxiety Disorders","Abnormal behavior","1"
"Cerebral cortex","Disorders, Mental","Interested","1"
"Paracentral Thalamic Nucleus","Functional disorder","Memory","1"
"Prosencephalon","Parkinsonian Disorders","Bradykinesia","1"
"Prosencephalon","Depressive disorder","Psychological inhibition","1"
"Entire lateral geniculate body","Retinal Diseases","Feedback - evaluative response process","1"
"Neostriatum","cortex bone disorders","Interested","1"
"Somatosensory Cortex","cortex bone disorders","Auditory area","1"
"Reticular activating system","Neurodegenerative Disorders","memory process","1"
"Cerebral cortex","Drug withdrawal syndrome","Projection Defense Mechanism","1"
"Structure of olfactory bulb","Niemann-Pick Disease, Type C","Insight","1"
"Nuclei, Raphe","Depressive disorder","Exercise","1"
"Entire medulla oblongata","Horner Syndrome","Paralysed","1"
"Pituitary Gland, Posterior","Hamartoma Syndrome, Multiple","Behavior","1"
"Genus Hippocampus","Spinal Cord Diseases","Psychological inhibition","1"
"Neocortex","Disorders, Mental","Anxiety","1"
"Lobe, Frontal","Depressive disorder","Social Role","1"
"Hypothalamic structure","cortex bone disorders","Insight","1"
"Pituitary Gland","Panic Disorder","Panic Disorder","1"
"BRAIN, HIPPOCAMPUS","Meconium Aspiration Syndrome","Exercise","1"
"Pretectal region","Pituitary Diseases","Projection Defense Mechanism","1"
"Genus Hippocampus","Metabolic Syndrome X","Mental concentration","1"
"Structure of dentate gyrus","Pervasive Development Disorder","Memory","1"
"Ventral Posterior Nucleus","Uterine Diseases","Feedback - system communication","1"
"CA1 field","Stress Disorders, Traumatic","Psychological inhibition","1"
"Neostriatum","Disorders, Mental","Sex Behavior","1"
"CA1 field","Stereotypic Movement Disorder","Stereotypic Movement Disorder","1"
"Ventral Tegmental Area","Disease Progression","Stress","1"
"BRAIN, HIPPOCAMPUS","Stress Disorders, Traumatic","Communication","1"
"Medial nucleus of habenula","Mood Disorders","Attention","1"
"Genus Hippocampus","Pervasive Development Disorder","Social Role","1"
"Corpus striatum structure","Colonic Diseases","Communication Response","1"
"Prosencephalon","Functional disorder","Emotional Strain","1"
"Pyramidal Cells","Pervasive Development Disorder","Behavior","1"
"Corpus striatum structure","Mood Disorders","Addictive Behavior","1"
"Anterodorsal nucleus of thalamus","cortex bone disorders","Memory impairment","1"
"Secondary visual cortex","Pervasive Development Disorder","psychological orientation","1"
"Medial Dorsal Nucleus","Alzheimer's Disease","Hemorrhage","1"
"Optic Chiasms","DISORDERS OF THE OPTIC NERVE","Communication Response","1"
"Structure of terminal stria nuclei of preoptic region","Disease Progression","Anxiety","1"
"lateral geniculate nucleus","cortex bone disorders","Vision","1"
"Somatosensory Cortex","cortex bone disorders","Period, Critical (Psychology)","1"
"Habenula","Disorders, Mental","Addictive Behavior","1"
"Inferior Colliculus","Prader-Willi Syndrome","Imprinting (Psychology)","1"
"central amygdalar nucleus","Rabies (disorder)","Stress","1"
"Left temporal pole","Language Disorders","Language Disorders","1"
"Cerebral cortex","cortex bone disorders","Retrieval of memory","1"
"Structure of olfactory bulb","Spinal Cord Diseases","Comprehension","1"
"CA1 field","Functional disorder","Mental concentration","1"
"Structure of nucleus infundibularis hypothalami","Renal glomerular disease","smell perception","1"
"Structure of dentate gyrus","Alzheimer's Disease","Behavior","1"
"Entire limbic system","Motor Neuron Disease","Impaired cognition","1"
"Tuberomammillary Nucleus","Acute Chest Syndrome","Hearing","1"
"Genus Hippocampus","Fetal Alcohol Spectrum Disorders","Ethanol","1"
"Neocortex","Recurrent disease","Addictive Behavior","1"
"BRAIN, HIPPOCAMPUS","Recurrent disease","Stress","1"
"Superior colliculus of corpora quadrigemina","cortex bone disorders","Learning","1"
"Nucleus Accumbens","Attention deficit hyperactivity disorder","Cocaine","1"
"Somatosensory Cortex","Myeloproliferative Syndrome, Transient","Motion Perception","1"
"Orbitofrontal cortex","Functional disorder","Impaired cognition","1"
"Midbrain structure","Attention deficit hyperactivity disorder","Cocaine","1"
"Prefrontal Cortex","Ataxia as late effect of cerebrovascular disease","Object Recognition","1"
"Midbrain structure","Skin endocrine disorder","Involvement with","1"
"Genus Hippocampus","Hypertrophic disorder of skin, unspecified","Cognition","1"
"Purkinje Cells","Autism Spectrum Disorders","Behavior","1"
"Basal Ganglia","Huntington Disease","Bradykinesia","1"
"Entire lateral geniculate body","DISORDERS OF THE OPTIC NERVE","Performance","1"
"Nucleus Accumbens","Depressive disorder","Social isolation","1"
"Brain Stem","Salivary Gland Diseases","Facial Expression","1"
"Ventral Tegmental Area","Shared Paranoid Disorder","Intrinsic drive","1"
"Gonadotrophs","Skin endocrine disorder","Reproduction","1"
"intercalated amygdalar nuclei","Parkinsonian Disorders","DEPRESSION MENTAL","1"
"Medulla Oblongata","Nose Diseases","Sex Behavior","1"
"Triangular Septal Nucleus","Timothy syndrome","Swimming","1"
"Thalamic structure","Parkinson Disease","Communication Response","1"
"Pyramidal Cells","cortex bone disorders","Learning ability","1"
"Dorsal Septal Nucleus","Alzheimer's Disease","Insight","1"
"BRAIN, HIPPOCAMPUS","Huntington Disease","Sex Behavior","1"
"Thalamic structure","cortex bone disorders","Resting state","1"
"Brodmann area 40","Syndrome","Social Role","1"
"Corpus striatum structure","Pervasive Development Disorder","Language Development","1"
"Cerebellar cortex structure","Functional disorder","Projection Defense Mechanism","1"
"Cerebral Peduncle","Pica Disease","Pica Disease","1"
"Set of basolateral nuclei of amygdala","Functional disorder","Emotions","1"
"Genus Hippocampus","Sweet Syndrome","Repression, Psychology","1"
"Structure of nucleus infundibularis hypothalami","Functional disorder","DEPRESSION MENTAL","1"
"Structure of locus ceruleus","Disorders, Mental","Symptoms of stress","1"
"Pyramidal Cells","Autistic Disorder","Availability of","1"
"BRAIN, HIPPOCAMPUS","Major Depressive Disorder","Memory","1"
"Central Dorsal Nucleus","Recurrent disease","Drug Dependence","1"
"Amygdaloid structure","Stress Disorders, Traumatic","Mood Disorders","1"
"CA1 field","Pervasive Development Disorder","Social Behavior","1"
"Temporal Lobe","Neurodegenerative Disorders","Abnormal behavior","1"
"Right inferior frontal gyrus","Irritable Bowel Syndrome","Behavior","1"
"Structure of nucleus prepositus","Disease Progression","Mental association","1"
"Neostriatum","Hamartoma Syndrome, Multiple","Sets (Psychology)","1"
"Prosencephalon","Brain Diseases","Social Role","1"
"Neocortex","Cognition Disorders","Memory impairment","1"
"CA3 field","Functional disorder","Behavior","1"
"Structure of suprachiasmatic nucleus","Peripheral Arterial Diseases","Eating","1"
"Structure of supramammillary nucleus","Disorders, Mental","Behavior","1"
"Parietal Lobe","Bipolar Disorder","DEPRESSION MENTAL","1"
"Perforant Pathway","Alzheimer's Disease","Projection Defense Mechanism","1"
"Ventral Tegmental Area","Disease Progression","Cocaine","1"
"Structure of cingulum","Stress Disorders, Traumatic","Communication","1"
"Reticular activating system","Neurodegenerative Disorders","Cognition","1"
"Amygdaloid structure","Cushing Syndrome","biological adaptation to stress","1"
"Structure of diencephalon","Spinal Cord Diseases","Mental association","1"
"Corpus striatum structure","cortex bone disorders","Withdrawal","1"
"Cerebral cortex","Esophageal Diseases","Involvement with","1"
"Thalamic structure","Hamartoma Syndrome, Multiple","Conditionings (Psychology)","1"
"Cerebral hemisphere structure (body structure)","Parkinson Disease","Mental association","1"
"Pituitary Gland","Hodgkin Disease","Stress","1"
"Motor Cortex","cortex bone disorders","Decision Making","1"
"Cerebral hemisphere structure (body structure)","Alzheimer's Disease","Pain","1"
"Brain White Matter","Substance Use Disorders","Gambling, Pathological","1"
"Thalamic structure","Functional disorder","Phantom limb syndrome","1"
"Anterodorsal nucleus of thalamus","Attention deficit hyperactivity disorder","Hyperactive behavior","1"
"BRAIN, HIPPOCAMPUS","Sweet Syndrome","Fear","1"
"Genus Hippocampus","Meconium Aspiration Syndrome","Seizures","1"
"Cerebellar Nuclei","cortex bone disorders","Behavior","1"
"Structure of fissure of Sylvius","Leigh Disease","Perception","1"
"Genus Hippocampus","Melkersson-Rosenthal Syndrome","Feedback - system communication","1"
"Cerebellum","Premenstrual Dysphoric Disorder","Social Role","1"
"Genus Hippocampus","Cushing Syndrome","biological adaptation to stress","1"
"Basal Ganglia","Basal Ganglia Diseases","Interested","1"
"Corpus striatum structure","cortex bone disorders","Avoidance","1"
"Lateral olfactory striae","DISORDERS OF THE OPTIC NERVE","Projection Defense Mechanism","1"
"Structure of subthalamic nucleus","Depressive disorder","Experience","1"
"Tegmentum Mesencephali","Spinal Cord Diseases","Projection Defense Mechanism","1"
"Structure of locus ceruleus","Parkinson Disease","Depression, Bipolar","1"
"Structure of olfactory bulb","Renal glomerular disease","Olfactory Thresholds","1"
"Basal Ganglia","Huntington Disease","Interested","1"
"Insula of Reil","Hamartoma Syndrome, Multiple","Behavior","1"
"Cerebellum","Mood Disorders","Feedback - system communication","1"
"BRAIN, HIPPOCAMPUS","Sequela of disorder","Memory","1"
"Structure of genu of corpus callosum","Fetal Alcohol Syndrome","Fetal Alcohol Syndrome","1"
"Structure of rubrospinal tract","Virus Diseases","Involvement with","1"
"Corpus striatum structure","Neurodegenerative Disorders","Behavior","1"
"Structure of dentate gyrus","Functional disorder","Visual learning","1"
"Pyramidal Cells","Hamartoma Syndrome, Multiple","Fasting","1"
"Pedunculopontine Tegmental Nucleus","Parkinson Disease","Hallucinations, Visual","1"
"central amygdalar nucleus","Sequela of disorder","Alcohol consumption","1"
"Pars Compacta","Functional disorder","Addictive Behavior","1"
"Genus Hippocampus","Autistic Disorder","Psychological inhibition","1"
"Dorsal Nucleus Raphe","Depressive disorder","Withdrawal","1"
"Medullary pyramid","Spinal Cord Diseases","Transsexual (finding)","1"
"BRAIN, HIPPOCAMPUS","Syndrome, Bloch-Sulzberger","Impaired cognition","1"
"Orbitofrontal cortex","Aicardi's syndrome","Social Role","1"
"Cortex, Primary Motor","cortex bone disorders","Involvement with","1"
"Cerebral hemisphere structure (body structure)","Huntington Disease","Cognition","1"
"Pituitary Gland","Immune System Diseases","biological adaptation to stress","1"
"Entire thalamic reticular nucleus","cortex bone disorders","Sensory Gating","1"
"BRAIN, HIPPOCAMPUS","Mood Disorders","Sleep","1"
"Motor Cortex","Functional disorder","Insight","1"
"Hypothalamic structure","Pituitary Diseases","Puberty","1"
"Rostral interstitial nucleus of medial longitudinal fasciculus","Alzheimer's Disease","Amnesia","1"
"Prefrontal Cortex","Peripheral Arterial Diseases","Hallucinations","1"
"Claustral structure","Parkinson Disease","Impaired cognition","1"
"Genus Hippocampus","Depressive disorder","smell perception","1"
"Superior temporal gyrus","Alzheimer's Disease","Social Role","1"
"Neocortex","Niemann-Pick Disease, Type C","Insight","1"
"Cerebral cortex","Melkersson-Rosenthal Syndrome","Communication Response","1"
"Dorsal Nucleus Raphe","Mood Disorders","Normal behavior","1"
"Pyramidal Cells","Autism Spectrum Disorders","Like","1"
"Visual Cortex","cortex bone disorders","Like","1"
"Dorsal Septal Nucleus","cortex bone disorders","Feeding Activity","1"
"Basal Ganglia","Depressive disorder","Addictive Behavior","1"
"Structure of subthalamic nucleus","Parkinson Disease","DEPRESSION MENTAL","1"
"BRAIN, HIPPOCAMPUS","Autism Spectrum Disorders","Communication impairment","1"
"Neostriatum","Disorders, Mental","Communication Response","1"
"Metencephalon","neuropathology disease","Amnesia","1"
"Structure of locus ceruleus","Memory Disorders","Memory Disorders","1"
"Anterodorsal nucleus of thalamus","Neurodegenerative Disorders","Interested","1"
"Neocortex","Retinal Diseases","Social Role","1"
"Genus Hippocampus","Functional disorder","Falsification","1"
"Pars Compacta","Parkinsonian Disorders","Bradykinesia","1"
"BRAIN, HIPPOCAMPUS","Gardner Syndrome","Involvement with","1"
"BRAIN, HIPPOCAMPUS","Recurrent disease","Conditioning, Classical","1"
"Cerebellum","Spinal Cord Diseases","Attention","1"
"Anterodorsal nucleus of thalamus","Arteriopathic disease","Projection Defense Mechanism","1"
"Cerebellar hemisphere structure","New Variant Creutzfeldt-Jakob Disease","Psychological Transfer","1"
"BRAIN, HIPPOCAMPUS","Mood Disorders","Powers (Psychology)","1"
"Brain Stem","Depressive disorder","Unable to balance","1"
"Limbic System","Motor Neuron Disease","Like","1"
"BRAIN, HIPPOCAMPUS","Van der Woude syndrome","Like","1"
"Orbitofrontal cortex","Bipolar Disorder","Manic","1"
"Brain Stem","Spinal Cord Diseases","Dental caries","1"
"Tectospinal tract of medulla","Gilles de la Tourette syndrome","Seizures","1"
"Structure of locus ceruleus","Anxiety Disorders","Performance","1"
"Cerebral cortex","Parkinsonian Disorders","Social Role","1"
"Prefrontal Cortex","OTHER MENTAL DISORDERS","Stress","1"
"Sensorimotor Cortex","Psychotic Disorders","Empathy","1"
"Cerebral cortex","Lens Diseases","Repression, Psychology","1"
"Somatosensory Cortex","Spinal Cord Diseases","Projection Defense Mechanism","1"
"CA1 field","Functional disorder","Anxiety state","1"
"Lobe, Frontal","New Variant Creutzfeldt-Jakob Disease","Psychological Transfer","1"
"Cerebellar cortex structure","Depressive disorder","DEPRESSION MENTAL","1"
"Anterodorsal nucleus of thalamus","neuropathology disease","Mental association","1"
"Prefrontal Cortex","Mucocutaneous Lymph Node Syndrome","Abnormal behavior","1"
"Limbic System","Sweet Syndrome","Feedback - system communication","1"
"Entire cerebellum","Functional disorder","Behavior","1"
"Cerebral cortex","Melkersson-Rosenthal Syndrome","Ethanol","1"
"Entire hippocampus","Major Depressive Disorder","Unipolar Depression","1"
"Corpus striatum structure","Tic disorder","Anxiety","1"
"Structure of dentate gyrus","Brain Diseases","Attention","1"
"Cerebral cortex","Spinal Cord Diseases","Attribution","1"
"Dorsal Nucleus Raphe","Mood Disorders","Suicide","1"
"Substantia nigra structure","Disease Progression","Projection Defense Mechanism","1"
"Purkinje Cells","Pervasive Development Disorder","Communication Response","1"
"Basal Nucleus of Meynert","Functional disorder","Attribution","1"
"Cortex, Primary Motor","Syndrome","Social Role","1"
"Complex, Superior Olivary","Depressive disorder","DEPRESSION MENTAL","1"
"Neostriatum","Parkinson Disease","Psychological Transfer","1"
"Corpus striatum structure","Behavior Disorders","Abnormal behavior","1"
"Prefrontal Cortex","Recurrent disease","Conflicts (Psychology)","1"
"Cerebral hemisphere structure (body structure)","Sotos' syndrome","Ejection as a Sports activity","1"
"BRAIN, HIPPOCAMPUS","Syndrome, Bloch-Sulzberger","Involvement with","1"
"Structure of rubrospinal tract","Syndrome, Bloch-Sulzberger","Psychological addiction","1"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","Rejections (Psychology)","1"
"Temporal Lobe","Bipolar Disorder","Verbal memory observable","1"
"Genus Hippocampus","Psychotic Disorders","Hyperactive behavior","1"
"Prefrontal Cortex","Pervasive Development Disorder","Emotions","1"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Binge Drinking","1"
"Area striata structure","Myeloproliferative Syndrome, Transient","At risk for activity intolerance","1"
"Structure of lateral olfactory gyrus","Mesulam Syndrome","Social Role","1"
"Thalamic structure","Mixed anxiety and depressive disorder","Anger","1"
"Genus Hippocampus","Depressive disorder","Attention","1"
"Prosencephalon","Functional disorder","Behavioral change","1"
"Medial geniculate body","Bloom Syndrome","Psychological Transfer","1"
"Pituitary Gland","Disease of thymus gland","Like","1"
"Structure of rubrospinal tract","Spinal Cord Diseases","Behavior","1"
"Dorsal Nucleus Raphe","Sensitization (disorder)","Anxiety and fear","1"
"Structure of supramammillary nucleus","Gilles de la Tourette syndrome","Gilles de la Tourette syndrome","1"
"CA1 field","Brain Diseases","Projection Defense Mechanism","1"
"Pyramidal Cells","Mohr-Tranebjaerg syndrome","Cognitive information processing","1"
"Ventral Tegmental Area","Rabies (disorder)","Projection Defense Mechanism","1"
"Hypothalamic structure","cortex bone disorders","Sensory Integration","1"
"Diagonal Band of Broca","Alzheimer's Disease","smell perception","1"
"Subthalamic structure","Hallervorden-Spatz Syndrome","Akinesia","1"
"Amygdaloid structure","Functional disorder","Attention","1"
"Genus Hippocampus","Neurodegenerative Disorders","Spatial Navigation","1"
"Basal Ganglia","Syndrome","Autistic Disorder","1"
"Amygdaloid structure","Anxiety Disorders","Behavioral Symptoms","1"
"Structure of vestibulospinal tract","Sensorineural hearing loss (disorder)","Hearing impairment","1"
"Prosencephalon","Meningeal disorder","Communication","1"
"Structure of terminal stria nuclei of preoptic region","Van der Woude syndrome","Stress","1"
"Substantia nigra structure","cortex bone disorders","Sex Behavior","1"
"Cerebral cortex","Creutzfeldt-Jakob disease","Like","1"
"Entire lateral geniculate body","cortex bone disorders","Thinking, function","1"
"Pedunculopontine Tegmental Nucleus","Alzheimer's Disease","Social Role","1"
"Neostriatum","Obsessive-Compulsive Disorder","Perseveration","1"
"Orbitofrontal cortex","cortex bone disorders","Stress","1"
"Anterodorsal nucleus of thalamus","Seasonal Affective Disorder","Sad mood","1"
"Structure of supramammillary nucleus","Gilles de la Tourette syndrome","Like","1"
"Lobe, Frontal","Functional disorder","Indifferent mood","1"
"Cerebellum","Norrie disease","Interested","1"
"Nucleus solitarius","Disease Progression","Feedback - system communication","1"
"Corpus striatum structure","Stereotypic Movement Disorder","Tic disorder","1"
"Pyramidal Cells","Denys-Drash Syndrome","Cognitive information processing","1"
"Caudate nucleus structure","Conduct Disorder","Adult Antisocial Behavior","1"
"Prefrontal Cortex","Recurrent disease","Memory","1"
"central amygdalar nucleus","Recurrent disease","Drug seeking behavior","1"
"Right superior longitudinal fasciculus","Developmental reading disorder","Consideration","1"
"Limbic System","cortex bone disorders","Projection Defense Mechanism","1"
"Neostriatum","cortex bone disorders","Erectile dysfunction","1"
"Nucleus Accumbens","Depressive disorder","Pain Perception","1"
"Cerebral cortex","Autistic Disorder","Memory","1"
"Substantia nigra structure","Colonic Diseases","Behavior","1"
"Cerebellum","Nose Diseases","smell perception","1"
"CA1 field","Stereotypic Movement Disorder","Stereotyped Behavior","1"
"Gyrus Cinguli","Disorders, Mental","DEPRESSION MENTAL","1"
"Inferior Colliculus","Testicular Diseases","Stress","1"
"Nucleus solitarius","Autonomic nervous system disorders","Involvement with","1"
"Pyramidal Cells","Functional disorder","Attention","1"
"Corpus striatum structure","Movement Disorders","Discussion","1"
"Cerebral cortex","Parkinsonian Disorders","Psychological suppression","1"
"Medial Septal Nucleus","Huntington Disease","Behavior","1"
"Hindbrain","Spinal Cord Diseases","Reproduction","1"
"Basal Ganglia","Parkinson Disease","Catalepsy","1"
"Basal Ganglia","Disorders, Mental","Insight","1"
"Structure of cingulum","Obsessive-Compulsive Disorder","Coitus","1"
"Parietal Lobe","cortex bone disorders","Learning","1"
"Neostriatum","Huntington Disease","Vision","1"
"Ventral Tegmental Area","Congenital secretory diarrhea, sodium type (disorder)","Like","1"
"lateral amygdalar nucleus","cortex bone disorders","Emotions","1"
"Nucleus Accumbens","cortex bone disorders","Insight","1"
"BRAIN, HIPPOCAMPUS","Attention deficit hyperactivity disorder","Drug seeking behavior","1"
"Left hippocampus","Depressive disorder","Memory impairment","1"
"Cerebral cortex","Cognition Disorders","Ethanol","1"
"Substantia nigra structure","Autonomic nervous system disorders","DEPRESSION MENTAL","1"
"Trigeminal Caudal Nucleus","Temporomandibular Joint Dysfunction Syndrome","Psychological inhibition","1"
"CA3 field","Fetal Alcohol Syndrome","Involvement with","1"
"Thalamic structure","cortex bone disorders","Phantom limb syndrome","1"
"Prefrontal Cortex","Functional disorder","Social Interaction","1"
"Entire thalamus","Disorder of pineal gland","Projection Defense Mechanism","1"
"Cortex, Primary Motor","cortex bone disorders","DEPRESSION MENTAL","1"
"Structure of subiculum hippocampi","Major Depressive Disorder","Unipolar Depression","1"
"Amygdaloid structure","Stress Disorders, Traumatic","Sets (Psychology)","1"
"Pituitary Gland","Functional disorder","Unipolar Depression","1"
"Structure of capsule of red nucleus","cortex bone disorders","Involvement with","1"
"Premotor cortex","Spinal Cord Diseases","Social Role","1"
"Lamina Terminalis","Skin endocrine disorder","Social Role","1"
"Cerebral cortex","Skin endocrine disorder","Learning","1"
"Interpeduncular nucleus","Sensitization (disorder)","Behavior","1"
"Corpus striatum structure","cortex bone disorders","Decision Making","1"
"BRAIN, HIPPOCAMPUS","Metabolic Syndrome X","Communication Response","1"
"CA1 field","cortex bone disorders","Memory, Short-Term","1"
"Neostriatum","Colonic Diseases","smell perception","1"
"Midbrain structure","Depressive disorder","Suicide","1"
"Structure of central sulcus","Rabies (disorder)","Like","1"
"BRAIN, HIPPOCAMPUS","Cardio-facio-cutaneous syndrome","Behavior","1"
"Pituitary Gland","Ovarian Diseases","Social Role","1"
"Medulla Oblongata","Disease Progression","Psychological suppression","1"
"Cerebellum","Cognition Disorders","Autistic Disorder","1"
"Habenula","Disorders, Mental","Stress","1"
"Parietal operculum cortex (PO)","Burnett Schwartz Berberian syndrome","At risk for impaired skin integrity","1"
"Thalamic structure","cortex bone disorders","Convergence, Ocular","1"
"Corpus striatum structure","Disease Progression","Interested","1"
"Basal Ganglia","Parkinson Disease","Sleep","1"
"Cortex, Primary Motor","cortex bone disorders","Feedback - system communication","1"
"Structure of rubrospinal tract","Mixed anxiety and depressive disorder","Pain","1"
"Structure of locus ceruleus","Parkinsonian Disorders","Regression - mental defense mechanism","1"
"Nucleus Accumbens","Anxiety Disorders","Mood","1"
"Anterior Nuclear Group","cortex bone disorders","Projection Defense Mechanism","1"
"Structure of nucleus prepositus","Neurodegenerative Disorders","Retentions (Psychology)","1"
"Thalamic structure","Depressive disorder","Communication Response","1"
"Genus Hippocampus","Neurotoxicity Syndromes","Pain","1"
"Pituitary Gland","Pituitary Diseases","Attention","1"
"Structure of olfactory bulb","Functional disorder","Mental association","1"
"Cortex, Primary Motor","cortex bone disorders","Auditory area","1"
"Cerebral cortex","Neurodevelopmental disorder","Seizures","1"
"Prefrontal Cortex","Hashimoto Disease","Cocaine","1"
"BRAIN, HIPPOCAMPUS","Thyroid Diseases","Memory","1"
"Cerebral cortex","Neurotoxicity Syndromes","Rage","1"
"Structure of central sulcus","Williams Syndrome","Reaction Time","1"
"Neostriatum","Parkinsonian Disorders","Performance","1"
"Cerebral cortex","cortex bone disorders","Intrinsic drive","1"
"Lateral geniculate complex","Retinal Diseases","Physical Contact","1"
"Basal Forebrain","Depressive disorder","Memory","1"
"Lamina Terminalis","Hypertensive disease","Factors, Risk","1"
"Pituitary Gland","Pituitary Diseases","Aversion (finding)","1"
"Pyramidal Cells","Functional disorder","Cognition","1"
"BRAIN, HIPPOCAMPUS","Nose Diseases","Discrimination","1"
"Cerebral cortex","cortex bone disorders","Feeling content","1"
"Structure of subthalamic nucleus","Parkinson Disease","Bradykinesia","1"
"Pituitary Gland","Pituitary Diseases","Persistence","1"
"Pars Compacta","Shy-Drager Syndrome","Psychological inhibition","1"
"Cerebellum","cortex bone disorders","Autistic Disorder","1"
"Lateral lemniscus","cortex bone disorders","Auditory area","1"
"Tectospinal tract of medulla","Leigh Disease","Gilles de la Tourette syndrome","1"
"Lobe, Frontal","Autistic Disorder","Like","1"
"Corpus striatum structure","Neurotoxicity Syndromes","Victim of abuse (finding)","1"
"Auditory area","Alzheimer's Disease","Auditory area","1"
"BRAIN, HIPPOCAMPUS","Noonan Syndrome","Social Role","1"
"Cerebellum","Cerebellar Diseases","Like","1"
"Left putamen","Recurrent disease","Communication Response","1"
"Cerebellum","Alzheimer's Disease","Depression, Bipolar","1"
"Genus Hippocampus","cortex bone disorders","Attention","1"
"Orbitofrontal cortex","other psychiatric disorders","Addictive Behavior","1"
"Substantia nigra structure","Hallervorden-Spatz Syndrome","sharing","1"
"Structure of suprachiasmatic nucleus","Huntington Disease","Sleep","1"
"Orbitofrontal cortex","Stress Disorders, Traumatic","biological adaptation to stress","1"
"Cerebellum","Parkinsonian Disorders","Uncertainty","1"
"Structure of fissure of Sylvius","Leigh Disease","Transsexual (finding)","1"
"Medial Dorsal Nucleus","Alzheimer's Disease","Amnesia","1"
"Brain White Matter","Communicable Diseases","Factors, Risk","1"
"Thalamic Nuclei","Down Syndrome","Mental Processes","1"
"Subfascicular nucleus","Depressive disorder","DEPRESSION MENTAL","1"
"BRAIN, HIPPOCAMPUS","Syndrome, Bloch-Sulzberger","Psychological inhibition","1"
"Genus Hippocampus","Neurodegenerative Disorders","Paralysed","1"
