"protein","disease","count"
"Acid phosphatase isoenzyme, prostatic fraction","Neurodegenerative Disorders","2"
"Chloramphenicol O-Acetyltransferase","Hypertrophic disorder of skin, unspecified","2"
"SH3 and Multiple Ankyrin Repeat Domains Protein 3","Rett Syndrome","2"
"Neurofilament Proteins","Shwachman syndrome","2"
"APP protein, human","Metabolic Syndrome X","2"
"S100 Proteins","Alzheimer's Disease","2"
"Interleukin-6","Mohr-Tranebjaerg syndrome","2"
"Adrenergic Receptor","Retinal Diseases","2"
"Semaphorin-3A","DISORDERS OF THE OPTIC NERVE","2"
"Cholinesterases","cortex bone disorders","2"
"Glutamate Transporter","Huntington Disease","2"
"Receptors, Toll Like","Alcohol use disorder","2"
"Amyloid Proteins","Vascular Diseases","2"
"Serpins","Neurotoxicity Syndromes","2"
"Nitric Oxide Synthase","Syndrome, Bloch-Sulzberger","2"
"Glucosephosphate Dehydrogenase","Neurodegenerative Disorders","2"
"Hydroxymethylglutaryl-CoA Reductase Inhibitors","Neurotoxicity Syndromes","2"
"Nerve Growth Factor","Saethre-Chotzen Syndrome","2"
"Histone deacetylase inhibitor","Functional disorder","2"
"Proteins","Seasonal Affective Disorder","2"
"5-Hydroxytryptamine Receptor 1A, human","Dyskinetic syndrome","2"
"voltage gated channel","cortex bone disorders","2"
"Immunoglobulin Isotypes","Neurodegenerative Disorders","2"
"FYVE, RhoGEF and PH Domain-Containing Protein 4","Functional disorder","2"
"NEFH protein, human","Feline urological syndrome","2"
"Bleomycin","Timothy syndrome","2"
"Cu-Zn Superoxide Dismutase","Disorder nervous system","2"
"Nicotinic Receptors","Autism Spectrum Disorders","2"
"Colony-Stimulating Factors","neuropathology disease","2"
"Dek protein, human","Alzheimer's Disease","2"
"Proteome","Rett Syndrome","2"
"Plasmids","DISORDERS OF THE OPTIC NERVE","2"
"Calcium","Leigh Disease","2"
"IRF6 wt Allele","Communicable Diseases","2"
"Opioid Receptor","Oculorespiratory syndrome","2"
"Endothelin-1","Functional disorder","2"
"Receptor","Corneal Diseases","2"
"Methionine","Creutzfeldt-Jakob Disease, Sporadic","2"
"INSR protein, human","Sensitization (disorder)","2"
"Sirolimus","Autism Spectrum Disorders","2"
"Endothelin","Migraine Disorders","2"
"Receptors, Corticotropin-Releasing Hormone","Spinal Cord Diseases","2"
"14-3-3 Proteins","cortex bone disorders","2"
"Argipressin","Pancreatic Diseases","2"
"TLR7 protein, human","Neurodegenerative Disorders","2"
"Glycolysis","Neurodegenerative Disorders","2"
"Complement System Proteins","Autistic Disorder","2"
"Protein Isoforms","Impulse Control Disorders","2"
"Carrier Proteins","Depressive disorder","2"
"Tropomyosin","Disorder nervous system","2"
"Heat Shock Protein Beta-8","cortex bone disorders","2"
"Low-Density Lipoproteins","Liver diseases","2"
"Eukaryotic Translation Initiation Factor 4E, human","Fragile X Syndrome","2"
"Tyrosine 3-Monooxygenase","Movement Disorders","2"
"Insulin-Like Growth Factor II","Mucocutaneous Lymph Node Syndrome","2"
"Glutamate + glutamine","Pervasive Development Disorder","2"
"soluble guanylyl cyclase","Retinal Diseases","2"
"PTPRR protein, human","Restless Legs Syndrome","2"
"IGBP1 protein, human","Lewy Body Disease","2"
"Saffron stain","Alzheimer's Disease","2"
"Catenins","Major Depressive Disorder","2"
"Transforming Growth Factors","Neurodegenerative Disorders","2"
"orexins","Alcohol use disorder","2"
"S100 calcium binding protein A10","Functional disorder","2"
"Lysosomal-Associated Membrane Protein 1","Parkinson Disease","2"
"pleiotrophin","Timothy syndrome","2"
"Pigment","Neurodegenerative Disorders","2"
"Retinoic Acid Receptor","cortex bone disorders","2"
"Transporter, Dopamine","Movement Disorders","2"
"Cytochrome P-450 CYP2D6","Functional disorder","2"
"Fc Receptor","Alzheimer's Disease","2"
"Extracellular Signal Regulated Kinases","Depressive disorder","2"
"Gonadorelin","Renal glomerular disease","2"
"Receptor Protein-Tyrosine Kinases","Myeloproliferative Syndrome, Transient","2"
"Creatine Kinase B-Type, human","Spinal Cord Diseases","2"
"activating transcription factor 6, human","Huntington Disease","2"
"Antibodies","Antiphospholipid Syndrome","2"
"Interleukin-2","Shy-Drager Syndrome","2"
"Muscarinic Acetylcholine Receptor","Salivary Gland Diseases","2"
"Synaptophysin","Parkinson Disease","2"
"G-Protein-Coupled Receptors","Liver diseases","2"
"Undecaprenyl-phosphate galactose-phosphotransferase","Nose Diseases","2"
"PTEN protein, human","Alzheimer's Disease","2"
"Thyrotropin-Releasing Hormone","cortex bone disorders","2"
"Muscarinic Acetylcholine Receptor","Mucocutaneous Lymph Node Syndrome","2"
"NF-kappa B","Van der Woude syndrome","2"
"Max protein","Functional disorder","2"
"BAIAP2 protein, human","Attention deficit hyperactivity disorder","2"
"GCLM protein, human","Neurotoxicity Syndromes","2"
"Vasopressin (USP)","Pituitary-dependent Cushing's disease","2"
"Pentostatin","Sensitization (disorder)","2"
"Phosphodiesterase 5 inhibitor","Neurotoxicity Syndromes","2"
"Glutamate Receptor","Psychotic Disorders","2"
"Janus Kinases","Van der Woude syndrome","2"
"Insulin","Shy-Drager Syndrome","2"
"Guanosine Triphosphate Phosphohydrolases","Neurodegenerative Disorders","2"
"5-Hydroxytryptamine Receptor 1A, human","Stress Disorders, Traumatic","2"
"Plasma Proteins","Liver diseases","2"
"Caffeine","Retinal Diseases","2"
"Genes","Idiopathic disease","2"
"Complex, Multicatalytic Endopeptidase","Lewy Body Disease","2"
"Autoantibodies","Dyskinetic syndrome","2"
"Interferons","Lysosomal Storage Diseases","2"
"HD protein, human","Hamartoma Syndrome, Multiple","2"
"Calpain","neuropathology disease","2"
"Dystrophin","Neurodegenerative Disorders","2"
"D-Serine","Alzheimer's Disease","2"
"Calretinin","Shy-Drager Syndrome","2"
"Insulin-Like Growth Factor I","Brain Diseases","2"
"Glycosylation End Products, Advanced","Pick Disease of the Brain","2"
"FABP3 protein, human","Alzheimer's Disease","2"
"14-3-3 Proteins","Creutzfeldt-Jakob disease","2"
"Heterochromatin","Eosinophilic disorder","2"
"Genes","WAGR Syndrome","2"
"Matrix Metalloproteinases","Nail-Patella Syndrome","2"
"Receptor","Chronic Obstructive Airway Disease","2"
"Glucocorticoid Receptor","Mood Disorders","2"
"Glial Cell Line-Derived Neurotrophic Factor","Milroy Disease","2"
"beta, Lymphotoxin","Neurotoxicity Syndromes","2"
"Parvalbumins","Psychotic Disorders","2"
"Acid Phosphatase","Pyruvate Dehydrogenase Complex Deficiency Disease","2"
"Fetal Proteins","Functional disorder","2"
"Adrenergic Receptor","Neurotoxicity Syndromes","2"
"Opioid Peptide","Parkinson Disease","2"
"NFIC protein, human","Sweet Syndrome","2"
"G-Protein-Coupled Receptors","Respiration Disorders","2"
"Associated Protein, FKBP12-Rapamycin","Dyskinetic syndrome","2"
"Heat-Shock Proteins 70","Feline urological syndrome","2"
"Apolipoprotein E","Liver diseases","2"
"Hemoglobin","Creutzfeldt-Jakob Disease, Sporadic","2"
"Genes","Pediatric Disorder","2"
"DNA","Mobius Syndrome","2"
"Amyloid","Cardiovascular Diseases","2"
"Acetyltransferase","cortex bone disorders","2"
"Presynaptic Density Protein 95","Fragile X Syndrome","2"
"Tumor Necrosis Factors","Gerstmann-Straussler-Scheinker Disease","2"
"Menin","Depressive disorder","2"
"Calbindins","Neurodegenerative Disorders","2"
"Fibroblast Growth Factor Receptor 2","cortex bone disorders","2"
"Neurotrophin 3","Ovarian Diseases","2"
"Dopamine D2 Receptor","Syndrome, Bloch-Sulzberger","2"
"HP protein, human","Spinal Cord Diseases","2"
"RELN protein, human","Neurodevelopmental disorder","2"
"Calretinin","Cerebellar Diseases","2"
"CYP19A1 protein, human","Rabies (disorder)","2"
"CD4 Antigens","Acquired Immunodeficiency Syndrome","2"
"Chondroitin Sulfates","Retinal Diseases","2"
"INSR protein, human","Down Syndrome","2"
"Matrix Metalloproteinases","Hypertensive disease","2"
"Protein Tyrosine Phosphatase, Non-Receptor Type 1","Neurotoxicity Syndromes","2"
"Granulocyte-Macrophage Colony-Stimulating Factor","Sweet Syndrome","2"
"Calcium Channel","Alzheimer's Disease","2"
"Nerve Growth Factor","Cognition Disorders","2"
"Serotonin","Movement Disorders","2"
"Proteins","Bone Diseases","2"
"Glutamate Decarboxylase","Autistic Disorder","2"
"F-Actin","Syndrome, Bloch-Sulzberger","2"
"Matrix Metalloproteinase 2","Kartagener Syndrome","2"
"Lipoproteins","Neurodegenerative Disorders","2"
"Cytoskeletal Proteins","Spinal Cord Diseases","2"
"Amyloid","Lafora Disease","2"
"Sucrose","Sensitization (disorder)","2"
"Phosphoric Monoester Hydrolases","Neurotoxicity Syndromes","2"
"Dyes","Mucocutaneous Lymph Node Syndrome","2"
"Leptin","Uterine Diseases","2"
"Protein Isoforms","Niemann-Pick Disease, Type C","2"
"CD8 Antigen, Beta Polypeptide 1","CNS disorder","2"
"Renin","Liver diseases","2"
"Heterogeneous-Nuclear Ribonucleoprotein K","Spinal Cord Diseases","2"
"Caspase","Spinal Cord Diseases","2"
"Vascular Endothelial Growth Factor B","Parkinson Disease","2"
"myelination","Mood Disorders","2"
"Polymerase","Neurodegenerative Disorders","2"
"Acetylcholinesterase","Herpes zoster disease","2"
"Microtubule-Associated Proteins","Penile Diseases","2"
"Gamma globulin serum","Lung diseases","2"
"Transcription Factor 7-Like 2","cortex bone disorders","2"
"N-Methylaspartate","Niemann-Pick Disease, Type C","2"
"Chimerin 1","Creutzfeldt-Jakob Disease, Sporadic","2"
"Protein Disulfide Isomerase","Functional disorder","2"
"Brain-Derived Neurotrophic Factor","Chimera (disorder)","2"
"Receptor","Impulse Control Disorders","2"
"Oxytocin","Nose Diseases","2"
"ATP-Binding Cassette Transporters","CNS disorder","2"
"Caveolin-1","Functional disorder","2"
"Protein Subunits","Nail-Patella Syndrome","2"
"AMP-Activated Protein Kinases","Chediak-Higashi Syndrome","2"
"Plasma Proteins","Sensitization (disorder)","2"
"Beta-glucuronidase","Huntington Disease","2"
"Receptor, PAR-1","Spinal Cord Diseases","2"
"Immunoglobulins","Sequela of disorder","2"
"Transient Receptor Potential Cation Channel Subfamily M Member 7","cortex bone disorders","2"
"Neurocan","Disease Progression","2"
"Proteins","Congenital ocular coloboma (disorder)","2"
"Translocase","Parkinson Disease","2"
"Heat-Shock Proteins 70","Depressive disorder","2"
"Papaverine","Pervasive Development Disorder","2"
"tau Proteins","Dementia due to Alzheimer's disease (disorder)","2"
"Peptide PHI","Alzheimer's Disease","2"
"Prothrombin","cortex bone disorders","2"
"Calcium/calmodulin-dependent protein kinase","Disease Progression","2"
"Retinaldehyde","Degenerative brain disorder","2"
"Kinesin-1 Heavy Chain","DISORDERS OF THE OPTIC NERVE","2"
"Nerve Growth Factors","Brain Diseases","2"
"Glutamate Dehydrogenase","Disorder nervous system","2"
"src-Family Kinases","Alzheimer's Disease","2"
"PRRT2 protein, human","Migraine Disorders","2"
"PTEN protein, human","Hypertrophic disorder of skin, unspecified","2"
"Galactosylceramidase","Neurodegenerative Disorders","2"
"DNA-Binding Proteins","Mesulam Syndrome","2"
"sphingosine kinase","Autistic Disorder","2"
"Toll-Like Receptor 3","Virus Diseases","2"
"Calretinin","Testicular Diseases","2"
"Neurotrophic Factor","Chronic disease","2"
"Binding Protein","Liver diseases","2"
"Fibroblast Growth Factor Receptors","Spinal Cord Diseases","2"
"Monoamine Oxidase","Disorder nervous system","2"
"Serotonin","Developmental delay (disorder)","2"
"TWIST1 protein, human","Neurotoxicity Syndromes","2"
"Methionine--glyoxylate transaminase","Prune Belly Syndrome","2"
"Estrogen Receptors","Hypertensive disease","2"
"Growth Associated Protein 43","Depressive disorder","2"
"Corticotropin-Releasing Hormone","Norrie disease","2"
"Protein Precursors","Familial Alzheimer Disease (FAD)","2"
"Protease Inhibitors","neuropathology disease","2"
"Glycosylation End Products, Advanced","Van der Woude syndrome","2"
"Glucose","Migraine Disorders","2"
"Immunoglobulins","Sweet Syndrome","2"
"Tubulin-Specific Chaperone Cofactor E-Like Protein","Alzheimer's Disease","2"
"Serotonin receptor","Sudden infant death syndrome","2"
"Factor, Transcription","Nicolaides Baraitser syndrome","2"
"phospholipase A2-alpha","Syndrome, Bloch-Sulzberger","2"
"CD44 Antigens","Hamartoma Syndrome, Multiple","2"
"Glycosylation End Products, Advanced","Sudden infant death syndrome","2"
"Glycoproteins","Acquired Immunodeficiency Syndrome","2"
"STAT3 Protein","Van der Woude syndrome","2"
"CRK protein, human","Parkinson Disease","2"
"Interleukin-6","Fetal Alcohol Syndrome","2"
"Cloning Vectors","Gardner Syndrome","2"
"Proteins","Cat-Scratch Disease","2"
"Lamina-Associated Polypeptide 2, Isoform Alpha","Disease of thymus gland","2"
"orexins","Functional Gastrointestinal Disorders","2"
"Binding Protein","Migraine Disorders","2"
"Delta-Like Protein 1, human","Neurodegenerative Disorders","2"
"CD4 Antigens","Inflammatory disorder","2"
"Glucose","Prune Belly Syndrome","2"
"Carboxy-Lyases","Depressive disorder","2"
"Cyclic AMP-Responsive DNA-Binding Protein","Syndrome, Bloch-Sulzberger","2"
"Muscarinic Acetylcholine Receptor","Stereotypic Movement Disorder","2"
"Guanylate Cyclase","Spinal Cord Diseases","2"
"orexins","Substance Withdrawal Syndrome","2"
"Angiotensin-2","Alzheimer's Disease","2"
"Specific antibody","Creutzfeldt-Jakob disease","2"
"NAD-Dependent Deacetylase Sirtuin-2","Neurotoxicity Syndromes","2"
"D-Aspartic Acid","cortex bone disorders","2"
"Proprotein Convertase 1","Renal glomerular disease","2"
"Monomeric GTP-Binding Proteins","Fragile X Syndrome","2"
"Gonadotropins","Skin endocrine disorder","2"
"Fusion protein","Bipolar Disorder","2"
"2',3'-Cyclic-Nucleotide Phosphodiesterases","Spinal Cord Diseases","2"
"Gelatin","Gardner Syndrome","2"
"Interleukin-1","Gilles de la Tourette syndrome","2"
"Disaccharides","Liver diseases","2"
"Glutamate-Ammonia Ligase","DISORDERS OF THE OPTIC NERVE","2"
"Arginine","Spinal Cord Diseases","2"
"neurofilament protein H","Down Syndrome","2"
"Vimentin","DISORDERS OF THE OPTIC NERVE","2"
"Macrophage Inflammatory Protein-1","Neurotoxicity Syndromes","2"
"NOS1 protein, human","Major Depressive Disorder","2"
"Protein Subunits","Congenital ocular coloboma (disorder)","2"
"Angiotensinogen","Hypertensive disease","2"
"Hyperhomocysteinemia","Mood Disorders","2"
"Cathepsin B","Delirium, Dementia, Amnestic, Cognitive Disorders","2"
"Acetylcysteine","Disorders, Mental","2"
"Adenylate Cyclase","Neurotoxicity Syndromes","2"
"Factor, Transcription","Nail-Patella Syndrome","2"
"Antibodies","Chorea Acanthocytosis Syndrome","2"
"Enzymes","Hereditary Diseases","2"
"Renin","Lung diseases","2"
"Heparin, Low-Molecular-Weight","Van der Woude syndrome","2"
"Glutamate-Ammonia Ligase","Liver diseases","2"
"Calcium Channel","Pituitary Diseases","2"
"Interleukin-1 beta","Van der Woude syndrome","2"
"Calcium","Alcohol withdrawal syndrome","2"
"wortmannin","Neurotoxicity Syndromes","2"
"Endopeptidases","Parkinson Disease","2"
"NADPH Oxidase","Disorder nervous system","2"
"Enkephalin, Methionine","Parkinson Disease","2"
"oncoprotein p21","Retinal Diseases","2"
"Endopeptidases","Gerstmann-Straussler-Scheinker Disease","2"
"Atrial Natriuretic Factor","Dysequilibrium syndrome","2"
"GABA-A Receptor","Depressive disorder","2"
"CNTNAP1 protein, human","cortex bone disorders","2"
"Nerve Growth Factors","Nail-Patella Syndrome","2"
"Lactate Dehydrogenase","Macrophage Activation Syndrome","2"
"Interleukin-1","Timothy syndrome","2"
"Glutathione S-Transferase Pi","Niemann-Pick disease, type C2","2"
"Myelin","Macrophage Activation Syndrome","2"
"Adenylyl Cyclase 9","Alzheimer's Disease","2"
"Buthionine Sulfoximine","Neurotoxicity Syndromes","2"
"Macrophage Inflammatory Proteins","Neurotoxicity Syndromes","2"
"NRCAM protein, human","Retinal Diseases","2"
"Calbindins","Hamartoma Syndrome, Multiple","2"
"Tumor Necrosis Factor-alpha","Syndrome, Bloch-Sulzberger","2"
"ASCL1 protein, human","Idiopathic Hypereosinophilic Syndrome","2"
"PIK3CG protein, human","Neurodevelopmental disorder","2"
"Interferon Alpha, Human","Depressive disorder","2"
"G-Protein-Coupled Receptors","Neurodegenerative Disorders","2"
"Proteolytic Enzyme","Parkinson Disease","2"
"Interferon Type II","Spinal Cord Diseases","2"
"ADP-Ribosyl Cyclase 1","cortex bone disorders","2"
"Glucagon-Like Peptide 1","Metabolic Syndrome X","2"
"Vasopressin (USP)","Parkinson Disease","2"
"Acid Sensing Ion Channels","Migraine Disorders","2"
"Lysergic Acid Diethylamide","Hashimoto Disease","2"
"Somatropin","Alzheimer's Disease","2"
"Biotin","Syndrome","2"
"Serotonin","Metabolic Diseases","2"
"Interferon Type I","Sensitization (disorder)","2"
"Laminin","Niemann-Pick Disease, Type C","2"
"Succinate Dehydrogenase [Ubiquinone] Flavoprotein Subunit, Mitochondrial","Allergic rhinitis NOS (disorder)","2"
"Receptor","Shwachman syndrome","2"
"Serum amyloid P","Alzheimer's Disease","2"
"Tumor Necrosis Factor Receptor","Spinal Cord Diseases","2"
"HP protein, human","Peripheral Arterial Diseases","2"
"RNA Polymerase II","Feline urological syndrome","2"
"SET protein, human","Disease Progression","2"
"Core-Binding Factor","cortex bone disorders","2"
"SKIL protein, human","Functional disorder","2"
"Ribosomal Protein S6","Parkinson Disease","2"
"Immune complex","Autoimmune Diseases","2"
"Adenosine Triphosphatases","Syndrome","2"
"CD68 antigen, human","Christ-Siemens-Touraine syndrome","2"
"Protein Kinases","Autistic Disorder","2"
"AMP-Activated Protein Kinases","Polycystic Ovary Syndrome","2"
"P53 Protein","Hashimoto Disease","2"
"Oxidoreductase","Depressive disorder","2"
"BAX Protein","Alzheimer's Disease","2"
"Receptor, PAR-1","Disorder nervous system","2"
"sialosyl-Tn antigen","Disease Progression","2"
"Somatostatin","Syndrome, Bloch-Sulzberger","2"
"tropomyosin-related kinase-B, human","Niemann-Pick Disease, Type C","2"
"Myelin Proteins","Alzheimer's Disease","2"
"Nerve Growth Factor","Gilles de la Tourette syndrome","2"
"Mitogen-Activated Protein Kinase Kinases","Functional disorder","2"
"activin A","Nose Diseases","2"
"Kanamycin","Diseases of inner ear","2"
"Receptors, Metabotropic Glutamate","Ataxia as late effect of cerebrovascular disease","2"
"Neurotrophic Factor","Autism Spectrum Disorders","2"
"Cyclic GMP-Dependent Protein Kinases","Depressive disorder","2"
"Histone deacetylase inhibitor","Disorder nervous system","2"
"Dipeptides","Motor Neuron Disease","2"
"Carnosine","Metabolic Diseases","2"
"Cytokine","Williams Syndrome","2"
"Integral Membrane Proteins","Neurodegenerative Disorders","2"
"tripeptidyl-peptidase I","Disease Progression","2"
"Glycogen Synthase Kinase 3","neuropathology disease","2"
"Proto-Oncogene Proteins c-fos","Stereotypic Movement Disorder","2"
"Y, Neuropeptide","Recurrent disease","2"
"Poly (ADP-Ribose) Polymerase Inhibitor","Disease Progression","2"
"HSP40 Heat-Shock Proteins","Spinal Cord Diseases","2"
"Trans-Activators","Pili torti-deafness syndrome","2"
"Interleukin-6","Brain Diseases","2"
"Clusterin","Disorder nervous system","2"
"Histidine","Neurotoxicity Syndromes","2"
"Signaling Protein","Neurodegenerative Disorders","2"
"Myelin","McCune-Albright Syndrome","2"
"Ceruloplasmin","Parkinson Disease","2"
"Peptides","Degenerative brain disorder","2"
"DNA (Cytosine-5)-Methyltransferase 1","Alzheimer's Disease","2"
"Peptide PHI","cortex bone disorders","2"
"KISS1 protein, human","cortex bone disorders","2"
"Congenital glucose-galactose malabsorption","Melkersson-Rosenthal Syndrome","2"
"Growth Differentiation Factor 5","Parkinson Disease","2"
"Dioxygenases","Disorder nervous system","2"
"Complementarity Determining Regions","Mild cognitive disorder","2"
"Aminoglutethimide","Alzheimer's Disease","2"
"Receptor","Tracheal Diseases","2"
"Presynaptic Density Protein 95","Autistic Disorder","2"
"Catenins","Disease Progression","2"
"Monoclonal Antibodies","Mucocutaneous Lymph Node Syndrome","2"
"Chromatin Remodeling Factor","Neurodevelopmental disorder","2"
"Protein Subunits","Migraine Disorders","2"
"Amyloid Proteins","Mesulam Syndrome","2"
"Glial Fibrillary Acidic Protein","Virus Diseases","2"
"tuberous sclerosis complex 2 protein","Neurodevelopmental disorder","2"
"60 kDa Heat Shock Protein, Mitochondrial","Functional disorder","2"
"Transcription Factor, Microphthalmia-Associated","Syndrome","2"
"Dyes","Depressive disorder","2"
"Becaplermin","Disorder nervous system","2"
"Microtubule-Associated Proteins","Peripheral Arterial Diseases","2"
"Lipoproteins","Functional disorder","2"
"Receptor, Cannabinoid, CB1","Functional disorder","2"
"Fenclonine","Syndrome, Bloch-Sulzberger","2"
"Phosphatidylinositol-Binding Clathrin Assembly Protein","Down Syndrome","2"
"Genes","Wolcott-Rallison syndrome","2"
"Protein Jagged-1","Spinal Cord Diseases","2"
"Myelin","Shwachman syndrome","2"
"Ligase","Huntington Disease","2"
"IRF6 wt Allele","Thoracic Outlet Syndrome","2"
"Rolipram","Saethre-Chotzen Syndrome","2"
"Factor, Transcription","Major Depressive Disorder","2"
"DNA (Cytosine-5)-Methyltransferase 3A","Functional disorder","2"
"Cytosolic Phospholipase A2","cortex bone disorders","2"
"CDKL5 protein, human","Syndrome","2"
"Corticotropin-Releasing Hormone","Disease Progression","2"
"Neuropeptides","CNS disorder","2"
"Adiponectin","Neurodegenerative Disorders","2"
"Adenosine Triphosphatases","Disease Progression","2"
"Serotonin","Drug effect disorder","2"
"Chemokine","Alcohol use disorder","2"
"Toll-Like Receptor 2","Alzheimer's Disease","2"
"Calcium","Acute Chest Syndrome","2"
"Microtubule-Associated Proteins","Parkinsonian Disorders","2"
"Fermentation","Spinal Cord Diseases","2"
"PPAR gamma","Disease Progression","2"
"BAIAP2 protein, human","Autism Spectrum Disorders","2"
"Enkephalins","cortex bone disorders","2"
"DNA (Cytosine-5)-Methyltransferase 1","cortex bone disorders","2"
"Myelin basic protein","Prion Diseases","2"
"Lactoferrin","Neurotoxicity Syndromes","2"
"Calcipressin-1","Alzheimer's Disease","2"
"Tetanus Toxin","Rabies (disorder)","2"
"Lysosomal enzyme","Hypertensive disease","2"
"Immunoglobulins","Salivary Gland Diseases","2"
"2-Amino-5-phosphonovalerate","Syndrome","2"
"HMGB1 Protein","Retinal Diseases","2"
"Bone Morphogenetic Proteins","Niemann-Pick Disease, Type C","2"
"Neuromedin U","Spinal Cord Diseases","2"
"Corticotropin-Releasing Hormone","Neurodegenerative Disorders","2"
"Synucleins","Gardner Syndrome","2"
"Glucocorticoid Receptor","Hyposmolality syndrome","2"
"Protein-Lysine 6-Oxidase","Hypertensive disease","2"
"Monoamine Oxidase","Depressive disorder","2"
"Dynamin I","Alzheimer's Disease","2"
"Neurotransmitter Receptor","Spinal Cord Diseases","2"
"Aspirin","Alzheimer's Disease","2"
"Protein Isoforms","Axenfeld-Rieger Syndrome, Type 1","2"
"Disintegrins","Alzheimer's Disease","2"
"Catenin Delta-1","Disorder nervous system","2"
"Immune Sera","Disorder nervous system","2"
"Receptors, Purinergic P1","cortex bone disorders","2"
"Cholecystokinin","Mood Disorders","2"
"Thyrotropin Receptor","Bipolar Disorder","2"
"Nuclear Proteins","Liver diseases","2"
"Caspase-3","Diseases of inner ear","2"
"Adhesion protein","Pervasive Development Disorder","2"
"Corticotropin","Sensitization (disorder)","2"
"Cyclosporine","Parkinson Disease","2"
"Caffeine","Hashimoto Disease","2"
"Carnosine","Depressive disorder","2"
"Membrane Transport Proteins","DISORDERS OF THE OPTIC NERVE","2"
"Sucrose","Spinal Cord Diseases","2"
"Neurocalcin","Renal glomerular disease","2"
"Protein Isoforms","Vasodilation disorder","2"
"HCRT Gene","Van der Woude syndrome","2"
"Antibodies","Mucocutaneous Lymph Node Syndrome","2"
"Phosphoric Monoester Hydrolases","Parkinsonian Disorders","2"
"Folate","Depressive disorder","2"
"Oligosaccharides","Lysosomal Storage Diseases","2"
"Luteinizing Hormone","Syndrome","2"
"Glial Fibrillary Acidic Protein","Delirium, Dementia, Amnestic, Cognitive Disorders","2"
"STAT3 Protein","Hyper-Immunoglobulin E Syndrome, Autosomal Dominant","2"
"HMGB1 Protein","neuropathology disease","2"
"Protein Phosphatase 1","Obsessive-Compulsive Disorder","2"
"Peptide Hydrolases","Spinal Cord Diseases","2"
"Vascular Endothelial Growth Factor A","Restless Legs Syndrome","2"
"Immune Sera","Renal glomerular disease","2"
"Semaphorins","Neurodevelopmental disorder","2"
"Calcitonin Gene-Related Peptide","Congenital secretory diarrhea, sodium type (disorder)","2"
"Glucose","Norrie disease","2"
"Galactosidase","Retinal Diseases","2"
"Synuclein Gamma","Hemorrhagic Fever with Renal Syndrome","2"
"Endorphins","Sensitization (disorder)","2"
"NR1 protein, human","Disorder nervous system","2"
"Glutamate Decarboxylase","Mood Disorders","2"
"Coenzyme A Ligases","Disorder nervous system","2"
"TWIST1 protein, human","Disease Progression","2"
"Chromatin Remodeling Factor","Autistic Disorder","2"
"Gamma-Enolase","Psychotic Disorders","2"
"Tyrosine 3-Monooxygenase","Metabolic Diseases","2"
"Cathepsin L","Depressive disorder","2"
"ADP-Ribosyl Cyclase 1","Langer-Giedion Syndrome","2"
"alpha 1-Antitrypsin","Spinal Cord Diseases","2"
"Nerve Growth Factors","Obsessive-Compulsive Disorder","2"
"Dyes","Pituitary Diseases","2"
"Prealbumin","Spinal Cord Diseases","2"
"Neurokinin B","Polycystic Ovary Syndrome","2"
"TLR4 protein, human","Prediabetes syndrome","2"
"Myelin Associated Glycoprotein","DISORDERS OF THE OPTIC NERVE","2"
"CASP2 protein, human","DISORDERS OF THE OPTIC NERVE","2"
"Somatomedins","Alzheimer's Disease","2"
"Vascular Endothelial Growth Factors","Functional disorder","2"
"3-Mercaptopyruvate sulfurtransferase","Myeloproliferative Syndrome, Transient","2"
"NFIX protein, human","Sandhoff Disease","2"
"Retinol Binding Proteins","Autistic Disorder","2"
"Neurotrophic Factor","Hashimoto Disease","2"
"Stress-Activated Protein Kinase 1","Fetal Alcohol Syndrome","2"
"Amyloid","Parkinsonian Disorders","2"
"Proline","Disorder nervous system","2"
"Protein Kinase Inhibitors","Depressive disorder","2"
"Tetracycline","Neurotoxicity Syndromes","2"
"Prohormone Convertases","Spinal Cord Diseases","2"
"Tryptophan 5-monooxygenase","Polyglandular Type I Autoimmune Syndrome","2"
"nociceptin","Parkinson Disease","2"
"Congenital secretory diarrhea, sodium type (disorder)","Clinically isolated syndrome","2"
"Prions","Syndrome","2"
"Myelin","Immunologic Deficiency Syndromes","2"
"Polymerase","Alzheimer's Disease","2"
"Nuclear Factor of Activated T-Cells, Cytoplasmic 4","Syndrome, Bloch-Sulzberger","2"
"Sin3 Histone Deacetylase and Corepressor Complex","Saethre-Chotzen Syndrome","2"
"Endothelin","Pituitary Diseases","2"
"IL1A protein, human","cortex bone disorders","2"
"Microsomal Epoxide Hydrolase","Liver diseases","2"
"Chromatin Remodeling Factor","Cognition Disorders","2"
"Antibodies","Autonomic nervous system disorders","2"
"ebselen","Sensitization (disorder)","2"
"CTSG protein, human","Neurotoxicity Syndromes","2"
"Methyl-CpG-Binding Protein 2","Liver diseases","2"
"Channels, Water","cortex bone disorders","2"
"Aldolase A","Parkinson Disease","2"
"Granulocyte-Macrophage Colony-Stimulating Factor","Liver diseases","2"
"Macrophage-1 Antigen","Neurotoxicity Syndromes","2"
"Vasoactive Intestinal Peptide","Liver diseases","2"
"Nerve Growth Factors","Mood Disorders","2"
"Glucose Transporter","Spinal Cord Diseases","2"
"Glycoprotein hormone","Pituitary Diseases","2"
"Neurokinin B","Klinefelter Syndrome","2"
"Receptor","Obsessive-Compulsive Disorder","2"
