"brainregion","disease","protein","count"
"Posterior cerebral commissure","Functional disorder","HD protein, human","1"
"Pontine structure","Sudden infant death syndrome","Glial Fibrillary Acidic Protein","1"
"Visual Cortex","Contact lens overwear syndrome (disorder)","Chloramphenicol O-Acetyltransferase","1"
"Temporal Lobe","Alzheimer's Disease","Nicotinamide N-Methyltransferase","1"
"Cerebral cortex","Neurotoxicity Syndromes","Sphingomyelinase","1"
"Structure of thalamic reticular nucleus","Parkinson Disease","Proteins","1"
"Hypothalamic structure","Fetal Alcohol Syndrome","Endorphins","1"
"Motor Cortex","Spinal Cord Diseases","Immunoglobulin G","1"
"BRAIN, HIPPOCAMPUS","Functional disorder","Vitamin A","1"
"Diagonal Band of Broca","Spinal Cord Diseases","Immunoglobulins","1"
"Anterodorsal nucleus of thalamus","Lewy Body Disease","rasagiline","1"
"Structure of diencephalon","cortex bone disorders","Cyclic Peptides","1"
"Pituitary Gland","Pituitary Diseases","secretory protein","1"
"Cerebral hemisphere structure (body structure)","Disease Progression","Growth Hormone","1"
"Lateral occipital gyrus","Psychotic Disorders","SYNPO protein, human","1"
"Cerebral Peduncle","Mild cognitive disorder","Chimerin 1","1"
"Genus Hippocampus","Alzheimer's Disease","AMP-Activated Protein Kinases","1"
"Prefrontal Cortex","cortex bone disorders","FOSL2 protein, human","1"
"CA2 field","Diseases of inner ear","Calcium","1"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Adenylate Cyclase","1"
"Basal Ganglia","Huntington Disease","Receptor, Cannabinoid","1"
"Globus Pallidus","cortex bone disorders","PODXL protein, human","1"
"Anterodorsal nucleus of thalamus","cortex bone disorders","Protein Isoforms","1"
"Prosencephalon","Functional disorder","Calcineurin","1"
"Prefrontal Cortex","Movement Disorders","neuromelanin","1"
"Pineal gland","Disorder of pineal gland","Proteome","1"
"Cerebellar vermis structure","Spinal Cord Diseases","Glial Fibrillary Acidic Protein","1"
"Rostrotemporal auditory area","Alzheimer's Disease","Tubulin","1"
"Auditory Hair Cell","Diseases of inner ear","Brain-Derived Neurotrophic Factor","1"
"Lobe, Frontal","Alzheimer's Disease","Brain-Derived Neurotrophic Factor","1"
"Amygdaloid structure","Alzheimer's Disease","Apolipoprotein E3","1"
"Hypothalamic structure","Fetal Alcohol Syndrome","Caspase 8","1"
"Limbic System","cortex bone disorders","Genes","1"
"Medulla Oblongata","Burnett Schwartz Berberian syndrome","Acetazolamide","1"
"Structure of nucleus prepositus","Alzheimer's Disease","Genes","1"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Protein, Nestin","1"
"Genus Hippocampus","cortex bone disorders","Calcium/calmodulin-dependent protein kinase","1"
"Prosencephalon","Autism Spectrum Disorders","Receptor","1"
"Pyramidal Cells","Pervasive Development Disorder","FABP4 protein, human","1"
"Structure of angular gyrus","Huntington Disease","Hydroxymethylbilane Synthase","1"
"Cerebral cortex","Depressive disorder","Paraoxon","1"
"Structure of oculomotor nerve central caudal nucleus","Anophthalmia Waardenburg syndrome","wortmannin","1"
"Purkinje Cells","Disease Progression","Enzymes","1"
"Hypothalamic Area, Lateral","Huntington Disease","HCRT protein, human","1"
"Medulla Oblongata","Parkinson Disease","Melanins","1"
"Structure of locus ceruleus","Parkinson Disease","Cyclic AMP-Responsive DNA-Binding Protein","1"
"Hypothalamic Area, Lateral","Sequela of disorder","Luteinizing Hormone","1"
"Lobe, Frontal","Creutzfeldt-Jakob Disease, Sporadic","rho-Associated Kinases","1"
"Tectum Mesencephali","Retinal Diseases","MEIS1 protein, human","1"
"Corpus striatum structure","Virus Diseases","Cytokine","1"
"Corpus Callosum","DISORDERS OF THE OPTIC NERVE","voltage gated channel","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Lipofuscin","1"
"Inferior olivary nucleus","Alexander Disease","Polymerase","1"
"Structure of optic radiation","Menkes Kinky Hair Syndrome","Folic Acid","1"
"Basal Nucleus of Meynert","Alzheimer's Disease","Calcium-Binding Proteins","1"
"Pyramidal Cells","Disease Progression","Caspase-3","1"
"Structure of subiculum hippocampi","Alzheimer's Disease","glutaminyl-peptide cyclotransferase","1"
"Brain Stem","Depressive disorder","Serotonin","1"
"Lobe, Frontal","cortex bone disorders","Metallothionein","1"
"Paracentral Thalamic Nucleus","Depressive disorder","Brain-Derived Neurotrophic Factor","1"
"Structure of subiculum hippocampi","cortex bone disorders","Amyloid","1"
"Corpus striatum structure","Communicable Diseases","Proteins","1"
"Nucleus of Ansa Lenticularis","Alzheimer's Disease","Apolipoprotein E4","1"
"Structure of suprageniculate nucleus","Alzheimer's Disease","APP protein, human","1"
"Olfactory tubercle","Spinal Cord Diseases","benzaldehyde","1"
"Reticular Formation","Spinal Cord Diseases","Proteoglycan","1"
"Occipital lobe","Alzheimer's Disease","Butyrylcholinesterase","1"
"Bundle, Predorsal","Parkinson Disease","Phosphorylases","1"
"Structure of habenulopeduncular tract","Hereditary Diseases","RPL29 protein, human","1"
"Thalamic structure","cortex bone disorders","Dyes","1"
"BRAIN, HIPPOCAMPUS","Niemann-Pick Disease, Type C","Bone Morphogenetic Proteins","1"
"Nucleus of optic tract","Dysequilibrium syndrome","Monooxygenase, Monophenol","1"
"Cerebral cortex","Neurodegenerative Disorders","Calcium-Activated Potassium Channel Subunit Alpha-1","1"
"Cerebral Ventricles","Alzheimer's Disease","Amyloid Proteins","1"
"Structure of locus ceruleus","cortex bone disorders","Receptor","1"
"Pars Compacta","Prune Belly Syndrome","Erythropoietin","1"
"BRAIN, HIPPOCAMPUS","Spinal Cord Diseases","Transducin","1"
"Genus Hippocampus","Liver diseases","Receptor","1"
"Basal Ganglia","Autism Spectrum Disorders","HD protein, human","1"
"Rostrotemporal auditory area","Parkinson Disease","Peptidylprolyl Isomerase","1"
"Brain White Matter","Spinal Cord Diseases","Genes","1"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Isoenzymes","1"
"Hypothalamic Area, Lateral","Recurrent disease","Luteinizing Hormone","1"
"Posterior Nucleus of Thalamus","Peripheral Arterial Diseases","Parathyroid Hormone","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Mineralocorticoid Receptor","1"
"BRAIN, HIPPOCAMPUS","Marfan Syndrome","CDK5 protein, human","1"
"Corpus striatum structure","Parkinson Disease","Tetracycline","1"
"Central insular sulcus","Alzheimer's Disease","Actins","1"
"Motor Cortex","Fetal Alcohol Spectrum Disorders","Genes","1"
"CA1 field","Pervasive Development Disorder","PTEN protein, human","1"
"Visual Cortex","Syndrome, Bloch-Sulzberger","Receptor","1"
"Hypothalamic structure","Pancreatic Diseases","Neuropeptides","1"
"Pyramidal Cells","Down Syndrome","LTF protein, human","1"
"Pituitary Gland","Adrenal Cushing's syndrome","Corticotropin-Releasing Hormone","1"
"Anterodorsal nucleus of thalamus","neuropathology disease","Nerve Growth Factor","1"
"Structure of habenulopeduncular tract","Autism Spectrum Disorders","Transcription Factor CHOP","1"
"Pars nervosa of hypophysis","Spinal Cord Diseases","Neuropeptides","1"
"Thalamic structure","Mesulam Syndrome","Phosphonoacetic Acid","1"
"Brain Stem","Behavior Disorders","5-Hydroxytryptophan","1"
"Brain Stem","Retinal Diseases","Keratin-1","1"
"BRAIN, HIPPOCAMPUS","Disorders, Mental","Cyclic AMP-Responsive DNA-Binding Protein","1"
"Cerebellum","Liver diseases","Genes","1"
"Anterodorsal nucleus of thalamus","Lysosomal Storage Diseases","Cathepsin L","1"
"Corpus striatum structure","Attention deficit hyperactivity disorder","NRG3 protein, human","1"
"Cerebellum","cortex bone disorders","RPL29 protein, human","1"
"Prosencephalon","Hashimoto Disease","Genes","1"
"Lobe, Frontal","Bipolar Disorder","Metalloproteases","1"
"Anterodorsal nucleus of thalamus","Lysosomal Storage Diseases","SQSTM1 protein, human","1"
"Median eminence of hypothalamus","Skin endocrine disorder","Prolactin","1"
"Entire medulla oblongata","Spinal Cord Diseases","Androgen Receptor","1"
"Linear nucleus","Extrapyramidal Disorders","Colony-Stimulating Factors","1"
"Lactotrophs","Pituitary Diseases","Pituitary Hormones, Anterior","1"
"Substantia nigra structure","Movement Disorders","alpha-Synuclein","1"
"Neostriatum","Down Syndrome","Enzymes","1"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","mercuric sulfide","1"
"Corpus striatum structure","Parkinson Disease","Adenosine Triphosphatases","1"
"Neostriatum","Neurotoxicity Syndromes","Calbindins","1"
"BRAIN, HIPPOCAMPUS","Hashimoto Disease","Fusion protein","1"
"Midbrain structure","Parkinson Disease","Transforming Growth Factor beta3","1"
"Metencephalon","Seasonal Affective Disorder","Genes","1"
"Dorsal Nucleus Raphe","Recurrent disease","Corticotropin-Releasing Hormone","1"
"Purkinje Cells","Neurotoxicity Syndromes","RELN protein, human","1"
"Hypothalamic Area, Lateral","Sleep Disorders","Luteinizing Hormone","1"
"Midbrain structure","cortex bone disorders","Glial Fibrillary Acidic Protein","1"
"Pituitary Stalk","Herpes zoster disease","Pro-Opiomelanocortin","1"
"Genus Hippocampus","Brain Diseases","tau Proteins","1"
"Substantia nigra structure","Huntington Disease","Proteins","1"
"Amygdaloid structure","Alzheimer's Disease","Antibodies","1"
"Inferior Colliculus","cortex bone disorders","Ephrin-B2","1"
"Neostriatum","Neurotoxicity Syndromes","Cytokine","1"
"Genus Hippocampus","Alzheimer's Disease","Fractalkine","1"
"Genus Hippocampus","Bloom Syndrome","Glial Fibrillary Acidic Protein","1"
"Bundle, Predorsal","Post-Traumatic Stress Disorder","alpha-Tubulin","1"
"Purkinje Cells","Von Hippel-Lindau Syndrome","VHL protein, human","1"
"Neostriatum","Functional disorder","Cytokine","1"
"Paracentral Thalamic Nucleus","Neurodegenerative Disorders","Cathepsin L","1"
"Genus Hippocampus","Alzheimer's Disease","Clathrin","1"
"Cerebral hemisphere structure (body structure)","Neurotoxicity Syndromes","Serotonin","1"
"Rostrotemporal auditory area","Meckel syndrome type 1","HD protein, human","1"
"Structure of paraventricular nucleus","Autonomic nervous system disorders","Corticotropin-like intermediate lobe peptide","1"
"Cerebellar Nuclei","Liver diseases","Diclofenac","1"
"Thalamic structure","cortex bone disorders","Opsins","1"
"Rostrotemporal auditory area","Gardner Syndrome","Acid Sensing Ion Channels","1"
"BRAIN, HIPPOCAMPUS","Parkinson Disease","Calcium","1"
"Cerebral hemisphere structure (body structure)","Gerstmann-Straussler-Scheinker Disease","APP protein, human","1"
"Hypothalamic structure","Hypertensive disease","Calmodulin Dependent Protein Kinase II","1"
"Entire optic radiation","Menkes Kinky Hair Syndrome","Folic Acid","1"
"Structure of anterior hypothalamic nucleus","Skin endocrine disorder","Prostaglandin-Endoperoxide Synthase","1"
"Substantia nigra structure","Gardner Syndrome","Alpha protein","1"
"Structure of paraventricular nucleus","Disorders, Mental","Neuropeptides","1"
"Trigeminal Nuclei","Spinal Cord Diseases","Opioid Peptide","1"
"Cerebellum","Autistic Disorder","Methyl-CpG-Binding Protein 2","1"
"CA3 field","Depressive disorder","HDAC Inhibitor SHP-141","1"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Interferon Regulatory Factor 4","1"
"Corpus striatum structure","Dyskinetic syndrome","Caseins","1"
"Cerebral Ventricles","Meningeal disorder","Melanins","1"
"Brodmann area","Cerebrovascular Disorders","Synaptophysin","1"
"Basal Ganglia","cortex bone disorders","Vasopressin (USP)","1"
"Prefrontal Cortex","cortex bone disorders","Brain-Derived Neurotrophic Factor","1"
"Hypothalamic structure","Fetal Alcohol Spectrum Disorders","Peptides","1"
"Cerebral cortex","Neurotoxicity Syndromes","Triarylmethane dye","1"
"Structure of preoptic periventricular nucleus","Pituitary Diseases","Poly ADP Ribose Polymerase","1"
"Genus Hippocampus","cortex bone disorders","Neurotrophic Factor","1"
"Inferior Colliculus","Pituitary Diseases","Galanin","1"
"Cerebral cortex","Disease of thymus gland","Proteins","1"
"Pituitary Gland","Pituitary Diseases","Hyaluronidase","1"
"Structure of nucleus prepositus","Creutzfeldt-Jakob disease","protein TDP-43","1"
"Lateral Dorsal Nucleus","Pituitary Diseases","Fenclonine","1"
"Genus Hippocampus","Disease Progression","Factor, Transcription","1"
"Posterior cerebral commissure","Disorder of pineal gland","Peptide PHI","1"
"Metencephalon","cortex bone disorders","GABA Receptor","1"
"Substantia nigra structure","Parkinson Disease","Tyrosine","1"
"Nucleus Accumbens","Recurrent disease","Proteins","1"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Oxypurinol","1"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Actins","1"
"BRAIN, HIPPOCAMPUS","Disorder nervous system","Proteins","1"
"Structure of locus ceruleus","Spinal Cord Diseases","Mixed Function Oxygenases","1"
"Temporal Lobe","Syndrome","Glycosylation End Products, Advanced","1"
"Brain Stem","Hereditary Diseases","Phenylethanolamine N-Methyltransferase","1"
"CA2 field","Depressive disorder","Cholecystokinin","1"
"Callosal sulcus","Neurodegenerative Disorders","Catenin Delta-1","1"
"Pituitary Gland","Pituitary Diseases","Peptide PHI","1"
"Structure of olfactory bulb","Renal glomerular disease","Calbindin 1","1"
"Genus Hippocampus","cortex bone disorders","Calmodulin","1"
"Amygdaloid structure","cortex bone disorders","Early Growth Response Protein 2","1"
"Neostriatum","Disorders, Mental","moesin","1"
"Structure of thalamic fasciculus","cortex bone disorders","Enzymes","1"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Galanin","1"
"Corpus striatum structure","Syndrome","Chloramphenicol O-Acetyltransferase","1"
"Structure of angular gyrus","Hamartoma Syndrome, Multiple","Genes","1"
"Cerebral cortex","Functional disorder","Cathepsin D","1"
"Structure of thalamic reticular nucleus","Syndrome, Bloch-Sulzberger","Receptor, Inositol-1,4,5-triphosphate","1"
"Hypothalamic structure","Metabolic Diseases","Interleukin-6","1"
"Structure of nucleus infundibularis hypothalami","Skin endocrine disorder","Metastin","1"
"Nucleus of Ansa Lenticularis","Alzheimer's Disease","tau Proteins","1"
"Pituitary Gland","Testicular Diseases","Neuropeptides","1"
"Cerebellar cortex structure","Attention deficit hyperactivity disorder","Genes","1"
"Midbrain structure","Parkinson Disease","Dopamine Receptor","1"
"Genus Hippocampus","cortex bone disorders","Dihydropyrimidine dehydrogenase","1"
"Structure of nucleus prepositus","Prion Diseases","Nerve Growth Factor","1"
"Neostriatum","cortex bone disorders","Phosphotransferases","1"
"Hindbrain","Spinal Cord Diseases","Glial Fibrillary Acidic Protein","1"
"Central Dorsal Nucleus","Hamartoma Syndrome, Multiple","1-Phosphatidylinositol 3-Kinase","1"
"Genus Hippocampus","cortex bone disorders","Membrane Proteins","1"
"Corpus striatum structure","Communicable Diseases","Protein Subunits","1"
"Amygdaloid structure","Alzheimer's Disease","Poly ADP Ribose Polymerase","1"
"Caudate nucleus structure","Autistic Disorder","Glial Fibrillary Acidic Protein","1"
"CA2 field","Huntington Disease","HD protein, human","1"
"Posterior cerebral commissure","Disorder of pineal gland","DNA Polymerase Epsilon Catalytic Subunit A","1"
"lateral amygdalar nucleus","Degenerative disorder","Ubiquitin","1"
"Structure of reticular formation of medulla oblongata","Sudden infant death syndrome","Serotonin","1"
"Anterodorsal nucleus of thalamus","Opsoclonus-Myoclonus Syndrome","Granulocyte-Macrophage Colony-Stimulating Factor","1"
"Genus Hippocampus","Cat eye syndrome","Receptor","1"
"Purkinje Cells","Prune Belly Syndrome","Growth Hormone","1"
"Prefrontal Cortex","Alzheimer's Disease","Calretinin","1"
"Medial Dorsal Nucleus","Alzheimer's Disease","orexins","1"
"Posterior cerebral commissure","Alzheimer's Disease","Cathepsin L","1"
"Neostriatum","Leigh Disease","NADH Dehydrogenase (Ubiquinone)","1"
"Cortex, Primary Motor","Spinal Cord Diseases","Horseradish Peroxidase","1"
"BRAIN, HIPPOCAMPUS","Spinal Cord Diseases","Glucose Transporter","1"
"Anterodorsal nucleus of thalamus","Stress Disorders, Traumatic","Dopamine and cAMP-Regulated Phosphoprotein 32","1"
"Parietal Lobe","cortex bone disorders","Y, Neuropeptide","1"
"Purkinje Cells","Functional disorder","NA K EXCHANGING ATPASE","1"
"Midbrain structure","Parkinson Disease","Transporter, Dopamine","1"
"Cerebral cortex","Brain Diseases","N-Methylaspartate","1"
"BRAIN, HIPPOCAMPUS","Parkinson Disease","Binding Protein","1"
"Dorsal Motor Nucleus","Disease Progression","Synucleins","1"
"Genus Hippocampus","Alzheimer's Disease","Cystatins","1"
"Area, Septal","cortex bone disorders","Vasotocin","1"
"BRAIN, HIPPOCAMPUS","Neurotoxicity Syndromes","Melanoma-Associated Antigen Family","1"
"Cerebellar lobe","Syndrome","APP protein, human","1"
"Median eminence of hypothalamus","Pituitary Diseases","Thyrotropin","1"
"Paracentral Thalamic Nucleus","Neurodegenerative Disorders","POZ-, AT Hook-, and Zinc Finger-Containing Protein 1","1"
"Structure of locus ceruleus","Cockayne Syndrome, Type I","NF-E2-Related Factor 2","1"
"Prosencephalon","Disorders, Mental","Serotonin","1"
"Internal capsule anterior limb structure","Aicardi's syndrome","Cytokine","1"
"Interpeduncular nucleus","Ataxia as late effect of cerebrovascular disease","Genes","1"
"Uncinate fasciculus of pons","Albers-Schonberg disease","CLCN7 protein, human","1"
"Nucleus fastigii","Fetal Alcohol Syndrome","Membrane Proteins","1"
"BRAIN, HIPPOCAMPUS","Niemann-Pick Disease, Type C","Phosphotransferases","1"
"Bundle, Predorsal","Disease Progression","Receptor","1"
"Anterodorsal nucleus of thalamus","Functional disorder","Stress-Activated Protein Kinase 1","1"
"Cerebellum","Liver diseases","Arginine Vasopressin-Neurophysin II Preproprotein","1"
"Cerebral hemisphere structure (body structure)","Communicable Diseases","Complement System Proteins","1"
"Midbrain structure","Functional disorder","Receptor, Adrenergic, alpha","1"
"Structure of angular gyrus","McCune-Albright Syndrome","Phosphoric Monoester Hydrolases","1"
"BRAIN, HIPPOCAMPUS","Dementia due to Alzheimer's disease (disorder)","Peptides","1"
"Medial Dorsal Nucleus","Spinal Cord Diseases","Microtubule-Associated Proteins","1"
"Corpus striatum structure","Neurotoxicity Syndromes","G-Protein-Coupled Receptors","1"
"Cerebellum","Motor Neuron Disease","Proteins","1"
"Cerebral cortex","cortex bone disorders","NOVA1 protein, human","1"
"Anterodorsal nucleus of thalamus","Huntington Disease","Genes","1"
"Brain Stem","Uterine Diseases","Tyrosine 3-Monooxygenase","1"
"Temporal Lobe","Spinal Cord Diseases","DNA-Binding Proteins","1"
"Pallidus Nucleus, Raphe","Spinal Cord Diseases","Serotonin","1"
"Corpus Callosum","Alzheimer's Disease","Cytokine","1"
"Structure of dentate gyrus","Shwachman syndrome","APP protein, human","1"
"Amygdaloid structure","cortex bone disorders","Phosphotransferases","1"
"Pontine structure","Spinal Cord Diseases","Growth Associated Protein 43","1"
"Superior temporal gyrus","Disorder nervous system","Nerve Growth Factor","1"
"Substantia nigra structure","Parkinson Disease","Endopeptidase K","1"
"Somatosensory Cortex","cortex bone disorders","Dyes","1"
"Anterodorsal nucleus of thalamus","Alzheimer Disease, Late Onset","Phosphatidylinositol-Binding Clathrin Assembly Protein","1"
"Structure of medial preoptic nucleus","Christ-Siemens-Touraine syndrome","Peroxidase","1"
"Lamina Terminalis","Tay-Sachs Disease","Stem Cell Factor","1"
"Reuniens Thalamic Nucleus","Retinal Diseases","Proteolytic Enzyme","1"
"Corpus striatum structure","cortex bone disorders","Matrix Metalloproteinase 2","1"
"Auditory Hair Cell","Usher syndrome type 2","Genes","1"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","moesin","1"
"Structure of ansa lenticularis","Alzheimer's Disease","Actin, Cytoplasmic 1","1"
"Somatosensory Cortex","cortex bone disorders","Oxidase, Cytochrome-c","1"
"Structure of habenulopeduncular tract","Hereditary Diseases","Peptide Initiation Factors","1"
"Neocortex","Post-Traumatic Stress Disorder","HIF1alpha protein","1"
"Structure of locus ceruleus","Pituitary Diseases","Serotonin","1"
"Nucleus of Ansa Lenticularis","Alzheimer's Disease","Green Fluorescent Proteins","1"
"CA1 field","Feline urological syndrome","Internexin","1"
"BRAIN, HIPPOCAMPUS","Neurodegenerative Disorders","Acetylcholinesterase","1"
"Amygdaloid structure","Depressive disorder","N-Methylaspartate","1"
"Structure of dentate gyrus","Autism Spectrum Disorders","Protein, Nestin","1"
"Genus Hippocampus","cortex bone disorders","human histocompatibility complex derived antigens-DP+DQ+DR","1"
"Entire lateral geniculate body","cortex bone disorders","Membrane Transport Proteins","1"
"Posterior cerebral commissure","Disorder of pineal gland","Acetylcholinesterase","1"
"BRAIN, HIPPOCAMPUS","Neurotoxicity Syndromes","lycopene","1"
"Amygdaloid Nucleus, Cortical","Spinal Cord Diseases","Receptor","1"
"Cerebral cortex","cortex bone disorders","Vimentin","1"
"Pyramidal Cells","Spinal Cord Diseases","Superoxide Dismutase","1"
"Lateral paragigantocellular nucleus","Irritable Bowel Syndrome","NR1 protein, human","1"
"Prefrontal Cortex","cortex bone disorders","Dopa","1"
"Cerebellum","cortex bone disorders","ADP-Ribosyl Cyclase 1","1"
"Hypothalamic structure","Syndrome","Oxytocin","1"
"Lateral habenular nucleus","Alcohol use disorder","Calmodulin Dependent Protein Kinase II","1"
"CA2 field","cortex bone disorders","DNA","1"
"Pars Compacta","Hamartoma Syndrome, Multiple","Calretinin","1"
"Somatosensory Cortex","cortex bone disorders","Proteoglycan","1"
"Genus Hippocampus","McCune-Albright Syndrome","Endoribonucleases","1"
"Peripeduncular nucleus","Parkinson Disease","superoxide dismutase 2","1"
"Prefrontal Cortex","Autistic Disorder","Myelin Associated Glycoprotein","1"
"Olivary Nucleus","Disease Progression","Microtubule-Associated Proteins","1"
"Structure of supracallosal gyrus","Lennox-Gastaut syndrome","Choline O-Acetyltransferase","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Glutamate-Ammonia Ligase","1"
"Lateral habenular nucleus","Dyskinetic syndrome","Dopa","1"
"Anterodorsal nucleus of thalamus","Huntington Disease","Granulocyte Colony-Stimulating Factor","1"
"Cerebral hemisphere structure (body structure)","Lewy Body Disease","Amyloid","1"
"Amygdaloid structure","Alzheimer's Disease","Amyloid beta-Peptides","1"
"Third ventricle structure","Disorder of pineal gland","Insulin-Like Growth Factor II","1"
"Structure of locus ceruleus","Bipolar I disorder","Nitric Oxide Synthase Type I","1"
"Structure of purkinje cell layer of cerebellar cortex","Retinal Diseases","Poly ADP Ribose Polymerase","1"
"Pineal gland","Retinal Diseases","Basic Helix-Loop-Helix Transcription Factors","1"
"CA2 field","Meconium Aspiration Syndrome","Enzymes","1"
"Genus Hippocampus","cortex bone disorders","Anaphase Promoting Complex","1"
"Corpus striatum structure","Basal Ganglia Diseases","Histamine H2 Receptors","1"
"Pyramidal Cells","Autistic Disorder","CNTNAP2 protein, human","1"
"Genus Hippocampus","Feline urological syndrome","Green Fluorescent Proteins","1"
"Cerebral cortex","Creutzfeldt-Jakob disease","Amyloid Proteins","1"
"Caudate nucleus structure","Parkinsonian Disorders","Chloramphenicol O-Acetyltransferase","1"
"Structure of locus ceruleus","Cockayne Syndrome, Type I","Lactate Dehydrogenase","1"
"Genus Hippocampus","cortex bone disorders","UVRAG protein, human","1"
"Structure of Forel's H2 bundle","Spinal Cord Diseases","Enzymes","1"
"Cerebellum","Pituitary Diseases","Genes","1"
"Structure of tectobulbar tract","Alzheimer's Disease","Amyloid","1"
"Pituitary Gland","Pituitary Diseases","Steroidogenic Factor 1","1"
"Genus Hippocampus","Autism Spectrum Disorders","RNA-Binding Proteins","1"
"Pituitary Gland","Pituitary Diseases","Receptor, Cannabinoid","1"
"Corpus striatum structure","cortex bone disorders","Minocycline","1"
"Central insular sulcus","Post-Traumatic Stress Disorder","Serum Albumin, Bovine","1"
"BRAIN, HIPPOCAMPUS","Retinal Diseases","T-Cell Surface Glycoprotein CD3 Zeta Chain","1"
"Organ of Corti structure","Saethre-Chotzen Syndrome","Human Placental Lactogen","1"
"CA1 field","Rett Syndrome","Dyes","1"
"Pyramidal Cells","Disease Progression","Halorhodopsins","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Deoxyuridine","1"
"Cerebral hemisphere structure (body structure)","Mild cognitive disorder","Acetylcholinesterase","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","MET protein, human","1"
"Hypothalamic structure","cortex bone disorders","Gonadotropin-Releasing Hormone Receptor","1"
"Basal Forebrain","Disorder nervous system","Galanin","1"
"BRAIN, HIPPOCAMPUS","Macrophage Activation Syndrome","Receptor","1"
"Corpus striatum structure","cortex bone disorders","Interleukin-10","1"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Histone Deacetylase 2","1"
"Corpus striatum structure","Huntington Disease","Monomeric GTP-Binding Proteins","1"
"Prefrontal Cortex","Hereditary Diseases","RNA-Binding Proteins","1"
"Cerebral cortex","Alzheimer's Disease","NOTCH1 protein, human","1"
"Hypothalamic structure","Mitral Valve Prolapse Syndrome","KISS1 protein, human","1"
"Genus Hippocampus","Spinal Cord Diseases","GABA Receptor","1"
"Tectopontine fibers","Parkinson Disease","Transcription Factor CHOP","1"
"basolateral nucleus of the amygdala","Syndrome, Bloch-Sulzberger","G Protein-Coupled Receptor 54","1"
"Nucleus fastigii","Fetal Alcohol Syndrome","Paxillin","1"
"BRAIN, HIPPOCAMPUS","Kartagener Syndrome","Growth Associated Protein 43","1"
"Superior colliculus of corpora quadrigemina","cortex bone disorders","Microtubule-Associated Proteins","1"
"Structure of dentate gyrus","Alzheimer's Disease","APP protein, human","1"
"Motor Cortex","Spinal Cord Diseases","Brain-Derived Neurotrophic Factor","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","NEFH protein, human","1"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","MT3 protein, human","1"
"Midbrain structure","Hypertensive disease","Opioid Receptor","1"
"Nucleus solitarius","Spinal Cord Diseases","Diphtheria Toxin","1"
"Structure of angular gyrus","Brain Diseases","Angiotensin-2","1"
"Cerebellum","cortex bone disorders","Chloramphenicol O-Acetyltransferase","1"
"Cerebrum","Shwachman syndrome","Proteins","1"
"BRAIN, HIPPOCAMPUS","Retinal Diseases","Poly ADP Ribose Polymerase","1"
"Cerebral cortex","Retinal Diseases","Binding Protein","1"
"Genus Hippocampus","cortex bone disorders","CYP19A1 protein, human","1"
"Cerebellum","cortex bone disorders","Brain-Derived Neurotrophic Factor","1"
"Genus Hippocampus","Disease Progression","Lipocalins","1"
"Longitudinal pontine fibers","Contact lens overwear syndrome (disorder)","Calbindins","1"
"Corpus Callosum","DISORDERS OF THE OPTIC NERVE","Ranvier's Nodes","1"
"Corpus striatum structure","Spinal Cord Diseases","Caspase-6","1"
"Nucleus Accumbens","cortex bone disorders","INSR protein, human","1"
"Area 32 of Brodmann","cortex bone disorders","Myelin","1"
"BRAIN, HIPPOCAMPUS","Functional disorder","Ubiquitin","1"
"Bundle, Predorsal","Meckel syndrome type 1","Serum Albumin, Bovine","1"
"Corpus striatum structure","Dystonia Disorders","Tyrosine 3-Monooxygenase","1"
"Prosencephalon","Alzheimer's Disease","Protein Subunits","1"
"Nucleus solitarius","Hypertensive disease","Peptides","1"
"CA1 field","Alzheimer's Disease","Monoclonal Antibodies","1"
"Cerebellum","Liver diseases","CCAAT-Enhancer-Binding Proteins","1"
"Cerebral cortex","Nijmegen Breakage Syndrome","NBS1 protein, human","1"
"Anterodorsal nucleus of thalamus","Stress Disorders, Traumatic","Microtubule-Associated Proteins 1A/1B Light Chain 3","1"
"Pyramidal Cells","Mucocutaneous Lymph Node Syndrome","Histone Deacetylase 2","1"
"Cerebral hemisphere structure (body structure)","Hereditary Diseases","Ferritin","1"
"Allocortex","Motor Neuron Disease","Binding Protein","1"
"Lobe, Frontal","Alzheimer's Disease","GTP-Binding Proteins","1"
