"gene","disease","count"
"SIRT3 Gene","Mucocutaneous Lymph Node Syndrome","2"
"KCNQ1 gene","Syndrome","2"
"GRIN2A Gene","Neurotoxicity Syndromes","2"
"Retinoic Acid Response Element","Brown-Vialetto-Van Laere syndrome","2"
"MET wt Allele","Obsessive-Compulsive Disorder","2"
"PEMT wt Allele","Liver diseases","2"
"CTSL Gene","Huntington Disease","2"
"HCRT Gene","Skin endocrine disorder","2"
"Enhancer of transcription","Syndrome","2"
"ADAM10 Gene","Pervasive Development Disorder","2"
"ST13 wt Allele","Spinal Cord Diseases","2"
"CD4 Gene","Acute infectious disease","2"
"S100B Gene","Inflammatory disorder","2"
"KCNC3 gene","Bipolar Disorder","2"
"HSPA5 wt Allele","Functional disorder","2"
"HGS Gene","cortex bone disorders","2"
"Philadelphia Chromosome","Functional disorder","2"
"SLC6A3 wt Allele","Disease Progression","2"
"AKR1C1 wt Allele","Papillon-Lefevre Disease","2"
"Wild Type","Migraine Disorders","2"
"MAPK14 Gene","Sensitization (disorder)","2"
"CHKA wt Allele","Spinal Cord Diseases","2"
"IGF2 wt Allele","Disorder of pineal gland","2"
"Tumor Necrosis Factor-alpha","Pituitary Diseases","2"
"PAG1 wt Allele","Neurotoxicity Syndromes","2"
"BDNF Gene","Melkersson-Rosenthal Syndrome","2"
"ESR1 wt Allele","Brain Diseases","2"
"CDK5R1 wt Allele","Shy-Drager Syndrome","2"
"POLG gene","Alpers' Disease","2"
"ZEB2 Gene","cortex bone disorders","2"
"FYN wt Allele","Neurodegenerative Disorders","2"
"S100A6 wt Allele","Shy-Drager Syndrome","2"
"NTRK2 Gene","neuropathology disease","2"
"FOXG1 Gene","Spinal Cord Diseases","2"
"NGF Gene","Hereditary Diseases","2"
"TLR2 Gene","Spinal Cord Diseases","2"
"CREB1 wt Allele","Van der Woude syndrome","2"
"GNAI1 wt Allele","Liver diseases","2"
"EPHB2 Gene","Lung diseases","2"
"Toll-Like Receptor Family Gene","Van der Woude syndrome","2"
"BCL2 gene","Gerstmann-Straussler-Scheinker Disease","2"
"CNTNAP2 Gene","Language Disorders","2"
"MIR206 Gene","Disease Progression","2"
"ROCK1 Gene","Neurotoxicity Syndromes","2"
"PINK1 gene","Disease Progression","2"
"HRAS gene","Costello syndrome (disorder)","2"
"IKBKG wt Allele","Li-Fraumeni Syndrome","2"
"ROCK1 Gene","Neurodegenerative Disorders","2"
"ESR1 Gene","Skin endocrine disorder","2"
"TSC2 gene","Disorder nervous system","2"
"PRNP gene","Brain Diseases","2"
"CD38 wt Allele","Lennox-Gastaut syndrome","2"
"CARD8 Gene","Syndrome","2"
"FOLH1 Gene","Neurotoxicity Syndromes","2"
"POMT1 gene","Retinal Diseases","2"
"BAD Gene","Neurotoxicity Syndromes","2"
"CDR1 Gene","Mild cognitive disorder","2"
"CD68 Gene","Disease Progression","2"
"ENG wt Allele","Liver diseases","2"
"SNCG wt Allele","Hypertensive disease","2"
"Introns","Parkinson Disease","2"
"WT1 gene","WAGR Syndrome","2"
"KRAS wt Allele","Norrie disease","2"
"DNTT wt Allele","cortex bone disorders","2"
"ATR Gene","Nijmegen Breakage Syndrome","2"
"SPHK1 Gene","Alzheimer's Disease","2"
"POSTN wt Allele","Pervasive Development Disorder","2"
"C3 Gene","Gilles de la Tourette syndrome","2"
"STAT3 Gene","Parkinson Disease","2"
"SDHB wt Allele","Li-Fraumeni Syndrome","2"
"HSPA5 Gene","Hypertensive disease","2"
"TNF Gene","Gerstmann-Straussler-Scheinker Disease","2"
"Replication Origin","Hamartoma Syndrome, Multiple","2"
"Haploinsufficiency","Cognition Disorders","2"
"GC Gene","Renal glomerular disease","2"
"APOB gene","Alzheimer's Disease","2"
"ELANE wt Allele","Vasodilation disorder","2"
"CREB1 wt Allele","Syndrome, Bloch-Sulzberger","2"
"PARK2 wt Allele","Parkinsonian Disorders","2"
"CRH Gene","Mixed anxiety and depressive disorder","2"
"KHDRBS1 wt Allele","Stress Disorders, Traumatic","2"
"PIEZO1 Gene","cortex bone disorders","2"
"WAS wt Allele","Spinal Cord Diseases","2"
"NES Gene","Alzheimer's Disease","2"
"FBN1 wt Allele","Pituitary Diseases","2"
"PPARG Gene","Depressive disorder","2"
"CD40 wt Allele","cortex bone disorders","2"
"S100A10 wt Allele","Major Depressive Disorder","2"
"NOD2 wt Allele","Recurrent disease","2"
"MTR wt Allele","Werner Syndrome","2"
"LEP Gene","Cardiovascular Diseases","2"
"UCHL1 Gene","Parkinson Disease","2"
"GRM5 wt Allele","Syndrome","2"
"NOTCH3 wt Allele","Migraine Disorders","2"
"HLA-DQA1 wt Allele","Retinal Diseases","2"
"ERBB4 Gene","neuropathology disease","2"
"ENG wt Allele","Mucocutaneous Lymph Node Syndrome","2"
"AIMP2 wt Allele","Depressive disorder","2"
"CD8B wt Allele","CNS disorder","2"
"CARD8 wt Allele","Spinal Cord Diseases","2"
"GNAI1 Gene","Depressive disorder","2"
"ITGAM Gene","Alzheimer's Disease","2"
"SLC4A1 wt Allele","neuropathology disease","2"
"AR gene","Lung diseases","2"
"MEF2D Gene","Parkinson Disease","2"
"MEN1 gene","Mucocutaneous Lymph Node Syndrome","2"
"Human gene","Disorders, Mental","2"
"BECN1 Gene","Disease Progression","2"
"SLC1A4 Gene","Depressive disorder","2"
"AR wt Allele","Neurotoxicity Syndromes","2"
"PAG1 wt Allele","Functional disorder","2"
"PYCARD Gene","Functional disorder","2"
"ATM wt Allele","Spinal Cord Diseases","2"
"HPSE wt Allele","Disorder nervous system","2"
"Haploinsufficiency","Restless Legs Syndrome","2"
"ZFYVE9 wt Allele","Macrophage Activation Syndrome","2"
"SCG2 Gene","Functional disorder","2"
"MAPT wt Allele","Mucocutaneous Lymph Node Syndrome","2"
"HLA-DQA1 wt Allele","Spinal Cord Diseases","2"
"BLM wt Allele","Nijmegen Breakage Syndrome","2"
"ACKR3 gene","Meningeal disorder","2"
"NR3C2 wt Allele","Parkinson Disease","2"
"PROS1 gene","Ovarian Diseases","2"
"NFATC4 Gene","Syndrome, Bloch-Sulzberger","2"
"FGFR2 wt Allele","Depressive disorder","2"
"GHRL Gene","Syndrome, Bloch-Sulzberger","2"
"Orosomucoid","Spinal Cord Diseases","2"
"TXNRD2 wt Allele","Melkersson-Rosenthal Syndrome","2"
"Quantitative Trait Loci","Alzheimer's Disease","2"
"TFEB Gene","Disease Progression","2"
"Long Interspersed Element","Dyskinetic syndrome","2"
"SDHA wt Allele","Allergic rhinitis NOS (disorder)","2"
"Codon","Neurodegenerative Disorders","2"
"HMOX1 Gene","Parkinson Disease","2"
"KRT17 wt Allele","Inclusion body myositis (disorder)","2"
"CD8A Gene","Immunologic Deficiency Syndromes","2"
"TFEB Gene","Niemann-Pick Disease, Type C","2"
"TG wt Allele","Down Syndrome","2"
"HDAC9 wt Allele","cortex bone disorders","2"
"MALAT1 wt Allele","cortex bone disorders","2"
"TYROBP Gene","Neurodegenerative Disorders","2"
"GYPA Gene","Van der Woude syndrome","2"
"TH gene","Skin endocrine disorder","2"
"CRP wt Allele","cortex bone disorders","2"
"NPY wt Allele","Liver diseases","2"
"S100B Gene","cortex bone disorders","2"
"CDH3 wt Allele","Alzheimer's Disease","2"
"ABCA5 Gene","Alzheimer's Disease","2"
"VCAN Gene","Spinal Cord Diseases","2"
"CHAT Gene","Neurodegenerative Disorders","2"
"BAG3 wt Allele","DISORDERS OF THE OPTIC NERVE","2"
"MAPK3 wt Allele","Niemann-Pick Disease, Type C","2"
"PINK1 gene","Depressive disorder","2"
"CCND1 gene","Hashimoto Disease","2"
"SGK1 Gene","Alzheimer's Disease","2"
"AKR1A1 wt Allele","Disorder nervous system","2"
"JUN Gene","Juvenile polyposis syndrome","2"
"TSC1 gene","Pervasive Development Disorder","2"
"RAD51 Gene","cortex bone disorders","2"
"FXN gene","Ataxia as late effect of cerebrovascular disease","2"
"HCRT Gene","Pica Disease","2"
"DRD2 wt Allele","Neurotoxicity Syndromes","2"
"ARG1 Gene","Urea Cycle Disorders, Inborn","2"
"CDH11 wt Allele","cortex bone disorders","2"
"TH gene","Allan-Herndon-Dudley syndrome","2"
"FAS Gene","cortex bone disorders","2"
"Epidermal Growth Factor","Van der Woude syndrome","2"
"YY1 wt Allele","Parkinson Disease","2"
"NEDD4 wt Allele","Neurodegenerative Disorders","2"
"Toll-Like Receptor Family Gene","Neurodegenerative Disorders","2"
"TH gene","Shy-Drager Syndrome","2"
"ASAH1 wt Allele","Hamartoma Syndrome, Multiple","2"
"CD69 wt Allele","Syndrome, Bloch-Sulzberger","2"
"SNCG wt Allele","Functional disorder","2"
"FST wt Allele","Hamartoma Syndrome, Multiple","2"
"PRRT2 Gene","Cerebellar Diseases","2"
"ANXA5 Gene","Alzheimer's Disease","2"
"HDAC9 wt Allele","Functional disorder","2"
"FOLH1 wt Allele","Neurotoxicity Syndromes","2"
"ras Oncogene","Parkinsonian Disorders","2"
"APP gene","Motor Neuron Disease","2"
"REN Gene","Liver diseases","2"
"CDC42 wt Allele","Functional disorder","2"
"Genome, Human","Neurodegenerative Disorders","2"
"SHANK3 Gene","Hereditary Diseases","2"
"CALCA Gene","neuropathology disease","2"
"CD8A Gene","Demyelinating Diseases","2"
"FCGR3B wt Allele","Spinal Cord Diseases","2"
"STS wt Allele","Gilles de la Tourette syndrome","2"
"Tumor Necrosis Factor-alpha","Cognition Disorders","2"
"MAP1LC3A wt Allele","Machado-Joseph Disease","2"
"STS wt Allele","Mild cognitive disorder","2"
"CD8B wt Allele","Demyelinating Diseases","2"
"RHOH wt Allele","Neurodegenerative Disorders","2"
"Gene Regulatory Networks","cortex bone disorders","2"
"ELANE Gene","Disorder nervous system","2"
"Genome","Familial Alzheimer Disease (FAD)","2"
"RHOB Gene","Neurotoxicity Syndromes","2"
"Alleles","Pick Disease of the Brain","2"
"IAPP Gene","Retinal Diseases","2"
"GBA wt Allele","Disease Progression","2"
"IGL gene","Retinal Diseases","2"
"Gene Regulatory Networks","Huntington Disease","2"
"TIMP1 wt Allele","Parkinson Disease","2"
"LEP wt Allele","Parkinson Disease","2"
"Promoter","Chimera (disorder)","2"
"PADI4 wt Allele","Hamartoma Syndrome, Multiple","2"
"KL wt Allele","Neurodegenerative Disorders","2"
"CR1 Gene","Rett Syndrome","2"
"KDM1A Gene","cortex bone disorders","2"
"SH3PXD2A wt Allele","Brain Diseases","2"
"TCF4 Gene","Autism Spectrum Disorders","2"
"PLP1 gene","Syndrome","2"
"Tumor Necrosis Factor-alpha","Hamartoma Syndrome, Multiple","2"
"POMC wt Allele","cortex bone disorders","2"
"SIRT3 Gene","Huntington Disease","2"
"FGF1 Gene","Parkinson Disease","2"
"RRM1 Gene","cortex bone disorders","2"
"RUNX1T1 Gene","Bloom Syndrome","2"
"NPM1 wt Allele","Huntington Disease","2"
"FOXP1 Gene","Functional disorder","2"
"TARDBP Gene","Disorder nervous system","2"
"MAP3K14 wt Allele","Neurodegenerative Disorders","2"
"FASTK Gene","Autistic Disorder","2"
"Wild Type","Tracheal Diseases","2"
"SLC6A3 wt Allele","Hamartoma Syndrome, Multiple","2"
"XIST Gene","Parkinson Disease","2"
"MTR Gene","Disorder nervous system","2"
"CLIC4 wt Allele","Neurodegenerative Disorders","2"
"CSPG4 Gene","CNS disorder","2"
"PEMT wt Allele","Sudden infant death syndrome","2"
"VDAC1 wt Allele","Alzheimer's Disease","2"
"TBCEL wt Allele","Capillary Leak Syndrome","2"
"FCGR3A wt Allele","Spinal Cord Diseases","2"
"SPAST gene","Functional disorder","2"
"NR4A3 wt Allele","Developmental delay (disorder)","2"
"MAPT wt Allele","Vascular Diseases","2"
"HTR2A wt Allele","Dyskinetic syndrome","2"
"Tumor Necrosis Factor-alpha","Werner Syndrome","2"
"NTRK1 Gene","Neurodegenerative Disorders","2"
"PPFIBP1 wt Allele","Alzheimer's Disease","2"
"GBA wt Allele","Renal glomerular disease","2"
"MRC1 Gene","Pervasive Development Disorder","2"
"VPS35 wt Allele","Parkinson Disease","2"
"TNF Gene","Retinal Diseases","2"
"ENG wt Allele","Melkersson-Rosenthal Syndrome","2"
"AR gene","Niemann-Pick Disease, Type C","2"
"ERBB2 wt Allele","Gardner Syndrome","2"
"MET Gene","Brain Diseases","2"
"MAPK14 Gene","Parkinson Disease","2"
"MAPT wt Allele","Stress Disorders, Traumatic","2"
"TNF wt Allele","Acquired Immunodeficiency Syndrome","2"
"FASTK Gene","Obsessive-Compulsive Disorder","2"
"NOVA2 Gene","Sweet Syndrome","2"
"EHMT1 Gene","CNS disorder","2"
"TACR1 Gene","Parkinson Disease","2"
"CSPG4 wt Allele","Demyelinating Diseases","2"
"ADIPOQ Gene","Neurodegenerative Disorders","2"
"SLC18A2 Gene","Skin endocrine disorder","2"
"AVP wt Allele","Skin endocrine disorder","2"
"DDIT4 Gene","Neurodegenerative Disorders","2"
"TP63 wt Allele","Niemann-Pick Disease, Type C","2"
"ACVR1C Gene","Pituitary Diseases","2"
"UCP1 Gene","Meconium Aspiration Syndrome","2"
"OXT Gene","Recurrent disease","2"
"DEGS1 wt Allele","Lung diseases","2"
"FOXP1 Gene","Speech Disorders","2"
"LEP Gene","Uterine Diseases","2"
"DAPK1 Gene","Huntington Disease","2"
"CCL2 Gene","Mucocutaneous Lymph Node Syndrome","2"
"BAIAP2 wt Allele","Autism Spectrum Disorders","2"
"NTF3 wt Allele","Seasonal Affective Disorder","2"
"TFE3 Gene","Neurotoxicity Syndromes","2"
"Transgenes","Skin endocrine disorder","2"
"Genes","Meckel-Gruber syndrome","2"
"AKR1A1 wt Allele","Dystonia Disorders","2"
"HSPG2 Gene","Depressive disorder","2"
"GYPA Gene","Syndrome","2"
"ADRB2 Gene","Leigh Disease","2"
"HCRT wt Allele","Syndrome, Bloch-Sulzberger","2"
"PINK1 gene","Diseases of inner ear","2"
"FKBP5 Gene","Alzheimer's Disease","2"
"ASAH1 Gene","Hamartoma Syndrome, Multiple","2"
"PPT1 gene","Neurodegenerative Disorders","2"
"PROC wt Allele","Machado-Joseph Disease","2"
"PITX2 wt Allele","Li-Fraumeni Syndrome","2"
"CCL20 Gene","Disease of thymus gland","2"
"MECP2 wt Allele","Liver diseases","2"
"UCHL1 wt Allele","Motor Neuron Disease","2"
"TBR1 Gene","Functional disorder","2"
"TP53 gene","Disorder nervous system","2"
"Genes","Kartagener Syndrome","2"
"Promoter","Lens Diseases","2"
"CD36 wt Allele","Neurodegenerative Disorders","2"
"STS wt Allele","Alzheimer's Disease","2"
"CDKN1A Gene","Retinal Diseases","2"
"c-fos Genes","Marfan Syndrome","2"
"MID1 Gene","Opitz-Frias syndrome","2"
"PSIP1 Gene","Greig cephalopolysyndactyly syndrome","2"
"POLE Gene","cortex bone disorders","2"
"VEGFA wt Allele","Restless Legs Syndrome","2"
"c-fos Genes","neuropathology disease","2"
"IL6 Gene","Autism Spectrum Disorders","2"
"ADAM17 Gene","Pervasive Development Disorder","2"
"MMP9 Gene","Spinal Cord Diseases","2"
"GPHN Gene","Functional disorder","2"
"POU5F1 Gene","Spinal Cord Diseases","2"
"SERPINA1 wt Allele","Acute infectious disease","2"
"FUS Gene","Alzheimer's Disease","2"
"CD82 wt Allele","cortex bone disorders","2"
"EHMT1 Gene","Neurotoxicity Syndromes","2"
"EGFR gene","Alzheimer's Disease","2"
"ELK3 wt Allele","Alzheimer's Disease","2"
"ADRB2 Gene","Gardner Syndrome","2"
"EGFR gene","cortex bone disorders","2"
"PKLR gene","CADASIL Syndrome","2"
"Genes","Prostatic Diseases","2"
"CDC42 wt Allele","Autistic Disorder","2"
"GRM5 wt Allele","Disorder nervous system","2"
"Genes","Restless Legs Syndrome","2"
"CD8B wt Allele","Zika virus disease (disorder)","2"
"ARID1B wt Allele","Seasonal Affective Disorder","2"
"UBE3A gene","Developmental delay (disorder)","2"
"NPY wt Allele","Alzheimer's Disease","2"
"NF2 wt Allele","Van der Woude syndrome","2"
"CALCA wt Allele","Brain Diseases","2"
"MMP9 Gene","Kartagener Syndrome","2"
"ELK3 Gene","Lung diseases","2"
"CALCA Gene","Norrie disease","2"
"Chromosomes, Human, Pair 17","Motor Neuron Disease","2"
"LEP Gene","Recurrent disease","2"
"Chloramphenicol O-Acetyltransferase","Syndrome","2"
"CALCA wt Allele","neuropathology disease","2"
"MRC1 Gene","Huntington Disease","2"
"Homozygote","Movement Disorders","2"
"THY1 Gene","Hamartoma Syndrome, Multiple","2"
"CD8A Gene","Melkersson-Rosenthal Syndrome","2"
"TFRC wt Allele","Depressive disorder","2"
"SLC25A4 gene","Syndrome, Bloch-Sulzberger","2"
"SNCAIP Gene","Disease Progression","2"
"STAT Family Gene","Janiceps (disorder)","2"
"NES Gene","Lewy Body Disease","2"
"LEP Gene","Degenerative disorder","2"
"NR3C1 Gene","Post-Traumatic Stress Disorder","2"
"GGH wt Allele","Cushing Syndrome","2"
"Heterozygote","Klinefelter Syndrome","2"
"Genes, Essential","Functional disorder","2"
"LRP2 wt Allele","Functional disorder","2"
"CAV1 Gene","Alzheimer's Disease","2"
"Genetic Predisposition to Disease","Neurotoxicity Syndromes","2"
"TFRC wt Allele","Retinal Diseases","2"
"CCL5 Gene","cortex bone disorders","2"
"INS gene","Mucocutaneous Lymph Node Syndrome","2"
"NOVA2 Gene","Alzheimer's Disease","2"
"CTLA4 wt Allele","cortex bone disorders","2"
"CYP2E1 gene","Liver diseases","2"
"SNCG wt Allele","Diseases of inner ear","2"
"PITX2 Gene","Parkinson Disease","2"
"Genetic Marker Expression","Disease Progression","2"
"LMNB1 wt Allele","Motor Neuron Disease","2"
"CLU Gene","Disorders, Mental","2"
"FGF2 Gene","Neurotoxicity Syndromes","2"
"STAT3 Gene","Depressive disorder","2"
"DNA, Mitochondrial","Depressive disorder","2"
"MEN1 gene","Depressive disorder","2"
"NLGN4X wt Allele","Autism Spectrum Disorders","2"
"IGF1 Gene","Mucocutaneous Lymph Node Syndrome","2"
"SEPP1 wt Allele","Depressive disorder","2"
"ATP2A2 Gene","Disorders, Mental","2"
"PHGDH wt Allele","Neurotoxicity Syndromes","2"
"GATA3 wt Allele","Depressive disorder","2"
"ELANE wt Allele","Spinal Cord Diseases","2"
"Wild Type","Developmental delay (disorder)","2"
"PSME3 wt Allele","Parkinson Disease","2"
"GFAP gene","Syndrome","2"
"INS gene","Sotos' syndrome","2"
"HSPA5 Gene","Stress Disorders, Traumatic","2"
"HLA-DQA1 wt Allele","Parkinson Disease","2"
"ATP8A2 wt Allele","Herpes zoster disease","2"
"CAV2 wt Allele","Huntington Disease","2"
"CDKN1A Gene","Functional disorder","2"
"DRD2 Gene","Liver diseases","2"
"GRIN2B Gene","Huntington Disease","2"
"CDK5R1 Gene","Iodine deficiency syndrome","2"
"NFE2L2 Gene","Neurodegenerative Disorders","2"
"Genes","Dermatologic disorders","2"
"PRL Gene","Syndrome","2"
"GFAP gene","Disorders, Mental","2"
"NFIC Gene","Down Syndrome","2"
"CTLA4 wt Allele","Parkinson Disease","2"
"GH1 Gene","Cushing Syndrome","2"
"CISH Gene","Androgen-Insensitivity Syndrome","2"
"GC wt Allele","Spastic syndrome","2"
"HLA-DQA1 wt Allele","Cognition Disorders","2"
"MBL2 wt Allele","DISORDERS OF THE OPTIC NERVE","2"
"PODXL Gene","Inclusion body myositis (disorder)","2"
"PAFAH1B1 Gene","Disorder nervous system","2"
"GYPA wt Allele","Syndrome","2"
"estrogen receptor alpha, human","Syndrome, Bloch-Sulzberger","2"
"MECP2 wt Allele","Disorders, Mental","2"
"BGLAP wt Allele","Huntington Disease","2"
"DRD2 wt Allele","Parkinsonian Disorders","2"
"F2 wt Allele","Meckel syndrome type 1","2"
"EREG wt Allele","Syndrome, Bloch-Sulzberger","2"
"TERT wt Allele","neuropathology disease","2"
"PGR Gene","Werner Syndrome","2"
"GYPA Gene","Disorder nervous system","2"
"MS4A1 Gene","Feline urological syndrome","2"
"EREG wt Allele","Disease Progression","2"
"Promoter Regions, Genetic","Seasonal Affective Disorder","2"
"TXNRD2 wt Allele","Noonan Syndrome","2"
"CD69 wt Allele","Angelman Syndrome","2"
"NDOR1 wt Allele","Lens Diseases","2"
"NEFL gene","Functional disorder","2"
"TUBB3 Gene","Skin endocrine disorder","2"
"KRT5 Gene","Hashimoto Disease","2"
"IDS gene","Lysosomal Storage Diseases","2"
"GRIN2B wt Allele","Syndrome, Bloch-Sulzberger","2"
"DNMT1 wt Allele","Functional disorder","2"
"AMH Gene","Parkinson Disease","2"
"PLP1 gene","Disorder of pineal gland","2"
"IGF1 Gene","Disorder nervous system","2"
"CCL5 Gene","Meleda Disease","2"
"TAP2 wt Allele","cortex bone disorders","2"
"DST Gene","Neurodegenerative Disorders","2"
"SKAP2 wt Allele","Niemann-Pick Disease, Type C","2"
"FOXD3 wt Allele","Acute infectious disease","2"
"USH2A gene","Functional disorder","2"
"ACVR1C wt Allele","Pituitary Diseases","2"
"CCND2 Gene","Psychotic Disorders","2"
"GC wt Allele","Down Syndrome","2"
"Genes","Muckle-Wells Syndrome","2"
"IL2 Gene","cortex bone disorders","2"
"Cancer-Predisposing Gene","Major Depressive Disorder","2"
"ERBB4 Gene","Depressive disorder","2"
"CDH2 Gene","Mucocutaneous Lymph Node Syndrome","2"
"KRAS gene","Adenocarcinoma of lung (disorder)","2"
"FST wt Allele","Mild cognitive disorder","2"
"RASA1 Gene","Shy-Drager Syndrome","2"
"FASLG Gene","Niemann-Pick Disease, Type C","2"
"BLM wt Allele","Nicolaides Baraitser syndrome","2"
"ARHGEF7 wt Allele","cortex bone disorders","2"
"SLC6A4 gene","Disorders, Mental","2"
"PIK3CA wt Allele","Disease Progression","2"
"CTSD Gene","Parkinson Disease","2"
"RPL5 wt Allele","Major Depressive Disorder","2"
"FBN1 wt Allele","Functional disorder","2"
"SLC1A2 wt Allele","Depressive disorder","2"
"LGI1 Gene","Isaacs syndrome","2"
"CCR2 gene","Depressive disorder","2"
"PGR Gene","Functional disorder","2"
"NLRP3 wt Allele","Cushing Syndrome","1"
"CDK6 Gene","Hereditary Diseases","1"
"MTOR Gene","Sandhoff Disease","1"
"IL8 wt Allele","Alzheimer's Disease","1"
"CD68 Gene","Gardner Syndrome","1"
"GRM1 Gene","Ovarian Diseases","1"
"RSPO2 Gene","Parkinson Disease","1"
"ADH4 Gene","Attention deficit hyperactivity disorder","1"
"TLR4 wt Allele","Liver diseases","1"
"TNFRSF11B wt Allele","Syndrome","1"
"F12 gene","Liver diseases","1"
"ERG Gene","Down Syndrome","1"
"CHGA wt Allele","cortex bone disorders","1"
"DDIT3 Gene","Pancreatic Diseases","1"
"PSME3 wt Allele","Depressive disorder","1"
"Chloramphenicol O-Acetyltransferase","Spastic syndrome","1"
"FKBP5 Gene","Anxiety Disorders","1"
"F2 wt Allele","Retinal Diseases","1"
"Chloramphenicol O-Acetyltransferase","Huntington Disease","1"
"HSPB8 wt Allele","Functional disorder","1"
"IKBKG wt Allele","Christ-Siemens-Touraine syndrome","1"
"SLC1A2 Gene","Hypertrophic disorder of skin, unspecified","1"
"CD36 Gene","Lipid Metabolism Disorders","1"
"CCND1 gene","Syndrome","1"
"Genetic Code","Pervasive Development Disorder","1"
"TNFRSF1B Gene","Spinal Cord Diseases","1"
"GPER1 gene","Neurodegenerative Disorders","1"
"ACKR2 gene","cortex bone disorders","1"
"MUC1 wt Allele","Eosinophilic disorder","1"
"SH3PXD2A wt Allele","Disorder nervous system","1"
"EDN1 Gene","Hypertensive disease","1"
"BIK wt Allele","Rare Diseases","1"
"CCL27 Gene","cortex bone disorders","1"
"SYP Gene","Niemann-Pick Disease, Type C","1"
"AMH wt Allele","Pervasive Development Disorder","1"
"KNG1 wt Allele","Renal tubular disorder","1"
"INS gene","Thyroid Diseases","1"
"RPS6KA5 Gene","Parkinson Disease","1"
"MAST1 Gene","Neurodevelopmental disorder","1"
"NR4A1 Gene","Metabolic Diseases","1"
"Long Interspersed Element","Spastic syndrome","1"
"DNA, Mitochondrial","other psychiatric disorders","1"
"ELK3 wt Allele","Fragile X Syndrome","1"
"SQSTM1 Gene","Post-Traumatic Stress Disorder","1"
"Wild Type","Macrophage Activation Syndrome","1"
"TNFAIP3 Gene","Autoimmune Diseases","1"
"CALD1 wt Allele","Neurodegenerative Disorders","1"
"XCL1 wt Allele","Functional disorder","1"
"G-Protein Coupled Receptor Gene","Drug effect disorder","1"
"GPI wt Allele","Renal glomerular disease","1"
"EPO wt Allele","Diseases of inner ear","1"
"SGK1 Gene","CNS disorder","1"
"GHRL Gene","Immunoglobulin A deficiency (disorder)","1"
"NCKIPSD wt Allele","Nail-Patella Syndrome","1"
"PRNP wt Allele","Virus Diseases","1"
"IFNAR1 Gene","Zika virus disease (disorder)","1"
"ENO2 Gene","Functional disorder","1"
"LOX Gene","Parkinson Disease","1"
"GRM1 wt Allele","Spinal Cord Diseases","1"
"GC Gene","Liver diseases","1"
"Tumor Necrosis Factor-Beta","Spinal Cord Diseases","1"
"DDIT3 Gene","Nail-Patella Syndrome","1"
"HTT gene","Pituitary Diseases","1"
"GNRH1 wt Allele","Sweet Syndrome","1"
"MALAT1 Gene","Huntington Disease","1"
"NCOR1 Gene","Neurodevelopmental disorder","1"
"FYN Gene","Liver diseases","1"
"Heterozygote","Lennox-Gastaut syndrome","1"
"CHGA Gene","Mild cognitive disorder","1"
"AMH Gene","Huntington Disease","1"
"TF gene","Thrombocytopenia-Absent Radius Syndrome","1"
"BAG3 wt Allele","Gardner Syndrome","1"
"FGF2 Gene","neuropathology disease","1"
"PLA2G1B wt Allele","Functional disorder","1"
"LAMP3 wt Allele","Cockayne Syndrome, Type I","1"
"CREBBP wt Allele","Renal glomerular disease","1"
"Promoter Regions, Genetic","Feline urological syndrome","1"
"FURIN Gene","Tracheal Diseases","1"
"FASLG wt Allele","Niemann-Pick Disease, Type C","1"
"CNTNAP2 Gene","Obsessive-Compulsive Disorder","1"
"WNT2B Gene","cortex bone disorders","1"
"SEMA6A Gene","DISORDERS OF THE OPTIC NERVE","1"
"FKBP5 Gene","Parkinson Disease","1"
"HTATIP wt Allele","Peripheral Arterial Diseases","1"
"FANCA wt Allele","Anxiety Disorders","1"
"PLOD1 gene","Disorder of endocrine ovary","1"
"SRGAP3 Gene","Neurodevelopmental disorder","1"
"HTT gene","Testicular Diseases","1"
"GAPDH Gene","Neurotoxicity Syndromes","1"
"DDIT3 Gene","Retinal Diseases","1"
"PPARG Gene","Functional disorder","1"
"Exons","Greig cephalopolysyndactyly syndrome","1"
"GDNF wt Allele","Neurodegenerative Disorders","1"
"SERPINA1 wt Allele","Functional disorder","1"
"ARID4B wt Allele","Functional disorder","1"
"HIPK2 Gene","Functional disorder","1"
"Genes, Reporter","Retinal Diseases","1"
"MSC Gene","Marfan Syndrome","1"
"BRD4 Gene","Rett Syndrome","1"
"Exome","Autism Spectrum Disorders","1"
"FLT3LG wt Allele","Liver diseases","1"
"MAPK3 wt Allele","Alzheimer's Disease","1"
"Endogenous Retroviruses","Disorder nervous system","1"
"PDPN Gene","Anxiety Disorders","1"
"PAG1 Gene","Renal glomerular disease","1"
"ELK3 Gene","Lung Diseases, Interstitial","1"
"TFPI wt Allele","Renal glomerular disease","1"
"Chromosomes, Human, Pair 15","Neurodevelopmental disorder","1"
"KLK3 Gene","Hypertrophic disorder of skin, unspecified","1"
"CARD8 Gene","Fetal Alcohol Syndrome","1"
"TG Gene","Parkinson Disease","1"
"LIFR wt Allele","Hodgkin Disease","1"
"TTR gene","Shwachman syndrome","1"
"MYCBP2 wt Allele","Syndrome, Bloch-Sulzberger","1"
"CD4 Gene","Rheumatic Heart Disease","1"
"RBM14 wt Allele","Mohr-Tranebjaerg syndrome","1"
"DNMT1 Gene","Neurotoxicity Syndromes","1"
"CREB1 Gene","Macrophage Activation Syndrome","1"
