"brainregion","gene","count"
"Prefrontal Cortex","FAT wt Allele","5"
"Cortex, Primary Motor","CD55 wt Allele","5"
"Prefrontal Cortex","NLRP3 Gene","5"
"BRAIN, HIPPOCAMPUS","SUMO1 Gene","5"
"BRAIN, HIPPOCAMPUS","LGALS1 Gene","5"
"Prefrontal Cortex","FAT1 gene","5"
"Anterodorsal nucleus of thalamus","ESR1 wt Allele","5"
"Flocculus","CHAT Gene","5"
"Nucleus Emboliformis","C3 Gene","5"
"Structure of paraventricular nucleus of thalamus","PROC Gene","5"
"BRAIN, HIPPOCAMPUS","NGFR wt Allele","5"
"Nucleus Accumbens","S100A10 Gene","5"
"Motor Cortex","NR3C2 Gene","5"
"BRAIN, HIPPOCAMPUS","MAFK Gene","5"
"Nucleus solitarius","POLE Gene","5"
"Anterodorsal nucleus of thalamus","CAT Gene","5"
"Neostriatum","NDOR1 Gene","5"
"Structure of olfactory bulb","SYP Gene","5"
"association cortex","MAPT wt Allele","5"
"Periamygdaloid Area","TNC Gene","5"
"Cerebral cortex","MLLT4 Gene","5"
"Type 2 vestibular sensory cell","ENG wt Allele","5"
"Central gray substance of midbrain","LIMS1 Gene","5"
"Claustral structure","CD69 wt Allele","5"
"Structure of trapezoid body","Chloramphenicol O-Acetyltransferase","5"
"Structure of nucleus gracilis","C9orf72 Gene","5"
"CA1 field","MAFK Gene","5"
"Cerebral cortex","MAPK1 Gene","5"
"Bundle, Predorsal","NR3C2 Gene","5"
"Structure of dentate gyrus","AR wt Allele","5"
"Cerebellum","S100A10 wt Allele","5"
"Amygdaloid structure","Genome","5"
"intercalated amygdalar nuclei","PADI4 wt Allele","5"
"Nucleus of optic tract","BRD4 Gene","5"
"Genus Hippocampus","F2 gene","5"
"Set of basolateral nuclei of amygdala","BDNF Gene","5"
"Medulla Oblongata","SQSTM1 wt Allele","5"
"Structure of lateral mammillary nucleus","MYCBP2 wt Allele","5"
"Prosencephalon","Chloramphenicol O-Acetyltransferase","5"
"Superior temporal gyrus","F3 wt Allele","5"
"Nucleus Basalis Magnocellularis","CUX1 wt Allele","5"
"Purkinje Cells","HP Gene","5"
"BRAIN, HIPPOCAMPUS","MAFK wt Allele","5"
"Entire medulla oblongata","NDOR1 Gene","5"
"Structure of paraventricular nucleus","TNC Gene","5"
"Cerebellum","estrogen receptor alpha, human","5"
"BRAIN, HIPPOCAMPUS","PLOD1 gene","5"
"Nucleus, Principal Pretectal","PGR wt Allele","5"
"Substantia innominata","MTR wt Allele","5"
"Structure of suprachiasmatic nucleus","GRP wt Allele","5"
"Nuclei, Raphe","NR4A3 wt Allele","5"
"Substantia nigra structure","HCRT wt Allele","5"
"Structure of angular gyrus","SLC22A3 wt Allele","5"
"Cerebral cortex","MLLT4 wt Allele","5"
"Cerebral hemisphere structure (body structure)","NR4A3 wt Allele","5"
"BRAIN, HIPPOCAMPUS","ADRB2 wt Allele","5"
"Cerebral cortex","WWTR1 Gene","5"
"Cerebral cortex","estrogen receptor beta, human","5"
"Short insular gyrus","ACPP Gene","5"
"Genus Hippocampus","Genes, Reporter","5"
"Cerebral hemisphere structure (body structure)","NOTCH3 gene","5"
"BRAIN, HIPPOCAMPUS","IL4 Gene","5"
"Prosencephalon","CREBBP wt Allele","5"
"Structure of pars intermedia of pituitary gland","POMC Gene","5"
"Neostriatum","CD1A wt Allele","5"
"Structure of dentate gyrus","GRIN2B wt Allele","5"
"CA3 field","CRHR1 Gene","5"
"Medial nucleus of habenula","Genes","5"
"Midbrain Raphe Nuclei","FGFR1 wt Allele","5"
"Cerebral hemisphere structure (body structure)","NOS1 wt Allele","5"
"CA3 field","NR3C2 Gene","5"
"Visual Cortex","GRIN2A Gene","5"
"Cerebral cortex","STS gene","5"
"Structure of locus ceruleus","DST Gene","5"
"Substantia nigra structure","CSPG4 Gene","5"
"Cerebral cortex","IL6 Gene","5"
"Neostriatum","MTR wt Allele","5"
"Corpus striatum structure","KNG1 wt Allele","5"
"Metencephalon","Genotype","5"
"Pars Compacta","CARD8 wt Allele","5"
"Thalamic structure","SH2D1A gene","5"
"Brain Stem","GNAI1 Gene","5"
"Pyramidal Cells","ACVRL1 gene","5"
"BRAIN, HIPPOCAMPUS","RUNX1T1 Gene","5"
"CA1 field","FGF2 wt Allele","5"
"Dentate nucleus","NR3C2 Gene","5"
"Allocortex","MAPT wt Allele","5"
"Cerebral cortex","NFIC wt Allele","5"
"Prosencephalon","EIF4E wt Allele","5"
"Corpus Callosum","CD68 Gene","5"
"Medulla Oblongata","POLE Gene","5"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","DHPS wt Allele","5"
"Internal capsule of brain","Genes","5"
"Auditory area","Retinoic Acid Response Element","5"
"Structure of paraventricular nucleus","GLS2 wt Allele","5"
"Hypothalamic structure","RALBP1 wt Allele","5"
"Superior colliculus of corpora quadrigemina","Reading Frames","5"
"Genus Hippocampus","CCND2 Gene","5"
"Neostriatum","KHDRBS1 wt Allele","5"
"Cerebral cortex","LIMK1 Gene","5"
"CA1 field","CCR6 Gene","5"
"Hypothalamic Area, Lateral","Chloramphenicol Acetyl Transferase Gene","5"
"Pituitary Gland","NR3C1 wt Allele","5"
"Anteroventral Periventricular Nucleus","PRL Gene","5"
"Hypothalamic structure","MAPT wt Allele","5"
"Cerebral hemisphere structure (body structure)","AR wt Allele","5"
"Corpus striatum structure","TBCEL wt Allele","5"
"BRAIN, HIPPOCAMPUS","SOCS3 Gene","5"
"Anterodorsal nucleus of thalamus","SH2D3C wt Allele","5"
"Genus Hippocampus","IL10 Gene","5"
"Structure of piriform area","SET Gene","5"
"BRAIN, HIPPOCAMPUS","LOX Gene","5"
"Genus Hippocampus","TYMS wt Allele","5"
"Structure of subiculum hippocampi","MAPT wt Allele","5"
"Nucleus solitarius","NDOR1 Gene","5"
"Submedial Nucleus","CTSG wt Allele","5"
"Inferior parietal lobule","F5 gene","5"
"Midbrain structure","NR4A3 Gene","5"
"BRAIN, HIPPOCAMPUS","BMP6 Gene","5"
"Right ventral posterolateral nucleus","GAST Gene","5"
"Genus Hippocampus","MIR22 wt Allele","5"
"Cerebellum","PNP Gene","5"
"Cerebellar Nuclei","PDZK1 wt Allele","5"
"Anterodorsal nucleus of thalamus","EREG wt Allele","5"
"Cerebral cortex","GDNF Gene","5"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","GRIN2A Gene","5"
"BRAIN, HIPPOCAMPUS","ADRB2 Gene","5"
"Genus Hippocampus","Replication Origin","5"
"Structure of angular gyrus","RPL22 wt Allele","5"
"Structure of suprachiasmatic nucleus","Genotype","5"
"Purkinje Cells","DCN Gene","5"
"Neocortex","SQSTM1 wt Allele","5"
"Corpus Callosum","SOD1 wt Allele","5"
"Nucleus Accumbens","PITX2 wt Allele","5"
"CA1 field","SS18L1 wt Allele","5"
"Hypothalamic structure","MPZ gene","5"
"Linear nucleus","OXT Gene","5"
"Lobe, Frontal","PNP Gene","5"
"Central gray substance of midbrain","CFD wt Allele","5"
"Lobe, Frontal","HP wt Allele","5"
"BRAIN, HIPPOCAMPUS","HSP90AA1 wt Allele","5"
"Corpus striatum structure","ASCL1 Gene","5"
"Pyramidal Cells","CALR wt Allele","5"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","VIP Gene","5"
"BRAIN, HIPPOCAMPUS","KITLG Gene","5"
"Cerebral hemisphere structure (body structure)","ITGAM Gene","5"
"Basal Nucleus of Meynert","FGFR1 wt Allele","5"
"Anterodorsal nucleus of thalamus","AREG wt Allele","5"
"Structure of subthalamic nucleus","MALAT1 wt Allele","5"
"Prosencephalon","IGF1 Gene","5"
"Nucleus solitarius","YY1 wt Allele","5"
"Purkinje Cells","RET wt Allele","5"
"Stria medullaris","CTSG wt Allele","5"
"Purkinje Cells","CR2 wt Allele","5"
"Pyramidal Cells","GRM1 wt Allele","5"
"mossy fiber","Homozygote","5"
"Paracentral sulcus","Tumor Necrosis Factor-alpha","5"
"Median preoptic nucleus","FOSB Gene","5"
"CA1 field","CAMK2A Gene","5"
"Prosencephalon","CAT Gene","5"
"Nucleus solitarius","MC4R gene","5"
"Structure of tegmental portion of pons","CHAT Gene","5"
"Neostriatum","CSPG4 Gene","5"
"Entire hypophysial stalk","PRL Gene","5"
"Pituitary Gland","ESR1 Gene","5"
"Linear nucleus","NR3C1 wt Allele","5"
"Cerebral cortex","GMNN Gene","5"
"CA1 field","HGS Gene","5"
"Corpus striatum structure","LIPG wt Allele","5"
"Optic tract structure","CAT Gene","5"
"Neostriatum","FOS wt Allele","5"
"Structure of supramammillary nucleus","GBA wt Allele","5"
"Structure of locus ceruleus","HPR wt Allele","5"
"Prosencephalon","DLK1 wt Allele","5"
"Structure of angular gyrus","Heterozygote","5"
"Telencephalon","NGF Gene","5"
"Neostriatum","CDKN1A wt Allele","5"
"Structure of rubrospinal tract","GRIN2A wt Allele","5"
"mossy fiber","CD69 wt Allele","5"
"Substantia nigra structure","DKK1 wt Allele","5"
"Corpus Callosum","CALCA wt Allele","5"
"Anterodorsal nucleus of thalamus","CX3CR1 Gene","5"
"Structure of lateral olfactory gyrus","NES Gene","5"
"Corpus Callosum","Heterozygote","5"
"Genus Hippocampus","TYMP wt Allele","5"
"Medulla Oblongata","REG3A wt Allele","5"
"Neocortex","PSIP1 Gene","5"
"Reuniens Thalamic Nucleus","Genes","5"
"Genus Hippocampus","SLC2A4 Gene","5"
"Structure of locus ceruleus","DST wt Allele","5"
"Structure of thalamic reticular nucleus","CAT Gene","5"
"Structure of piriform area","BDNF Gene","5"
"Structure of entorhinal cortex","Reading Frames","5"
"BRAIN, HIPPOCAMPUS","TIMP1 Gene","5"
"Hypothalamic structure","RASA1 Gene","5"
"Cerebellum","PLP1 wt Allele","5"
"Cerebellum","ESR1 Gene","5"
"Central gray substance of midbrain","EPO Gene","5"
"BRAIN, HIPPOCAMPUS","Philadelphia Chromosome","5"
"Short insular gyrus","REG3A wt Allele","5"
"Cerebellum","CEBPB Gene","5"
"Cerebellum","CDK5R1 wt Allele","5"
"Amygdaloid structure","EPO wt Allele","5"
"Prosencephalon","FBN1 gene","5"
"Anterodorsal nucleus of thalamus","PICALM Gene","5"
"Medial Dorsal Nucleus","Chloramphenicol O-Acetyltransferase","5"
"CA3 field","EPO Gene","5"
"Midbrain structure","FMOD wt Allele","5"
"Substantia nigra structure","PAPOLA wt Allele","5"
"Basal Forebrain","FOXD3 wt Allele","5"
"Pyramidal Cells","SLC12A2 wt Allele","5"
"Nucleus Basalis Magnocellularis","TNFRSF1B wt Allele","5"
"Corpus striatum structure","RET gene","5"
"Structure of angular gyrus","TYR gene","5"
"Bundle, Predorsal","MRC1 Gene","5"
"Brain Stem","SH2D1A wt Allele","5"
"Structure of supraoptic nucleus","ATP8A2 wt Allele","5"
"BRAIN, HIPPOCAMPUS","CRP wt Allele","5"
"Hypothalamic structure","TAC1 Gene","5"
"Substantia innominata","Chloramphenicol O-Acetyltransferase","5"
"Structure of paraventricular nucleus","GLS2 Gene","5"
"Structure of dentate gyrus","ADIPOQ wt Allele","5"
"Superior colliculus of corpora quadrigemina","SPP1 Gene","5"
"Lobe, Frontal","ABCB6 wt Allele","5"
"Medulla Oblongata","S100A9 wt Allele","5"
"Cerebral cortex","PRDM16 Gene","5"
"Prosencephalon","CYP19A1 wt Allele","5"
"Pontine nuclei","SHH Gene","5"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","GRIN2A wt Allele","5"
"Thalamic structure","MDK wt Allele","5"
"Structure of locus ceruleus","FOXP2 Gene","5"
"Structure of lateral globus pallidus","HTT gene","5"
"Substantia nigra structure","RET gene","5"
"Structure of endopeduncular nucleus","RNF130 wt Allele","5"
"Occipital lobe","CLIC4 wt Allele","5"
"Olfactory Nerve","FBN1 wt Allele","5"
"CA1 field","CCRL2 wt Allele","5"
"Cerebral hemisphere structure (body structure)","RRM1 Gene","5"
"Anterodorsal nucleus of thalamus","ROS1 wt Allele","5"
"Telencephalon","MAPT wt Allele","5"
"BRAIN, HIPPOCAMPUS","ITGB3 wt Allele","5"
"Area striata structure","PODXL wt Allele","5"
"Midbrain structure","ESR1 Gene","5"
"Substantia nigra structure","CREB1 wt Allele","5"
"Structure of dentate gyrus","FST wt Allele","5"
"Corpus Callosum","PCYT1A wt Allele","5"
"Corpus striatum structure","FOXM1 wt Allele","5"
"Insula of Reil","FOS wt Allele","5"
"Genus Hippocampus","TYMP Gene","5"
"Corpus striatum structure","TACR1 Gene","5"
"Central gray substance of midbrain","CFD Gene","5"
"Structure of pars intermedia of pituitary gland","NPY Gene","5"
"Amygdaloid structure","LacZ Genes","5"
"Structure of suprachiasmatic nucleus","FURIN Gene","5"
"Pyramidal Cells","DRD2 wt Allele","5"
"Cerebral cortex","GRM1 Gene","5"
"Substantia nigra structure","TUSC2 wt Allele","5"
"Midbrain structure","OXT Gene","5"
"CA3 field","GRIA3 wt Allele","5"
"Cerebral hemisphere structure (body structure)","Transgenes","5"
"Neocortex","CALCA wt Allele","5"
"Cerebellum","ZEB2 Gene","5"
"CA1 field","KNG1 Gene","5"
"Structure of reticular formation of midbrain","Chloramphenicol O-Acetyltransferase","5"
"Nucleus solitarius","MAPT wt Allele","5"
"Corpus striatum structure","G-Protein Coupled Receptor Gene","5"
"Pontine structure","SLC6A4 gene","5"
"Lateral habenular nucleus","CRH wt Allele","5"
"Medullary pyramid","Chloramphenicol O-Acetyltransferase","5"
"Nucleus of Diagonal Band","CHAT Gene","5"
"Structure of paraventricular nucleus of thalamus","CRH wt Allele","5"
"Cerebral cortex","SPINK1 wt Allele","5"
"Structure of nucleus infundibularis hypothalami","KCNJ5 wt Allele","5"
"Pyramidal Cells","MET wt Allele","5"
"Area striata structure","CARD8 Gene","5"
"Structure of Forel's H2 bundle","Chloramphenicol O-Acetyltransferase","5"
"Pyramidal Cells","TP63 wt Allele","5"
"Neostriatum","ASCL1 Gene","5"
"Prosencephalon","SLC6A4 gene","5"
"Rostrotemporal auditory area","PLOD1 gene","5"
"Medulla Oblongata","JUN Gene","5"
"Cerebral hemisphere structure (body structure)","CNR1 gene","5"
"Thalamic structure","RPL5 wt Allele","5"
"Substantia nigra structure","MAPK8 wt Allele","5"
"Structure of angular gyrus","GNAI1 Gene","5"
"CA1 field","TNFRSF1B wt Allele","5"
"Tuberomammillary Nucleus","Genes","5"
"BRAIN, HIPPOCAMPUS","HSD11B1 wt Allele","5"
"Habenula","SDHB wt Allele","5"
"Corpus striatum structure","CSPG4 wt Allele","5"
"BRAIN, HIPPOCAMPUS","IGF1 wt Allele","5"
"Anterodorsal nucleus of thalamus","ROS1 Gene","5"
"Genus Hippocampus","SMAD3 Gene","5"
"Amygdalar Nucleus, Medial","Aromatase","5"
"CA1 field","BIRC5 wt Allele","5"
"Basal Nucleus of Meynert","TCEA1 wt Allele","5"
"Corpus striatum structure","CDKN2B wt Allele","5"
"Entire medulla oblongata","TACR1 Gene","5"
"Basal Nucleus of Meynert","Wild Type","5"
"Pyramidal Tracts","PCYT1A wt Allele","5"
"Thalamic structure","IFNAR1 Gene","5"
"Genus Hippocampus","SLC2A1 wt Allele","5"
"Lateral occipital cortex, inferior division (OLi)","Long Interspersed Element","5"
"Parahippocampal Gyrus","THPO Gene","5"
"BRAIN, HIPPOCAMPUS","PKM gene","5"
"Cerebral cortex","CSF1R Gene","5"
"Midbrain structure","DRD2 wt Allele","5"
"Genus Hippocampus","SERPINA1 wt Allele","5"
"Genus Hippocampus","PMAIP1 wt Allele","5"
"Superior temporal gyrus","F3 Gene","5"
"Lobe, Frontal","RPL5 wt Allele","5"
"Globus Pallidus","POLE Gene","5"
"Motor Cortex","CALCA Gene","5"
"Pars nervosa of hypophysis","SST Gene","5"
"Corpus striatum structure","NES Gene","5"
"Neocortex","TFPI wt Allele","5"
"Cerebral cortex","GRIA3 wt Allele","5"
"Caudate nucleus structure","CNR1 gene","5"
"Structure of inferior brachium of corpora quadrigemina","MAPT wt Allele","5"
"Structure of anterior hypothalamic nucleus","MAPT wt Allele","5"
"Central insular sulcus","Genes, Reporter","5"
"Structure of central sulcus","LITAF gene","5"
"Area striata structure","PODXL Gene","5"
"Optic tract structure","Chloramphenicol O-Acetyltransferase","5"
"Cerebellum","PNP wt Allele","5"
"Genus Hippocampus","MET Gene","5"
"Medial Septal Nucleus","CISH Gene","5"
"Preoptic Areas","AMH Gene","5"
"Structure of subthalamic nucleus","CDC42 wt Allele","5"
"Cerebral cortex","SEMA3F Gene","5"
"Periamygdaloid Area","GLS2 wt Allele","5"
"Nucleus solitarius","AKT1S1 wt Allele","5"
"Central gray substance of midbrain","OXT Gene","5"
"CA3 field","GRIN2A Gene","5"
"Superior colliculus of corpora quadrigemina","SPP1 wt Allele","5"
"Thalamic structure","IFNAR1 wt Allele","5"
"Dentatothalamic tract","NR3C2 Gene","5"
"Central insular sulcus","Transgenes","5"
"Lactotrophs","Genes","5"
"CA3 field","LIPC Gene","5"
"Inferior Colliculus","GNRH1 Gene","5"
"Genus Hippocampus","HDAC1 Gene","5"
"Hypothalamic Area, Lateral","CAT Gene","5"
"Interpeduncular nucleus","DKK1 wt Allele","5"
"CA3 field","LIPC wt Allele","5"
"Medial Dorsal Nucleus","CAT Gene","5"
"CA2 field","GNRH1 Gene","5"
"Set of basolateral nuclei of amygdala","CRH Gene","5"
"Corpus striatum structure","SOD1 wt Allele","5"
"Paracentral Thalamic Nucleus","Promoter","5"
"Area striata structure","EPHB1 Gene","5"
"Cerebral hemisphere structure (body structure)","FASN wt Allele","5"
"Genus Hippocampus","TMPO Gene","5"
"Medial Septal Nucleus","MAPT wt Allele","5"
"Mossy Fibers, Hippocampal","BACE1 Gene","5"
"Prefrontal Cortex","CHAT Gene","5"
"Cerebral hemisphere structure (body structure)","FAS Gene","5"
"Ventral Tegmental Area","Homozygote","5"
"Thalamic structure","SLC6A4 wt Allele","5"
"Caudate nucleus structure","RANGAP1 wt Allele","5"
"Cerebellum","HTR1A wt Allele","5"
"Pyramidal Cells","ELANE Gene","5"
"Structure of dorsomedial hypothalamic nucleus","NPY Gene","5"
"Purkinje Cells","ABCB6 wt Allele","5"
"Amygdaloid structure","AKT1S1 wt Allele","5"
"Cerebral hemisphere structure (body structure)","CREB1 wt Allele","5"
"Structure of nucleus gracilis","CRH Gene","5"
"Globus Pallidus","NGFR Gene","5"
"BRAIN, HIPPOCAMPUS","BCL2 gene","5"
"Cerebral hemisphere structure (body structure)","MAPK14 wt Allele","5"
"Structure of inferior central nucleus of pons","BRD4 Gene","5"
"BRAIN, HIPPOCAMPUS","FBN1 gene","5"
"Cerebral cortex","SLC27A4 wt Allele","5"
"Cerebral hemisphere structure (body structure)","Enhancer of transcription","5"
"Anterodorsal nucleus of thalamus","PDZK1 Gene","5"
"Structure of locus ceruleus","PPT1 gene","5"
"Ventral Tegmental Area","SH2D3C Gene","5"
"Set of basolateral nuclei of amygdala","CD69 wt Allele","5"
"BRAIN, HIPPOCAMPUS","TRIM33 wt Allele","5"
"Cerebellum","MAP Kinase Gene","5"
"Brain Stem","MAPK3 wt Allele","5"
"Structure of lateral mammillary nucleus","MYCBP2 Gene","5"
"BRAIN, HIPPOCAMPUS","CD3EAP wt Allele","5"
"Visual Cortex","VIP Gene","5"
"CA2 field","MECP2 gene","5"
"Substantia innominata","Chloramphenicol Acetyl Transferase Gene","5"
"Structure of dentate gyrus","POMT1 gene","5"
"Genus Hippocampus","HDAC4 Gene","5"
"Cerebral hemisphere structure (body structure)","Homozygote","5"
"Cerebral cortex","NEFM wt Allele","5"
"Structure of dorsomedial hypothalamic nucleus","LEP Gene","5"
"Amygdaloid structure","CALCA wt Allele","5"
"Medial Dorsal Nucleus","CHAT Gene","5"
"Prosencephalon","ERBB4 Gene","5"
"Structure of subthalamic nucleus","RNF130 wt Allele","5"
"Corpus striatum structure","FOS wt Allele","5"
"BRAIN, HIPPOCAMPUS","CD38 Gene","5"
"Temporal Lobe","FBN1 wt Allele","5"
"BRAIN, HIPPOCAMPUS","CYLD Gene","5"
"Neostriatum","FOXM1 wt Allele","5"
"Cerebral cortex","TCF7L2 wt Allele","5"
"Substantia Nigra Pars Reticulata","c-fos Genes","5"
"CA1 field","NR3C1 wt Allele","5"
"CA1 field","BAG3 wt Allele","5"
"Lateral ventricle structure","DCX gene","5"
"Pyramidal Cells","VEGFA Gene","5"
"Structure of nucleus infundibularis hypothalami","KCNJ5 Gene","5"
"Structure of capsule of red nucleus","SP1 Gene","5"
"Neostriatum","EREG wt Allele","5"
"Cerebral hemisphere structure (body structure)","NR4A3 Gene","5"
"Insula of Reil","AKT1S1 wt Allele","5"
"Cerebral cortex","DNTT wt Allele","5"
"Structure of area postrema","AGT Gene","5"
"Neostriatum","KNG1 wt Allele","5"
"Corpus striatum structure","S100A9 wt Allele","5"
"Medulla Oblongata","FOSB wt Allele","5"
"Planum polare (PP)","MTR wt Allele","5"
"Pyramidal Cells","SOD1 wt Allele","5"
"Posterior cerebral commissure","FST wt Allele","5"
"Nucleus solitarius","MAPK3 Gene","5"
"BRAIN, HIPPOCAMPUS","ATM wt Allele","5"
"Primary Auditory Cortex","NLRP3 wt Allele","5"
"Structure of angular gyrus","LEP Gene","5"
"BRAIN, HIPPOCAMPUS","EGFR wt Allele","5"
"Cerebral cortex","CTSB Gene","5"
"Neostriatum","GNAI1 Gene","5"
"Metencephalon","BDNF Gene","5"
"Central gray substance of midbrain","YY1 wt Allele","5"
"Cerebellum","Clustered Regularly Interspaced Short Palindromic Repeats","5"
"Medulla Oblongata","MAPT wt Allele","5"
"Medial Dorsal Nucleus","Wild Type","5"
"Structure of chorda tympani","CDKN2B wt Allele","5"
"Lateral Septal Nucleus","KRAS wt Allele","5"
"Prefrontal Cortex","SH2D1A gene","5"
"Structure of nucleus infundibularis hypothalami","ASCL1 Gene","5"
"Hypothalamic structure","REN Gene","5"
"Structure of terminal stria nuclei of preoptic region","Genes, Immediate-Early","5"
"Neostriatum","CDK5R1 wt Allele","5"
"Lateral geniculate complex","SDHB wt Allele","5"
"Parietal Lobe","CNR1 gene","5"
"Lateral geniculate complex","IKBKG wt Allele","5"
"Structure of paraventricular nucleus","TRH wt Allele","5"
"Area striata structure","PROC Gene","5"
"Substantia innominata","MTR Gene","5"
"BRAIN, HIPPOCAMPUS","STIM1 Gene","5"
"Prefrontal Cortex","LIMS1 Gene","5"
"Paracentral Thalamic Nucleus","SST wt Allele","5"
"BRAIN, HIPPOCAMPUS","LPL Gene","5"
"Tuberomammillary Nucleus","BCHE wt Allele","5"
"Purkinje Cells","PRNP wt Allele","5"
"Nucleus solitarius","IRF6 wt Allele","5"
"Midbrain structure","FGFR1 wt Allele","5"
"Cerebral cortex","KNG1 wt Allele","5"
"Structure of rubrospinal tract","GRIN2B Gene","5"
"BRAIN, HIPPOCAMPUS","MMP9 Gene","5"
"Marginal Sulcus","MAPT wt Allele","5"
"Structure of endopeduncular nucleus","EPO Gene","5"
"Structure of lateral vestibular nucleus","CAT Gene","5"
"Corpus striatum structure","LIPG Gene","5"
"Nucleus Accumbens","HOXA10 wt Allele","5"
"Structure of subiculum hippocampi","TH gene","5"
"Hindbrain","FGF19 Gene","5"
"Insula of Reil","FOS Gene","5"
"Medial Dorsal Nucleus","DST Gene","5"
"Brain Stem","MAPK3 Gene","5"
"Neostriatum","SLC7A5 Gene","5"
"Bundle, Predorsal","MSMB wt Allele","5"
"Paracentral Thalamic Nucleus","SST Gene","5"
"Midbrain structure","S100A9 wt Allele","5"
"Genus Hippocampus","KDM1A wt Allele","5"
"Structure of anterior hypothalamic nucleus","Philadelphia Chromosome","5"
"CA2 field","EPHB2 Gene","5"
"Structure of paraventricular nucleus of thalamus","PLOD1 gene","5"
"mossy fiber","Long Interspersed Element","5"
"Prosencephalon","NPY Gene","5"
"Substantia innominata","CAT Gene","5"
"Thalamic structure","ATP8A2 wt Allele","5"
"Substantia nigra structure","ACPP wt Allele","5"
"Neocortex","HP Gene","5"
"Spinothalamic tract of medulla","C3 Gene","5"
"Nucleus fastigii","TNFRSF1A gene","5"
"Neostriatum","SLC7A5 wt Allele","5"
"Pyramidal Cells","PRNP gene","5"
"Temporal Lobe","THPO Gene","5"
"Auditory Hair Cell","FOXG1 Gene","5"
"Lateral habenular nucleus","S100A10 Gene","5"
"Hypothalamic structure","VPRBP wt Allele","5"
"Nucleus Subceruleus","TH gene","5"
"Midbrain structure","Estrogen Receptors","5"
"CA1 field","FASN wt Allele","5"
"Pituitary Gland","AGT Gene","5"
"Motor Cortex","Promoter","5"
"Corpus striatum structure","LPAR3 wt Allele","5"
"BRAIN, HIPPOCAMPUS","AKAP13 wt Allele","5"
"Cerebellum","MECP2 gene","5"
"Habenula","IKBKG wt Allele","5"
"Cerebral cortex","PTPN11 wt Allele","5"
"Cerebral cortex","Genes, Homeobox","5"
"Tegmentum Mesencephali","PPT1 gene","5"
"mossy fiber","CADM1 wt Allele","5"
"Cerebellar gracile lobule","LITAF gene","5"
"Cochlear nucleus structure","DCN Gene","5"
"Genus Hippocampus","Enhancer of transcription","5"
"CA2 field","NDOR1 Gene","5"
"Structure of chorda tympani","SUB1 wt Allele","5"
"Neostriatum","PSEN1 gene","5"
"Anterodorsal nucleus of thalamus","HP Gene","5"
"Prosencephalon","Chloramphenicol Acetyl Transferase Gene","5"
"Substantia nigra structure","TLR4 Gene","5"
"Ventral Tegmental Area","EPHB1 Gene","5"
"Structure of endopeduncular nucleus","CDC42 wt Allele","5"
"Genus Hippocampus","3' Untranslated Regions","5"
"Brain Stem","IRF6 wt Allele","5"
"Basal Nucleus of Meynert","SST Gene","5"
"Somatosensory Cortex","SST Gene","5"
"Dorsal Nucleus Raphe","CALCA Gene","5"
"Hypothalamic structure","SIX1 wt Allele","5"
"Nucleus of optic tract","BRD4 wt Allele","5"
"Thalamic structure","FSCN1 wt Allele","5"
"Pyramidal Cells","VEGFA wt Allele","5"
"Nucleus of optic tract","PRL Gene","5"
"BRAIN, HIPPOCAMPUS","DST Gene","5"
"Medulla Oblongata","FOS Gene","5"
"Genus Hippocampus","Plasmids","5"
"Tegmentum Mesencephali","Chloramphenicol Acetyl Transferase Gene","5"
"Corpus striatum structure","MECP2 gene","5"
"Internal arcuate tract","PADI4 wt Allele","5"
"Pyramidal Cells","ASAH1 wt Allele","5"
"Dentatothalamic tract","MRC1 Gene","5"
"CA1 field","BIRC5 Gene","5"
"BRAIN, HIPPOCAMPUS","TNFAIP3 wt Allele","5"
"Cerebral cortex","SOX2 Gene","5"
"Pyramidal Cells","MYCBP2 Gene","5"
"CA1 field","FOXO3 Gene","5"
"Structure of paraventricular nucleus of thalamus","DLG4 Gene","5"
"Structure of suprachiasmatic nucleus","INS gene","5"
"Prefrontal Cortex","CNTNAP2 Gene","5"
"Structure of thalamic reticular nucleus","PLOD1 gene","5"
"Corpus striatum structure","MTR wt Allele","5"
"Cerebral hemisphere structure (body structure)","HSPA5 wt Allele","5"
"BRAIN, HIPPOCAMPUS","BAI1 Gene","5"
"Pituitary Gland","HPSE wt Allele","5"
"Ventral Posterolateral Nucleus","Chloramphenicol O-Acetyltransferase","5"
"Anterodorsal nucleus of thalamus","EPO Gene","5"
"Structure of paraventricular nucleus","NR3C1 wt Allele","5"
"Structure of angular gyrus","RPL22 Gene","5"
"CA1 field","MET Gene","5"
"Structure of paraventricular nucleus","GHRL Gene","5"
"Structure of dentate gyrus","RELN Gene","5"
"Substantia nigra structure","Retinoic Acid Response Element","5"
"Tegmentum Mesencephali","CHAT Gene","5"
"Cortex, Primary Motor","C9orf72 Gene","5"
"CA1 field","ARHGEF5 wt Allele","5"
