"mental","disease","count"
"Projection Defense Mechanism","Acquired Immunodeficiency Syndrome","1"
"Deafness","Deglutition Disorders","1"
"Decreased stress","Recurrent disease","1"
"Vision","Sensory Disorders","1"
"Overactivity","Irritable Bowel Syndrome","1"
"Speech Perception","Speech Disorders","1"
"Behavioral change","Thyroid Diseases","1"
"Physical activity","Oropharyngeal disorders","1"
"Projection Defense Mechanism","Lennox-Gastaut syndrome","1"
"Contrast Sensitivity","DISORDERS OF THE OPTIC NERVE","1"
"Involvement with","Cranial Nerve Diseases","1"
"Memory, Short-Term","Fragile X Tremor Ataxia Syndrome","1"
"Nausea","Deglutition Disorders","1"
"Performance","Lafora Disease","1"
"High risk of","Attention Deficit Disorder","1"
"Depressed mood","Dream disorder","1"
"Crying","Disease Progression","1"
"Muscle hypotonia","Lysosomal Storage Diseases","1"
"Psychological Transfer","Rheumatic Heart Disease","1"
"Cognitive information processing","Denys-Drash Syndrome","1"
"At risk for activity intolerance","Hamartoma Syndrome, Multiple","1"
"Depressive Symptoms","Tay-Sachs Disease","1"
"Drug abuse","Chronic disease of respiratory system","1"
"Discrimination","Pigment dispersion syndrome (disorder)","1"
"Stress","Testicular Diseases","1"
"Intrinsic drive","Migraine Disorders","1"
"Delay Discounting","Attention deficit hyperactivity disorder","1"
"behavioral response to cocaine","Sensitization (disorder)","1"
"Anxiety","General Adaptation Syndrome","1"
"Stress","Ovarian Diseases","1"
"Fetal Alcohol Syndrome","Disease Progression","1"
"Practices (Psychology)","Migraine Disorders","1"
"Alcoholics","neuropathology disease","1"
"Speech","Lung Diseases, Interstitial","1"
"Conscious","Phobic anxiety disorder","1"
"Grandiose delusions","Somatic delusion disorder","1"
"Erectile dysfunction","bilateral carpal tunnel syndrome","1"
"Attention","motor disorder","1"
"Consensus","Huntington Disease","1"
"Comprehension","Mesulam Syndrome","1"
"Alcoholic Intoxication, Chronic","Hodgkin Disease","1"
"High risk of","Immunologic Deficiency Syndromes","1"
"Fear","Seasonal Affective Disorder","1"
"Behavior","Metabolic Syndrome X","1"
"Maze Learning","Attention Deficit Disorder","1"
"Sex Behavior","Pituitary-dependent Cushing's disease","1"
"Cognition","Cushing Syndrome","1"
"conditioned taste aversion","Immunologic Deficiency Syndromes","1"
"Sex Behavior","Moyamoya Disease","1"
"Severe mental retardation (I.Q. 20-34)","Rett Syndrome","1"
"Confidence","Disorder nervous system","1"
"Delirium","CNS disorder","1"
"Social Role","Other affective disorders","1"
"Alcoholic Intoxication","Alcohol withdrawal syndrome","1"
"Reaching","CNS disorder","1"
"Appetitive Behavior","Learning Disorders","1"
"Emotional Strain","Klein's Syndrome","1"
"Body Image","Phobic anxiety disorder","1"
"Cessation of smoking","Syndrome, Bloch-Sulzberger","1"
"Psychological inhibition","Phobic anxiety disorder","1"
"Sensory Feedback","Adult Fanconi syndrome","1"
"Learning Disorders","Developmental reading disorder","1"
"Protective Factors","Neurotoxicity Syndromes","1"
"Feedback - system communication","Obsessive-Compulsive Disorder","1"
"Social Role","Dysequilibrium syndrome","1"
"Coitus","Acquired Immunodeficiency Syndrome","1"
"Seasonal Affective Disorder","Disease Progression","1"
"Learning ability","Depressive disorder","1"
"Euphoric mood","Depressive disorder","1"
"Substance Abuse Problems","Disease Progression","1"
"Biofeedback","Pervasive Development Disorder","1"
"Interview","Maple Syrup Urine Disease","1"
"Availability of","Generalized glycogen storage disease of infants","1"
"Worried","Generalized Anxiety Disorder","1"
"Seizures","Alagille Syndrome","1"
"Polydipsia","Inappropriate ADH Syndrome","1"
"Feedback - evaluative response process","Klinefelter Syndrome","1"
"Comprehension","Gardner Syndrome","1"
"Retrieval of memory","Autism Spectrum Disorders","1"
"DEPRESSION MENTAL","Premenstrual Dysphoric Disorder","1"
"Disgusted","Neurodevelopmental disorder","1"
"Sleep behavior finding","Bipolar Disorder","1"
"Memory impairment","Movement Disorders","1"
"Psychological inhibition","Janiceps (disorder)","1"
"Smoking Behavior","Disorder of eye","1"
"Behavior, Animal","Pervasive Development Disorder","1"
"Discussion","Fetal Alcohol Syndrome","1"
"Cheilophagia","Movement Disorders","1"
"Suicide attempt","Mood Disorders","1"
"Avoidance Learning","Syndrome, Bloch-Sulzberger","1"
"Cognitive Flexibility","Delirium, Dementia, Amnestic, Cognitive Disorders","1"
"Intrinsic drive","Binge eating disorder","1"
"proboscis extension reflex","Sensitization (disorder)","1"
"Projection Defense Mechanism","Arteriopathic disease","1"
"Gustatory Perception","Pancreatic Diseases","1"
"Depressive Symptoms","Premenstrual Dysphoric Disorder","1"
"Paralysed","Zika virus disease (disorder)","1"
"Health Services Accessibility","Cardiovascular Diseases","1"
"Executive Function","Lewy Body Disease","1"
"Choice Behavior","Motor Neuron Disease","1"
"Rejections (Psychology)","Spinal Cord Diseases","1"
"Vision","Charcot-Marie-Tooth Disease","1"
"Hearing impairment","Tietz syndrome","1"
"Alcohol abuse","Attention Deficit Disorder","1"
"Behaviors, Feeding","Muckle-Wells Syndrome","1"
"Like","Ehlers-Danlos Syndrome","1"
"sharing","Metabolic Syndrome X","1"
"Emotional states","Alzheimer's Disease","1"
"Aggressive behavior","Rabies (disorder)","1"
"taste perception","Sweet Syndrome","1"
"Persistence","CNS disorder","1"
"Attribution","Niemann-Pick Disease, Type C","1"
"Memory impairment","Degenerative brain disorder","1"
"Awareness","Rare Diseases","1"
"psychological orientation","Skin endocrine disorder","1"
"Absence of pain sensation","Mixed anxiety and depressive disorder","1"
"Abnormal behavior","CNS disorder","1"
"Delayed Puberty","Ataxia as late effect of cerebrovascular disease","1"
"High risk of","Conduct Disorder","1"
"unresponsive behavior","Neurodegenerative Disorders","1"
"Rejections (Psychology)","Neurodevelopmental disorder","1"
"Factors, Risk","Mixed anxiety and depressive disorder","1"
"Feedback - system communication","Timothy syndrome","1"
"Confusion","Dyskinetic syndrome","1"
"Like","Menkes Kinky Hair Syndrome","1"
"Transsexual (finding)","Pituitary Diseases","1"
"impression","Autoimmune Diseases","1"
"Mental Retardation","Niemann-Pick Disease, Type C","1"
"Visual behavior","Autistic Disorder","1"
"Play","Attention deficit hyperactivity disorder","1"
"Preschool","Autism Spectrum Disorders","1"
"Impaired cognition","Attention-Deficit/Hyperactivity Disorder, Predominantly Inattentive Type","1"
"Involvement with","Gerstmann-Straussler-Scheinker Disease","1"
"Sleep Deprivation","Cat-Scratch Disease","1"
"Hearing impairment","Meniere Disease","1"
"Success","Vasodilation disorder","1"
"Discrimination","Neurotoxicity Syndromes","1"
"Success","Auditory neuropathy spectrum disorder","1"
"Social Dominance","Hamartoma Syndrome, Multiple","1"
"Communication","Van der Woude syndrome","1"
"Success","Stiff-Person Syndrome","1"
"Toothbrushing","Meningeal disorder","1"
"Resting state","Parkinsonian Disorders","1"
"Mental association","Asymptomatic cerebrovascular disease","1"
"Decision Making","Spinal Cord Diseases","1"
"Seizures","Behavioral syndrome associated with physiological disturbance and physical factors","1"
"Delayed Puberty","Kallmann Syndrome 1","1"
"Psychological inhibition","Gerstmann-Straussler-Scheinker Disease","1"
"Neural hearing loss","Deglutition Disorders","1"
"taste perception","Glucose Metabolism Disorders","1"
"Bradyphrenia","Depressive disorder","1"
"DEPRESSION MENTAL","Middle East Respiratory Syndrome","1"
"Sleep","Disorder of pineal gland","1"
"Detection, Signal (Psychology)","Gardner Syndrome","1"
"Impaired cognition","Little's Disease","1"
"Post-anoxic coma","Functional disorder","1"
"Deafness","Mitochondrial Diseases","1"
"Reduced concentration span","Functional disorder","1"
"Thinking, function","neuropathology disease","1"
"Play","Cognition Disorders","1"
"Psychological Transfer","Rabies (disorder)","1"
"Communication Response","Cushing Syndrome","1"
"Drug abuser","Acquired Immunodeficiency Syndrome","1"
"Coitus","Pituitary-dependent Cushing's disease","1"
"Heroin","neuropathology disease","1"
"Nightmares","Stress Disorders, Traumatic","1"
"DEPRESSION MENTAL","Psychomotor Disorders","1"
"Memory","Coffin-Siris syndrome","1"
"Academic achievement","Attention deficit hyperactivity disorder","1"
"Hemorrhage","Down Syndrome","1"
"Cigarette smoking behavior","Vascular Diseases","1"
"Eating","Neurotoxicity Syndromes","1"
"Success","Idiopathic disease","1"
"Climbing","Stereotypic Movement Disorder","1"
"Alcoholic Intoxication","Creutzfeldt-Jakob disease","1"
"Social Facilitation","Mobius Syndrome","1"
"Crying","Pituitary Diseases","1"
"Bruxism","Dyskinetic syndrome","1"
"Social isolation","Pervasive Development Disorder","1"
"Acute onset pain","Chronic pain syndrome","1"
"Food Consumption","Van der Woude syndrome","1"
"Emotions","Adrenal Cushing's syndrome","1"
"Coitus","Fabry Disease","1"
"Temperamental","Disorders, Mental","1"
"Behavior","Auditory Perceptual Disorders","1"
"Mental concentration","Fetal Alcohol Syndrome","1"
"Methamphetamine","Leptocephaly (disorder)","1"
"Empathy","cortex bone disorders","1"
"Predatory Behavior","Depressive disorder","1"
"Social Cognition","Disorder nervous system","1"
"Ethanol","Lung diseases","1"
"Hemorrhage","Hypertrophic disorder of skin, unspecified","1"
"Mood","Retinal Diseases","1"
"Pain","Chronic inflammatory disorder","1"
"Reproduction","Iatrogenic Disease","1"
"Pain","Prader-Willi Syndrome","1"
"Catatonia","Psychotic Disorders","1"
"Social Skills","Alzheimer's Disease","1"
"Social Perception","Functional disorder","1"
"Food Consumption","Leigh Disease","1"
"Tremor","Motor Neuron Disease","1"
"Like","Fabry Disease","1"
"Socializing","Fetal Alcohol Spectrum Disorders","1"
"Tobacco use","Cardiovascular Diseases","1"
"Current non-drinker of alcohol","Timothy syndrome","1"
"Eating","Aarskog syndrome","1"
"Space Perception","Nose Diseases","1"
"Intention - mental process","Delirium, Dementia, Amnestic, Cognitive Disorders","1"
"Thinking, function","Disease of thymus gland","1"
"Decision Making","Alzheimer's Disease","1"
"Retrieval of memory","Functional disorder","1"
"Alcohol consumption","Melkersson-Rosenthal Syndrome","1"
"Performance","Werner Syndrome","1"
"Psychological suppression","Vision Disorders","1"
"Play","Hashimoto Disease","1"
"Physical Contact","Skin endocrine disorder","1"
"Learning","Cardio-facio-cutaneous syndrome","1"
"Attack behavior","Inflammatory disease of the central nervous system","1"
"Availability of","Complex Regional Pain Syndromes","1"
"Anger","Huntington Disease","1"
"Feeling hopeless","Functional disorder","1"
"Antisocial behavior","Autistic Disorder","1"
"Problem Solving","Functional disorder","1"
"Autistic Disorder","Recurrent disease","1"
"Speech Disorders","Fetal Neurodevelopmental Disorder","1"
"Regular exercise (observable entity)","Neurotoxicity Syndromes","1"
"Comatose","Sequela of disorder","1"
"Victim of abuse (finding)","Extrapyramidal Disorders","1"
"Hyperactive behavior","Cerebellar Diseases","1"
"Rage","Parkinson Disease","1"
"Mental concentration","Kidney Diseases","1"
"Insight","Smith-Lemli-Opitz Syndrome","1"
"Regression - mental defense mechanism","Major Depressive Disorder","1"
"Powers (Psychology)","Migraine Disorders","1"
"Anxiety and fear","Sensitization (disorder)","1"
"Anxiety","Heart Diseases","1"
"Attention","Sudden infant death syndrome","1"
"Seizures","Van der Woude syndrome","1"
"Comatose","Autistic Disorder","1"
"Awareness","Fetal Alcohol Spectrum Disorders","1"
"Memory impairment","Angelman Syndrome","1"
"Sexual Partners","Obsessive-Compulsive Disorder","1"
"Mimicry","Autistic Disorder","1"
"Psychological inhibition","Bardet-Biedl Syndrome","1"
"Confusion","Lewy Body Disease","1"
"Maladaptive behavior associated with physical illness","Sequela of disorder","1"
"Overactivity","Brain Diseases","1"
"Carrying","Timothy syndrome","1"
"Nervousness","Anxiety Disorders","1"
"Alcoholics","Brain Diseases","1"
"Theory of Mind","Major Depressive Disorder","1"
"Erectile dysfunction","Guillain-Barre Syndrome","1"
"Socializing","Attention deficit hyperactivity disorder","1"
"Visit","Norrie disease","1"
"Water Consumption","Parkinson Disease","1"
"Worried","Disorders, Mental","1"
"Bradyphrenia","Disorder nervous system","1"
"Stress","Russell-Silver syndrome","1"
"Sets (Psychology)","Meningeal disorder","1"
"Adjustment, Psychological","Depressive disorder","1"
"Sustained attention","Disease Progression","1"
"Rejections (Psychology)","Neurodegenerative Disorders","1"
"Communication","Stereotypic Movement Disorder","1"
"Nervousness","Neuromuscular Diseases","1"
"Abnormal behavior","Rett Syndrome","1"
"Tobacco use","Recurrent disease","1"
"Verbal repetition","Speech Disorders","1"
"Success","Phantom limb syndrome","1"
"Learning Disabilities","Neurodevelopmental disorder","1"
"Fetal Alcohol Syndrome","Uterine Diseases","1"
"Comatose","Dysequilibrium syndrome","1"
"Tobacco user","Chronic disease of respiratory system","1"
"Conditionings (Psychology)","Sotos' syndrome","1"
"Chronic pain","Central pain syndrome","1"
"Mental Retardation","Iodine deficiency syndrome","1"
"Nociception","Functional Gastrointestinal Disorders","1"
"Tremor","Turner Syndrome","1"
"Autistic Disorder","Rubinstein-Taybi Syndrome","1"
"Ecstasy - emotion","cortex bone disorders","1"
"Severe mental retardation (I.Q. 20-34)","Mowat-Wilson syndrome","1"
"Victim of abuse (finding)","Delirium, Dementia, Amnestic, Cognitive Disorders","1"
"Sexual Dysfunction","Functional disorder","1"
"Vocalization (finding)","Autism Spectrum Disorders","1"
"Exercise","Fetal Alcohol Syndrome","1"
"impulse control","Migraine Disorders","1"
"Behavioral Symptoms","Mood Disorders","1"
"Irritable Mood","Parkinsonian Disorders","1"
"Alcohol abuse","Attention deficit hyperactivity disorder","1"
"Thinking, function","Acquired Immunodeficiency Syndrome","1"
"Nausea","Diseases of inner ear","1"
"Mental concentration","Chronic infectious disease","1"
"Feedback - system communication","Neoplastic disease","1"
"Like","Salivary Gland Diseases","1"
"Chronic pain","Stress Disorders, Traumatic","1"
"Speaking","Laryngeal Diseases","1"
"Fasting","Chimera (disorder)","1"
"Irritation - emotion","Alzheimer's Disease","1"
"Projection Defense Mechanism","Postural Orthostatic Tachycardia Syndrome","1"
"Interested","Lung diseases","1"
"Avoidance Learning","Disorders, Mental","1"
"Mental Retardation","Coffin-Lowry syndrome","1"
"Abstract thinking ability","Obsessive-Compulsive Disorder","1"
"Personal priorities","Smith-Lemli-Opitz Syndrome","1"
"Euphoric mood","sympathomimetic disorder","1"
"Puberty","Ovarian Diseases","1"
"Interested","Fragile X Syndrome","1"
"Physiologic Thermoregulation","Skin endocrine disorder","1"
"Addictive Behavior","Developmental delay (disorder)","1"
"Communication Response","Nicolaides Baraitser syndrome","1"
"Hemorrhage","Burnett Schwartz Berberian syndrome","1"
"Memory, Short-Term","Disorder nervous system","1"
"Involvement with","Chronic Obstructive Airway Disease","1"
"Psychological habituation","Disease of thymus gland","1"
"Delayed Puberty","Rare Diseases","1"
"Response to stimulus physiology","Adult Fanconi syndrome","1"
"Pain","Attention Deficit Disorder","1"
"Running","Jet Lag Syndrome","1"
"Object Recognition","Opitz-Frias syndrome","1"
"Obsessive compulsive behavior","Disorder nervous system","1"
"Insight","Waardenburg Syndrome","1"
"Achievement","Depressive disorder","1"
"Mental association","Pili torti-deafness syndrome","1"
"Transsexual (finding)","Brain Diseases","1"
"Performance","Mobius Syndrome","1"
"Behavior","Amnestic disorder","1"
"Voice Disorders","Functional disorder","1"
"Resting state","Alcohol use disorder","1"
"Gestures","Autism Spectrum Disorders","1"
"Fasting","Cumulative Trauma Disorders","1"
"Psychological suppression","Ear Diseases","1"
"Psychological Transfer","Communicable Diseases","1"
"Play","Vascular Diseases","1"
"Motor retardation","Major Depressive Disorder","1"
"Suck finding","Anxiety Disorders","1"
"Attack behavior","Headache Disorders","1"
"Fatigue","Dysequilibrium syndrome","1"
"Insight","Gastrointestinal Diseases","1"
"Mental Retardation","Sjogren-Larsson Syndrome","1"
"Overlying behavior","Sequela of disorder","1"
"Reaction Time","Burnett Schwartz Berberian syndrome","1"
"Hyperactive behavior","Virus Diseases","1"
"Hemorrhage","Sequela of disorder","1"
"Transsexual (finding)","Disorder of pineal gland","1"
"Consideration","Developmental reading disorder","1"
"Reversal Learning","Autistic Disorder","1"
"Feedback - system communication","Sensorineural hearing loss (disorder)","1"
"Social Role","Pituitary-dependent Cushing's disease","1"
"Feedback - evaluative response process","Disorder of pineal gland","1"
"Cognitive information processing","Gilles de la Tourette syndrome","1"
"Depressive Symptoms","Celiac Disease","1"
"Life Style","Cerebrovascular Disorders","1"
"Cigarette smoking behavior","Attention Deficit Disorder","1"
"Actual Inability To Taste","Functional disorder","1"
"Stress","Marfan Syndrome","1"
"Learning","Pituitary Diseases","1"
"Sleep Deprivation","Chronic disease","1"
"Behavioral change","CNS disorder","1"
"Mood Disorders","Ataxia as late effect of cerebrovascular disease","1"
"Projection Defense Mechanism","Substance Use Disorders","1"
"Learning","Rumination Disorders","1"
"Projection Defense Mechanism","Cyclical vomiting syndrome (disorder)","1"
"DEPRESSION MENTAL","Impulse Control Disorders","1"
"Bradykinesia","Lewy Body Disease","1"
"Feeling content","Hashimoto Disease","1"
"Pain Perception","Skin endocrine disorder","1"
"Irritation - emotion","Corneal Diseases","1"
"Visual accommodation","cortex bone disorders","1"
"Postoperative confusion","Sequela of disorder","1"
"Stress","Premenstrual syndrome","1"
"Drug Dependence","CNS disorder","1"
"Pessimistic","CNS disorder","1"
"Projection Defense Mechanism","Autonomic nervous system disorders","1"
"Persistence","Virus Diseases","1"
"Mental Fatigue","Depressive disorder","1"
"Puberty","Alzheimer's Disease","1"
"Mental association","Coronary Artery Disease","1"
"Discussion","Hypertensive disease","1"
"sharing","Bone Diseases","1"
"Behavioral change","Lafora Disease","1"
"Regression - mental defense mechanism","Inflammatory Bowel Diseases","1"
"Performance","Peripheral Arterial Diseases","1"
"Avoidance","Nose Diseases","1"
"Eating","Mood Disorders","1"
"Persistence","Parkinson Disease","1"
"Intrinsic drive","Lysosomal Storage Diseases","1"
"Physical activity","Syndrome","1"
"Memory, Episodic","Syndrome","1"
"Mood Disorders","Mixed anxiety and depressive disorder","1"
"Aversion (finding)","Sensitization (disorder)","1"
"Eating","Papillon-Lefevre Disease","1"
"Communication Response","Sleep Disorders","1"
"Chronic Motor or Vocal Tic Disorder","Disorder nervous system","1"
"Temper tantrum","Prader-Willi Syndrome","1"
"Unipolar Depression","Van der Woude syndrome","1"
"Social Distance","Retinal Diseases","1"
"Absence of pain sensation","Abstinence Syndrome","1"
"Disputes","CNS disorder","1"
"Binge eating disorder","Impulse Control Disorders","1"
"Rejections (Psychology)","Premature aging syndrome","1"
"Activity alteration","Depressive disorder","1"
"Lethargy","Syndrome","1"
"Attack behavior","Anxiety Disorders","1"
"Clouded consciousness","Disease Progression","1"
"Seizures","Evans syndrome","1"
"Hearing","Oculo-dento-digital syndrome","1"
"Affective Symptoms","Drug withdrawal syndrome","1"
"Autistic Disorder","other psychiatric disorders","1"
"Social Perception","Autistic Disorder","1"
"Psychotic depression","Disorders, Mental","1"
"Coitus","Borderline Personality Disorder","1"
"Neural hearing loss","Sensory Disorders","1"
"Involvement with","Non-alcoholic Fatty Liver Disease","1"
"Physical activity","Cardiovascular Diseases","1"
"Behavior","Heart Diseases","1"
"Vision","Movement Disorders","1"
"Touch sensation","Depressive disorder","1"
"Physiologic pseudocyesis","Skin endocrine disorder","1"
"Ejection as a Sports activity","Spinal Cord Diseases","1"
"Social Interaction","Dystonia Disorders","1"
"Alcohol abuse","Neurodegenerative Disorders","1"
"Stress","Sleep Disorders","1"
"Climbing","Parkinson Disease","1"
"Habituation, Psychophysiologic","Mobius Syndrome","1"
"Attitude","Parkinson Disease","1"
"Involvement with","Lennox-Gastaut syndrome","1"
"Tremor","Idiopathic disease","1"
"Persistence","Attention Deficit Disorder","1"
"Social isolation","Disease Progression","1"
"Memory impairment","Familial Alzheimer Disease (FAD)","1"
"Crying","Retinal Diseases","1"
"Mood","Post-Traumatic Stress Disorder","1"
"Memory","Movement Disorders","1"
"Discrimination","Spinal Cord Diseases","1"
"conditioned taste aversion","Van der Woude syndrome","1"
"Impaired cognition","Learning Disorders","1"
"Psychological suppression","Chronic Fatigue Syndrome","1"
"High risk of","22q13.3 Deletion Syndrome","1"
"Social Role","Tracheal Diseases","1"
"Hope","cortex bone disorders","1"
"Emotional Strain","Disorder nervous system","1"
"Hemorrhage","Griscelli syndrome type 2","1"
"Attack behavior","Melkersson-Rosenthal Syndrome","1"
"Communication Response","Arterial Tortuosity Syndrome","1"
"Anxiety and fear","cortex bone disorders","1"
"Speech","Diseases of inner ear","1"
"Conflicts (Psychology)","Cat-Scratch Disease","1"
"Social Role","Congenital secretory diarrhea, sodium type (disorder)","1"
"Interview","Disorder nervous system","1"
"Smoking","Behavior Disorders","1"
"Alcohol abuse","cortex bone disorders","1"
"Methamphetamine","Hashimoto Disease","1"
"DEPRESSION MENTAL","Prader-Willi Syndrome","1"
"Success","Dystonia Disorders","1"
"Social Role","Disease of diaphragm","1"
"Involvement with","Developmental Coordination Disorder","1"
"Memory, Episodic","Down Syndrome","1"
"Interested","Papillon-Lefevre Disease","1"
"Practices (Psychology)","Autistic Disorder","1"
"Illness Behavior","Inflammatory disorder","1"
"Difficulty speaking","Deglutition Disorders","1"
"Life Style","Disorder nervous system","1"
"Behavioral tic","Neurodevelopmental disorder","1"
"Suspicion","Guillain-Barre Syndrome","1"
"Perseveration","Brain Diseases","1"
"Attention","Prion Diseases","1"
"Irritation - emotion","Migraine Disorders","1"
"Handlings (Psychology)","Retinal Diseases","1"
"Fasting","Vaginal Diseases","1"
"Suicide","Autistic Disorder","1"
"Period, Critical (Psychology)","Stress Disorders, Traumatic","1"
"taste perception","Uterine Diseases","1"
"Anxiety","Dysequilibrium syndrome","1"
"Conditioning, Classical","Irritable Bowel Syndrome","1"
"Facial Expression","Major Depressive Disorder","1"
"Autistic Disorder","Lewy Body Disease","1"
"Play","Niemann-Pick Disease, Type C","1"
"Reading","Developmental delay (disorder)","1"
"observational learning","Parkinson Disease","1"
"Social Role","Somnolence syndrome","1"
"Reasoning","Autistic Disorder","1"
"Manic","Brain Diseases","1"
"Experience","Bipolar Disorder","1"
"Like","Adrenal Cushing's syndrome","1"
"Relaxation","Penile Diseases","1"
"Mood","Restless Legs Syndrome","1"
"Anxiety","Niemann-Pick Disease, Type C","1"
"Handlings (Psychology)","Skin endocrine disorder","1"
"Mental association","Meleda Disease","1"
"Fasting","Huntington Disease","1"
"Mental concentration","Andersen Syndrome","1"
"Mood Disorders","Autoimmune Diseases","1"
"Stress","Sudden infant death syndrome","1"
"Addictive Behavior","Neurodevelopmental disorder","1"
"Stereotyped Behavior","Mucocutaneous Lymph Node Syndrome","1"
"Food craving","Eating Disorders","1"
"Mental concentration","Menkes Kinky Hair Syndrome","1"
"Ability to balance","Alzheimer's Disease","1"
"Gilles de la Tourette syndrome","Psychotic Disorders","1"
"Telemetry","Drug withdrawal syndrome","1"
"Social isolation","Coronary heart disease","1"
"Performance","Hypertensive disease","1"
"Difficulty using language","neuropathology disease","1"
"Vocalization (finding)","Penile Diseases","1"
"Awareness","Rasmussen Syndrome","1"
"Stress","Tracheal Diseases","1"
"Visual learning","Disorder nervous system","1"
"Confidence","Disease Progression","1"
"Reproduction","Adult Fanconi syndrome","1"
"Alcoholic Intoxication, Chronic","Parkinsonian Disorders","1"
"Mood","Nail-Patella Syndrome","1"
"Availability of","Van der Woude syndrome","1"
"Appetitive Behavior","Alcohol use disorder","1"
"Decision Making","Disorder nervous system","1"
"Learning","Empty Sella Syndrome","1"
"Telling untruths","cortex bone disorders","1"
"Drug Dependence","Rubinstein-Taybi Syndrome","1"
"Hypokinesia","Sleep Disorders","1"
"Emotional Strain","Hemorrhagic Fever with Renal Syndrome","1"
"Behavior","McCune-Albright Syndrome","1"
"Achievement","Parkinsonian Disorders","1"
"Thinking, function","Conjunctival Diseases","1"
"Sensory Process","Genetic syndrome","1"
"Social Interaction","Recurrent disease","1"
"Intention - mental process","Cerebellar Diseases","1"
"Pain","Ovarian Diseases","1"
"Fear","Disorder nervous system","1"
"Experience","Myeloproliferative Syndrome, Transient","1"
"Behavior","Capillary Leak Syndrome","1"
"Impulsive Behavior","Disease Progression","1"
"vocal learning","Speech Disorders","1"
"goal attainment","Laryngeal Diseases","1"
"Muscle Tonus","Chronic Fatigue Syndrome","1"
"Abstract thinking ability","Disorders, Mental","1"
"Psychological inhibition","Charcot-Marie-Tooth Disease","1"
"Mental concentration","Hypopigmentation disorder","1"
"Depression, Postpartum","Disease Progression","1"
"Memory, Short-Term","Bipolar Disorder","1"
"psychological orientation","Stereotypic Movement Disorder","1"
"Speech","Disease Progression","1"
"Body Weight","DISORDERS OF THE OPTIC NERVE","1"
"Discussion","Fragile X Syndrome","1"
"Awareness","Locked-In Syndrome","1"
"Sexual Orientation","Sudden infant death syndrome","1"
"Drug abuse","Psychotic Disorders","1"
"Hearing impairment","Dysequilibrium syndrome","1"
"Destructive behavior","Disease Progression","1"
"Hypokinesia","Post-Traumatic Stress Disorder","1"
"Communication Response","General Adaptation Syndrome","1"
"Seizures","Zika virus disease (disorder)","1"
"Helplessness, Learned","Muckle-Wells Syndrome","1"
"Sleep Deprivation","Disease Progression","1"
"Mild anxiety","Depressive disorder","1"
"Coitus","Cockayne Syndrome, Type II","1"
"Suicidal","Bipolar Disorder","1"
"Alcohol abuse","Sequela of disorder","1"
"Behavior","Mobius Syndrome","1"
"Abnormal behavior","Generalized Anxiety Disorder","1"
"Ability to balance","Migraine Disorders","1"
"Physical Contact","Bloom Syndrome","1"
"Cognition","Rabies (disorder)","1"
"Prepuberty","Polycystic Ovary Syndrome","1"
"Behaviorial Habits","Parkinson Disease","1"
"Body Weight","Obsessive-Compulsive Disorder","1"
"Nausea","Depressive disorder","1"
"Stress","Rabies (disorder)","1"
"Socializing","Nail-Patella Syndrome","1"
"Play","Syndrome, Bloch-Sulzberger","1"
"Mental association","Pontine one and a half syndrome","1"
"Pain Perception","Neurodegenerative Disorders","1"
"Handlings (Psychology)","Functional disorder","1"
"Clouded consciousness","Hyperhidrosis (disorder)","1"
"Stress","Chromosome 11p11.2 Deletion Syndrome","1"
"Preventive monitoring","Congenital secretory diarrhea, sodium type (disorder)","1"
"Feedback - system communication","Lung diseases","1"
"Practices (Psychology)","Cognition Disorders","1"
"Impaired cognition","Brain Diseases, Metabolic","1"
"Ethanol","Isotretinoin embryopathy like syndrome","1"
"Substance Abuse Problems","Acquired Immunodeficiency Syndrome","1"
"Increased stress","Mood Disorders","1"
"Insight","Restless Legs Syndrome","1"
"Behaviorial Habits","Restless Legs Syndrome","1"
"Feedback - evaluative response process","Idiopathic pneumonia syndrome","1"
"Discrimination","Papillon-Lefevre Disease","1"
"Gilles de la Tourette syndrome","Lung diseases","1"
"Amnesia","Autoimmune Diseases","1"
"impulse control","Antisocial Personality Disorder","1"
"Abnormal behavior","Demyelinating Diseases","1"
"Social isolation","Neurodevelopmental disorder","1"
"Tinnitus","Brain Diseases","1"
"Sex Behavior","Borderline Personality Disorder","1"
"Behaviorial Habits","Pervasive Development Disorder","1"
"Body Weight","Uterine Diseases","1"
"Mental association","Urinary Bladder Diseases","1"
"Fluency of speech","Landau-Kleffner Syndrome","1"
"Marijuana Abuse","Anxiety Disorders","1"
"Discrimination Learning","Syndrome, Bloch-Sulzberger","1"
"Recognition (Psychology)","Renal glomerular disease","1"
"Sets (Psychology)","Oculorespiratory syndrome","1"
"Ejection as a Sports activity","Arterial Tortuosity Syndrome","1"
"Pain","Prostatic Diseases","1"
"Indifferent mood","Norrie disease","1"
"Genetic Risk","Dystonia Disorders","1"
"Feedback - evaluative response process","Huntington Disease","1"
"Memory Disorders","Disorders, Mental","1"
"Gilles de la Tourette syndrome","Chronic Motor or Vocal Tic Disorder","1"
"Contact sport","Motor Neuron Disease","1"
"Everyday tasks","Parkinson Disease","1"
"Brain Death","Neurodegenerative Disorders","1"
"Conflicts (Psychology)","Syndrome, Bloch-Sulzberger","1"
"Discussion","Non-alcoholic Fatty Liver Disease","1"
